start	end	text
7160	15440	¿Escuchen eso? ¿Se escucha esto? ¿Se escucha así agradablemente, suavemente?
16780	25100	¿Están viviendo un momento histórico? Esta es la primera vez que mi voz suena en el espectro radiofónico nacional.
25880	34360	En términos físicos significa que estoy ahí, vibrando a su lado. Esto es técnicamente cierto.
34500	40920	En donde sea que estén las ondas sonoras, me están trasladando hasta el lado de ustedes.
42220	47840	Hay a la vuelta de las cacerolas que empiezan a sonar convocadas también para este horario.
48860	56240	Está iniciando algo que no es un programa de radio. A mí la radio no me gusta tanto.
56340	59200	O sea, no sé si escucho radio en general. No sé por qué me convocan a hacer radio.
59880	65220	Pero más que un programa de radio es una búsqueda. Una búsqueda abierta.
65400	72380	Una búsqueda para aquellas personas que quieren encontrar algún tipo de horizonte de verdad.
72380	83800	Algo, algo que se intuye, que se esconde en el fondo de lo argentino, en las fuerzas telúricas de nuestro suelo.
84700	86880	Y que hacen, por supuesto, a la argentinidad.
87280	94800	Me acuerdo ahora, Scalabrini y Ortiz hablaban del espíritu de la Tierra.
94800	103620	Una suerte de corporización innúmera, llena de almas que hacía al gran gigante de nuestro espíritu nacional.
105080	114560	Eso es en algún punto lo que este, vamos a decirlo de vuelta, no programa sino búsqueda abierta, es lo que quiere encontrar.
115680	124280	La esencia, la quinta esencia de lo argentino, ese momento irreductible, ese momento mágico, ese momento de lo maga.
126240	131840	La convocatoria está abierta y lo vamos a hacer junto a ustedes, contribuyentes de este programa.
132760	136740	No sé si digo contribuyente o inocente, inocente es una categoría inferior.
136860	143280	El contribuyente ya puede prescindir de parámetros menores como la voluntad, el consenso y esas cosas.
143420	145980	Ustedes ya son contribuyentes de este programa, lo escuchen o no.
145980	154400	Juntos vamos a cruzar el umbral, vamos a cruzar el Rubicon, vamos a ir al otro lado del velo y ver qué hay.
154680	158980	Porque viste como decía Nietzsche, cuando uno mira el abismo, el abismo también le devuelve la mirada.
159880	167360	Vamos al abismo de lo argentino y vamos a hacer la Argentina grande otra vez.
185160	189780	Usted tiene que arrepentirse de lo que dijo, usted tiene que arrepentirse, porque yo no hice nada de eso.
189820	193040	Ay, si queréis llorar, llorad papi, papi, por favor, no, no, no.
193060	194280	¡Ay, no, no!
196220	198100	Es inimputable, hermano.
198340	202540	Solamente que tenga temor a Dios y a mí en todo caso también un poquito.
202540	204840	Pará, pará, pará, pará, pará.
205100	206840	Con 15 pesos me hago alto guiso.
219140	226540	Sí, sí contribuyentes, cómo están, qué hermoso, qué hermosa esta introducción, qué belleza.
227560	234700	Bienvenidos y bienvenidas a este programa que no sabemos ni cómo empezaba ni cómo terminaba,
234880	239880	para serles completamente honestos, pero ya quiero aclarar que esto es una bandera,
239940	244000	una bandera de este equipo editorial, si digo equipo porque no estoy solo, no,
244000	247560	por supuesto que las responsabilidades penales no van a recaer solo sobre mí.
247940	253260	En primer lugar se le agradece a la directora de esta radio, a Micaela Luzardi, responsable penal,
253740	257400	de lo que sea que suceda acá, eso es importante que lo tengan en cuenta,
