start	end	text
6200	10540	La pelota lo... la pelota lo se marcha.
10840	11860	¡Carajo, mierda!
13620	17680	Se van a remontar a la distratófera.
17960	19420	Usted tiene que arrepentirse de lo que dijo.
19520	20200	No, no me voy a arrepentirse.
20220	22260	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22260	24420	¡Ay, si querés llorar, llora, papi, papi, por favor!
24560	25060	¡No, no, no!
26420	27140	¡Ay, papi!
28480	29980	No soy un imputable, hermano.
29980	29980	
29980	29980	
29980	29980	
29980	29980	
30740	32460	Solamente que tenga temor a Dios.
33500	35080	Y a mí, en todo caso, también un poquito.
35280	37160	¡Pará, pará, pará, pará, pará!
37460	39420	Con 15 pesos me hago alto guiso.
54820	56980	Bienvenidos, bienvenidas, compatriotas.
57820	59980	¿Cómo están? ¿Cómo estamos?
66840	68600	Uy, uy, uy, ¿cómo están los controles?
69340	70400	¿Cómo están los controles?
70520	73020	Se nota que está detrás Natalia Bravo.
73500	75880	Recién me decía, ella me recordó...
75880	78900	Tengo un retorno extraño, hay algo abierto.
79480	79940	Gracias.
81360	82040	Ahí estamos.
82460	86080	Recién ella me recordaba que me operó en tiempos asiagos
86080	91080	en Radio Colmena, que es una suerte de argentinos juniors de la radio.
91280	93560	Como que te encontrás ahí con todo y después te ves en otro lugar.
94440	97060	Está Maxi también con nosotros pululando en el estudio.
98040	102840	Y por supuesto están todos ustedes, además de Flor Trevino, nuestra productora desde casa.
104480	107200	Continúan nuestros días asiagos.
107600	109080	Continúan nuestros días con...
109080	110980	¡No, tenemos un cambio en cabina! Escapó.
111080	111700	Escapó Natalia.
112120	113120	¿Quién está ahora con nosotros?
113160	115420	Por favor, compañero, ¿cómo es su nombre?
115420	116520	¿Cómo es su nombre?
118720	119960	Mauro Torres, bienvenido.
120060	120880	MAGA es así.
121140	123560	MAGA es así, viene alguien, después viene otra persona, no importa.
123640	124820	El programa continúa.
124860	126920	¿Por qué? Porque se hace con sus impuestos, básicamente.
127560	132660	Y a mí me llegaron mensajes de compatriotas de todas las partes del mundo.
133100	138780	Me llegaron compatriotas exiliados, compatriotas en otros rincones de la patria,
