start	end	text
6180	10000	La pelota no... la pelota no se marcha.
10840	11860	¡Carajo de mierda!
12380	13400	¡Carajo de mierda!
13780	17780	Se van a remontar a la distratófera.
18020	19500	Usted tiene que arrepentirse de lo que dijo.
19520	20260	No, no me voy a arrepentirse.
20280	22320	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22320	25100	¡Ay, si querés llorar, llora, papi, mami, por favor! ¡No, no!
25880	26680	¡Ay, mami!
26680	29680	No soy diputado, hermano.
30840	32500	Es solamente que tenga temor a Dios.
33560	35120	Y a mí, en todo caso, también un poquito.
35340	36920	¡Pará, pará, pará, pará, pará!
37500	39420	Con 15 pesos me hago alto guiso.
49560	53180	Buenas, buenas, buenas, queridos y queridas compatriotas.
54000	57060	Qué feliz que estoy de estar acá.
58040	60340	Qué extrema felicidad que tengo.
60560	61260	No saben lo bien.
61460	65520	No saben lo bien que me hacen nuestros encuentros semanales.
65840	67180	Lo bien que me hace hacer maga.
68000	71340	Hoy Paulina, gran oyente y compatriota me manda un mensaje a la mañana.
71600	75720	Me decía, hoy me desperté, me di cuenta que había maga y me puse feliz.
76200	78180	Feliz de hacer a la Argentina grande otra vez.
78260	80180	Y ese es el sentimiento que queremos generar.
80400	81880	Y eso es lo que nos hermana.
81880	83880	A mí hasta me...
84960	89060	Otra cosa que me alegra muchísimo ya que estamos en este momento de profunda hermandad
89060	93880	son cuando sus mensajes están impregnados de nuestra doctrina espiritual.
95060	99340	Hoy un compatriota me escribía para aportarme una tesis,
99400	102880	una tesitura al respecto de la cualidad de mufa de Alberto Fernández.
103820	107880	Y agarraba y me decía, querido compatriota, sé que maga no juzga
107880	110180	porque maga solo quiere hacer a la Argentina grande otra vez.
110180	116700	Exacto. Y esas cosas, esas ideas fuerza que van haciendo preguenancia en su subconsciente
116700	124620	es el sustrato, es la sabia que va alimentando las venas de nuestra creciente patria,
125300	128180	de nuestro engendro patriótico.
128440	133300	Y eso, ojo, porque algunos acá se cagan de risa, pero es una ciencia, es una doctrina.
133380	138980	Hay un campo semántico, hay un universo simbólico que estamos lentamente empezando a tejer.
138980	143040	Por ende, imagínate, el otro día, cuento una anécdota,
143320	146580	el otro día mi amigo Koury, al que siempre les hago referencia,
146700	150300	mi gran amigo Agustín Kourel, gran amigo, gran amigo,
150620	152980	una de las mentes más lúcidas de nuestra generación,
154260	157460	me decía escuchando el maga al respecto de la máxima fineza, ¿no?
157720	159600	Y me decía, pará, acá hay un error.
160120	162360	¿Cómo, Koury? Le digo, ¿de qué estás hablando?
