start	end	text
6160	10000	La pelota lo... la pelota lo se marcha.
11020	11820	¡Carajo, mierda!
12580	13380	¡Carajo, mierda!
13760	17700	Se van a remontar a la extranjera.
18000	19480	Usted tiene que arrepentirse de lo que dijo.
19520	20260	No, no me voy a arrepentirse.
20260	22280	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22340	24780	Ay, si querés llorar, llora, papi, mami, por favor, ¡no!
26100	26900	¡Ay, mami!
28700	29900	Sin disputar, hermano.
30880	32460	Solamente que tenga temor a Dios.
33300	35100	Y a mí, en todo caso, también un poquito.
35300	36760	¡Pará, pará, pará, pará!
37380	39360	Con 15 pesos me hago alto guiso.
56900	60180	Oh, my dreams
60900	65880	You're my sun, my moon
65880	69320	My guionic star
69320	72840	My kind of wonder-for
72840	76640	That what you are
76640	83620	I know there's only, only one like you
84920	91620	¿Qué pasó, compatriota? ¿Qué pasó? No pasa nada, sonó un poquito la cortina, ya se ponían nerviosos.
92840	98940	Había gente que decía, pará, están dejando mucho la música, que no pasa nada. No pasa nada.
99960	106540	Maga arranca cuando tiene que arrancar o cuando nuestra operadora Diana considera que tiene que arrancar, es así.
107480	112280	Diana, ¿cómo estás? ¿Cómo está Maxi? ¿Cómo andará Flor Trevino en su casa?
112860	119060	¿Cómo estás? Yo estoy feliz, estoy radiante, estoy en un estado...
119060	121780	Ustedes saben, ¿no? O sea, ya saben lo que pasa los lunes.
122260	129820	Los lunes la gente se despierta, abren los ojos y dicen, hoy hay Maga.
130500	133860	Y me mandan mensaje, hoy hay Maga me ponen.
133860	139720	Escriben en Twitter, hoy hay Maga. La gente festeja, festeja como...
139720	142800	Mirá, yo ya tengo... Recuerden que tenemos redes ahora, tenemos
144740	148860	que al toque ya preanuncia Maga, estuvo teniendo un excelente desempeño.
149860	155000	Ya nos saludó nuestro compatriota Arlequin, un fijo, un oyente fijo.
156000	162680	La querida Paulina, como siempre, preanunciando que arranca Maga, porque Maga es comunidad, Maga es patria.
162680	165040	Maga es comunidad organizada.
166840	172940	Y no hace falta, a ver, porque yo sé, viste, acá muchos, muchos, hoy algunos se enojaron, viste,
173180	177420	hincha de River, qué sé yo, pero a ver, yo quiero hacer una aclaración
177420	180800	ante arrancar este programa, porque hay algunas confusiones, ¿no?
181960	184980	Yo esto lo digo siempre igual, pero a veces la confusión persiste.
185020	187920	Y la confusión no es mala, a la confusión hay que protegerla.
188240	190700	Si vos proteges la confusión, la confusión te protege a vos.
191860	192260	Funciona así.
193720	199700	Yo lo que les quiero decir es, para escuchar este programa, este programa no tiene prerequisitos.
201240	204660	No es que este es un programa que no te tiene que, no sé, interesar la política.
205340	207060	No te tiene que interesar el fútbol.
207140	209000	Hoy, por supuesto, vamos a hablar del partido de ayer.
209620	214060	Por supuesto, porque no hay otro tema, porque eso es lo que le sucede espiritualmente a la Argentina,
214180	217280	pero nosotros hablamos de lo que necesita la Argentina, ¿sí?
217280	221320	Y no de lo que nosotros queremos que le pase, no es al revés el orden, ¿entendés?
222240	225320	Nosotros seguimos los comandos espirituales de la patria.
226140	227520	¿Y qué quiero decirle con esto?
228100	230480	No hace falta que te guste el fútbol.
230560	233280	Yo esto lo he dicho cientos de veces para hablar de fútbol.
233700	237780	No hace falta, quiero, es más, quiero atacar sobre todo un concepto.
237940	240580	El concepto entender de fútbol.
241260	244060	Es mentira entender de fútbol.
244720	245780	Es mentira.
245780	246840	¿Saben qué?
247080	255020	Las cosas más lindas del fútbol y de la política son justamente que cualquiera puede hablar de esos temas.
256160	256880	¿Me siguen?
258260	259040	¿Me siguen lo que digo?
259540	260020	Cualquiera.
260940	261420	Cualquiera.
261860	265720	A ver, en política está el que sabe más, sabe menos, sabe poco.
265980	268980	Ahora, vamos todos a votar y vale lo mismo lo votos, ¿eh?
269260	270840	Y te la tenés que aguantar.
271260	275360	A la gente a la que no le gusta eso, a la gente que siempre habla
275360	277180	de algún tipo de pedestal académico.
277260	281940	O sea, cuando en una discusión uno le dice al otro, no pasa que vos no sabés, vos sos un ignorante.
282400	287880	A ver, no hay nada más gorila que mandar un interlocutor a leer.
288720	290580	Ubican eso, ubican ese remate.
290760	293000	Digo, no, anda a leer, ¿por qué no lees un libro?
294020	294460	Gorila.
295660	297680	Gorila, sos un gorila.
298780	299220	Aceptalo.
299740	301100	Capaz estás a tiempo igual, ¿eh?
301100	303160	Se puede recuperar, el gorilismo se recupera.
303160	307240	No es como el trosquismo que pasa a los 18 años ya es medio, es irreversible.
307480	311800	Si sos positivo, trosquista en sangre, pos 18 de adulto, ya estás complicado.
311980	313680	Médicamente estás complicado, ¿eh?
314260	316440	Acá me informa Maxim, mira lo que es MAGA, loco.
316860	320320	Llegaron audios para MAGA antes del programa.
320820	321500	Es así.
321840	323280	Los compatriotas quieren hablar.
324020	326900	Voy a decir el WhatsApp una vez para que manden, ¿eh?
326900	329260	Pero, pero, asumo que ya lo saben.
329760	332160	11-3-9-3-9-88-88.
332940	333200	¿Sí?
333380	336160	11-3-9-3-9-88-88.
336940	337900	Yo vuelvo a este concepto.
338960	340200	Vuelvo al concepto.
340280	344640	No hay nada más gorila que que te moleste.
344960	349580	Que para que la gente pueda hablar, tenga que saber, ¿saber qué?
350680	355060	¿Vos cree que porque entraste dos veces a Wikipedia y googleaste algo,
355060	357460	tenés autoridad académica o moral para hablar de la cosa?
357500	357900	No.
358580	358840	No.
359500	362920	Y yo te lo he dicho muchas veces, hay gente que por creer que no sabe de fútbol,
363140	365380	abro comillas, cierro comillas en este estudio,
366200	368640	se queda afuera de los temas.
369080	372460	Se están perdiendo de participar de algo tan hermoso
372460	375080	como todos los hechos metafísicos de nuestra república.
375420	376820	Y se pierden porque creen que...
376820	379360	Porque alguien los convenció de que no podían opinar.
379980	383220	Este programa de lo último que se trata es de un partido de fútbol.
383220	386280	Este programa se trata de fuerzas telúricas
386280	388740	que chocan desde los cimientos de nuestra patria
388740	390980	y configuran nuestra argentinidad.
392840	397520	Acaba de ingresar al estudio la directora de este medio.
397960	400160	La directora de Nacional Rock.
400460	404300	Y permítanme decirles algunas cosas antes de por supuesto darle la palabra a ella.
404940	408360	Permítanme decirles, compatriotas, contribuyentes,
408920	410120	que este es un logro histórico.
411040	413640	Este es un logro histórico, vos acá tenés.
413800	414960	A ver, perdón.
415560	417920	Extorsión, quiere decir extorsión.
418240	418700	¿Hora qué tal?
419000	423780	¿Cuántas veces vos como oyente tuviste la posibilidad
423780	427120	de hablar mano a mano con la persona que decide?
428120	431840	O sea, no simulaciones de poder,
431960	434560	sino la persona que garantiza que las cosas se hagan.
435640	439320	A ver, 11-39-39, 88-88.
439320	441420	Vos si hoy mandás un audio,
441860	444200	te escucha la dueña del circo, ¿entendés lo que te digo?
445020	447780	Lo de la dueña es tan Mirta Legrand que...
447780	449660	Ahí tenés Argentina, Rebord.
450260	452640	No, esto es de todes.
452800	454360	Son tus contribuyentes.
454940	455700	Yo no tengo nada que...
455700	460320	Yo solo tuve el acierto, el tine de un día mandarte un mensaje.
461300	462520	Y ahí empezó otra historia.
462940	467780	Esa voz que escuchan, esa voz es la voz de quien decide.
469120	471060	La voz de mando.
471220	472040	Vos mandás un audio.
472180	475800	O sea, es casi lo mismo que hablar con Alberto Fernández hoy.
475880	476380	¿Entendés lo que te digo?
476840	477700	Igual, lo mismo.
477880	478800	Me lo decís a mí, llega.
478900	479720	Le llega, así de toque.
479740	480900	Vos mandás un audio.
481140	483600	Es tipo, Miki, ¿por qué no recuperamos la hidrovía?
483700	484340	Lo hace.
484540	485500	Toma pa' vos la hidrovía.
485620	486400	¿Querés hidrovía?
486600	487580	Tenés hidrovía.
487580	487880	Ahí está.
488120	488680	¿Querés Twitch?
489420	489920	Ay, espera.
490740	491900	Por ahí te vi una noticia.
492080	492420	No sé.
493300	493660	Mirá.
494280	495620	¿Ustedes creen que es coincidencia?
495800	497260	No, no es coincidencia.
497260	499720	Esto lo logran los contribuyentes, los compatriotas.
499760	504140	Esto lo logra que en todos los rincones de la Argentina arrancan los lunes y la gente
504140	506640	se pone de pie a cantar el himno para MAGA.
