start	end	text
6080	10360	La pelota lo... la pelota lo se mancha.
10940	11740	¡Carajo, mierda!
12400	13200	¡Carajo, mierda!
13680	17640	Se van a remontar a la distraertófera.
17920	19400	Usted tiene que arrepentirse de lo que dijo.
19420	20180	No, no me voy a arrepentirse.
20200	22200	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22220	24720	¡Ay, si querés llorar, llora, papi, papi! ¡Por favor, no!
26340	27140	¡Ay, papi!
28480	30380	¡Sin diputados, hermano!
30700	32460	Solamente que tenga temor a Dios.
33520	35080	Y a mí, en todo caso, también un poquito.
35420	36780	¡Pará, pará, pará, pará, pará!
37440	39420	Con 15 pesos me hago alto guiso.
49840	52260	Bienvenidos, bienvenidas, compatriotas.
52280	55040	¡Al fin, al fin hay Maga!
55520	57500	¡Al fin es lunes!
57960	60180	Eso, ahora, mirá cómo cambió, ¿no?
60180	62140	Ahora todo el país repite eso cuando hay Maga.
62360	63380	¡Al fin es lunes!
63620	65400	La gente grita por las calles.
65640	66360	¡Es lunes!
66740	69440	O desde sus aislamientos respectivos, ¡es lunes!
69460	71440	Salen a los balcones y gritan ¡es lunes!
71940	73040	Y hay Maga.
74280	76260	Bienvenidos y bienvenidas.
77580	80400	Hay que contrastar porque el clima está bastante bajonero.
81040	83660	Entonces, a mí yo ya se lo he dicho miles de veces.
83660	85040	A mí Maga me hace bien.
85500	88620	Yo puedo estar teniendo un día de mierda, un fin de semana de mierda,
88760	92860	pero sé que nos encontramos acá, sé que hablamos y sé que no...
92860	96080	O sea, es lo más lindo que tiene, ¿no?
96080	99060	Las concepciones de los grandes símbolos nacionales también,
99280	104360	estos encuentros, el tejido comunitario de algo que es más grande que nosotros mismos.
104760	110500	El pertenecer a algo, a lo que sea que sea algo.
110500	114200	En estos tiempos donde nada es estático, nada permanece,
114420	119660	todas las identidades son líquidas, son sectoriales, son superficiales,
120240	122340	son tremendamente segmentadas, ¿no?
122340	125820	Es como si vos militás una causa, no podés militar otras.
126040	128060	Y quizás hay cosas más amplias,
128140	131460	quizás hay cosas que hacen a la grandeza nacional,
131920	136260	que están interconectadas, que se contradicen, que se complementan.
137380	141140	Así como para arrancar, para reflexionar, para pensar.
141680	144120	Estoy viendo a Diana en los controles en la operación,
144160	147520	hoy es el día del operador, así que le deseamos un muy feliz día
147520	150820	a Diana y a Pepín Rodríguez, ¿no?
151060	155260	O de operadores en general, Simón Pepín Rodríguez, todo lo que sea...
156000	157220	Fíjate qué cosa, ¿no?
157220	162520	O sea, el enemigo de turno se llama Pepín, boludo.
163160	165880	¿Cómo puede ser? O sea, ¿cómo pasa eso?
166460	168980	¿Y por qué no es... Viste que no tiene ese peso específico?
169020	172460	Porque vos acá en Argentina naturalizás la magia,
172840	175320	naturalizás el estado de excepción permanente en el que vivimos.
175440	178700	Entonces vos tenés un nemesis que se llama Pepín y te parece normal.
178840	181600	Te dices, oh, el malvado Pepín, sí, su régimen tiránico.
181940	183720	¿Sabes a qué me hace acordar?
184440	187720	Uy, la referencia que les voy a tirar ahora, les voy a romper la cabeza.
187860	189580	¿Sabes a qué me hace acordar lo de Pepín?
190580	192500	A una película fabulosa.
193020	194460	No la van a tener, esta referencia, ¿eh?
194460	197180	Es una cosa muy rara, muy de mi infancia.
197460	202440	Cuando piensen qué armó mi humor, viste, cuando vos tenés tu sistema elímbico
202440	207060	no armado todavía y estás así preso de tus estímulos y emociones,
207140	211400	estás en la caverna platónica de tu conformación de personalidad viendo sombras,
211760	218980	ahí entró esta película Kung-Pow, el maestro de la Kung-Fusion latín.
220360	224940	Me miran con una mezcla entre decepción y hastío mi equipo de producción.
225160	228540	O sea, es una cosa como, bueno, otra vez a la semana hay que hacer esto, ¿viste?
229180	231980	Un feriado, felices de estar acá, ¿o no?
233480	235020	Alegría, sí, señor.
235500	239020	Kung, pará, atención, no me dejen de dar bola tan rápido.
239440	248720	Kung-Pow, ojo, no es Kung-Fusion, no es esa otra que fue después un intento tardío
248720	253180	porque van a decir, ah, sí, Kung-Fusion es una mierda, no, no, no, no, no.
253400	254720	Yo estoy hablando de Kung-Pow.
255720	259440	Mira, ni siquiera sabía que iba a hablar de esto, por eso me gusta MAGA, ¿entendés?
259460	263220	Porque hablamos, hablamos, así esto es un diálogo es bilateral, es recíproco
263220	265520	y nos nutrimos de cosas que ni siquiera esperamos que estén ahí.
266560	270400	Si hubiera sabido que iba a hablar de Kung-Pow, el maestro de la Kung-Fusion,
270720	275000	lo habría preparado bien para no faltarle el respeto a esa obra maestra del séptimo arte.
275680	280620	Es una película increíble, yo la vi de chico, era pequeño y quedé fascinado,
280700	284360	quedé cautivado porque la hace un comediante yankee, no me acuerdo su nombre,
284920	288720	pero agarra una película vieja de artes marciales, real, original,
289220	293240	y le doble a voces encima y se mete a él mismo en las escenas.
293460	297140	O sea, básicamente era un Marito Baracus de una película,
298380	301340	qué infumable Marito Baracus, por favor, no lo aguanto más,
301340	305000	me parece una cosa, cada vez que me pasa en un vídeo, esto es una mierda,
305140	309300	esto es como que dejó de ser gracioso hace 4.000 años, ¿entendés?
309640	314220	El otro día vi que, yo no lo puedo creer, el otro día con Sus veíamos que,
314280	320220	creo que en Flow el tipo tiene toda una saga de Peppa Pig y chistes de porongas,
320500	329340	qué te pasa, boludo, o sea, qué estás necesitando decir, ¿entendés?
329340	334320	O sea, si vos tenés un fetiche falocéntrico, o sea, si querés hablar de pijas todo el día,
334580	336180	capaz lo puedes hacer libremente, ¿entendés?
336180	341520	No recubierto en capas de un humor que no hace reír a nadie como para poder aceptar,
341560	343800	igual que si yo, que uno se ríe con lo que quiere, ¿no?
344000	347100	Volviendo a lo que a mí me hace reír, que es Kung-Pow, el maestro de la Kung-Fusion,
347560	350220	por favor miren esa película, me la acabo de acordar, la voy a volver a ver,
350440	353420	la voy a buscar y voy a ver, debe ser inincontrable esta película aparte,
353540	357420	y me acordé porque es igual que lo de Pepín,
357420	360840	esa película tiene para mí uno de los mejores chistes de la historia,
361400	366460	que es el malo, el malo de la película en un momento se presenta a sí mismo
366460	370620	y de forma completamente out of context, el chabón agarra y dice
370620	373720	a partir de ahora quiero que me llamen Betty,
374600	378620	y vos y tenés como que te van los tobillos, yo no entendí nada,
379000	382660	esta película no sé de qué año es, pero yo tenía, la estaba viendo con 7 años
382660	387140	y cuando el tipo pidió que lo llamen Betty, a mí me explotó la cabeza en mil pedazos,
388020	392140	así que les dejo, mira, ya arrancamos, un par de rebordemendaciones
392140	394420	para arrancar Kung-Pow, el maestro de la Kung-Fusion,
394620	397560	y quiero hablarles de otra cosa que me tiene muy orgulloso, voy a hablar de esto,
397880	403100	voy a hablar de esto, que es, apenas entre mi productor Maxi,
403140	406060	también está Flor, que está de forma remota, me dijo,
406200	408980	por favor pedidle a la gente de Maga que se calme,
409220	412800	porque yo llego a la radio a las 5 de la tarde y ya hay audios para Maga,
412800	417460	y yo le dije, Maxi, ¿de qué estás hablando?, ¿de qué hablas Maxi?,
417460	419760	y me dice, hay audios para Maga, o sea, imaginen esto,
419820	422240	vos sos otro programa acá en Nacional Rocket,
423120	425880	y otros operadores tienen que lidiar con audios para Maga,
426020	429660	y esto a mí me enorgullece, me enorgullece, yo no voy a, obviamente,
430220	433340	voy a cagarme en lo que me pide mi productor, que me está mirando acá por la puerta,
433980	437800	me está mirando, insisto, recrudece su mirada de decepción y hastío,
438280	441840	porque yo jamás les pediría que paren, yo lo único que les puedo pedir es que profundicen,
441840	443720	porque están haciendo grande a la Argentina,
444460	447300	voy a pasar un audio que llegó a las 5 de la tarde,
447640	451340	si lo tenemos ahí, quiero escuchar un audio, un contribuyente de las 5 de la tarde,
451400	452220	a ver qué tiene para decir.
452260	455120	Buenas Rebord, otra vez un audio endiferido,
455360	458120	como siempre yo te escucho endiferido, nunca te voy a escuchar en vivo,
458560	460400	porque me gusta escucharte una semana después,
460420	461840	a ver si tus predicciones fueron acertadas.
463960	466840	Querido Rebord, siempre te pido que veas la película Un Buen Día,
467900	471600	mirá la película Un Buen Día, por favor, te va a gustar,
471740	475940	y vas a hablar mucho de ella, es la mejor película de todas, te lo aseguro,
476460	477520	el tiempo es todo el tiempo.
479160	481660	Mirá que dijo el tiempo es todo el tiempo, no conozco Un Buen Día,
482000	484160	pero hay un par de personas que me escriben para que vea Un Buen Día,
484260	487920	no sé qué mierda es, pero bueno, qué sé yo, insisten, acá Diana dice que no,
487960	490200	rotundamente dice, no les dé bola, por favor no lo hagas,
490300	492860	y eso como que me intriga un poco, quizás me incita a hacerlo,
493320	496640	porque no sé qué es, que dijo, todo el tiempo es todo el tiempo,
496640	498680	pero dijo una cosa así, ¿no? No lo entendí,
498840	503140	pero me hace acordar a uno de los textos de Borges,
503660	506220	cuando habla de una de las presencias de Dios,
506700	509200	que Dios es una gran esfera, cuyo centro está en todas partes,
509260	511540	pero su circunferencia en ninguna, ¿no?
511660	513460	Hay algo ahí en lo que dijo este contribuyente,
513500	515460	y esto que acabo de citar en forma out of context,
516240	521580	y fíjate qué simetría astral que el primer oyente de las cinco de la tarde,
521700	523620	momento en que no está siendo emitido,
523620	527240	habla de una recomendación fílmica, me reinteresa esto,
527340	529740	ustedes saben, a mí me encanta, me encanta el cine,
530440	533180	me encanta leer, me encanta decir que estoy leyendo poco ahora,
533260	536480	porque me cuesta, me cuesta el estado de concentración de lectura,
536680	539520	pero qué sé yo, este fin de semana vi una buena cantidad de cosas,
539580	542440	después les voy a contar si les interesa y podemos hablar de eso,
543400	546300	también, también, y lo dije y lo reitero,
546420	550720	quiero cursar una felicitación, una epístola,
550840	552760	una epístola a las distintas corresponsales,
552760	555220	porque ustedes saben que acá, en este estudio,
555260	558380	hemos inaugurado los observatorios de Lagob,
558560	560600	para hacer a la Argentina grande otra vez,
562420	567660	y florecieron seccionales, pero como frutos silvestres,
567920	569440	en toda la República Argentina,
569860	571940	y los quiero felicitar porque están,
572280	575040	yo lo último que quiero es ser una moda pasajera, ¿se entiende?
575160	577460	No vamos, no nos van a borrar acá,
577520	579780	no es otra cosa que cambia de época, cambia estación,
579780	582020	porque nosotros tenemos la obstinación,
582160	585240	el grado de locura necesario y el estadio de enajenación,
585480	587480	para seguir militando en nuestras propias causas,
587700	590040	y fíjate si no lo haríamos con una que es la más central de todas,
590120	591480	la grandeza de nuestra patria.
592220	593780	En todo el país están abriendo seccionales,
594560	595440	seccionales del Lagob,
595920	597800	los quiero felicitar a los compañeros de
599080	602020	arrobaagob5, en Twitter, arrobaagob5,
602640	604000	armaron un perfilazo,
604460	606680	estas cosas que arrancan como yo no sé ni quiénes son, eh,
607140	608960	pero no importa, no necesitamos saber quiénes somos,
608960	611480	no somos compatriotas, entonces yo no sé ni quiénes son,
611960	614900	pero fue así una llamada al público, a la patria,
615080	617920	y respondieron, y están abriendo seccionales de todas partes,
618260	621180	y yo lo que quiero también es darles un mensaje de responsabilidad,
621680	624200	porque no podemos darnos el lujo de tener después
624200	625500	cascarones vacíos por ahí,
625620	627940	y los compañeros de arrobaagob5
627940	629980	están haciendo una recopilación
629980	631900	de momentos históricos de la Argentina,
632060	633500	de hechos de máxima mística,
633880	635960	de hechos donde se
635960	637520	adivina la fineza,
637820	640960	que a mí me vuelve loco, eso es hacer a la Argentina grande otra vez.
641900	643860	Ustedes recuerdan que los observatorios del Lagob
643860	646940	fueron abiertos para monitorear
646940	649220	los hechos de
649220	651700	impacto metafísico en la República Argentina,
651760	653400	entonces cuando sucede uno de estos hechos,
653820	655740	alguna central del Lagob lo levanta.
655940	659140	Bueno, los compañeros de arrobaagob5 quedaron con la,
659160	660800	son, son Lagob nacional, ¿no?,
660800	662580	porque fueron los primeros,
662660	665160	pero ya abrieron seccionales en la plata,
665160	667460	bueno, la plata está disputada, me escribió gente que
667460	669420	que no responde, que son líneas paralelas,
669700	671440	no sé qué poronga pasa en la plata, no sé si son las
671440	673500	diagonales o las pollagerías,
673540	675300	no sé qué mierda les pasa en la plata, pero
675300	677580	cualquier cosa que tirás le, le arman una interna,
677760	678980	o sea, vos tirás un ladrillo
678980	681260	a la plata y tiene tres internas, es así,
681780	683160	así que no sé, ahí armarán,
684180	685420	tendrán que armar a Hagob
685420	687580	a Sopardo, Hagob de los Argentinos,
687920	689380	hay que ver cómo carajo lo resuelven.
689660	691700	Yo les sugerí lo más sano, lo más democrático,
691800	693360	que es resolverlo con armas de fuego
693360	696120	en su central capital, básicamente.
696580	697840	Pero en serio, lo quería felicitar
697840	699380	porque fueron excepcionales, tenemos,
699640	701160	sí, Maxi siempre me muestra
701160	703620	la batería de audios que caen, yo voy a decir
703620	705380	el WhatsApp, lo digo todos los programas,
705420	707560	pero cada vez, la verdad, es más alegremente
707560	709420	innecesario hacerlo, 11
709420	711340	39 39, 88
711340	713500	88, pásame algún audio, si tenemos
713500	715280	ahí a mano, a ver si quiero escuchar
715280	716360	con Patriotas.
716980	719640	Hola Reborn, te di negativo en el istopado,
719920	721340	y ahora vamos a cocinar el locro
721340	723480	para mañana, escuchando
723480	725060	Maga, ya está,
725420	727420	vamos a ser grandes, el argentino otra vez,
727580	729520	la re puta madre que lo revilparió,
729720	730820	¡Viva Perón, carajo!
730980	732980	¡Viva Perón, compatriote, viva la patria!
733020	735160	¡Qué lindo, qué contexto de programa
736080	737120	hermoso, cocinando
737120	739660	locros para mañana, qué rico el locro!
740000	741200	Sí, y ustedes, había
741200	742980	tanta gente, y pensar,
743180	744660	y pensar que hubo gente,
745280	746640	gente que quiere una patria pequeña,
747060	749360	que me decía, pero eso hoy es feriado,
750940	752320	escuchame una cosa,
752680	754200	vos te pensás que, ya lo dije,
754340	755820	pero lo reitero, vos te pensás que San
