start	end	text
6040	10320	La pelota lo... la pelota lo se marcha.
10980	11780	¡Carajo, mierda!
12500	13300	¡Carajo, mierda!
13700	17620	Se van a remontar a la extranjera.
17920	19380	Usted tiene que arrepentirse de lo que dijo.
19420	20180	No, no me voy a arrepentirse.
20180	22220	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22240	25020	¡Ay, si querés llorar, llora, papi, papi, por favor! ¡No, no, no!
25920	26720	¡Vaya bien!
28620	29720	Sin disputar, mi hermano.
30800	32380	Solamente que tenga temor a Dios.
33460	35040	Y a mí, en todo caso, también un poquito.
35240	37080	¡Pará, pará, pará, pará, pará!
37380	39340	Con 15 pesos me hago alto guiso.
49240	52680	Buenas, buenas. ¿Cómo andan? ¿Cómo andan, compatriotas?
52740	55420	¡Uy! ¡Uy! ¡Sienten ese frío!
55420	57220	¡Qué fresca, no!
59260	62740	¡Qué frío que tenemos en el pecho, no!
63000	64180	¿Cómo andan? ¿Cómo no?
64600	67060	Los bosteros tenemos como... ¿Qué está pasando?
67460	70180	¡Hay un frescor! ¡Sí, sí, sí! ¡Hay algo!
71240	73360	¿Qué será, no? ¿Qué es eso?
75200	76920	¿Cómo andan, compatriotas?
76920	78240	Yo estoy como el orto.
78820	81380	Antes de que me anden áudios, yo les voy a contar cómo estoy.
81860	83620	Vieron que aparte no hay muchas opciones
83620	86300	en un programa de una sola persona, ¿no?
86300	87360	Eso es interesante, ¿viste?
87380	90820	La gente que ve a veces tele, escucha radio,
91140	92580	o lo que reporonga sea,
93300	94740	una vez se tiene como en cualquier cosa.
95240	96640	En cualquier rubro no tiende a olvidarse
96640	97940	que el otro lado hay humanos.
99020	101480	Pero bueno, este es un programa que se hace desnudo, ¿viste?
101540	104400	Literal. Ustedes saben, yo en el estudio estoy completamente desnudo.
104580	107440	Es lo cual incomoda a nuestro equipo de trabajo,
107640	111620	a Diana, la operadora, a Max y incluso a Flora en su casa.
111620	114060	Y como yo les muestro mi alma,
115780	117800	la verdad es que no se me ocurre otra manera de arrancar
117800	118660	que contarles cómo estoy.
118680	120760	Yo estoy como el orto.
121780	123800	No solo por el Boca Racing,
124280	125660	que ya por supuesto vamos a hablar de eso,
125700	128120	vamos a hablar de la derrota de Boca,
128680	130620	sino también, se me juntaron un par de cosas.
130800	133100	Yo estoy haciendo, estoy con mi casa en obra.
134220	136020	Estoy cambiando el piso de mi casa,
136120	137800	que estaba hecho mierda hace mil años.
138580	140260	Y estoy en un estado de guerra
140260	142980	con los mismos obreros que están trabajando en mi casa,
143040	145360	cosa que siempre está desaconsejado, ¿viste?
145400	147800	O sea, es muy, es tácticamente muy malo.
148660	150620	Pero me, como diría Roberto Navarro,
150640	151820	me toman por boludo, ¿viste?
151860	153880	Entonces ya me puteo una vez con el jefe de ellos.
154080	155940	En realidad no tanto con ellos, con ellos está todo bien.
156020	158460	Pero el jefe de ellos es un ladri, es un ladri total.
159020	160400	Y entonces me quiere mandar piezas de madera
160400	162560	que no son las de mi piso y tengo que pelear.
162740	164000	Y todos te tienen que pelear, ¿viste?
164020	164940	Todos te tienen que pelear.
165240	166500	No puedo dormir en mi casa
166500	169240	porque el olor a plástico te funde.
169540	169780	Entonces, ¿no?
170100	171520	Estoy en lo de mi vieja.
171880	173980	Estoy, como Diego Peretti en No Sos Vos Soy Yo,
173980	176400	¿viste? Volviendo derrotado a la casa de mi hijo.
176620	177320	Estoy solo.
177820	178480	Estoy solo.
179360	181980	Solo, triste, afuera de la copa.
182260	184420	Estoy, hace unos días choqué el auto.
184640	185660	Esto no lo dije en ningún lado.
186040	187000	Hace unos días choqué el auto.
188720	189940	Todo el mundo se está enterando acá.
189960	191060	No le conté a nadie esto, ¿eh?
191260	193520	Estaba volviendo de caricias.
194140	195100	Estaba volviendo de caricias.
195960	197100	Y casi mato un rapi.
197800	200220	Un rapi se me estroló con la moto en el auto.
201260	202480	Está bien, igual, el loco, ¿viste?
202540	204100	O sea, yo me bajé el auto, por supuesto, preocupado.
205820	207540	Ayudé a mi compatriota.
208400	209100	Y juntos, ¿viste?
209980	212840	Tratamos de sacar el país adelante, como en este programa.
213920	214400	Es así.
214560	217540	Bueno, medio que, claro, mis conflictos hoy
217540	220280	son con obreros y con repartidores.
220520	221460	Soy básicamente Macri.
221580	223240	Hoy soy muy parecido a Mauricio Macri.
223240	225580	O sea, tengo todos conflictos con laburantes, nada más.
226880	228700	Y el resultado es un estado de...
228700	230240	Estoy completamente pasado.
230240	230700	Pasado.
230800	232600	Para que sepan, hoy vi el partido,
233080	235960	lo vi casi que atando cables pelados
235960	237400	en un estado...
237400	239120	La casa era Kosovo, básicamente.
239780	243560	Me senté inventando una conjunción de muebles que no existía
243560	246300	para poder ver ese partido de mierda.
246440	248580	Ese partido de mierda.
249140	251020	Así que ese es mi estado de ánimo.
251020	253580	Y en medio de eso tenía que empezar un programa, ¿viste?
253660	256040	Para ver de qué garcha hablamos.
256360	256860	Pero bueno.
257880	258860	Así funciona MAGA.
259020	259980	Así es este programa.
260420	263400	Y yo confío en lo que hemos construido,
263540	265180	en nuestro tejido humano.
265900	267540	Al cual, la verdad, no tengo nada que ocultarle.
267700	269000	Yo prefiero hacerlo así.
269060	272140	Yo prefiero hacer mis programas
272140	274160	con mi corazón en la mesa.
274720	277320	El corazón latiendo en esta mesa.
278100	280760	Hoy soy el fracaso.
280760	284180	Este programa está hecho desde el fracaso.
285860	286880	¿Y ustedes cómo están?
287780	288680	Pueden también contarme.
288760	289340	Mándenme un audio.
289640	293280	Mándenme un audio al 11-39-39-88-88.
293840	296720	Yo estuve leyendo, por supuesto, sus mensajes antes.
297140	299100	En Twitter, en Instagram, me escriben a veces.
299220	300180	Cosas de las que quieren hablar.
300460	301660	Hay cosas de las que tenemos que hablar.
301760	303820	Por supuesto, el Boca Racing hay que hablar.
304520	306560	Porque yo vi cosas en ese partido.
307080	307680	Vi cosas.
308160	309100	Que las vamos a charlar acá.
309160	310060	No en otro lado.
310060	311360	Esto no se lo van a pasar después
311360	314160	en los programas deportivos de la garcha.
314300	314700	No sé qué.
316040	316440	Esto, ¿viste?
316800	317720	La verdad es así.
318000	319940	La verdad aparece en lugares enigmáticos.
320440	321920	Hay que hablar de la Copa América también.
322580	322580	
323000	324020	Y perdón por esto, ¿viste?
324100	325060	Mucha gente, a veces hay gente que,
325660	326840	insisto, con este error común,
326900	328220	cree que no le gusta el fútbol.
328360	329780	Y yo acá no hablo de fútbol.
330080	331760	¿Quieren escuchar hablar de fútbol?
332100	333860	Pongan esos programas deportivos de mierda.
334340	335820	Nosotros acá hablamos de otras cuestiones.
335860	336960	Hablamos de la filosofía.
336960	339140	Hablamos de los duelos espirituales
339140	341300	que se dan circunstancialmente
341300	342920	en canchas de fútbol.
343020	345060	Pero pueden presentarse en cualquier otro lado.
346000	348260	De hecho, solo un idiota puede creer
348260	350800	que en la Copa América hay solo personas
350800	352220	jugando a la pelota.
352340	354180	Eso no está ni cerca de ser lo que está pasando.
354840	356240	Hay una pregunta ahí en cabina.
356460	357600	¿Tenemos audios ya?
357820	357960	¿O todavía?
358900	359200	Sí, ya.
359300	360900	Pásame algún audio así.
361160	361480	Para abrir.
361860	362520	Para abrir el micrófono.
362820	364360	Un equipo de moda, equipo de revolt.
364360	364980	Sí.
365320	366360	Espero que...
366900	367100	Nada.
367320	367980	Me pierdo.
368240	369880	No puedo hacer grande la Argentina de vuelta
369880	371220	porque hoy juega independiente.
371680	372520	Está jugando ahora.
373100	374420	Estaré escuchando el programa en vivo.
374620	375860	Seguramente lo escucharé en diferido.
376560	378360	Pero necesitan mucha fuerza, compañeros.
380420	382520	El destino dice que vamos a hacer
382520	383560	grande de vuelta este país.
384140	385920	Y pasé gracias a Maga.
386780	388060	Está perfecto, compatriota.
388120	389520	Hay gente que escucha en diferido.
389860	391720	Acá lo que pasa es simple.
391720	394480	Este programa es el llamado,
394960	396680	de calling, la vocación
396680	398600	de hacer grande a nuestra patria.
399320	400640	Y por lo pronto te exige una horita
400640	401380	de concentración.
401440	402820	Incluso si no sabes a dónde va,
403260	404420	el programa este hace eso.
405980	407100	En algunas cosas,
407760	409480	y cuando digo algunas cosas quiero decir en todas,
409640	411080	es exactamente igual a la terapia.
411380	412020	Exactamente igual.
412280	413140	No sé qué estás haciendo,
413260	414320	no sé por qué le das plata a alguien.
414480	415020	Acá lo mismo.
415100	416100	Ustedes no saben por qué me pagan a mí,
416120	416600	pero lo hacen.
416660	417600	Quiero que sepan que lo hacen.
417700	418380	Ustedes me pagan.
419480	421000	Y se embarcan en un viaje
421000	422680	cuyo destino no está del todo claro.
423040	424080	Pero bueno, lo hacen.
424200	425360	Lo hacen bajo qué convicción,
425380	426600	la de hacer a la Argentina grande.
427040	428400	Hay veces que son oyentes en vivo,
428480	429360	hay veces que son en diferido.
429400	430020	No pasa nada.
430100	432220	En el momento en el que ustedes se conectan con esto,
432740	434200	son un tiempo,
434620	435840	un momento de su tiempo,
435880	438040	que dedican a la reflexión para aumentar
438040	439540	los poderes de la argentinidad.
439980	440840	Así que no hay problema.
440920	441700	Si está viendo Independiente,
441720	442860	me dicen que sigue perdiendo.
443240	443800	Es una lástima,
443900	445000	porque yo ahora quiero ver el clásico,
445580	447180	quiero ver Independiente Racing en la final.
447640	449060	Sería como un duelo de antifútbol.
449940	451260	Un Independiente Racing,
451400	453460	yo creo que son capaces de...
453460	455200	Viste que la copa es como que se va degradando.
455260	456280	Cada vez se mueven menos.
456660	458560	Yo de verdad creo que la final de esta copa
458560	460000	van a estar solo parados.
460460	461600	Va a arrancar el partido,
461720	463520	van a quedarse todos parados mirándose fijo
463520	464580	como un duelo de miradas.
466400	468060	Hasta que pasen los 90 minutos.
468260	471040	O sea, esperar 90 minutos mirando fijo al otro
471040	471900	a ver si pestañea.
472280	473060	El que pestañea pierde.
473740	474880	Así es esta copa.
475660	477660	Y que nadie crea que le estoy bajando el precio.
477660	478780	Porque ahora ya...
478780	480780	No me quieran acusar de sacar los pies del plato.
481000	482160	Yo quería ganar esta copa,
482180	484560	pero me moría por ganar esta copa de mierda.
485120	485980	Me importaba.
486340	487920	Escuchemos otro compatriota.
490340	491540	Hola compatriotas.
491740	492060	Tommy.
493200	493800	Acá.
494140	494940	Tommy de Twitter.
495080	497360	El de la escapada de tortura de Alberto.
497740	498520	No lo puedo creer.
498560	499500	Sigo caliente.
500140	501800	Como no entendió Alberto.
502200	504380	La importancia de la Copa América.
505300	506780	La señal de los Spirits.
506780	509200	Que sacaron a Colombia el camino.
510800	515320	Era la oportunidad para devolverle la felicidad a la patria.
515500	517060	Para hacer a la Argentina grande otra vez.
517120	517740	Que difícil.
517980	519220	Messi campeón.
519440	521420	Twitch con Agüero en pedo después.
521460	521780	Que difícil.
522520	523700	Bardeando a Bolsonaro.
523940	525980	Traer a Brasil acá y robarles en la cara.
526020	526900	En la cara, boludo.
527180	528420	A Chile, todos.
528420	528860	A todos.
528960	529740	Chile, especialmente a Chile.
529740	531040	Y ahora no tenemos nada.
531780	533360	Nosotros que sufrimos más que nadie
533360	535900	con la muerte de Diego el año pasado.
535900	536900	No puedo entender.
536980	538180	Me pone mal, Tommy.
538200	541600	Le sirve en bandeja la oportunidad de crear más mística.
541660	544980	A Bolsonaro que ya está zarpadamente lleno de mística.
545000	546300	Dios, Dios, Dios.
546440	547280	No puedo entender.
549180	550800	Este programa ya se hace solo.
551640	552160	¿Lo notaron?
552240	553980	Viste cuando uno genera una doctrina.
555520	557600	Un conocimiento mutuo, recíproco.
557700	560020	Con una comunidad activa como la es la de Maga.
560100	562640	De hecho están todos los Agob movilizados en el país.
562760	563720	Están todos activos.
563920	564960	Este programa se hace solo.
565420	567760	Yo creo que antes de fin de año
567760	569960	acá llegamos a ser la gran Indio Solari.
