start	end	text
0	5900	Hay pan, pan, hay vino, vino sobre las cartas de la mesa.
6480	8560	¿Para qué cazó a esos pájaros? ¿Para qué?
8660	12000	Ahí tenían una jaula, un ablido y ese...
15780	18920	El problema es que la deuda es como la faropa.
19260	22040	Al principio es rica, pero después te mata.
23000	25180	Vos sabés que sí. Vos sabés que sí.
26480	27620	Vos sabés que sí.
27660	30920	Si esta copa es de leche, te la tomaste toda.
31380	33180	Te la tomaste toda, chingüengüencha.
33940	35540	No sabes ni hablar, brutos.
35800	36180	Váyale a estudiar.
37340	39980	Acaba de cortar la medicina porque metiste un cuchillo
39980	41280	y después te electrificaba, loca.
41560	43400	Ah, bueno. Ayúdame.
55620	57500	¿Cómo andan, compatriotas?
57540	60660	¿Cómo están? ¿Cómo están de todos los rincones de la patria?
61140	64600	Yo estoy bien, estoy feliz, estoy recibiendo sus mensajes
64600	66880	por todos los canales, todos los medios a disposición.
67460	70420	Vamos a sacarnos de encima una formalidad rápidamente
70420	73800	que es decir el número de esta emisora, porque a veces pasa.
73940	76400	Recién en Twitter uno me decía, ¿a dónde te puedo mandar mensaje?
76800	78080	Vamos a hacerlo una vez y pronto.
78680	80300	Ya sé que la mayoría de ustedes lo tienen,
81440	83540	pero permítanme acompañarlos en el proceso.
83540	85960	Cuando abran su celular, ponen a añadir contacto.
86040	89100	Ya pueden poner MAGA, MAGA NACIONAL ROCK, lo que se les cante.
89220	92120	Pueden de paso ya escribirle otro programa de esta emisora.
92640	99480	El número, atiéndanme, es 11-39-39-88-88.
100080	101940	Vamos de vuelta, vos que sos más lento con el celular.
102140	106600	11-39-39-88-88.
107620	108980	Espectacular, nadie puede pifiar.
109180	111280	Y nadie puede pifiar y de hecho siempre ya saben,
111280	114100	que recibimos audios antes, durante, después, es así.
114360	117440	MAGA es un acontecimiento, es la MECA,
117740	120460	alrededor de la cual nos juntamos distintos feligreses
120460	124200	de distintos rincones de la patria a hablar sobre lo que nos pasa
124200	127320	y a hablar, con mucha justeza,
127760	131180	de los hechos metafísicos que fueron agitando la brújula estos días.
131640	134540	Y hubo varios, y ustedes saben que hubo varios.
134920	137760	Así que ya pueden ir sumando sus opiniones.
137760	141620	Vamos a estar hablando, por supuesto, de la mística Zavalera,
141840	143820	el nuevo campeón del fútbol argentino.
144280	148560	La profundización encarnizada, hecha carne de Martín González,
148680	152220	que literalmente penetró una urna
152760	156000	para verter vino sobre las cenizas de sus familiares.
156060	161440	O sea, dígame si eso no es pelear sobre la tumba de nuestros ancestros.
161820	166720	O sea, fue mitología griega lo que ocurrió ahí en Santa Fe.
166720	170620	Vamos a hablar de eso, por supuesto, lo indicaban sus audios.
170860	174100	Vamos a estar hablando también de la renuncia de Carlitos Tevez
174100	176060	y la purga bostera.
176220	178420	Vamos a estar hablando de la fabulosa nota del Pata Medina.
178460	181400	Y vamos a ver también un poco esto de la producción de vacunas nacional,
181520	183140	que es algo que pocos países están haciendo.
183480	185920	Definitivamente eso hace grande a la Argentina otra vez.
186260	188720	Y se dice poco, porque debería decirse así, ¿viste?
189100	191000	Debería decirse en esos términos.
191200	193800	Debería anunciarse desde Casa Rosada diciendo
193800	196180	que nosotros somos mejores que otros países.
196480	198180	Que es lo que nadie quiere decir porque es como que queda mal.
198300	199920	Entonces, tener que decir, no, es un orgullo, ¿no?
200120	201780	No solo es un orgullo.
202000	204720	La República Argentina es más grande y poderosa
204720	207240	que ese otro país que la está viendo de visitante.
207820	212020	Y esas cosas, si bien a veces no se pueden decir desde la oficialidad pura,
212240	213520	nosotros sí las podemos decir.
213860	217920	Y por eso existe este programa que tiene, ya saben, una función pública.
217920	219920	Este programa es...
219920	222240	¿Viste cuando eras chiquito?
222540	225000	Cuando eras un niño, un pequeño, un sexy niño.
225160	227960	Estabas asustado, ahí estabas a la merced de tus emociones y sentidos.
228160	229820	Tenías miedo, lo que sea.
230360	232640	Y tus padres te decían, todo va a estar bien, ¿no?
232820	234940	Si tuviste suerte, te aseguraban, todo va a estar bien.
235180	239340	Bueno, este programa es ese reasegure para el adultes.
239760	239980	¿Viste?
240080	241960	O sea, ¿cuál es la diferencia entre la niñez y el adultes?
242060	243760	Que después vos creces y nadie te dice, todo va a estar bien.
243880	246060	Básicamente vos estás con cara de culo, tenés que ir a laburar igual.
246060	248280	Yo no estoy hablando de MAGA, por supuesto.
248400	250780	Estoy hablando de mis otros laburos como asesor de mística
250780	253160	de grandes corporaciones multinacionales.
253200	253320	¿Sí?
253640	255260	¿Sigan creyendo que estoy jodiendo? No lo estoy.
255420	257940	Ustedes saben, nunca hice un chiste en mi vida.
258660	261600	Maxi, del otro lado de la cabina, confirmenme si es cierto.
261900	264820	Me dicen que tenemos una persona en línea.
265320	268740	Me dicen que hay alguien que puede hablar y que va a hablar con ustedes.
269140	270720	Ustedes se preguntarán, ¿de quién estamos hablando?
271320	272720	Ustedes dirán, ¿a quién le va...?
272720	274960	O sea, ¿qué compatriota hablará en MAGA?
275680	277960	Yo creo, esto los va a sorprender,
278880	281960	pero en este programa vamos a darle voz porque es lo que corresponde,
281960	283360	es lo que hacemos con sus impuestos,
283900	286040	a las personas que hacen grande a este país.
286700	289040	Y hace unos minutos estaba hablando de Martín González,
289600	293440	la persona, el sabalero que rindió tributo a sus ancestros
293440	295240	con la victoria de Colón de Santa Fe.
296500	299100	Tengo en línea a Martín González.
299140	300840	Martín, ¿estás del otro lado? ¿Me escuchás?
301740	303200	¿Qué tal, Maxi? ¿Cómo estás?
303740	304580	¿Qué tal?
305120	306500	Vos estabas hablando con Maxi.
306600	307780	Mi nombre es Tomás.
307800	308460	Ah, perdón.
308460	309480	Pero eso no importa.
309640	310460	No, no, no, no.
310540	312180	Compatriota, eso acá no nos importa,
312400	314640	porque vos lo que estás hablando no es ni conmigo ni con Maxi.
314780	316700	Estás hablando con la República Argentina.
319000	319480	Buenas noches.
319480	319960	Yo...
319960	321420	¿Cómo están? Buenas noches.
322040	323380	Buenas noches a vos también.
324280	327160	Nosotros, yo te lo comento brevemente para que lo sepas,
