start	end	text
0	5900	Hay pan, pan, hay vino, vino sobre las cartas de la mesa.
6520	8560	¿Para qué cazó a esos pájaros? ¿Para qué?
8660	12000	Ahí tenían una jaula, un ablido y ese...
15780	18900	El problema es que la deuda es como la faropa.
19260	22020	Al principio es rica, pero después te mata.
23000	25180	Vos sabés que sí. Vos sabés que sí.
26520	27660	Vos sabés que sí.
27660	30940	Si esta copa es de leche, te la tomaste toda.
31400	33180	Te la tomaste toda, chingüengüencha.
33920	35560	No sabes ni hablar, brutos.
35840	37020	Váyale a estudiar.
37360	41340	Acaba de cortar la medicina porque metiste un cuchillo y después te electrificaba, loca.
41580	43880	Ah, güey, no lento. Ayúdame que muere.
54520	58540	¿Cómo estamos, compatriota? Pero qué felicidad, por favor.
58680	64280	Lo que es ver jugar a la escaloneta y empatar una y otra y otra y otra vez.
64980	67040	¡Qué belleza, hermano!
67420	71220	Arranco el programa con un retweet de Frankie Botito riéndose de mí.
71300	73240	Es casi un galardón, boludo.
73720	73860	¿Qué?
73860	73860	
73860	73860	
73860	73860	
73860	73860	
73860	73860	
73860	73860	
73860	76860	Hoy, como sabrán, tenemos un MAGA festivo.
77800	81200	Estamos celebrando el cumpleaños del contribuyente Donald Trump.
81400	85860	Él siempre nos manda un par de dólares cada vez que puede, así que le mandamos un afectuoso saludo.
87680	91180	Cumpleaños también en memoria, ¿no? Ernesto Guevara.
91820	95860	Espiritualmente muy similares si uno se lo pone a pensar, pero no voy a hilar fino por ahora,
96180	97880	pero ustedes saben que es cierto.
98480	102720	Y por supuesto nuestra productora también, Flor Trevino, quien le puede mandar un mensaje.
102720	106840	En definitiva, una síntesis espiritual del día que nos acontece.
107260	111480	Un día más donde yo llegué a ver el primer tiempo de la escaloneta.
111920	116460	Yo soy soldado de Fantino, así que cuando Fantino me comandó a subirme a la escaloneta,
116580	122200	yo estaba ahí, armado con mi cuchara y mi tenedor, listo para emprender una batalla final.
123200	125220	La escaloneta, a mi juicio, juega hermoso.
125420	129720	Yo soy hincha de boca, por ende veo tres pases seguidos y me emociono, no lo puedo creer.
129720	133940	Pero qué cosa, qué cosa que no sea la selección argentina, somos como un tango, ¿viste?
133960	138040	Tenemos espíritu de tango, esa cosa de estar destinados a la grandeza del mundo
138040	142180	y sin embargo no poder cosechar nada, ¿viste? Ese sabor amargo.
142280	146760	Pero bueno, es lo que hay, es lo que hay, es lo que hay.
147180	148680	Tampoco están terribles.
149340	152960	La verdad que tengo menos clima de Copa América, igual les voy a confesarme.
153140	156360	Ya lo dije en otros programas, espiritualmente es fundamental ganarla.
156360	158700	Pero tengo menos clima de Copa América.
159220	163900	Recién leía que pasan cuatro de cinco en los grupos, o sea, es casi imposible no pasar.
164120	166340	Ya fue el día de hoy, sigamos, sigamos, vamos a ver qué pasa.
167160	171520	Hoy tenemos otro maga, tenía un nivel de expectativa, tenía unas ganas de tener este maga.
171840	177360	Hoy me desperté y me pasó eso que ustedes me dicen que les pasa, que es hoy es lunes, hoy hay maga.
178760	181640	11, 39, 39, 88, 88.
182160	185860	Quiero que me manden sus audios, quiero escucharlos, quiero que me manden sus observaciones
185860	189060	al respecto de los fenómenos metafísicos de nuestra República Argentina.
189520	193440	Porque de todo eso se trata este programa, básicamente es lo que se le canta en la pelota.
194160	196700	Yo siempre les pregunto de qué quieren hablar.
197560	199040	Hubo varios temas no sugeridos.
199220	202680	Hubo un compatriota que me decía, deberías arrancar hablando por tu nota.
202760	206860	Yo ayer saqué una nota en Revista Urbe, así que me parecía lo suficientemente...
207940	210360	Sí, Maxi, ¿por qué haces gesto? No hay ningún gesto que hacer.
211220	213120	A ver, sinceremosnos.
213620	217500	Ustedes que están del otro lado ya están escuchando el programa de una persona hablando sola,
218460	220260	que es básicamente un loquero.
220500	224180	Por ende, la pretensión de lo que ustedes tienen de este programa
224180	227820	y la imagen que ustedes tienen de sí mismos ya es lo suficientemente baja,
227860	229480	como para que yo pueda hacer esto.
229960	234740	Es decir, abrir el programa en el cual hablo solo, hablando de una nota que escribí.
234860	237340	Es como un meme de Spider-Man al cubo, es el meme de Spider-Man,
237400	239780	pero en las manos tiene una nota con la foto de Spider-Man.
241380	247180	Y yo creo que solo sería interesante en tanto problema epistemológico.
247360	249780	A mí hay algo que me vuelve loco de Alberto Fernández,
250540	252540	que lo digo ya ahora para que lo tengan en cuenta.
252580	254780	No voy a hacer lo mismo que la nota. Ustedes saben, la nota...
256320	259780	Uno miente cuando se pone a escribir un poco algo, se pone como más florido.
260460	262680	Esto es crudo, esto es puro.
262980	268780	Maga no tiene filtro. Maga es directo, es intravenosa,
268960	271460	es contenido intravenoso, Maga.
271560	276300	Por ende, cualquier persona que se pone a escuchar esto ya abandonó toda pretensión.
276660	280100	Eso es un poco lo que nos pasa en esta comunidad que hemos sabido construir.
280660	283300	Entonces ustedes... Mira, ahí está, primer concepto del día.
283800	287960	Primer concepto del día. Atención, todas las notas mienten.
288780	290520	Cuando una persona se siente escribir algo,
290760	295280	ya le agrega dos, tres, cuatro, cinco capas de mentira, de humo.
295780	297620	Y acá no, acá no hacemos eso.
297620	299560	Entonces, ¿qué es lo que me interesa de la nota?
299680	303320	¿Por qué hice todas esas mil millones de vueltas y cada vez escribo más complejo
303320	304740	y no se me entiende y es una poronga?
304800	307620	Y a mí no lo digo como un galardón, lo digo como un limitante.
309700	313380	A mí hay algo que me pone muy mal de Alberto Fernández, espiritualmente mal,
