start	end	text
600	6220	Hay pan, pan, hay vino, vino sobre las cartas de la mesa.
6800	8880	¿Para qué cazó a esos pájaros? ¿Para qué?
9000	13000	Hay que tener una jaula con ablido y ese...
16100	19280	El problema es que la deuda es como la faropa.
19580	22360	Al principio es rica, pero después te mata.
23340	25500	Vos sabés que sí. Vos sabés que sí.
26840	28000	Vos sabés que sí.
28140	31280	Si esta copa es de leche, te la tomaste toda.
31620	33500	Te la tomaste toda, chingüengüencha.
34300	35880	No sabes ni hablar, brutos.
36140	37320	Váyale a estudiar.
37680	40320	Acaba de cortar la medicina porque metiste un cuchillo
40320	41640	y te fue que electrificaba, loca.
41920	43240	Ah, güey, no hay ningún...
43240	43820	Ay, no, no.
44040	57860	¿Cómo están? Carajo, ¿cómo están?
57960	59940	¡Qué frío que tengo, boludo!
60080	62700	¡Qué frío que tengo! Estoy viendo la formación de Argentina.
63240	65880	Martínez Romero, Pesela, Tagliafico, Rodríguez...
65880	67420	No, ya está, no llego. Va muy lento.
67760	70460	Paredes... ¡Qué frío que tengo, boludo!
71640	75020	Aparte, obviamente, no pueden verme porque no hay Twitch,
75640	78460	pero si pudieran verme, ustedes sabrían...
79160	81160	No voy a culpar a la pandemia por esto.
82620	83880	La pandemia fue mi excusa,
84020	86160	como la precarización laboral para muchas empresas.
86420	90080	Yo siempre quise vestirme como me he visto hoy.
90560	95120	Es decir, mi piel solo toca jogging hace por lo menos dos años.
95800	98460	Olvidé la textura de un jean. Olvidé cómo se sentía.
98460	102020	Olvidé qué le pasaba a mi piel con ese tipo de raspores.
103120	105040	Y yo cuando llego acá a Nacional Rock,
105240	109000	a la Radio del Estado Nacional, Maxi, uno de nuestros productores,
109020	111740	me carga, siempre me carga, y él no comprende.
111740	114000	Él no comprende que yo tengo una búsqueda metafísica.
114880	119960	Yo tengo un look de linchera apocalíptico en este momento.
120080	122500	Es como si estuviera haciendo un casting para The Walking Dead.
122500	129940	Es como la línea de Zulander, la que saca Mugatu, de Relict.
130780	134160	Estoy en esa vibra estética, pero me siento bien.
134300	137380	Esto no es un reclamo para con nadie, es mera información.
138160	141660	Y me estoy recagando de frío. De hecho, hoy arranca...
141660	143480	Sí, hoy arranca el invierno, ¿no?
143700	145920	En este momento, Maga está...
146660	147180	Claro.
147720	148900	Claro, pará.
148980	152600	¿Sabes qué es importante? Porque Maga está inaugurando el invierno.
153000	155900	Y vos sabés que esto era antes un ritual pagano, ¿viste?
155940	159060	Que vos tenés los equinoccios, los solticios,
159140	161300	no sé qué carajo tenés de cada lado del ecuador,
161660	164340	pero respectivamente el día más largo y el día más corto
164340	167180	marcan una instancia performativa,
167880	169920	una instancia, por supuesto que espiritual,
170120	172020	o sea, no hace falta que te lo digan,
172120	173580	por supuesto que espiritual,
173580	175760	que significa que a partir de ahora,
175780	178780	a partir de ahora, cada día va a ser un poquito más largo
178780	181180	que el anterior, es decir, estamos en el momento
181180	182980	donde la noche es más oscura
182980	185600	que justo antes del amanecer, ¿se entiende?
186220	189260	Y toda cultura, todas las culturas de la galaxia,
189960	192920	salvo algunas pedorras y occidentales como la nuestra hoy,
193100	194880	o como algunos vestigios de la nuestra hoy,
195340	198380	celebraban esto, porque era nada, qué sé yo,
198760	200040	pasaban cosas cósmicas rarísimas,
200080	201400	un día era cortísimo, otro día era largo,
201400	203580	entonces está bueno que haya caído justo acá,
204020	205880	porque desde este maga vamos a tratar
206800	209480	este equinoccio, solticio, lo que reporonga sea,
209540	210740	la verdad no sé cuál de los dos es,
210940	211960	pero ustedes me entienden, ¿sí?
213180	214620	Acá sabemos cómo son las cosas,
214680	217400	podemos prescindir de ciertos tecnicismos.
218060	220100	Yo, por si no quedaba claro,
220560	222100	no sé de qué carajo voy a hablar hoy,
222880	225200	no tengo la menor idea de qué puta,
226020	227880	de qué puto tema voy a hablar, no sé,
228420	230380	pero es un poco nuestro contrato,
230380	233540	es un poco la maga garantía,
233640	235480	es decir que ustedes cuando se sientan
235480	238240	y se prestan a este acontecimiento,
238360	240380	a este evento, cuando ustedes asisten a este encuentro,
241060	243300	tampoco saben exactamente con qué se van a encontrar,
243800	245200	con qué se van a encontrar de programa,
245340	247060	con qué se van a encontrar de ustedes mismos,
247140	248700	con qué se van a encontrar de su historia,
249020	251280	lo único que importa es que nos congreguemos
251280	253520	con el mismo propósito que esa sede
253520	255040	de la Argentina Grande otra vez.
255520	257480	Eso, por ejemplo, es lo que le pasaba
257480	260240	a uno de nuestros compatriotas y contribuyentes,
260240	261860	que ahora le voy a mandar un saludo,
262460	264340	que es el director de la prepaga Medife,
264540	267620	que es Jorge Piba.
268000	268740	El tipo que puede caer a esto
268740	270180	no va a escuchar nunca más este programa,
272720	273600	pero quienes...
273600	275240	Los que nos encontramos en Twitter
275240	276600	sabemos de lo que estamos hablando,
277260	280100	habrán notado que Maga salió en una nota
280100	282260	del diario Convoz,
282700	285360	la escribió Jairo Straccia,
286100	287560	que se yo, vamos a decirlo en Tano,
287560	288300	Jairo Straccia,
288900	290320	él hizo una nota...
290320	291500	¿Por qué citó esta nota?
291540	294660	Me parece importante lo que hizo acá el compatriota.
294940	297420	Jairo escribió una nota con cierta distancia epistemológica,
297860	299940	se paró desde un lugar
299940	301880	como tiene la línea editorial de ese medio,
302320	303220	Odónel, toda esta gente,
303420	304920	como tipo, no, bueno, yo soy corea del centro.
305500	307000	Entonces Jairo dijo, no, mira,
307240	308760	Maga, es esto que está pasando acá,
308820	310480	hace una muy buena descripción de Maga,
310640	312020	una muy buena descripción de Maga,
312140	313100	les recomiendo esta nota,
313100	316100	y arranca la nota diciendo que este Jorge Piba,
316280	318100	director de Medife,
318360	319860	el dueño del sanatorio no sé qué,
320180	321840	es un contribuyente fanático,
321860	323140	o sea, hoy...
323140	325000	toda persona que está escuchando esto sabe que Jorge
325000	327300	hoy está enchufadísimo, así,
327440	329260	reventando los parlantes de Maga, ¿entendés?
329860	330800	Y al pibe este,
330940	332820	le pareció tan extraño porque dijo, este chabón,
332980	335460	hincha de River, dueño de una prepaga,
335960	337940	me manda el programa de un
337940	339060	kirchnerista nacional rock,
339060	340040	¿qué está pasando acá?
