start	end	text
0	5760	Hay pan, pan, hay vino, vino sobre las cartas de la mesa.
6440	8040	¿Para qué cazó a esos pájaros?
8220	8520	¿Para qué?
8620	12720	Hay que tener una jaula, un ablido y ese...
13320	13840	¡Fuí!
14560	15080	¡Fuí!
15860	18880	El problema es que la deuda es como la faropa.
19200	21980	Al principio es rica, pero, después, te mata.
22940	25120	Vos sabés que sí. Vos sabés que sí.
26700	27600	Vos sabés que sí.
27600	30940	Y esta copa de leche, te la tomaste toda.
31420	33800	Te la tomaste toda, chingüengüencha.
33920	35520	No sabes ni hablar, brutos.
35760	36920	Vaya a estudiar.
37280	38460	Acaba de cortar la medicina
38460	41260	porque te metiste en un cuchillo que fue que electrificaba, loca.
41500	42320	Ah, güey, ralentó.
43040	43760	Al final, ¿qué fue?
58180	61380	¿Cómo estamos, compatriotas?
61780	64260	¿Cómo estamos contribuyentes?
66100	67900	Alegría, felicidad.
68460	69320	¿Escuchan eso?
70640	73500	Es el sonido de estar haciendo historia.
75900	79220	Este momento me agitó mi propia entrada,
79740	82780	lo cual habla de un nivel de deplorabilidad
82780	86160	en el estado físico más allá de lo que uno imaginaba.
86780	87660	¿Cómo están?
90180	92640	Ustedes saben que de acá...
92640	97180	O sea, esto que está pasando es histórico en serio, sin exagerar.
97440	100320	Piensen que cada vez que se hizo algo
100320	102140	por primera vez en la historia argentina,
102640	104680	hubo, como todo un acontecimiento,
105800	108120	primera transmisión de televisión,
108440	110560	primera transmisión de radio,
111040	113360	que, de hecho, si no me equivoco, fue un récord argentino.
113800	118780	Y ahora es primera transmisión audiovisual
118780	121640	de la Radio Nacional en la historia de nuestro país.
124720	126360	Gracias, Maxi, por aplaudir detrás de cabina
126360	128120	donde nadie te ve, pero es así.
128460	129840	No estoy exagerando nada.
130140	131980	Nada de lo que digo tiene exageración.
132420	135540	De acá, dentro de unos años, la gente...
135540	137300	Esto es así, mira, te voy a contar cómo es.
139120	142220	De acá a 30 años, ustedes van a tener...
142220	146800	No importa, sus sexy niños, sus pequeños críos,
147160	149640	al cual van a llamar uno, al pequeño Google,
150120	151980	van a estar en su casa, va a venir Google Junior
