start	end	text
0	2360	abrido y ese
5280	7380	el problema es que la deuda
7380	8620	es como la faropa
8620	10720	al principio es rica
10720	12300	pero después te mata
12300	13820	vos sabés que sí
13820	16080	vos sabés que sí
16080	17320	vos sabés que sí
17320	19020	si esta copa es de leche
19020	20740	te la tomaste toda
20740	23580	te la tomaste toda chingüengüencha
23580	25400	no saben ni hablar, brutos
25400	26760	vayan a estudiar
26760	29660	acaba de cortar la medicina porque metiste en un cuchillo
29660	31100	no te toques en mi cara, loca
47820	49820	como están compatriotas
50920	52220	como les va
52220	53760	que tan
53760	55800	que tan maga están
55800	57820	que tan maga recién
58080	58480	lo que vi ahí
58480	61420	en el chat de twitch
61420	64060	que estaba el termino uf
64060	66140	uf uf ufals
66140	67560	lo maga que estoy
68240	69840	y otro compatriota respondía
69840	72500	ah no, lo maga que estoy yo
72500	73700	y otro pone acá
73700	76000	la nada dice nos magueamos encima
76000	78580	lo maga que estamos
78580	79900	como les va
79900	81700	que alegría es para mí
81700	82780	hacer este programa
82780	85780	que felicidad encontrarlos, encontrarnos
85780	88140	que lindo momento
88140	89860	que agradable todo lo que nos está pasando
89860	91400	tenemos como siempre
91400	92400	como todas las semanas
92400	95360	una sobredosis de temas
96000	97740	de tópicos para tratar
97740	99940	que no admiten la menor demora
100660	102040	yo voy a como siempre
102040	103820	regirme por lo que ustedes eligen
103820	105260	por lo que ustedes quieren escuchar
105260	107160	por todo lo que ustedes dicen
107160	109360	esto debe ser tratado
109940	111940	y voy a hacer algo no tan habitual
112480	114340	voy a adelantar
114340	116940	algunos tópicos porque creo que dan
116940	117900	dan
117900	119100	para debate
119100	121440	dan para debatir
122060	123960	y esto vamos a ir estructurándolo
123960	125380	y quiero escuchar también sus audios
125380	127420	yo tengo acá el twitch abierto
127420	130600	tengo todos sus comentarios los voy leyendo
130600	132360	y tenemos varios ejes de debate
132360	134620	tenemos varias cuestiones
134620	136620	tenemos una que es casi una respuesta
136620	138160	inmediata al maga anterior
138160	140220	a la búsqueda de ídolos
140220	142360	que recogió el guante nada más y nada menos
142360	143900	tenemos que Cristina Fernández de Kirchner
144520	146400	cuando habló y se pronunció
146400	147320	sobre elegant
147320	149660	muchos de ustedes, muchos compatriotas me decían
149660	151840	escuchaste elegant, escuchaste Cristina
151840	153620	estamos ganando me decían
153620	155260	y es cierto que estamos ganando
155260	158260	tenemos ese tópico que tiene múltiples ramificaciones
158260	160600	para debatir, para elaborar
160600	161900	otro compatriota me decía
161900	164160	hablemos de los salmones
164900	166460	hablemos de esa discusión
166460	167580	de la prohibición
168520	169560	de producción de salmones
169560	171260	no sé por qué creen que
171260	172660	yo no voy a opinar con información
172660	175180	eso no es lo que buscamos acá, no es nuestro objetivo central
175180	176920	pero hay toda una discusión detrás de eso
176920	179160	que es interesantísima
179720	181360	de hecho la discusión
181360	183320	sobre ambiente hoy
183320	185340	o sea esta probablemente
185340	187180	falsa antinomia entre ambiente
187720	189620	producción, ambiente desarrollo
189620	191200	como esos lugares
191200	192760	donde la gente va a pelear
192760	195620	Mati acá dice no hables de los salmones por favor
195620	197420	vamos a hablar de los salmones
197420	198560	vamos a ir a fondo hermano
200260	202860	Mati 0 2 9 9
202860	204480	esto está pasando hermano
204480	205440	vamos a ir a fondo
205440	207580	y saben por qué estos temas funcionan muy bien
207580	209440	permítanme decir una sola reflexión
209440	210420	para abrir
211280	213340	el debate sobre el ambiente
213340	215380	y sus derivados es uno de los mejores debates
215380	217020	de la actualidad porque son de esos debates
217020	220160	que sacan lo peor de cada uno de nosotros
220820	222260	no sé si me ubican en esto
222260	224040	es un debate que te hace ser peor
224040	225020	es un debate
225020	226880	en el cual terminas peor
226880	228680	persona que como lo arrancaste
228680	231240	todas las posiciones terminan peor de lo que eran al principio
231240	233240	esos son los mejores debates
233240	235360	los que te reducen como ser humano
235360	237160	los que te hacen atacar al otro así que
237160	238400	vamos a estar debatiendo eso
238400	241200	quiero escuchar sus opiniones citando
241200	243420	a nuestro profeta nacional Alejandro Fantino
243420	245420	por favor procuren que si van a opinar
245420	246660	faltense el respeto
246660	248960	es lo único en un breve espacio
248960	250840	en un breve espacio de magarmonía
250840	252320	vamos a ver qué pasa con eso
252320	253900	y tenemos por supuesto
253900	256100	la escaloneta
256100	257480	la escaloneta
257480	259460	y el ancarismo
260480	262480	que me gustaría introducirlo de esa forma
