start	end	text
1060	11060	¿Cómo les va compatriotas? ¿Cómo andan? ¿Qué momento feliz encontrarse en este espacio,
11680	20200	en este lugar? Ya hemos dicho, no es un programa de radio, es un punto de encuentro. Es un
20200	26000	lugar donde, una vez a la semana, hacemos, o al menos lo intentamos, que muchas veces
26000	34240	se trata de eso, hacer a la Argentina grande otra vez. Bienvenidos, bienvenidas a MAGA,
34980	41620	en este 8M, lógicamente nuestra compañera y operadora Flor Trevino nos encuentra con
41620	47300	nosotros aderiendo al paro como corresponde. Por ende estamos con Jorge Escobar, nuestro
47300	54400	operador ahí en llamas, en llamas en el teclado. El querido Maxi, que fue furor, lo veo ahí por la
54740	60360	esquina, hoy al no estar Flor tiene que laburar un poco más. Eso es así, así son las cosas. Y
60360	67120	quien les habla, su servidor, haciendo un buen programa de chavones en el 8M, porque eso,
68400	74180	yo reflexionaba recién, falta un poco de eso en la radio. Un grupo de chavones con el culo sucio,
74180	83660	viste, queriendo como, con una mezcla entre miedo, ansiedad y ganas de pertenecer, bajando
83660	89300	línea y queriendo dejar bien en claro que uno no es un sorete, viste, entonces hay algo ahí que
89820	95300	sentíamos que faltaba. En los medios hegemónicos en general, chavones bajando línea, un 8M, viste,
95580	101100	como diciendo, no, loco, hoy es un día para pensar, loco. Todo el año sos un hijo de puta,
101120	107540	pero hoy agarrás y decís, no, bueno. Entonces, hay cosas interesantes, ahí hay tela para cortar.
108940	114600	Tiendo a creer que muchas veces la deconstrucción tiene más que ver con darse cuenta que uno,
114720	118020	la mayoría de las veces es un pelotudo y no tanto con bajar líneas de un nuevo pedestal
118020	123500	teórico que conseguiste, porque si no, viste, una vez va encontrando nuevos pedestales desde los
123500	130220	cuales ejercer un poder y ser un sorete, y qué interesante esto, qué interesante todo ese encuentro.
131080	138680	Hacía falta, hacía falta. Bienvenidos y bienvenidas a MAGA. En el día de hoy por
138680	147600	supuesto nosotros viste que MAGA es un programa customizado, las hordas, los contribuyentes han
147600	153200	hablado sobre el programa que quieren escuchar, así que tenemos, por suerte los temas son próximos
153200	159920	entre sí, tenemos Realeza Británica, Otavis, Boca y Elon Musk, un poco como para para trazar
161660	167980	algunos ejes, la radio ha tenido una programación excepcional en el 8M con muchas producciones,
168220	172240	nosotros en ese sentido de MAGA también hacemos nuestro sentido homenaje, vamos a pasar música
173380	178940	solo de compañeras, la selección como siempre tiene que ver con ciertos criterios estéticos y
178940	184440	morales, vamos a pasar a Shakira, La Negra Sosa y La Oreja de Bangó, nos parecía que un poco por ahí
