start	end	text
2040	2560	NACIONAL
3400	5580	Hay pan, pan, hay vino, vino
7120	9440	Sobre las cartas de la mesa
9440	11440	¿Para qué cazó a esos pájaros?
11620	11780	¿Para qué?
11780	15940	Ay, tenían una jaula con abrido y ese
19080	22340	El problema es que la deuda es como la faroca
22340	25600	Al principio rica, pero después te mata
25600	28480	Vos sabés que sí, vos sabés que sí
30000	32680	Vos sabés que si esta copa es de leche
32680	34300	Te la tomaste toda
34300	37220	Te la tomaste toda, chingüengüencha
37220	39020	No sabe ni hablar, brutos
39020	40440	Vaya a estudiar
40440	43340	Acaba de cortar la medicina porque metiste un cuchillo
43340	44780	Y te fue a quedar trificada, la loca
44780	46360	Ah, bueno, no lento, ah
64100	64880	¿Estoy al aire?
65360	66740	Ah, porque no me aparece nada arriba
66740	68520	No me aparece el cartelito de vivo
68520	72660	Yo tengo indicaciones radiales, estructurales, básicas, clásicas
72660	74860	Si estamos al aire, estamos al aire, no tengo problema
76100	77400	Sí, estamos al aire
77400	80740	Me lo confirman también los compatriotas de Twitch
80740	82260	Estoy acá
83940	85740	Esperando algunas señales
85740	87300	Porque estamos con algunas dificultades técnicas
87300	90960	Pero bueno, básicamente ya hemos hablado
92140	94020	Hemos ya establecido
94020	97080	Que no hay transmisión histórica del Estado Nacional
97080	98800	Sin alguna dificultad técnica
98800	103200	Nosotros tenemos siempre algo que sale un poquito mal
103200	106280	Es parte de nuestro folclore, es parte de nuestra historia
106280	109120	Y yo mientras preparo acá algunas cositas
109120	110040	Acá que no se ven
110040	112540	Sí, acá lo están diciendo, viste, Gregorio Ilos dice
112540	114560	Bájame la estática, no, no, no
114560	115300	No va a bajar
115300	120140	¿Ustedes acaso se piensan que MAGA es un programa agradable?
120920	125620	¿Ustedes se piensan que MAGA es un programa que va a ser cómodo de escuchar, sencillo de escuchar?
125680	127020	No, no, no, en absoluto
127020	130080	MAGA no está preparado para ser escuchado
130080	132400	MAGA es un desafío al oyente
132400	136540	MAGA tiene una serie de filtros
136540	140640	Para ver si uno está lo suficientemente comprometido
140640	144040	Con la tarea titánica de hacer a la Argentina grande otra vez
144040	148700	No es algo sencillo, no es algo armado algoritmicamente para agradar
148700	151740	Es algo que te prueba, viste
151740	155340	Es algo que la gente enloquece
155340	157660	Es algo que te prueba, es algo que se fija
157660	160860	Se fija si vos estás dispuesto a sacrificar lo que sea necesario
160860	163840	Pero de todas formas, a pesar de toda dificultad
163840	166720	A pesar de toda inclemencia, a pesar de todo problema
166720	168480	El programa se hace
169240	171460	Incluso si estoy hablando solo, incluso si nadie me escucha
171460	172840	Es hasta mejor, es un mensaje
172840	175080	Todo lo que sucede en última instancia es un mensaje
175080	178840	Yo creo que el día de hoy tenemos algo particular
180380	184840	Justamente por cierta falta de particularidades
185780	186980	¿Qué es lo que sucede?
187060	190520	Nosotros venimos de un MAGA muy especial, muy arriba
190520	192020	Un MAGA lleno de variables
192020	195920	Un MAGA urgido por la coyuntura
195920	199420	Un MAGA que necesitaba de realizarse
199420	201940	Porque la gente decía, necesito MAGA
201940	204000	Necesito evacuar lo que me está pasando
204000	209140	Necesito analizarlo, necesito ver las premisas en juego
209920	212060	Este lunes es distinto
212060	217020	Este lunes no tiene, por supuesto yo vi los temas que me mandaron
217920	222260	Porongas de madera, últimas búsquedas en internet
222260	224620	Preferencias pornográficas
224620	227820	Vi las cosas, sé que Santoro fue un templo mazón
227820	229100	A ver qué le pasaba con eso
229100	231300	Pero entiéndanme
231300	236820	No es exactamente lo mismo que salir campeón de la Copa América
236820	240280	Donde vos tenés tantas fuerzas espirituales en juego
240280	242940	Casi que si no haces un MAGA era de vida o muerte
242940	244560	Ahora tenemos otra oportunidad
245100	247100	Esto es básicamente como la...
247780	248960	Ustedes saben, esto es terapia
248960	250360	Esto es terapia para mí y para ustedes también
250360	252300	Nosotros tenemos nuestra sesión de los lunes
252300	253560	Donde hacemos la Argentina Grande también
253560	256700	Pero también nos encontramos, también elaboramos cosas que nos pasan
256700	258080	Y viste como las sesiones
258080	261480	Hay sesiones que uno llega, llega a la sesión de psicoanálisis
262120	264320	Urgido por algún desastre que tiene en la cabeza
264320	268920	Viste como diciendo, che, necesito, necesito sacarme esto del pecho
268920	270320	Y a veces que no
270320	272620	Hay veces que simplemente uno no tiene nada para hablar
272620	275580	Viste, cae a terapia y dice, qué te pasa esta semana? Nada
275580	279960	Y justamente esas sesiones son las que de repente encontrás algo curto, algo oscuro
279960	281600	Algo que ni siquiera sabías que estaba ahí
281600	284300	Y te digo, no estoy bien, mi vida está bien, no hay problema
284300	286240	Ya llegan cientos de millones de vacunas
286240	288060	La verdad es que las cosas empiezan a repuntar
288060	290020	Veo como indicadores positivos en todas partes
290020	291780	La oposición se desmorona internas
291780	293120	Lo nuestro tiene más o menos forma
293120	294060	No sé, no sé, ningún problema
294060	298440	Y de repente te viste, che, ¿y por qué odias a Mariano Yudica entonces?
298620	299220	Viste, ¿cómo?
300400	303080	Y pues claro, ahí analizaste y decís, parece cierto
303080	306280	Toda mi vida odié a Mariano Yudica
306280	307460	Y ahora recién me doy cuenta
308020	308960	Y lo tenés ahí
308960	310920	Y estaba en el fondo de tu cerebro y no lo sabía
310920	314000	Esto es lo mismo, este es un maga que es una oportunidad
314680	319160	Es una oportunidad para encontrarnos y para seguir tejiendo
319160	321000	Esa ciencia lenta
321000	322920	Esa observación de fenómenos
323640	327760	Esa cosa que va cimentando las bases para después tener una doctrina común
327760	331760	Que nos permita interpretar la realidad de una forma común
331760	333980	Y yo quiero introducir algo
333980	336940	Porque uno de los mensajes, uno de los mensajes
336940	343060	Me decía, Rebord, habla del multiverso argentino
343060	343400	¿Viste?
344480	347760	Habla del multiverso titular
347760	349600	Titular, maga titular
350580	351700	Multiverso argentino
351700	354200	Y yo dije, esto es espectacular
354200	356060	Esto es excelente
356060	358560	¿Qué es lo que significa esto que está en juego?
358660	360180	Vamos a darle un poquito de contexto
360180	361640	Vamos a darle un poquito de contexto
361640	364800	Que tiene que ver con, no sé si la vieron, vieron la serie Loki
364800	366320	Están en universo Marvel
366320	368300	Igual, permítame hacer una aclaración
368300	371440	Porque cuando uno ya abre una línea temática
371440	374720	Ya arranca la gente que dice, no, eso a mí no me gusta
374720	376620	No, eso es una mierda, no, a mí no me cabe
376620	378380	No importa
378380	379740	No importa
379740	382640	Es la misma premisa con la que analizamos cualquier cosa
382640	385220	No importa si te gusta a vos o no
385220	387100	Si es bueno o malo
387100	391060	Lo que nosotros estudiamos es el recurso
391060	393420	Lo que nosotros estudiamos es la técnica
393420	395540	Que se está utilizando
395540	397640	Y si puede ser usada
397640	401000	Para hacer a la Argentina grande otra vez o no
401000	402400	Entonces uno ve un fenómeno
402400	404480	Y primero dice, ¿Hay algo ahí?
404980	406260	¿Hay algo ahí?
406380	408400	Esa es la primera intuición, nosotros no tenemos certeza
408400	409880	Pero tenemos muchas intuiciones
409880	412320	Entonces uno ve un fenómeno y dice, para
412320	414800	Acá hay algo pasando, no sé bien qué es
414800	416300	Pero algo se me juega acá
416300	418640	Ese es el primer signo
418640	420420	Para un verdadero agovero
421220	422600	Había un compatriota que me decía
422600	424260	Hagamos verbo, el agove
425720	426160	Agovear
426160	428900	El verbo de hacer a la Argentina grande otra vez
428900	429880	Me encantó
430460	432260	Agovear, sí, se conjuga
432860	434500	Agoveemos, entonces uno ve y dice, ¿Para qué?
434760	436140	¿Hay algo para agovear acá?
436640	437520	¿Hay algo para ver?
438160	440260	Agoveemos esto a ver qué está sucediendo
440260	442480	Sí, eso es lo que me pasó a mí
442480	444300	Con la serie Loki
444300	446180	Yo la vi, pero porque yo miro todo
446180	448640	Yo soy una cosa, el que todo lo ve
448640	450880	Yo soy un ojo así parado frente a pantallas más
450880	453320	Estoy para incorporar pantallas en simultáneos ya
453320	454880	Quiero llegar a ver tipo películas, series
454880	455880	En simultáneo, ¿viste?
456420	459200	Yo lo veo todo, tú estabas viendo Loki
459200	461920	Y de repente dije, para esto es excelente
461920	463260	Esto es excelente
463260	464460	Yo reconozco que me gusta
464460	466440	Me gustan estos universos, me gusta esa cosa
466440	469240	A mí me encanta, me apasiona
469240	470880	Pero incluso si te chupa un huevo
471540	473140	Porque esto es como los magas
