start	end	text
620	3240	Hay pan, pan, hay vino, vino
4140	6240	Sobre las cartas de la mesa
6240	8900	¿Para qué cazó a esos pájaros? ¿Para qué?
9020	13000	Ahí tenían una jaula, un abrido y ese...
16160	19320	El problema es que la deuda es como la faropa
19320	22660	Al principio es rica, pero después te mata
22660	26000	Vos sabés que sí, vos sabés que sí
26880	28100	Vos sabés que sí
28100	31340	Si esta copa es de leche, te la tomaste toda
31340	34260	Te la tomaste toda, chingüengüencha
34260	36000	No sabe ni hablar, brutos
36000	37480	Váyale a estudiar
37480	40340	Acaba de cortar la medicina porque metiste un cuchillo
40340	41800	y después quedaste en su cama, loca
41800	43240	Ah, bueno, no me importa
43620	69120	Ay, no, no, no, no
73440	75920	Nosotros queremos máxima dificultad
75920	79480	para probar la verdadera fidelidad de los oyentes
79480	82860	Porque un programa fácil de escuchar lo escucha cualquiera
82860	86140	Pero uno que te desafía, uno que te exige como oyente tipo la concha
86140	88180	Esto me está lastimando
88180	91240	O sea, Maga tiene que terminar y vos tenés que estar con los oídos sangrando
91820	92380	de este tipo de...
93080	94880	Si no, no hay grandeza
94880	95940	Si no, ¿qué es esto? ¿Qué es qué?
96400	97180	Es la metro
97860	99880	Esto no es la metro, esto es una prueba
99880	103200	Nosotros al principio ponemos todo el bardo para filtrar
103200	106060	Para que el desprevenido, el que cayó por casualidad, viste?
106140	107200	Y agarra y dice a ver que está acá
107900	109160	Y escapa, sale
109160	111080	Y el que sabe se queda
111080	112780	El que sabe dice es ahora
112780	116060	Hay que aguantar, hay que poner, hay que sufrir
116060	118560	Para acceder a la máxima verdad
118560	120640	A la máxima ciencia
120640	122220	A este espacio
122220	125600	Este espacio en el que nos encontramos todos los lunes
125600	127980	¿Para qué? Para hacer a la Argentina grande otra vez
127980	130080	Es un espacio que necesitamos
130080	131560	Es un espacio que nos hace bien
131560	133220	Que nos ordena la semana
133220	136000	Es un espacio, lo hemos comparado la vez pasada
136000	137020	Es como terapia
137020	138340	Para nosotros es terapia
138340	141400	Nos encontramos, ordenamos nuestra lógica y nuestra secuencia
141400	143160	Y al igual que terapia
143160	144720	Siempre te tenés que llevar algo
144720	145780	Este es un concepto interesante
145780	147720	¿Vieron la gente que va a terapia al pedo?
148220	148700	Dejen
148700	151600	Cuando tenés una sesión de terapia y no te aportó nada
151600	153100	Tipo, terminó de decir ¿Para qué hago esto?
154160	154640	Deja
155160	157640	Siempre la terapia tiene que dejarte algo, un concepto
