start	end	text
1100	10060	¿Cómo estamos compatriotas? ¿Cómo estamos? ¿Cómo está esa felicidad? ¿Cómo está la gente en Twitch?
10600	16660	¿Cómo están los humanos en diferido que nos escuchan desde cualquier punto del planeta y horario?
19980	25760	¿Cómo están? ¿Qué alegría volver a encontrarnos? Para mí este espacio es crucial,
25760	39820	este espacio es fundamental, este espacio es en el que ordenamos la semana. ¿Cuál es su nivel de
39820	55740	agobización en sangre? ¿Qué nivel de ganas de hacer a la Argentina grande otra vez? ¿Cómo de qué
56540	62560	cuando tienen que armar el flyer? Piensen esto también, gente que tiene que trabajar, no solo
62560	67460	como diciendo ¿de qué va el flyer? ¿De hacer a la Argentina grande otra vez? No, en serio,
67580	72680	de verdad, por favor, danos un flyer, un algo. ¿De hacer a la Argentina grande otra vez? Ese es el clima,
72780	78680	ese es el clima de trabajo en MAGA, ese es el clima de trabajo en lo que hacemos acá y
78680	85040	efectivamente acá Durkheim tiene un 78% de agobización en sangre, es alto, pero vamos a
85040	92200	subirlo más con este formidable equipo de trabajo acá desde la radio nacional, la radio que pagan
92200	97920	todos ustedes, siempre es bueno recordar que ustedes pagan esto, ustedes están pagando cada segundo
97920	104480	de mi aire y hoy me gustaría empezar hablando de algo que nos atañe a todos y a todas, algo
104480	113160	que es un tema público y soy yo, me gustaría hablar de mí para arrancar, que es un tema de
113360	117080	trabajo, es un tema como acabo de decir, que compete a todos los argentinos y argentinas,
117480	129540	a todos los compatriotas. Ayer estrenamos un formato, y hablo en plural, lo notarán, ayer
129540	136040	estrenamos el método, quería decirles algunas cosas, a ustedes que son mi círculo de confianza,
136220	143260	ustedes son mi grupo de confianza de verdad, ustedes lo que están en MAGA,
143260	150620	son mi familia, mis compatriotas, son el núcleo duro del núcleo duro, porque seamos honestos con
150620	159360	algo, un storyboard se lo escucha cualquiera, los storyboards están buenísimos, son breves,
159380	163260	duran poco, son amigables, aprendés, tenés máxima verdad, máxima ciencia, cualquiera
163260	169420	tu escuche un storyboard, pero estar en MAGA tiene otro nivel de compromiso, estar en MAGA
169520	175240	involucre otras cosas, estar en MAGA es una comunidad, MAGA es un encuentro, MAGA es un punto en la
175240	180600	semana que ordena nuestros puntos cardinales, no es el punto que ordena el resto de puntos,
180920	184760	entonces quería compartir algunas cosas con ustedes de mi corazón, de verdad, de verdad,
184880	193960	con la confianza que nos tenemos. Ayer estrenamos el método, es algo que mucha gente lo confundió,
194380	198540	me han llegado muchas cosas distintas del método, me ha llegado mucha confusión, lo cual como ya
198540	203280	ven acá, acorde a nuestros principios que es, es bueno o malo, es bueno, siempre que haya confusión
203280	209120	es positivo, protege tu confusión y tu confusión te protegerá, yo creo que ahí hay dos cosas sobre
209120	214300	las cuales me gustaría hablar, la primera es por supuesto que la gente fue a buscar ese formato
214300	221640	esperando que yo salga en bolas de dos piletas de aquadans con Flavio Mendoza y un exótico manatí,
222420	227060	que eso va a pasar, yo sé que lo vamos a lograr porque todos queremos eso, pero la expectativa yo
227200	233140	que estaba ahí, la gente fue a buscar cómo está Luis ponchando el método, Luis en los controles
233140	238880	acá controlando el Twitch y nuestro querido Jorge Escobar que volvió allá, el operador volvió a
238880	244460	visitarnos por tanto tiempo, mirá este nivel por favor, esto es locura, es un programa mío dentro
244460	249760	de otros programas, es un nivel de endogamia, es literal el de Spiderman, hay que hacer un
249760	253560	metaprograma y empezar a juntar todos los programas, es como la final, hay que hacer un
253560	259160	adventure de los formatos, juntarse todos en una gran asamblea de programas internos,
261100	265240	esta parte lo estás escuchando en Spotify, me rindo, en la próxima que está en Spotify
265240	269880	en este momento dice, lo intenté, se saca los auriculares y dice, yo más gané para mí,
270860	277500	cuestión, vuelvo, vuelvo, vuelvo compatriotas, vuelvo, mucha gente entró esperando, acá salen
277500	281720	los pingüinos nadadores y eso va a estar, yo voy a estar desnudo junto a Flavio Mendoza bailando en
281930	288350	metas gigantes de agua, se los prometo, les prometo que yo voy a estar desnudo junto a Flavio Mendoza
288350	294590	haciendo figuras acuáticas junto a pingüinos, pero qué pasó, el método, o sea, la gente fue
294590	299430	esperando eso, no el núcleo duro, los nuestros, como ustedes también y otros más blandos, fueron
299430	304290	esperando eso y que se encontraron, se encontraron con todo lo contrario, se encontraron con una
304290	309430	charla de bajos decibeles, se encontraron con un encuentro epistemológico tranquilo, se encontraron
309430	316110	con una búsqueda, un propósito, todo lo que yo hago tiene un propósito epistemológico, todo,
316350	321450	incluso cuando no sé cuál es, eso me parece que es importante que lo sepan, y yo con el método,
321610	325830	que es un formato con el cual vengo soñando, literalmente hace dos años, yo durante todo
325830	330790	el año pasado me despertaba a las 13 a mí me cubierto de sudor gritando el método, todos los
330790	338010	días así, todo, siempre despertaba, era un garrón el chabón, y al final lo pudimos realizar juntos,
338010	341950	gracias al interés que me dan ustedes, a la insólita pelota y a su persistencia en el
