start	end	text
30000	36840	que se hiciera esta gopa de leche te la tomaste toda, te la tomaste toda chingüengüencha
36840	40180	no sabe ni hablar brutos, vaya a estudiar
40180	44560	acabo de contar a la policía porque me quita un cuchillo y después quedo entre mis caras, loco
44560	47300	ah bueno, no hay nada más que molino
56060	64560	mira lo que es esa coordinación, mira lo que es este arranque, mira cómo estamos, cómo está este
64560	74620	equipo deluxe, mira cómo está este flaming team, mira cómo me ve desde detrás del vidrio nuestra
74620	81460	operadora Diana que recién en el pasillo me decía por favor basta de que la gente me diga la furia
83400	89880	aleatoriamente y yo le digo eso es exactamente lo que la furia diría o sea se entiende la paradoja
89880	104600	no, vos te cruzas a Diana y te dice basta se acabó, wow furia Diana, furia, la furia en los
104600	110400	héroe detrás de la pantalla quien poncha los contents cuando Luis la siente te tira un content
111120	119060	Luis acá me garantizó me dice cambiaron la webcam y le pusieron una placa más al streamers para
119060	125820	tener mucha más calidad mucho más poder porque vamos avanzando compatriotas tenemos a maxi también
125820	131420	quien escucha sus audios maxi es la persona que me dice loco llegan audios para maga desde las dos
131420	139620	de la tarde por favor decirles que paren y yo le digo maxi maxi aún no lo entiendes o maxi porque
139620	145940	hablamos así hablamos en tono de obra clásica ya que Shakespeareana viste cuando dialogamos aún no
145940	154520	os comprendéis o maxi nadie yo no los controlo yo solo les doy armas y ellos quieren hacer a la
154520	159960	argentina grande otra vez tenemos a nuestra compatriota flor nuestra productora también esta
159960	167960	remota y todos y todos todos ustedes todos ustedes acá siendo parte de esto de este encuentro que
167960	174480	tenemos lunes a lunes de este momento histórico yo espero los lunes loco yo ahora espero los
174480	179860	lunes algo que jamás creía que me iba a suceder porque porque el lunes ordenás la semana el
179860	185400	lunes te enteras donde estás parado el lunes agarrás y decís a ver qué fueron los eventos
185400	193500	de fineza metafísica que han sucedido en nuestro suelo y hay mucho hoy hoy hay mucho siempre hay
193500	201580	mucho pero hoy hay mucho ustedes me han sugerido temas como siempre yo quiero arrancar mandándole
201580	210200	un saludo a c5n quiero mandar un saludo a c5n desde otro medio como para que sea cada vez más confuso
210200	215000	y cada vez más difícil más quiero involucrar a la mayor cantidad de gerentes de contenido en esto
215000	220700	es como que como que si puedo lograr que más gente de explicaciones por los mismos motivos me parecería
220700	227880	ideal quiero saludar a c5n quiero quiero agradecerles por difundir el método el método
227880	234200	crece así el cuál es el método el método crece por caos el método crece por confusión y c5n
234200	240040	eligió profundizar sobre todo teniendo en cuenta que que pedro no sé si vieron el método ayer pero
240040	246660	fue una charla hermosa la de ayer con pedro fue una charla hermosa a mí me encantó dos horas y media
246660	252000	que guasada no pero bueno se pasó muy agradable cuando hablas con alguien sin filtro sin agenda
252000	259000	sin nada y conectas está muy bueno es muy lindo y la charla es hermosa viste no no se reduce a esta
259000	266220	mera cuestión este detalle esta anécdota si tienen ganas mírenla pero en un momento pero desde su
266220	270620	experiencia personal no cuenta algo que le pasó en c5n que era que no podía hacer chistes con la
270620	274680	reta él lo cuenta de primera persona es una anécdota de él y al mismo tiempo él es súper
274680	279100	respetuoso él agarra y dice loco yo no quiero minimizar lo que le pasó a este canal los metían
279100	283680	presos a los compañeros ya te estaban persiguiendo en serio o sea era re jodido lo que estaba
283680	289360	pasando sea pedro desde ese lugar agarra y cuenta su experiencia personal enmarcándola en un
289360	295360	proceso político más amplio más complejo y bueno uno creería que c5n reaccionaría normal y bueno
295360	304320	c5n fue y salió llorente llorente con una a los tobillos le apuntó diciendo qué pasó que te
304320	315320	habrá pasado quien no no no no tenés la cabeza quemada y aparte diciendo no eso nunca pasó acá
315320	320560	entonces básicamente lo que estaba diciendo pedro es que fueron perseguidos en el macrismo y salió
321360	326140	a decir no no no eso no acá no pasó en este canal o sea nunca nunca hubo presiones nunca pasó
326140	333100	nada nunca no entiendo no entiendo pero bueno yo les quiero mandar un saludo por difundir el método
333100	338600	porque en definitiva estamos todos en la misma en definitiva todos queremos o no agrandar este
