start	end	text
0	4880	...vino, vino, sobre las cartas de la mesa.
5580	7200	¿Para qué cazó estos pájaros?
7480	7700	¿Para qué?
7720	12000	Ahí tenían una jaura, un abrido y ese...
14860	18060	El problema es que la deuda es como la fadoca.
18380	21140	Al principio es rica, pero después te mata.
22140	24300	Vos sabés que sí. Vos sabés que sí.
25620	30140	Vos sabés que si esta copa es de leche, te la tomaste toda.
30520	32300	Te la tomaste toda, chingüengüencha.
33060	34700	No sabes ni hablar, brutos.
35000	36100	Váyale a estudiar.
36480	40440	Acaba de cortar la medicina porque me quitaron un cuchillo de pepaca electrificada, loca.
40700	41400	Ah, bueno, no importa.
42260	43260	Al final es que volvimos.
43260	43300	...
52680	54260	¿Cómo están Agoveros?
54980	56540	¿Cómo está Maga?
56580	60000	¿Cómo está el pueblo maguero en su conjunto?
60880	62940	¿Cómo está el Estado Nacional?
62980	64360	¿Cómo están sus impuestos?
64740	66340	¿Cómo está Maxi agitando en cabina?
66380	67580	¿Cómo está Luis con la transmisión?
67640	69180	¿Cómo está Flor en su casa con COVID?
69440	72760	¿Cómo está Dai Furia en los teclados?
72760	81220	la furia como están todos ustedes a la vez yo como siempre saben feliz feliz de
81220	84860	compartir este momento este encuentro donde frenamos donde analizamos la
84860	88780	semana donde estudiamos un poco los movimientos metafísicos que se dieron
88780	93380	en nuestro suelo o en otros lugares ya que estamos en otros lugares quiero
93380	100880	empezar por felicitar al reward alternativo que ganó en afganistán no
100880	105680	eso también lo ponen esos términos porque ese día cuando cuando concretan
106560	110020	su insurrección me empezaron a llegar muchas notificaciones viste es un gran
110020	113820	diálogo que tengo con ustedes no o sea no van a ser otros que ustedes aquellos
113820	117100	de quienes me estoy refiriendo en este momento pero empezaron a avisar me
117100	121180	empezaron a avisar que había un hecho un hecho crucial sucediendo y que tenía
121180	123740	que observarlo así fuese a nuestro diálogo y aparece en arroba toma
123740	127940	reborda me avisan y yo lo interpreto eso yo sé que es una alerta metafísica
127940	133040	entonces yo voy voy a observar que pasó y claro me vi ahí sentado básicamente
133040	139000	no en cabul entonces yo dije perfecto hace a ver es lineal hace cuántos
139000	144520	magas inauguramos el multivor de si el multiverso hace cuántos magas 2 3
144520	148560	perfecto ya hay algunos rebords que la están pegando la están pegando mal
148560	153420	aparte porque o sea tenemos afganistán ustedes sus variantes cuántos países
