start	end	text
22500	28800	para que caso de los pájaros para que. Hay que tener una jaula, un abrido y ese.
32560	39020	El problema es que la deuda es como la fargopa, al principio es rica, pero después te mata.
39880	50660	Vos sabés que sí. Vos sabés que sí. Vos sabés que sí. Si esta copa es de leche, te la tomaste toda, te la tomaste toda chingüengüencha.
50760	56760	No sabes ni hablar, brutos. Váyale a estudiar. Acaba de contar la medicina porque me quitó un cuchillo
56760	58260	No puedo entrar en mi carro, loco.
65080	85220	No tengo la camarita arriba, no se va a aparecer la luz. Por eso, por eso, la zona está, gracias.
85220	88300	Levantame un papelito, levantame un papelito.
88380	93320	Yo estaba esperando las luces, las luces de esta producción que me indican aire, aire.
93860	96040	No importa, utilicemos algún tipo de método intuitivo.
96140	98780	Yo cuando creo que hay aire, hablo.
99020	102700	Cuando no hay, está, cuando no hay aire me entero del mix.
103600	106360	Cómo están compatriotas?
106860	109280	Cómo están felices?
109600	111280	Yo estoy extremadamente feliz.
111800	117180	Como todo lunes, estaba recién hablando acá con Luis,
118120	121320	el héroe de las operaciones, el héroe de las transmisiones,
121480	124140	con la furia de Ayana ahí en los teclados.
124640	127220	Quien no sabe lo que me acaba de mirar, me fustigó con la mirada
127220	129160	por dudar de su cartel de aire.
129360	130600	O sea, saben lo que es?
130600	132860	No, no, no te comés unas facturas de la furia de Ayana.
133180	137240	Y tenemos en piso a Maxi y a Flor.
137640	141100	Por primera vez en la historia de Maga, por primera vez.
141280	145280	Por qué? Porque ya fue la pandemia, ya fue.
145840	146960	No importa.
147360	149920	Esa es la línea sanitaria que vamos a bajar hoy.
150220	152580	Ya fue, ya fue.
153360	155800	Ya están todos vacunados, ya tienen todos.
156140	158720	Yo no tengo una sola dosis, no sé bien por qué.
158840	161760	Aparte, me dijeron que estamos afiladas ahí,
162060	164420	estás metiendo ahí, hay un frenesí en la cabina.
165180	165960	Cómo estamos?
166940	168400	Es así, no importa, hay festejos.
168480	170340	Calla festejos, calla sobre el poblamiento de cabina.
170340	174380	Metan gente a bailar, metan gente, metan gente, no importa.
174920	175600	Cómo es la campaña?
175680	176880	La campaña es para que todos vamos a volver a salir.
176920	178300	Ya fue, ya fue.
178420	179460	Nuestra campaña ya fue.
179900	180440	Ya está.
180760	182820	O sea, qué tan terrible puede ser nuestra campaña?
182900	184440	Tenés un montón de eslogas en la campaña.
184720	187060	Ya fue, qué onda, qué importa.
187280	188260	No es tan grave.
188980	190440	Están todos vacunados, dejáte de joder.
190500	191780	Cuánto más se estira, viste?
192220	194340	No, qué sé, yo sé, el presidente está de joda.
194560	195480	Están todos de joda.
195840	196780	Cuál es el problema?
197780	199240	No, no es su problema que lo diga.
199240	200300	Yo se lo hice todos los días él.
200880	202940	Alberto arranca los días hablando de esa foto.
203960	205200	Y si no le hace una pregunta,
205320	207160	che, no me querés preguntar algo de la foto, algo.
207760	208580	Él saca el tema.
208900	210160	A él le gusta hablar de eso.
211300	214380	Bienvenidos y bienvenidas a Maga,
215080	217660	compatriotas, el lugar, el santuario
217660	219420	donde hacemos la Argentina grande.
219560	221120	Acá vemos las imágenes de Luis,
221540	223180	Luis, la llama del teclado.
223320	224440	Mucho barbijo igual, Luis.
224660	227820	Hay que elegir más, más, más despreocupada.
227820	230960	Hay que profundizar en la línea estética con menor.
231180	234980	Cuidado, me pasa un mate, me pasa un mate detrás de cámara.
235200	235900	Eso, eso todo.
236280	238060	Hagamos un estado de excepción.
238200	240300	O sea, hoy hoy ya fue eso, ya fue todo.
241400	243900	Saben por qué también ya fue todo?
243980	245460	Saben por qué ya fue todo?
246360	249400	Quiero hablar, quiero hablar hoy, hoy.
249860	251320	El editorial de hoy se llama.
252060	254680	Vieron, vieron Canosa que arranca los programas
254680	256480	y nombra cómo se llama su editorial.
257480	259260	El editorial de hoy se llama
261460	262980	Necesitamos locos.
263520	265120	El editorial de hoy se llama
265120	268160	Quién preferís que gobierne?
268420	271640	Abre signo de pregunta, un loco o alguien racional?
271940	272960	Cierra signo de pregunta.
274160	275860	El editorial de hoy se llama
276840	277980	A dónde vamos?
279180	282180	Puede guiarnos una persona racional?
283180	283820	Dos puntos.
284440	285000	No.
286920	290180	Es uno de los títulos de la editorial de hoy.
290980	294220	Y vamos a empezar a abordar un problema.
294960	297080	Permítanme hablarles muy en serio esta vez,
297720	302520	porque vieron el manual de conducción de Perón,
302860	306240	Sun Tzu, Bon Klaus, Evitz,
306780	308700	todos, todos, o sea, Maquiavelo.
308920	311480	Todos te hablan de las cualidades del liderazgo,
311480	314120	de cómo conducir, de cómo esto, cómo lo otro.
314780	316040	Pero hay algo que no te dice nadie.
316580	317520	En serio digo esto.
317920	319240	Hay algo que no te dice ninguno.
319400	320380	Atiendan a esto, por favor,
320480	322100	anótenlo la primera verdad del día.
322780	324540	Hay algo que no te dice ninguno de ellos.
325300	327500	Y es que esto es 100% maga esto.
330020	332340	Para gobernar, para ser líder,
332940	335620	para guiar destinos, para mostrar un norte,
335720	338640	un horizonte, para construir un norte, un horizonte,
339920	343620	hace falta no solo que dice el resto, no?
343620	347200	No solo, si querías sostener una frase, vas a tener que aguantar.
347540	349740	Vamos a llegar, vamos a llegar, pero déjalo así, no importa.
351240	357280	Para todo eso, no solo hace falta sentir como siente el pueblo,
358100	362280	venir de la masa, salir de la masa que se pretende gobernar.
