start	end	text
4640	16260	para que caso estos pájaros para que hay tener una jaula con abrido y es el problema es que la
16260	24000	deuda es como la faropa al principio rica pero puede matar vos sabés que sí vos sabés que sí
25400	30160	vos sabés que si esta gopa de leche te la tomaste toda
30160	33020	te la tomaste toda chingüengüencha
33020	34820	no se ven ni hablar brutos
34820	35600	vaya a estudiar
36200	40580	acaba de contar la medicina porque me quita un cuchillo que puede quedar traficado loca
40580	41360	ah bueno no importa
51560	53680	como están compatriotas
54500	62580	como están como está ese maga como están a goberos como está la gente como está la patria en algún
62580	66780	punto como está la patria como está nuestro sentido el deber histórico como está nuestra
66780	73700	pasión como están nuestros sueños como están nuestras esperanzas como estoy yo preguntan como
73700	79520	estoy yo más o menos la respuesta de cómo estoy yo es más o menos voy a contarles ahora eso
80440	84520	vamos a ver de qué vamos a hablar también son muchos temas recién me preguntaba esta hora que
84520	90880	está esto ahora que el método se consume más allá de las fronteras de mi persona esto es algo
90880	96460	que pasa mucha gente hay gente nueva viste que siempre hay oleadas de gente entonces ahora está
96460	101100	pasando un fenómeno que hay un público nuevo y yo siempre a los públicos nuevos me interesa
101100	105100	tratarlos con algo completamente refractario entonces no me interesa recibirlos me parece
105100	109660	que la mejor forma de uno justamente involucrar un público nuevo es darle algo que no entienda
109660	114040	para nada meter una piña en la cara básicamente eso es lo que yo te van a hacer con la mayoría
114040	118420	de los contenidos que hago que es cruzar de una trompada sus rostros es un poco lo que
118420	122120	me interesa disfruto mucho cuando hay gente comentando en el método que no me conoce no
122120	126660	sabe nada por supuesto y agarre dice bueno voy a ver una entrevista y hay como enteros que dice
126660	131440	o sea es como que me gusta el formato pero por qué no para de hablar el pelado viste y esa cuando yo
131440	135740	eso me alegra porque sé que estamos creciendo a un punto estamos llegando a alguien que no
135740	141840	no son ustedes que están quemados no son ustedes que ya no hay viste no hay una disociación completa
141840	145820	con la realidad gente que todavía no está quemada gente que espera otra cosa y se encuentra y se
146380	152560	sorprende y me interesa eso me interesa sorprender y me interesa me interesa que pensemos estos
152560	157940	espacios como grandes lugares de congregación es una delgada línea porque no quiero no es ser
157940	165540	fractal no ser exclusivo excluyente perdón pero si es si es que la persona rápidamente quien entra
165540	169680	por la puerta rápidamente entienda todos los códigos del lugar rápidamente hay un ligero
169680	174800	momento de desaprensión y de confusión y después ya es uno más ya bienvenido ya está ya ya está
174800	179760	desnudo ya le echaron la billetera viste ya no sabe bien qué de carajo se metió y ya está ya está
179760	187920	entregado ya está relajado yo estoy más o menos porque me pasó me pasó lo que no me pasó nunca
187920	198340	en la vida que es que está convencido que este programa era a las 9 está convencido están se lo
198340	202940	dije a los productores antes de venir para acá le mandó escuchan está seguro que esto a las nueve de
202940	209220	la noche estaba re tranquilo en mi casa viste yo creo que eso es una a ver si no es una señal
209220	214260	inconfundible de una cb inminente pega en el palo digamos no es como no me pasó nunca en la vida
214260	218340	como estar a ese nivel entonces salía las corridas mal para llegar acá por supuesto este
218340	222480	encuentro para venir para ser parte y al mar que lo hice con bastante dolor de espalda porque me
222480	228500	está jodiendo la hernia de vuelta viste estoy estoy como desmoronando me físicamente quizás al
228500	233320	final de las elecciones yo como que cumpla mi propósito y me desvanezca en el aire viste
233320	238540	simplemente deje de existir como resuelven todos los agujeros narrativos en star wars viste las
238540	242800	mejores resoluciones narrativas del planeta cuando alguien ya como que cumplió su propósito se va
244760	250640	se fuma en el aire viste como en game of thrones también lo hacía la mujer roja me acuerdo que en
250640	254860	un momento simplemente se va caminando y se desvanece que se me pasa eso que está me estoy
254860	260280	desarmando a veces siento que me estoy como físicamente desarmando me pasa que por supuesto
260280	266860	yo estoy en mi objetivo de máximo esplendor y belleza física hacia fin de año hacia el 24 de
266860	271240	noviembre si no me equivoco mi máximo esplendor y me enrosco un poco que esta hernia atenta un
271240	277320	poco contra eso viste tengo una hernia y sales con tel 4 l 5 y estoy haciendo estoy yendo al
277320	283540	gimnasio pero saben que con con mi amigo laureano con la ubielsa con johnny robbins hacemos a
283540	287600	wechims viste unas cosas así como de bajísimo impacto como para no sentir nada y hoy me tiró
287600	292700	de vuelta digo pero la concha de su madre me tira la espalda no puedo están queriendo frenarme
292700	297960	están queriendo frenar mi máxima ascensión a la belleza viste estoy igual o sea no sé todavía no
297960	304300	se perturbe se planee vamos a llegar físicamente vamos a llegar ya estoy mucho más sexy que antes
304300	309420	de lograr notados obviamente también lo tuite dicen por dios no puedo más pero esto no es nada
309420	317120	esto no es nada en comparación hacia dónde vamos un poco más flaco consideren también que o sea
317120	322580	ahí pasa a veces el otro día me pasó me invitaron un asado ahí de la si vienen por primera vez este
322580	327180	programa entonces así no es normal me invitaron por primera vez un asado ahí del gremio de
327780	332260	informáticos informe sabían eso hay un gremio de informáticos estos muertos muy argentino son
332260	338700	tipo informáticos los ñoños del mundo los ñoños en sus en sus empresas están organizándose para
338700	342480	hacer a la argentina grande otra vez y tienen un gremio un sindicato y tienen que pelear la
342480	345660	personería un montón de cosas invitaron a comer un asado yo dije dale voy a ir voy a comer un
345660	350060	asado con ustedes con sus poderes que ven la matrix viste entonces estaba ahí en una de las
350060	355460	mesas en un momento vienen unos niños a saludarme unos niños una congregación de niños jóvenes
355460	361100	realmente estará acá porque estaban mierda de gente ya no podía pensar y vienen y me saludaron me
361100	368880	dijeron revort revort yo le dije sí sí sí soy yo y ahí hablamos viste uno uno de ellos rompió en
368880	376680	llanto no ellos así se se quebró viste se desmoronó se cubrió la cara dijo o revort y yo dije no no no
376680	383160	de pie de pie hijo mío le dije no no no su no su frais le dije así hablamos cuando nos encontramos
384080	390660	y uno de ellos me dijo todo esto iba a que uno ellos me dijo boludo pensé que eras más bajo el
390660	396700	twitch te hace más petiso lo cual es enteramente lógico porque ustedes siempre ven claro yo nunca
396700	404460	me cuenta que ustedes ven una imagen de mi torso yo soy extraordinariamente alto y esto es como soy
406700	411960	inmenso y los niños no entendían decía no esto no puede ser y me puse a pensar quizás yo tengo cara
411960	416400	de nano viste gente que tiene cara de nano ustedes saben eso porque me miran con decepción este es
416400	421380	el problema que ustedes producen hace más de un año o sea o si alguien no se las enentró por primera
421380	425160	vez lo entiendo pero usted no se puede hacer los sorprendidos eso o sea ya sabían cómo era el
425160	431600	contrato luis vos también o sea vieron que hay gente que tiene cara de nano viste roby williams
431600	441940	ponele no les pasó con roby williams no en un videoclip de roby williams luis luis ahí en el
441940	447860	chabón que videazo como era gran gran vídeo te daba miedo cuando eras pequeño ese vídeo te
447860	452020	habas confundido de roby williams tiene cara de nano vos lo ves a roby williams ve su rostro es
452020	457800	una foto decir que petiso es de este chabón y roby es altísimo boludo es gigante bueno capaz yo tengo
457800	462140	cara de nano no lo sé nunca me lo puse a pensar no era para mí una de las de las posibilidades viste
462140	467060	así simbólicas pero puede ser puede suceder viste entonces me decían che boludo son muy altos yo
467060	472380	soy gigante viste y esa era nuestra conversación una conversación normal con agoveros con gente
472380	480720	como ustedes yo te no le voy a mentir yo no soy o sea yo mido casi 1 90 casi 1 90 si lo importante
480720	486220	es que si estos agoveros hablan de mí en otro lugar digan que yo mido como 2 metros 6 entoné o
486220	490860	que digan que soy un enano también me sirve cualquiera pero me sirve afirmaciones contundentes me
490860	494480	sirve que la gente afirme cosas que se contradigan entre sí yo ustedes no les voy a mentir porque
494480	500300	programa se basa en eso en este programa este este se los digo siempre es mi espacio de mayor
501580	505460	confianza esto para mí es terapéutico yo acá me abro yo acá estoy desnudo no les voy a mentir si
505460	510220	estamos en otro lugar yo ustedes digan que yo mido un metro 95 pero no es verdad yo me veo casi
510220	514880	uno no llego al 1 90 estoy ahí arañándolo pero bueno esta gente cree que soy enano lo cual
515420	523920	es muy gracioso mostraría las dos cosas que haya gente afirmando que me vio y que hablamos y que
524520	531320	como 2 metros 10 entonces como yaquilo nil y creo que podemos hacerlo saben por qué creo que
531320	537500	podemos hacerlo y saben por qué quiero hablar con ustedes todo está relacionado las hernias la
537500	546180	altura nuestro alcance el destino porque no tantas personas tienen núcleos o comunidades como la
546180	552540	nuestra como maga como los agoveros o sea no tantas personas tienen esto y yo quiero abrirme con
552540	556820	ustedes al respecto no sólo en mi inminente acb no sólo de mi hernia no sólo de mis encuentros
556820	563500	con jóvenes sino también con un pedido quiero pedirles algo nunca les pido nada y ustedes lo
563500	570500	saben nunca les pido nada salvo que me consuman unas ocho horas a la semana salvo que hablen
570500	577080	conmigo más que con sus padres no les pido nada nada les pido nada ni un peso ya me lo dan con
577080	581540	sus impuestos nunca les pido nada saben qué me está pasando últimamente que mucha gente que
581720	588440	el método me dice que hace un método con viste no sé hace un método con tal hace un método con
588440	593360	tal otro no un método con tal viste me lo piden hacelo hacelo yo les quiero decir algo a ustedes
593360	597700	sólo se los dio ustedes en otro lugar no voy a decir esto ustedes creen que no se los no se
597700	605400	no no no contacte ya esa persona o sea créanme créanme que los métodos que a ustedes se les
606920	613100	yo muero por hacerlos pero muero a niveles psicóticos y en un momento dije para si hay
613100	620000	un ejército de psicóticos lo podemos lograr yo no o sea lo que necesito de ustedes no es que me
620000	625980	sugieran a mí qué método hacer necesito necesito hacer como los simuladores viste cuando lo hacían
625980	630640	una campaña uno para que crean que era un tema global en todas partes yo necesito que yo necesito
631260	636540	no necesito tanta no tenemos tanta plata pero necesito por ejemplo que fantino que en frente
636540	640420	de la casa de fantino hagamos una tirada de afiches y le empapelemos la casa con el método
640420	644800	que todo el recorrido de fantino al estudio intratables está empapelado con el método
644800	650340	que se cruce justo uno por la calle volanteando y diga a hablar del método que el tipo que está
650340	655060	pasando con esto necesito ese efecto necesito que las personas que quieran ver en el método vayan y
655060	659460	escriban entender que era en un método con más latón que era en un método con más latón yo estoy
659460	665600	hablando pero no es suficiente saben si yo yo no lo voy a hacer no lo voy a hacer porque tengo
666240	673360	códigos pero saben las que me dan o sea las excusas que me han puesto para no me van a hablar no me
673360	677140	van a hablar boludo porque me están haciendo hablar no me van a hablar boludo yo les hablé
678120	686780	algunos ponen excusa hay chats hay chats hay gente que es gente que le da cosa ir al método gente
686780	691120	que da miedo gente que no quiere el método es un lugar feliz es un lugar cómodo no es un lugar de
691120	695560	nadie te va a hacer una trampa y viste es un lugar de recepción de felicidad entonces mi sugerencia
695560	701260	para arrancar hoy entre hernias de disco dolores de espalda estaturas incomprobables peso específico
702420	708680	y un riesgo de acb es creemos ese futuro tenemos la masa crítica para hacerlo es la misma lógica
708680	714660	que con la política prefiguremos lo que deseamos ver prefiguremos lo hagamos seamos eso que fantino
714660	724040	tenga 400 mensajes al dm de instagram cuántas personas hay acá 597 597 más la tono fantino
724040	730660	decidí vos tírenle a todos pero vamos volvamos loco fantino loco fantino loco fantino a los dos
731340	740500	al que sea 100 o sea somos 597 597 mensajes al dm de fantino che y todos originales fantino
740500	746540	escucha y un programa que tenés que ver no está así empecemos a hacerlo como deporte como práctica
746540	751760	y algún tiro va a entrar así como es la ruleta viste si le ponemos muchos números va a pasar
751760	756340	pero el formato viene bien y se los agradezco y estoy muy contento con todo lo que estamos
756340	761620	haciendo y es por ustedes es por esta más por este lugar por este núcleo duro este programa
761620	766460	inexplicable una persona que recién me llevo un mensaje hoy o la recién empiezo a consumirte
766460	774140	es maga que es maga me pone como carajo le contestó que es maga no se puede contéle ustedes
774140	781260	que es maga quizás está acá démosle la bienvenida ahora sí de lo que quiero hablar hoy llegando al
781260	788780	tema de hoy 11 39 39 88 88 máximo dijiste tenemos un audio igual tenemos audios a ver
789060	793220	a ver de qué hablan ustedes a ver que tenemos
795500	803740	bueno creo que yo también estoy viendo un desmoronamiento a ver y estoy muy mal
805940	809740	el resto puede confirmar si viene como el ojete
811370	819810	y nada yo te vi el otro día y era muy petiso eso que mío unos 56 igual que yo gracias
822550	827010	gracias compatriota qué lindo que es este programa la puta madre se dan cuenta lo que
827010	833150	pasa se dan cuenta lo que pasa no hay no hace falta en temas uno acá abre su corazón cuando vos le
833150	837990	ofreces a la gente tu corazón en la mano la gente generosa y es difícil decir esto en un mundo tan
837990	842670	como el que vivimos porque acá reina esta cosa de la gente es mala viste todos siempre te quieren
842670	846370	matar y es verdad que hay mucho de eso es verdad que mucha bronca mucho odio en redes sociales
846370	854990	mucha cosa pero también hay mucho amor y si vos lo ponderás el amor la le gana por mucho a los
854990	859890	refutadores de leyendas acá me pasa yo lo veo lo veo en youtube donde tanto hay uno que me mata
859890	865350	me liquida pero muchos tipos que lindo esto che gracias la gente está agradecida boludo la gente
865350	870550	agradecida porque si mirar a lo que decía la compatriota son tiempos bastante de mierda y
871430	876830	nosotros y acá hablo con cierta licencia generacional porque hay un cierto target
876830	881710	generacional viste que nos entendemos generación en sentido amplio viste no no es estricta pero
881710	886410	generación sentido amplio y hay una búsqueda de sentido medio extraña que nos está pasando
886410	894430	entre la pandemia el fin del mundo la la adultez de estreno la angustia de la nueva realidad viste
894430	900410	hay una cosa de que mucha gente mucha gente yo incluido estamos saliendo de un proceso donde
900410	905390	las cosas eran ordenadas y lineales para darnos cuenta que todo es una gran masa de mediocridad
905390	913810	amorfa angustia y incertidumbre existencial y ahí entra maga y ahí entra maga y por eso nos
913810	918250	encontramos que una copoteta que se me cae sin ribotril pero tengo maga así que estoy estable
918250	925850	por 40 minutos más estoy estable quedamos nosotros misiones misión 1 fantino al método
926490	933750	misión 2 más latón al método ven cómo funciona ahora esta compatriota tiene propósito se acuerdan
933750	942150	victor franklin sobreviviendo a los campos de concentración escribió un librazo victor
942150	947490	franklin y como se llamaba no me acuerdo ahora el título del libro victor franklin pero es muy
