start	end	text
840	3240	sobre las cartas de la mesa
3240	5320	para que cazó estos pájaros?
5560	5760	para qué?
5860	7300	hay que tener una jaura
7300	8000	con un abrigo
8780	9860	y ese
12860	14860	el problema es que la deuda
14860	16140	es como la faropa
16140	18280	al principio es rica
18280	19540	te mata
19540	21340	vos sabés que sí
21340	23000	vos sabés que sí
23800	24860	vos sabés que sí
24860	26620	si esta copa es de leche
26620	28100	te la tomaste toda
28100	30080	te la tomaste toda
30080	31100	chingüengüencha
31100	31960	no sabés ni hablar
31960	32800	brutos
32800	34240	vayan a estudiar
34240	35560	acaba de cortar la medicina
35560	37000	porque metí que era un cuchillo
37000	38020	al que podía quedar trificado
38020	38440	loco
38440	38920	ah bueno
38920	41440	ahí nada más que joder
41440	55060	te voy a pedir igual
55060	55660	cortame
55660	56900	sin música
57680	58240	seco
58240	58900	seco
58900	59740	nada
59740	61960	y necesito eso
61960	62840	si, si
62840	63660	hagamos otro clima
63660	64420	hagamos otro clima
64420	65100	a ser posible
65100	66120	a ver ahí
66900	67100	podemos
67800	68780	a ver esto
68780	69300	cómo estamos
69900	70080	ahí
70900	71020	así
71020	71760	si
71760	72520	esto
72520	75080	este es un poco el clima
75080	76900	yo quiero recibir
76900	77460	hoy
77460	78540	a la gente
78540	80580	a los agoveros de siempre
80580	81700	que siempre nos acompañan
81700	83200	y la gente que vino a ver qué onda
83900	85140	la gente que vino a putear
85140	86340	y será puteada
86340	87720	la gente que vino a bancar
87720	88620	y será bancada
88620	89800	y la gente de afuera
89800	91740	porque ustedes saben que maga es
91740	92340	pluri ideológico
93000	93520	pero bueno
93520	94740	hoy por hoy si vos sos de afuera
94740	95700	y querés ver cómo el peronismo
95700	96460	se caga trompada
96460	97000	venís acá
97000	98160	¿quién no quiere ver cómo el peronismo
98160	98780	se caga trompada?
98800	100520	hay que recuperar un poco de eso también
100520	102340	así que les quiero dar la bienvenida
103380	104600	el maga de hoy
104600	106620	va a tener una dinámica
106620	107500	de taller
109580	109980	taller
109980	110720	sí
110720	112300	me escucharon bien
113000	113400	taller
113400	115120	¿por qué es lo que necesitamos?
115120	116240	no, no, sí
116240	116740	no, nada
116740	117240	nada
118120	119220	yo sé que vos querés bailar
119220	120120	todavía no
120120	120900	todavía no
120900	123120	la furia daiana en los controles
123700	124960	dame un segundo
124960	127600	vamos a tener una dinámica de taller
127600	129120	tres etapas tiene este maga
130040	131000	etapa inicial
131000	132140	apertura
132140	134300	con lo que dé
134300	136560	etapa intermedia
136560	138120	en la etapa intermedia
139120	140840	después de la tanda
140840	142720	ustedes saben que acá manejamos los tiempos radiales
142720	143600	con maestría
143600	144540	después de la tanda
144540	146880	la etapa intermedia va a ser de cagarse a trompadas
146880	149020	nos vamos a decir de todo
149020	151980	vamos a decir lo que sea que necesitamos decirnos
151980	153600	y aparte lo vamos a hacer a cielo abierto
153600	155360	ya no se usa más eso de no
155360	156920	los trapitos sucios se lavan
156920	157540	no, no, no
157540	158520	cuando vos sos el peronismo
158520	160280	te cagás a piñas en un descampado
160280	161540	y si podés traes cámaras
162100	163480	porque necesitamos eso
163480	165140	vamos a purgarnos
165140	167340	en fuego y sangre
167340	169020	vamos a morir
169020	170220	y renacer
170220	172440	y la tercera etapa
172440	173640	el acto final
173640	176020	una vez purgados nuestros pecados
176020	177280	vamos a ver
177280	178660	vamos a ver
178660	179800	cómo nos encontramos
179800	180980	cómo salimos
180980	182640	vamos a comparar nuestras cicatrices
183560	185040	vamos a ver
185040	186680	nuestros dolores
186680	188640	en el ojo del compañero que nos pegó
190300	192260	miren lo profundo que estoy diciendo
192260	194380	vamos a todo ensangrentado así
194380	195660	vieron como en el club de la pelea
195660	197600	esa hermandad psicótica
197600	198560	después de cagarse a piñas
198560	199920	vamos a vernos
199920	201900	reflejados en el ojo del otro
201900	203180	vamos a ver su sangre
203180	204120	nuestra sangre
204120	204900	en su rostro
205500	207000	y vamos a darnos las manos
207000	207840	sí
207840	209680	eso va a pasar
209680	211300	en este MAGA
211300	212600	y me gustaría empezar
212600	214020	ya que es un taller
214020	216080	ya que es un taller
216080	217900	me gustaría darle la bienvenida
218600	219900	a las nuevas generaciones
221100	222520	ustedes saben que
222520	224940	MAGA es escuchado por muchos
224940	226820	niños, niñas, niñas
226820	229040	es escuchado por les pivis MAGA
229040	230820	hay pequeños sexy niños
230820	232380	que escuchan MAGA
232380	234180	para saber qué hacer con sus vidas
234180	235020	para buscar verdad
235020	236100	como cualquier agovero
236100	237700	o no tan agovero
237700	240360	y hay pibes que se están comiendo
240360	242120	su primer gran pijazo electoral
242820	243960	vamos a decirlo así
243960	245560	MAGA no edulcora las cosas
245560	246580	si quieren edulcorante
246580	248240	vayan a otros programas
248240	250220	hay pibes, pibas, pivis
250220	252300	que arrancaron con el macrigato
252820	253140	viste
253140	254160	no, macrigato
254160	255240	tiempos simples
255240	256900	simple times
256900	258080	todo era horrible
258080	259820	y todos pegamos para el mismo lado
259820	261440	si vos arrancaste así
261440	262980	vos ganaste
262980	264180	viste, épica
264180	265920	las elecciones se ganan
265920	268000	primera gran mentira
268000	269440	primera gran mentira
269440	271340	y hoy por hoy están lidiando por primera vez
271340	272200	con frustración
272200	273180	con fracaso
274080	276040	algo de lo cual algunos de nosotros
276040	277380	sabemos un poco más
277380	278260	no mucho
278260	279340	pero de perder
279340	281400	sabemos un poco
281400	282780	quiero que nosotros
282780	283940	vamos a hacer una cosa
283940	284480	esto es taller
285080	286640	taller, 100% taller
286640	288080	quiero que en sus casas
288080	288900	en el twitch
288900	290460	levanten las manos
292100	292980	quiero que
292980	294640	quiero que si vos estás escuchando esto
294640	295460	en la soledad de tu hogar
295460	296280	a las 3 de la mañana
296280	297000	por spotify
297000	297940	también solo
298640	298820	desnudo
298820	300060	todo masturbado
300060	300700	viste, todo
300700	302820	lleno de tus propios fluidos
302820	304080	también en soledad
304080	304860	levanten las manos
304860	305800	y esto te compete
306400	307860	quiero que levanten las manos
307860	308580	las personas que
308580	310000	no me voy a ir mil años atrás
310000	311200	quiero que levanten las manos
311200	312420	las personas que
