start	end	text
1520	5020	No es para meter presión, pero te aviso que voy a escuchar todo el programa.
5280	6960	Lo voy a ir desgrabando mientras lo haces.
7300	9800	Me van a hacer cosas que digas alguna nada, ¿viste?
10740	12720	O pereta reborto y empezar a decir.
13000	14160	Es muy original, por cierto.
19220	21760	Queridos compatriotas y contribuyentes,
22500	26560	eso que acaban de escuchar son las palabras de la directora de este medio,
27860	28900	Michaela Luzardi.
29980	32260	Díganme qué les parece eso
32260	35280	si no es acaso una presión patronal, ¿no?
36480	38400	Así arrancan muchas cosas, ¿vieron?
38500	41100	Hay como etapas a la hora de hacer un producto,
41900	43280	en aras de la contratación.
43880	46980	Está lo que se llama la etapa previa, la seducción,
47420	50540	donde es tipo, no, vos venís,
50820	52780	vas a decir lo que quieras,
52940	54760	vas a tener lo que quieras,
54760	57760	va a haber Spotify, va a haber transmisiones,
58680	61520	va a haber Twitch, va a haber todo.
62340	65940	Y está la segunda etapa que es la que transitamos,
66540	68340	que es la etapa de los hay que ver,
69280	71680	la etapa de los bueno todavía no,
72600	74400	la etapa de surgieron cosas,
75400	77940	porque siempre, siempre, siempre
77940	81760	la verdad es algo que la gente dice preferir,
81760	84980	pero frente a la verdadera verdad,
85960	88580	cuando se la escucha genera a veces algo de escozor,
88660	89760	algo de molestia.
90840	93760	Este programa no va a ser silenciado.
95140	98140	Desde esta pequeña trinchera de verdad
98140	100640	que hemos cavado en Nacional Rock,
101180	103200	seguiremos hundiéndonos,
104080	106460	pertrechándonos en defensa de quien sea,
106500	108560	porque la directora de este medio puede tener
108560	111680	a todo su medio lógicamente alineado
111680	113460	con su voluntad,
113780	115760	pero MAGA es un espacio libre.
116280	117600	En MAGA no hay reglas.
117900	121020	MAGA es una zona liberada
121020	123920	en la cual nuestro único objetivo,
124540	126540	a pesar de propios y ajenos,
126940	130280	es hacer a la Argentina grande otra vez.
130920	132940	Bienvenidos y bienvenidas
132940	135680	a esta nueva edición de este gran programa.
135740	137080	Bienvenidos a MAGA.
143520	145420	La pelota no...
145420	147800	La pelota no se va a echar.
148200	149240	¡Carajo de mierda!
149700	150760	¡Carajo de mierda!
151080	155100	Se van a remontar a la distratófera.
155380	156840	Usted tiene que arrepentirse de lo que dijo.
156900	157600	No, no me voy a arrepentirse.
157620	159680	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
159680	161800	¡Ay, si querés llorar, llora, papi, papi, por favor!
161940	162780	¡No, no, no, no!
163120	164200	¡Vaya bien!
165860	167440	No soy diputable, hermano.
168140	168540	Solamente soy diputable.
168540	170260	Me parece que tengo el temor a Dios.
170860	172460	Y a mí, en todo caso, también un poquito.
172660	174460	¡Pará, pará, pará, pará, pará!
174840	177020	Con 15 pesos me hago alto guiso.
187840	190680	Bienvenidos, bienvenidas, contribuyentes.
191040	193640	A pesar de los aprietes patronales,
193760	197820	a pesar de las piedras que nos tiren los hippies,
197820	200880	a pesar de las operetas judiciales
200880	202920	que están en marcha contra este ciclo,
203140	204300	contra viento y marea,
204840	207740	se sostiene este espacio nacional, este encuentro,
207940	210400	este lugar donde debatimos aquellos temas
210400	213740	que tocan el filamento más íntimo de nuestra argentinidad.
214420	217320	Ustedes saben, construimos un espacio
217320	221520	en el cual nos referenciamos en esto, en lo maga,
221780	224060	en esa quinta esencia de lo argentino
224060	226160	que detectaba hace tantos años ya
226160	228580	el compañero Scalabrine Ortiz.
228740	230200	Y ustedes también pueden ser parte de esto,
230320	232240	no solo en los temas que vamos a tocar hoy,
232360	235380	que son lo más necesario de la actualidad,
235400	237940	lo que necesita nuestro espíritu, nuestra alma,
238820	240500	sino también con audios, ¿no?
240500	242480	Yo, por programa, ya voy a tener la política
242480	244360	de decirlo una sola vez esto porque, insisto,
244400	247620	el teléfono es tan fácil que ya me indigna repetirlo.
247920	250300	Se repiten siempre, o sea, son las mismas cifras siempre.
250520	254000	Es 11, 3939, ¿sí?
255140	256100	88, 88.
256760	259960	O sea, si te aprendes dos sucesiones de números,
260180	261720	ya tenés el teléfono de acá.
262220	263760	Te recomiendo que te lo agendes, que te pongas
263760	267280	Nacional Rock y que participes, que nos mandes
267280	269600	lo que sea que se te pase por la cabeza
269600	273160	y de lo que creas es necesario hablar también.
274680	276140	Hoy temas no nos faltan.
276460	279600	Esto es un poco... yo lo quiero confesar, ¿no?
280680	283420	Porque esto para mí es un espacio de intimidad.
283420	286880	Esto yo creo que es algo así como...
286880	289260	como el primer cordón del delirio, digamos,
289380	291000	si tuviera que definirlo de alguna manera.
291380	294380	O sea, alguien que se presta a escuchar un programa de radio
294380	297040	en una emisora nacional de un tipo hablando solo
297040	299620	muy bien no tiene que estar, ¿no?
299820	301040	Pero esto es un elogio, ¿eh?
301440	303740	Esto, o sea, a la persona que esté del otro lado,
304360	306660	quiero que sepa que tenemos un lazo quizás más íntimo
306660	308660	y más profundo que con cualquier otro producto.
309160	312300	Son el primer cordón del delirio argentino.
312300	314780	Son gente que probablemente es sola,
315780	320040	que está escuchando un lunes a las 8 de la noche mi voz y nada más,
321240	324660	y que necesita un propósito, necesita creer algo.
325500	328680	Entonces, ¿por qué digo que son al mismo tiempo los más valiosos?
328700	332380	Porque ustedes son la materia prima que, por ejemplo, recuperó Jerusalén.
333020	334020	¿Se entiende lo que trato de decir?
334140	339800	O sea, ustedes son de lo que están hechos los héroes
339800	342420	y también las cosas más terribles de la historia.
342580	345800	O sea, ustedes son esa potencialidad activa y ustedes son maga.
346620	349680	Y aunque les digan lo contrario, en los días malos recuerden esto.
349760	351920	Ustedes recuperaron Jerusalén, ¿se entiende?
354280	356040	Díganse eso cuando estén bajoneados.
356300	358180	Yo recuperé Jerusalén.
359340	364480	Y juntos vamos a Argentina Grande con la que San Martín soñó
