start	end	text
0	2060	de nación nacional
2820	5400	hay pan pan, hay vino, vino
6460	8880	sobre las cartas de la mesa
8880	10860	¿para qué cazó a esos pájaros?
11120	11340	¿para qué?
11440	15460	hay que tener una jaura, un abrido y ese
19000	21700	el problema es que la deuda es como la faropa
21700	23700	al principio es rica
23700	25020	pero después te mata
25020	26740	vos sabés que sí
26740	28000	vos sabés que sí
29200	30500	vos sabés que sí
30500	32100	si esta gopa es de leche
32100	33760	te la tomaste toda
33760	36000	te la tomaste toda chingüengüencha
36680	38480	no se ve ni hablar, brutos
38480	39900	vaya a estudiar
39900	44220	acaba de contar la medicina porque metiste un cuchillo y te fue a quedar traficado, loca
44220	46780	ah bueno, no hay nada más que molir
50260	51060	eh
55920	58780	¿Cómo andan compatriotas? ¿cómo andan?
59780	60680	¿Cómo están?
61340	62780	agoberos, agoberas
63360	64960	¿cómo están?
65220	66780	yo, como siempre
66780	69400	feliz, feliz de encontrarlos acá
69400	70780	feliz de encontrar este equipazo
71360	72860	feliz de tener
72860	75520	maga, ¿no? el espacio donde nos encontrábamos
75520	79320	reflexionábamos, ponderamos los hechos de máxima fineza metafísica que se
79320	83400	dan en nuestro territorio nacional y los analizamos juntos, ¿no? Les pido disculpas
83400	87480	por la vez pasada, no pude pasar muchos audios, por muchos audios quiero decir
87480	91240	ninguno, ¿no? No pasé ningún audio, pero había mucha, había mucha verdad que
91240	95900	derramar y hoy, hoy les advierto, hoy les advierto el programa que hoy viene
95900	102380	parecido, porque hay mucha verdad, mucha verdad que decir, demasiada, por momentos
102380	108540	me duele y este va a ser un programa, lo sienten, sienten eso, sienten el peligro
108540	112660	de este programa, hay un nivel de peligrosidad en este programa que es
112660	118300	inusitado, hay mucho peligro, máximo peligro, es más, le diría a las personas
118300	121520	que no están dispuestas a exponerse a semejante nivel de peligro que, que se
121520	126000	vayan, que se vayan, porque hoy es jodido, hoy tenemos un par de cosas complicadas
126000	129200	para decir, permítanme exponer rápidamente algunas cuestiones de
130180	134480	nosotros vamos a hablar ahora durante este, ya saben, primer maga bloque de
134480	137820	algunas erupciones espirituales que se dieron en la patria, hubo mucha
137820	141540	discusión durante el fin de semana, mucha discusión, mucha discusión, vamos a hablar
141540	144900	un poco de esas discusiones, porque ustedes saben, ustedes saben, quizás los
144900	149300	nuevos no, pero tenemos principios en maga, ¿no? Tenemos principios dogmáticos, uno
149300	152320	de los cuales, ¿cuál es? Ustedes ya lo saben, ¿cuál es? ¿Cuál es uno de nuestros
152320	156720	principios fundantes? No hay discusiones teóricas, solo hay diferencias
156720	160920	espirituales, ¿no? Ese es uno de nuestros principios fundantes, y durante el fin de
160920	165380	semana se dieron muchas discusiones de orden espiritual, muchas discusiones de
165380	170860	orden espiritual, vamos a estar elaborando un poco eso ahora, ya. Durante
170860	174200	el segundo bloque vamos a hacer un análisis metafísico de la composición
174200	178600	del nuevo gabinete, no un análisis político, no los curros de todo, ya, ya
178600	182060	para los curros lea la nota de alguien, viste, tipo, no, lo que pasa con este
182060	188680	gabinete, no, no, no, eso ya, eso ya existe, acá hacemos análisis metafísicos y
188680	192140	análisis del orden de lo espiritual, de lo que está pasando con el nuevo gabinete,
192200	196220	eso es el segundo bloque, y en el tercero podemos hacer un foro más abierto, una
196220	200280	cosa a mover como llegamos también, porque insisto, hay mucha carga, hay mucha
200280	205420	carga para lo que hay que hablar, ¿eh? Arrancando por lo primero, las diferencias
205420	210620	de orden espiritual, ustedes saben, ¿no? Que se anunciaron los cambios de gabinete,
210620	213380	si no me equivoco fue el viernes a la noche, vieron, el tiempo es confuso en la
213380	217040	República Argentina, creo que fue el viernes a la noche, y ya ahí saltaban
217040	221580	todos a la puteada, viste, no, que esto lo otro, yo pienso que este yo, le voy a
221580	225320	decir de vuelta, eh, de vuelta, no me interesa hacer análisis, quieren venir acá a
225320	229740	buscar la posta, acá no está la posta, acá no, no, no, la posta está en otro lado, se
229740	234520	fue, la posta está ganando en dólares, cobrando en dólares, y laburando así para
234520	239460	una consultora yanqui desde billiortuzar, ahí está la posta, acá estamos los que
239900	244420	estamos en el fondo del pozo, ¿sí? Está por supuesto Carly, está ahí, no la ven,
244560	248320	Carly, Carly está, no solo pelada, tiene barba, tiene tres hijos y está afiliada
248320	253300	a UPSN, ahí está Carly, bancando los trapos, está como siempre Jorge Piba,
254180	258160	Jorge Piba tiene mucha plata, pero viene acá este programa, tenemos compañeros
258160	261600	libertarios que se han incorporado, tenemos compañeros troscos, como siempre,
261920	264740	tenemos gente de derecha, de izquierda, en este programa es transversal a las
264740	268340	ideologías, transversal, incluso cuando analizamos los hechos más salientes,
268340	272300	viste, porque podemos analizar a cualquier partido, a cualquier movimiento, e incluso
272300	277500	en esa transversalidad de ideologías hay mucha sintonía espiritual a encontrar,
277580	281180	porque cuál es el único pre-requisito que te pide Maga, querer una Argentina
281180	285300	grande, otra cosa, otros nuestros principios dogmáticos, vos podés tener
285300	288140	cien mil diferencias con una persona, pero si le decís, ¿cómo crees que es la
288140	293780	Argentina? Grande, perfecto, venía Maga, vamos a hablar, vamos a hablar, ¿yo qué
293780	298820	sentí al respecto del gabinete? Sensaciones, intuiciones espirituales,
299900	303620	alivio fue lo primero que sentí, si tengo que decirlo en una palabra, alivio
303620	310580	común, ah, eso sentí con el gabinete, ¿sabes por qué? Porque se hizo algo,
311340	317640	algo, ya vamos a hablar del gabinete, pero antes del gabinete quiero hablar de cómo
317640	323500	sintieron otras personas, porque en ese sentir está todo, en una gota de
324180	329180	emoción caben todas las ideologías del mundo, ¿escuchaste eso? ¿Escuchaste el
329180	333000	nivel de belleza de lo que acabo de decir, aleatoriamente? Es como la frase de
333000	336660	Martí, de que en un grano de maíz cabe toda la gloria del planeta tierra, bueno,
336720	341360	en una gota de emoción caben todas las ideologías del mundo, no hay
341360	345560	diferencias teóricas, entonces los que sintieron otra cosa con el anuncio del
345560	352280	gabinete, están expresando algo que les pasa, y lo quiero analizar también, lo
353160	359280	el famoso, el no es por ahí abuelas, no, llamémoslo el no es por ahí abuelismo,
359620	364180	sí, el no es por ahí abuelismo se expresó mucho durante el fin de semana,
364820	367900	¿por qué? ¿qué es lo que pasa? ¿qué es lo que pasa? Voy a decir algo que es muy
367900	372580	polémico, ¿eh? Vieron que el peronismo siempre gusta de joder con el hecho de
372580	378020	que todos somos peronistas, hasta que se demuestra lo contrario, ¿no? La famosa, la
378020	381420	famosa, no, pasa que vos sos peronista pero todavía no te diste cuenta, ¿no?
