start	end	text
60340	61280	¿Vos sabés qué es?
62860	63860	¿Vos sabés qué es?
63980	65720	Si esta copa es de leche
65720	67360	te la tomaste toda
67360	70280	te la tomaste toda, chingüengüencha
70280	72060	No sabes ni hablar, brutos
72060	73480	Váyale a estudiar
73480	76360	Acaba de contar la medicina porque me quitaron un cuchillo
76360	77720	de pepocas electrificadas, loca
77720	79160	Ah, bueno, no importa
79160	80940	Ayudadme que me venga
90820	93080	¿Cómo andan, compatriotas?
93120	94040	¿Cómo les va?
94520	96480	¿Cómo les va? Están felices
97000	99220	Felices de integrar este encuentro
99220	100980	Este encuentro semanal
100980	102680	El lugar en el que nos encontramos
102680	105160	El lugar en el que ordenamos nuestra agenda cotidiana
105160	106680	Vení, vení, pasa, pasa, Cali
106680	108140	Vení, pasa, pasa, Cali
108660	110840	¿Querés saludar a la cámara, Cali? Vení, asómate
110840	111700	Asómate, vení
111700	112920	Él es Cali
112920	113780	Él es un amigo
114560	115040	Hola
115660	117580	Vení, sentate por acá, Cali
117580	118420	Hoy vino Cali
118420	120680	Que es un amigo mío, vino, vino Cali
120680	122480	Ahora les voy a contar, ahora les voy a contar
123220	124080	¿Viniste a ser?
125060	126640	Una full experience
126640	128280	Inmersiva en MAGA
128280	130980	Es un testigo privilegiado lo que va a estar pasando
130980	132820	Pero, atención, eh
132820	133440	Atención
134040	136560	Porque no va a ser solo Cali
136560	138820	Hoy, hoy vamos a arrancar
138820	140500	Este programa con unos
142060	142940	Anuncios, anuncios
142940	144860	Porque es un programa que ya ha llegado a un nivel
144860	146360	De investidura generalizado
146360	147440	Con la gente que viene
148000	150040	La gente puede decir es Carly, no, no es Carly
150040	151440	Es Cali, es muy parecido
151440	152580	Muy parecido
153040	154620	Vamos a arrancar con unos anuncios
154620	156940	Y atención, gente, por favor
156940	159400	La gente en su casa saque
159400	160960	Para anotar
160960	163000	Lapiz, papel, lapicera
163480	164860	Analógico, tiene que ser analógico
164860	166880	No, no, celular no vale, sí, anoten, eh
166880	168680	Anoten, gente, empiecen a anotar
168680	171180	Vamos a hacer algunos anuncios
172120	172480	Anuncios
172480	174480	Anuncio uno, bienvenida
175320	176920	Es una gran bienvenida
176920	178480	Porque estos últimos programas Cali
179840	181040	Es tan random
181040	182480	Es espectacular
183840	185260	Si quieres tener el micrófono
185260	186240	Si quieres hablar
187660	188480	Este programa
189020	190660	Las últimas semanas
190660	192900	Tuvo un aumento de su exposición
192900	194140	Random, entonces vinieron
194140	195900	Somos más personas que lo habitual
195900	198240	Después de ciertas exposiciones hubo una regulación
198240	199980	De un piso más alto que antes
199980	201080	Eso significa
201080	203860	Que hay nuevos agoveros y agoveras
203860	205480	Hay nuevas personas
205480	207940	Y yo lo veo porque me está escribiendo mucha gente
207940	209040	Mucha gente
209040	210580	A mis distintas redes sociales
210580	212280	Me escribe, me escribe, me escribe
212280	213920	Y yo les quiero dar la bienvenida
213920	215880	Y me gustaría que todos los agoveros les demos la bienvenida
215880	218300	Porque nosotros no tenemos ningún síndrome de vagón lleno
218300	219040	Ni un carajo
219040	221420	Siempre es mejor que la gente se suba
221420	222600	En el momento que sea
222600	225100	No hay, no, yo estoy desde cemento
225100	226740	No, las bola, las bola
226740	228000	Porque el que cree que está desde cemento
228000	230620	Ni siquiera eso era cemento, había un cemento antes de cemento
230620	232920	Entonces acá se sube el que quiere cuando quiere
232920	235080	Y los agoveros siempre lo recibirán
235080	237100	Con un abrazo de amor y fraternidad
237780	238980	Habiendo dicho eso
239860	241340	Yo creo que a esta altura
241340	242640	Esto es parte del anuncio
242640	246100	Todo esto lo están anotando, sigan anotando todo esto
246100	247380	Habiendo dicho esto
247380	249200	Yo ya conozco la curva
249200	250520	Del consumo reward
251260	253520	Hay una curva del consumo reward
253520	256440	Que yo me he cansado de ilustrar
256440	257440	Una y cien veces
257440	259140	Que funciona así
259540	261740	Sujeto entra en contacto con cualquiera
261740	263660	De estos productos, cualquiera de estos productos
263660	265400	Corrosivos que son como el plutonio
265400	267460	Es como uranio, uno entra en contacto con eso y lo empieza
267460	269180	A quemar, viste
269180	271460	¿Qué le pasa a esa persona? Esa persona en general
271460	273860	Hay una primera etapa, o de fuerte rechazo
273860	275740	En general, o de fuerte fascinación
275740	277920	O es tipo, esto es una mierda, esto es lo peor que me pasó
277920	279560	O es tipo, wow, esto está buenísimo
279560	281120	Esto está buenísimo, y lo digo así
281120	284060	Es un ápice de falsa modestia, esto es así
284060	286220	Esa persona ahí está frente al desafío más difícil
286220	287080	El agovero nuevo
287080	288660	Vos, agovero nuevo
288660	291240	Recién entras, todo es nuevo
291240	293600	Acabas de salir de la caverna
293600	295080	De Platón, donde estabas preso
