start	end	text
580	2640	Hay pan, pan, hay vino, vino
4140	6500	Sobre las cartas de la mesa
6500	8440	¿Para qué cazó estos pájaros?
8720	8840	¿Para qué?
8840	13000	Hay que tener una jabura, una jablino y ese...
16140	19340	El problema es que la deuda es como la faropa
19340	22620	Al principio es rica, pero después te mata
22620	26960	Vos sabés que sí, vos sabés que sí
26960	27980	Vos sabés que sí
27980	31340	Y esta copa de leche, te la tomaste toda
31340	34240	Te la tomaste toda, chingüengüencha
34240	36000	No sabes ni hablar, brutos
36000	36960	Váyame a estudiar
37520	40340	Acaba de contar la vicisera porque te metiste en un cuchillo
40340	41820	y después quedaste en su carro, loca
41820	42880	Ah, bueno, no le importa
42880	44880	Ay, claro que no le importa
131820	133700	Este espacio sin un encuentro
133700	135980	¿Por qué? Porque no se trata, por supuesto, solo de mí
135980	138200	Se trata de todos ustedes
138200	140740	De estas personas que se encuentran acá en Twitch
140740	142620	Mirá, mirá estos comentarios
142620	144140	Mirá estos comentarios que surgen
144140	146860	Mirá acá cómo el compatriota este dice
146860	148000	Esto es espectacular
148000	148900	Y lo estoy leyendo
148900	152300	¿Por qué creen que lo estoy leyendo?
152640	155560	Por la conexión astral que nos une a todos los agoveros
155560	156500	El hilo de plata
156500	159500	Agoveros que se están viendo por primera vez en estos días
159500	161480	Agoveros que se vieron el domingo
161480	163620	El día de ayer
163620	164900	Para todos, vuelvo a eso
164900	167460	Vuelvo a la temporalidad desde donde estábamos
167460	170460	Son actualmente las
171120	174580	Casi 40 minutos pasados de las 12 de la noche
174580	176580	El lunes, del otro lado está Luis
176580	178160	Sí, Luis
178160	180360	Que maneja las transmisiones de Twitch
180360	181820	Bancando este momento
182560	186600	Este pináculo de tristeza en su CV, básicamente
186600	189600	Que es estar en un Zoom solitario
190460	193540	En el cual un tipo le grita a un micrófono
193540	194860	Desde una...
194860	197060	Esto, la transmisión más dudosa de la Tierra, ¿no?
197060	197700	Del planeta
197700	200340	Estoy por supuesto luciendo mi look Miriam Bregman
200340	201800	Que fue lo que ustedes votaron
201800	203920	Pero quizás dado que es un maga especial
203920	206740	Podemos hacer una serie de cambios de vestuario
206740	210320	No quiero, por supuesto, ni que dejen de sugerir temas para hablar
210320	212720	Que los voy a estar leyendo por más que...
212720	213100	O sea
214120	216920	El tiempo no es una barrera tan poderosa
216920	218320	Como se cree para el espíritu
218320	219520	Yo voy a...
220280	222060	En el transcurso de este maga
222060	224460	Voy a lograr conectarme atemporalmente
224460	226460	Con un mensaje que ustedes sugieran
226460	228320	Lo voy a hacer, estoy convencido
228320	231440	Pero para arrancar, sabemos que tenemos varios temas que tratar
231440	234800	Sabemos que tenemos varios hechos que han acontecido
234800	236040	En el país y por fuera
236040	238900	Sobre todo en los albores de un nuevo 17 de octubre, ¿no?
239040	242340	O sea, día de la lealtad peronista
243860	244460	Día...
244460	246380	Ya con cierto raigambre
246380	248540	En la cultura popular argentina
248540	250300	Que incluso parece un oximo
250300	251220	Donde decir esto, pero
251220	253120	Hasta podría acceder al propio peronismo
253120	254660	La idea de lo que representa
254660	256900	En términos de argentinidad, ¿no?
257200	259580	No es un accidente espiritual
259580	260880	Lo habrán notado muchos de ustedes
260880	263500	Me lo sugirieron también cuando lo propuse
263500	264440	O lo pregunté
264440	265660	En las redes sociales
266340	267900	No es un accidente
267900	270580	Que en los albores del día de la lealtad
270580	273120	Ya hemos tenido también esos sacudones, ¿no?
273120	274580	El Wanda y Cardi
275660	279060	Los bardos que se comió elegante también, ¿no?
279300	280660	Todo en el mismo día
280660	283400	Día de la madre, día de la lealtad
283400	284640	Peronismo, ¿no?
284680	285680	¿Qué está pasando ahí?
285780	288200	Lo que está pasando es que hay un proceso social
288200	290160	Deglutiéndose en nuevas verdades, ¿no?
290580	291840	Pero podemos
292720	294900	Arrancar por empezar a diseccionar
294900	296480	El 17 de octubre
296480	298840	Les recuerdo, sí, sí, incluso
298840	300220	En estos momentos
300220	302000	Por más que a veces los duden
302000	305300	Este programa está siendo financiado con sus impuestos
305300	306320	Incluso ahora
306840	309300	Incluso este, incluso en el más oscuro de los días
309300	310640	Esto sigue pasando
310640	312400	Me parece importante nada más decirlo
312400	314440	Para su bienestar y para el mío, por supuesto
315400	316360	Asistimos ayer
317300	319440	A uno de los 17 de octubre convocados
319440	320300	Vamos a decirlo también
320300	322720	Porque en este programa nos debemos a la verdad, ¿no?
323160	325160	La verdad ulterior, la verdad metafísica
325160	326300	Detrás de todas las cosas
326300	328820	Uno de los 17 de octubre convocados
328820	330240	Con menos mística de la historia
330240	332360	Yo no sé qué les pasó a ustedes
332360	334300	Con la...
335060	337020	A ver, hagamos una leve recolección
337020	338640	El gobierno hizo todo lo posible
338640	341580	Por convertir el 17 de octubre
341580	342600	Sino en un error
342600	344320	En una suerte de
344320	347140	Gran pícnic gigante civil, ¿no?
347420	348440	Lo hizo primero
348440	350160	El nuevo
350160	352160	Gurú asesor de imagen, el catalán
352160	354500	Armando la campaña presidencial del sí, ¿no?
354500	357880	Esta cosa de cientos de reuniones civiles, ¿no?
357880	359160	Donde toda la gente podía ir
359160	361100	Y juntarse en plazas
361100	362940	En rondas y cantando kumbaya
362940	365140	Después hubo un intento de Mansur
365140	367400	Por hacer del 17 un gran mega acto
367400	368220	Poderoso
368220	370940	Después la CGT dijo, no, nosotros vamos el 18
370940	372420	Mansur salió a anunciar
372420	374640	No, al final no es la del 17
374640	376780	Esta una serie de...
376780	378500	De diatribas muy...
381700	382320	Ofensivas
382320	384320	Es la palabra, a mi me enojaron
384860	386320	Esos idas y vueltas
386320	388500	Me enojaron porque uno ya está bastante harto
388500	390300	En términos de su representación
390300	391860	Y expectativa gubernamental, ¿no?
391860	393540	Porque por un lado uno dice
393540	395540	Che loco, no puede ser
396320	398560	No puede ser que con todas las cosas
398560	400080	haya contradicciones
400080	402680	Esto no es un problema en la unidad
402680	404340	Del frente de todo, no es que
404340	406160	Algunos sectores siempre bancaron
406160	407500	Históricamente marchar el 18
407500	409640	Es algo que simplemente no tiene sentido
409640	411760	Entonces es la indecisión hecha carne
411760	413280	Es como llevar
413280	415120	La bandera de la indecisión
415640	417020	Como la bandera de la derrota
417020	418720	Todas las luchas posibles
418720	420360	Entonces no se entiende
420360	422800	A mi me desesperó mucho
422800	425200	Esa lógica administrativa
