start	end	text
0	1560	¡Ciudad de Ciudad Roca!
4320	6080	¡Hay campan, hay vino, vino!
7820	9400	¡Sor el café a la mesa!
10560	12200	¿Para qué caso estos pájaros?
12380	13920	¿Para qué le han dado una aura?
14420	15480	¿Con un abdiro?
15860	16260	¿Y este?
19860	21960	El problema es que la debilidad
21960	23200	es una locura.
23460	24520	Al principio es rica,
25520	26200	pero después te mata.
26200	28120	No sabes que sí.
28460	30300	No sabes que sí.
31140	32500	¡Más, más!
33680	34020	¡Más!
34760	35360	¡Más!
35640	35920	¡Eso!
45200	51740	¡Ahí va, ahí va, ahí va!
56200	57000	¡Vamos!
69740	70580	¡Vamos!
70580	71960	¡Cómo están, compatriotas!
71980	73040	¡Cómo están!
73460	74800	¡Cómo están!
75980	78200	¡Cómo están, queridísimos
78980	80020	compatriotas!
81180	82200	¡Cómo andan!
84600	85100	¡Ah!
85760	87120	Yo ya siento que entré
87120	88480	en una cuestión energética
88480	90620	y estas luces voy a estar en un proceso
90620	92960	de máxima sudoración
93640	94500	en breve.
95120	96420	Es lo primero que va a empezar a pasar.
98080	99420	Esto se está escuchando, ¿no?
99420	101040	Música también, las cortinas estamos bien.
101340	102900	Oriéntenme en eso. Hoy es la primera vez
102900	103840	en mi vida que dije
104480	105680	¡Bajame el retorno!
106440	106940	¡Vamos!
107660	110420	Que es algo que siempre quise decir, nunca supe
110420	112560	que significaba así o sin saber qué significa
112560	114600	pero se sintió bárbaro. Fue como un momento
114600	115560	¿Cómo está el retorno?
116500	117620	¡Bajame el retorno!
118680	120400	Así que, por empezar, les quiero
120400	122460	agradecer. Les quiero agradecer a todos quienes están acá
122460	124680	por haberme permitido decir esa maravillosa frase.
125420	126420	Agradecerle también a la producción
127300	128740	de esta radio, la producción
128740	130440	de Nacional Rock, que viene solo
130440	132420	de meter golazos porque básicamente es
133400	134680	Charlie y Rebord, ¿no?
134680	136180	Como una...
136180	138620	Como una...
142600	144140	No querían que baje
144140	145640	la intensidad, ¿no? Dijeron que
145640	148420	pues bueno, hacemos maga presencial.
149040	149720	Debo decir
150500	151760	obviamente somos pocos,
151880	153420	este es un primer intento. Todo esto
153420	155180	es un logro, esto es un logro histórico.
155540	157060	Me interesa hacer hincapié en eso.
157320	159540	Porque esto, ustedes no lo ven, tenemos también la gente
159540	161460	en Twitch. Acá yo tengo acá la computadora, puedo
161460	163360	ver sus comentarios. La gente está enloquecida
163360	164420	por ver a Charlie.
166860	167540	¡Y no!
167760	168740	Charlie está acá.
174680	175600	Vimos a Charlie.
176040	177800	Hay gente que se acercó, se presentan por sus
177800	178660	arrobas, ¿viste?
179540	181200	Yo soy Jimmy el Santo, me dicen
181200	182760	allá por allá el compatriota.
183120	185260	Yo soy el a todo, que vamos a hablar de él, porque
185260	186920	que cometí una gesta patriótica para venir.
187500	189160	La gente acá en Twitch dice, Charlie, Charlie,
189320	190140	es ahora. ¡Uy, uy!
191440	193160	Pero yo lo que quiero, o sea,
194020	195080	retomar, antes de arrancar,
195180	196780	es una inclusión, un llamado a la inclusión en general
196780	198720	de todo lo que está pasando porque de verdad
198720	198720	
198720	200180	quiero hacer hincapié en esto.
200880	202940	De verdad, esto es histórico.
203200	204780	De verdad, pero objetivamente.
205260	206560	Esto es empíricamente
206560	208760	corroborable que es histórico. No es ni siquiera
208760	210720	materia opinable. Me decía a mí, me decía
211480	212520	Martín Jiménez,
212580	214680	me decía, directivo de esta
214680	216160	radio, estamos por hacer este programa.
216880	218420	Martín Jiménez me dice, no,
218680	220760	espera, tengo que decirte
220760	223080	algo. Yo le digo, no, Martín,
223220	224820	soltame, es demasiado
224820	226720	tarde, ¿viste? Ya no lo podés
226720	228740	tener. Y él me decía, no, no, no, hay cosas
228740	231200	que tenés que saber. Él me dice, ese auditorio,
231280	232420	me dice, no, arranquemos el principio.
233120	235080	Este edificio al que entraron ustedes,
236100	236500	los
