start	end	text
9000	16480	Yo traté de ser feliz cuando el fútbol y hacerlos felices a todos ustedes, creo que
17800	19740	lo logré y...
19740	22260	Diego, ¿cuándo te diste cuenta que eras el mejor del mundo?
23360	27820	Tú me puedes preguntar eso, digo, boludo, si uno sabe que siempre pensamos lo mismo,
29140	31060	que siempre pensamos que fuimos lo mejor.
34520	39880	Aunque nosotros no querramos mezclar la política con el deporte, nosotros sabíamos que lo que
39880	41060	teníamos enfrente eran ingleses.
44240	47520	¿Sabes qué jugador hubiese sido yo si no hubiese tomado cocaína?
47940	51740	Lo quiero dramatizar, pero créeme que me cortaron las piernas.
51740	54540	A los que no creyeron, compro entre las damas.
54840	58860	Me la chupé, me la chupé, me la chupé, me la hacía chupando.
59660	65080	Está todo en el chuchu, pero yo tengo mi alma, y ahora voy a recordar más que nunca.
66120	70740	Anda a descansar, mi hijo, que me hiciste la madre más feliz del mundo hoy.
72760	78560	Una vida nací, fue deseo de Dios crecer y sobrevivir.
78560	86880	A la unidad de expresión, enfrentando adversidad, con afán de ganarme a cada paso de la vida.
94280	97180	¿Cómo están, queridos compatriotas?
97420	100800	Queridos compatriotas, que me agarré un ataque ahí de sonido.
101060	103120	¿Cómo están? ¿Cómo están del otro lado?
103700	105340	Bien, felices.
105340	110860	Felices con este encuentro, con este maga de siempre, de todos los lunes.
111200	113080	¡Qué bien se escuchan mis impuestos!
113220	120040	Sí, sí, lo que escuchan es la fina vibración de la eficacia del Estado, como siempre.
120240	124540	Venimos, venimos del maga presencial. Venimos de un hito histórico.
124940	131320	Este es el programa que le sigue a los hitos históricos, que quizás, quizás la historia los registre menos.
131320	135680	No vamos a mentir, ¿no? La historia, no sé, este no se lleva a los laureles.
136160	138180	Pero es extremadamente importante igual.
138340	142560	Es un programa que también es importante y me interesa hacer énfasis en eso.
143040	149220	¿Por qué? Porque es ese en el que se delinean algunos trazos gruesos, algunas cosas estratégicas de largo alcance.
149680	155280	Y es en el que uno empieza a delinear cómo vamos a seguir, ¿no?
155280	157400	¿Cómo se sigue en el paso a paso?
157780	161540	¿Cómo hay cosas que hay que, de los grandes proyectos, bajar a tierra?
161980	164340	Y hay debates, ¿eh? Hay debates.
164600	166620	Hay dudas al respecto de cómo seguir.
167040	170800	Y la vamos a hablar acá, en nuestro encuentro, en nuestro espacio.
171020	173400	¿Por qué? Permítanme decirles, permítanme decirles.
