start	end	text
13300	24620	el problema es que la deuda es como la farroca, al principio es rica, pero después te mata.
24620	36460	vos sabias que si, vos sabias que si, vos sabias que si, si esta copa de leche te la tomaste toda, te la tomaste toda chingüengüencha
36460	39720	no sabes ni hablar, brutos, vaya a ver estudiando
39720	44020	acaba de contar la medicina porque me quita un cuchillo de que toque el resultado, loca
44020	46620	ah bueno, no le importa, ay dame ese bolino
56780	65400	como estamos gente, como estamos, como estan del otro lado, como estamos en cabina, como esta el equipo de producción de MAGA
65400	78060	como estan los agoveros, como esta el pueblo agovero, como estan, bien, bien, habla mal, estamos, proceda, estamos on fire, bien, listo, perfecto
78060	87520	yo les quiero hacer una confesion, quiero arrancar por una confesion, creo que nunca necesite tanto un MAGA como el de hoy
88080	96660	de verdad, creo que nunca necesite tanto un MAGA y me diran bueno pero y el de las elecciones, no si esta bien, he estado enojado en otras oportunidades
97660	111040	pero lo de hoy, lo de hoy es, quiero un MAGA, necesito juntarme con los agoveros, necesito, necesito ayuda, necesito ayuda, necesito ayuda agovera
111040	120040	eso es lo que me pasa, necesito ayuda agovera, cuantos somos, que somos 900, no, no, para, mas, tenemos que ser mas
120900	128760	llamen gente, necesito ayuda, necesito ayuda, viste el Papa Francisco cuando sale y dice recen por mi, viste que el chabon invierte toda la logica
128760	137640	agarra y de repente dice, no, los necesito a ustedes, bueno, ayudenme, ayudenme, mas gente, ahi ya hay mas gente, falta mucha mas gente
137640	145040	llamen otras personas, rapido, empiezan a levantar teléfono, che, es ahora, la gente que se junta a escuchar MAGA, saquen los parlantes al balcón
145050	164050	suban MAGA al palo y saquen los, necesito, ayuda, ayudenme, salvenme, ayuda, ayuda, asi arranca MAGA, salvenme, REBORD esta en peligro
165430	181230	REBORD, lo quieren matar, quieren matar a REBORD, salven a REBORD, salvenlo, salvenlo, si vos estas por ejemplo, si vos estas escuchando esto en diferido
181230	192230	si vos escuchas MAGA los miércoles por ejemplo, escuchas esta parte y agarras y bueno, no tiene tanto sentido, no, vos tambien, vos en diferido, ahora, hoy, miércoles, parate, anda corriendo
192910	202570	buscá a la persona mas cerca que tengas, si convivís con alguien, tu novia, novio, tu lo que sea, agarre y decirle, necesito que escuches esto, porque escuchalo, es ahora
203550	212250	te voy a decir otra vez, REBORD otra vez, en serio mas, no alcanza con escucharlo 8 horas a la semana, no alcanza con darle nuestros impuestos
212250	225430	no alcanza con suscribirte a algo.ar y darle literalmente tu plata, no alcanza y ustedes le responderán, no, porque necesita que lo salves, necesita que lo ayudes
226210	240190	salven a REBORD, REBORD esta muriendo, murió, murió REBORD, que vamos a hacer, que vamos a hacer, esta muerto, murió, lo estan matando, lo estan matando
240190	252870	acá me preguntan en el chat, murió, murió REBORD, murió, murió, ayuda, ayudeme, acá en el chat me dice, como esta carly, sabes como, sabes que, sabes que
252870	263290	mira, así te lo pongo, falta mas gente, hay mil cien mas, llamen mas gente, parlantes a la calle, necesitamos mucha ayuda, se cayó el cielo aparte, tormenta, caos, muerte, coincidencia
263290	278370	no lo creo, me preguntan como esta carly, mira, así te lo voy a decir, hoy yo necesito a carly, así como carly vino y el pueblo agovero le dio la bienvenida a su metamorfosis a mutar
278370	292230	hoy yo necesito a carly, hoy necesito que carly me salve a mi, eso necesito, necesito que carly me tome la mano con sus manos viriles y peludas
292230	302370	necesito que las manos viriles y peludas de carly me acompañen y me ayuden, hoy necesito su ayuda, estoy en peligro, estoy en peligro
302770	312590	que en paz de calce bordo, murió, murió, murió, es así, es así, necesito ayuda, porque bueno muchas personas me decían de que vamos a hablar hoy, hablen ustedes también, quiero que me hablen
313030	324650	vamos a hablar de, me decían hablar del método, hablar del método con santoro, hablar del método con leandro, por supuesto yo puedo hablar del método, puedo hablar del método pero es, el método es un mero accidente en el gran orden de las cosas
324650	335010	en el esquema celestial de lo que nos estamos jugando y de eso me interesa hablar hoy, me interesa hablar largo y tendido, pero falta más gente eh, reborde está muerto, lo hemos matado nosotros
335010	348290	ahí estoy leyendo el twitch, el twitch en llamas, les quiero decir un par de cosas, me preguntan que pienso o que pensé del método, el método con leandro
348950	364570	yo creo que acá goberos, acá que hablamos en privado, yo no diría esto en público obviamente, pero acá entre nosotros, con gente de confianza, ustedes saben perfectamente que, a ver vamos por parte, no importa, no importa, sin previa, sin preámbulos
364570	380930	cuando termino el método, yo me sentí frustrado, yo agarré y dije, ah, ¿qué pasa loco? ¿por qué? porque sentí una mezcla de sensación entre oportunidad perdida, viste, sentí como algo que no, que no conectó, que eso puede pasar
380930	410270	el método es siempre un puente, es una interpelación abierta, descubrir de qué estamos hechos y conectar, no, y bueno, eso no pasó, o no lo sentí, y puede pasar, está bien, es normal, pero estaba frustrado, viste, estaba como diciendo, ¿qué onda? viste, terminó rápido, se tenían que ir, fue cortito, fue una cosa, me quedó una sensación extraña, viste, estaba enojado, estaba enojado, estaba molesto, viste, estaba molesto ahí, y de repente veo un comentario, veo una máxima verdad ahí, pues yo estaba molesto, eh, yo lo estaba viendo
410270	426930	y veo un comentario que dice, no se enojen con el método, el método hizo lo que hace siempre, mostró las cosas tal cual son, yo vi ese comentario, lo vi y dije, upa, ¿qué hay acá? sentí algo, sentí un escozor en el cuerpo
427490	455950	y dije, boludo, para, y ahí me di cuenta que estaba pensando mal, porque estaba teniendo, mira que soberbio de mi parte, estaba poniéndome como individuo y estaba poniendo mis intereses como individuo por encima del método, porque yo tenía otra expectativa sobre ese método, yo creía poder encontrar algo, un punto de conexión, un entendimiento, viste, yo estaba buscando eso, no puedo hacer bien o mal, pero estaba buscando eso, y no conecté, no lo encontré, y eso me llevó a la frustración
455950	478730	pero de repente vi ese comentario y dije, claro, si el método es máxima verdad, el método me está mostrando algo a mí, y como dijo Lago Marcino, como dijo, o sea, citando a Lago Marcino, no todo el mundo quiere saber la verdad, y sabes que en ese momento me parece que yo no quería, o sea, ¿se entiende lo que estoy diciendo?
479890	508710	mira que obtuso, que soberbio de mi parte, creer que yo podía exigirle algo al método, nosotros sabemos lo que es el método, el método es justamente la ruptura de todos los formatos, el método es un encuentro entre almas, el método es una conversación, no es una entrevista, es algo que surge ahí, es un intercambio único e irrepetible, es ineditable, por ende todo lo que sucede queda expuesto para siempre, todo el mundo está desnudo en el método, yo también, yo soy el primero que está desnudo, por eso me recagan, me recagan a putea de gente que dice, te tengo que decir, te tengo que decir,
