start	end	text
0	2960	Ha habido ocultamiento de información, que nos han mentido en la cara
2960	7160	Mataron a mi hermano, porque lo sacan con alambra, navegaron
7160	12000	Se tiene que hacer justicia, no me va a servir una placa que diga los seres del San Juan
14760	15800	93.7
15800	17000	Nacional Rock
23640	26100	Cuando nos abandonamos a la música
26100	28180	Todo, todo tiene sentido
28180	28300	Ha habido
28300	35940	Ha habido
48180	50220	Nacional Rock
58180	60180	La pelota de los Invalches
64020	68360	Se van a remontar a la estratófera
68360	70000	Usted tiene que arrepentirse de lo que dijo
70000	70760	No, no me voy a arrepentir
70760	73040	Usted tiene que arrepentir, porque yo no hice nada de eso
73040	75520	Ay, si querés llorar, llora, papi, papi, por favor, ¡no!
76340	77900	¡A la vez!
79620	81440	Sin imputable, hermano
81440	83200	Solamente que tenga temor a Dios
83620	85880	Y a mí, en todo caso, también un poquito
85880	88140	Pará, pará, pará, pará, pará
88140	89880	Con 15 pesos me hago alto guiso
101180	103360	¿Cómo estamos, agoveros?
103440	105040	¿Cómo estamos, carajo?
105340	109000	¿Cómo están los agoveros, las agoveras, les agoveres?
109080	110660	¿Cómo carajo se autopersivan?
111200	113960	¿Cómo está el pueblo agovero?
114280	114940	¿Cómo la están?
114940	116420	Mirá, mirá lo que es este Twitch
116420	120180	¿Cómo se nota que es maga postelectoral, eh?
120580	122720	¿Cómo se nota que es maga postelectoral?
123180	124980	Falta gente, llame más gente, eh
124980	125700	Llamemos más
125700	127300	¿Qué es esto? ¿Cuánto? ¿1.400?
127500	128420	Más gente
128940	129820	Llamemos más gente
129820	132140	Hoy, aparte hoy, hoy
132140	134520	Hoy estuvieron reflotando algunos contenidos
134520	136220	El pueblo agovero, por supuesto
136940	138780	Reflotando aquel histórico maga
138780	139980	Postpaso, ¿no?
140440	142220	Y salían estos recortes
142220	143600	Y siempre que salen estos recortes
143600	144760	Por supuesto hay puteadas
144760	145940	Hay un montón de gente puteando
145940	147700	Diciendo, ¿quién es este pelado, hijo de re-mil-puta?
148020	148500	Acá está
148500	150740	Este es el pelado, hijo de re-mil-puta
150740	152020	Usando tus impuestos
152020	154880	Para hablar en un programa de radio nacional
154880	157180	Y este pelado, hijo de puta
157180	158980	Te da la bienvenida
158980	160640	Quiere que vengas
160640	162680	No se queden afuera
162680	165340	Hablen con esa persona con la que se putearon
165340	167160	Con la que dijeron, este es un hijo de puta
167900	168600	Invítenla, que vengan
169420	171280	Los mejores intercambios acá en Maga
171280	173580	Se dieron con gente con la que nos puteamos ya antes
173580	175180	El querido Arlequín
175180	176980	Un gran usuario de Twitter que me putea mucho
176980	177960	Pues nos hicimos amigos
177960	179920	Y ahora está en la curva del rebordismo
179920	182160	En la cual odias profundamente
182160	184060	Todo aquello en lo que te convertiste
184060	186700	Entonces Arlequín ahora está en su viaje al desierto
186700	188280	Negando su agoverismo
188280	189420	Pero va a volver
189420	190500	Porque es circular
190500	192920	Y ustedes se piensan que la gente ahora que está puteando
192920	194640	Que muestra el recorte de mi ley
194640	195500	Y putea
195500	197200	¿No siente algo en su corazón?
198260	200020	A vos te pueden amar o te pueden odiar
200020	201580	El problema es cuando le sos indiferente
202700	204860	Ese es el germen
204860	206580	La célula agovera
206580	207580	El no pasar desapercibido
208540	210420	Y en esa pequeña vibración
210420	211680	Es donde nos encontramos
211680	213520	¿Cuál es el único requisito
213520	215760	Querer hacer a la Argentina grande otra vez?
215800	216680	Les tengo una pregunta
217580	219180	Una pregunta para arrancar
219180	221320	Y veo que ya está subiendo la gente, bien
222820	223960	Tómense un segundo
223960	225020	Para pensar esto
225020	227020	Porque van a querer responder rápido
227020	229200	Sin pensar y reflexivamente
229200	231020	Y lo que les sugiero es
231020	233920	Tómense un segundo para pensar esto que les voy a preguntar
233920	236200	Porque no es tan sencilla la respuesta
236200	237940	Mi pregunta
237940	239200	Para abrir este encuentro
239740	241460	Este MAGA, esta ceremonia
241460	243400	Nuestra ceremonia de lunes
243400	245200	Nuestro templo semanal
245900	247120	Es la siguiente
247120	248960	La Argentina
248960	251160	Después de ayer
251160	253200	¿Es más grande o más chica?
257520	258720	La Argentina
258720	260920	Se agrandó
260920	262240	Después de ayer
262240	263500	Ojo, pero
264300	265940	Pónganse a pensar un segundo
265940	266900	En lo que estoy diciendo
267620	269360	Pónganse a pensar un segundo
269360	270320	En lo que estoy diciendo
270320	272140	Porque ustedes saben que acá
273700	276360	Tenemos un lente rector de mundo
276360	277340	Y tenemos un culto
277340	278600	Y tenemos una doctrina
278600	279680	Nuestro agoverismo
279680	282040	Tenemos una forma de sentir el presente
282040	284000	Nuestro norte tiene que ver con querer
284000	285880	Ver a la Argentina grande otra vez
285880	287620	Y eso a veces no siempre implica
287620	290420	Esto es lo más difícil de entender para el que no es agovero
290420	292420	No siempre implica estar de acuerdo
292420	293940	Con lo que está pasando, viste?
294200	295300	No siempre implica
295300	297640	Estoy feliz, por ende si estoy feliz
297640	300880	La Argentina es más grande, no, no, no, no
300880	302500	Refiere a determinados
302500	303720	Signos y símbolos
303720	305520	Que el agovero sabe interpretar
305520	307280	Que el agovero es sensible a ellos
307280	309320	No porque tenga una formación especial
309320	310500	No solo porque es sensible
310500	311740	Porque es permeable
311740	313980	Se deja permear por esos estímulos
313980	317160	Y ahí ve el índice de crecimiento de Argentina
317160	319340	No significa que vos estés feliz o no
319340	321740	Hay veces que uno no quiere
321740	322420	Lo que está pasando
322420	323120	Pero a veces dice
323120	324360	Esto está bueno
325560	327860	Es como reconocer un agovero
327860	331080	Algunos creerán, porque vamos a arrancar
331080	333520	Las elecciones de ayer fueron elecciones generosas
333520	335240	Son elecciones generosas
335240	337820	Porque a cada uno le brinda la interpretación que quiere
337820	340140	Son esas elecciones donde cada uno toma
340140	342020	La porción de realidad que más le gusta
342020	343820	Autoafirma sus propias conclusiones
344340	345720	Y con eso reafirma
345720	347020	Sus propios juicios
347820	350200	Cada uno puede ratificar la propia sensación
350200	351520	Que tenía previamente lo que sea
351520	353680	Porque fue una elección generosa en ese sentido
353680	355400	Eso significa que nosotros acá
355400	356960	No nos vamos a posicionar
356960	358820	No, claro que no
