start	end	text
30220	34720	Te la tomaste toda, te la tomaste toda, chingüengüencha.
34800	36400	No sabe ni hablar, brutos.
36660	37800	Vaya a estudiar.
38180	42140	Acaba de cortar la medicina porque metiste en un cuchillo y te fue a quedar entre mis calas, loca.
42400	43340	Ah, bueno, no me importa.
43940	44620	Ayúdame que voy.
62120	65300	¿Cómo andan, estimadísimos compatriotas?
65600	66260	¿Cómo les va?
66680	71020	Hay un, hay un, no les voy a mentir, hay un clima de feriado.
71380	77400	Hoy somos poquitos, es un encuentro íntimo, es un encuentro diferente quizás.
77580	78360	¿Y por qué no?
78700	81840	Acá dice Lucas Sánua y Misa Rebordiana, señores.
82000	86080	Mira ese pañuelo peronista, sigan a Huaranga que la rompe, sí, ya vamos a estar hablando de esto.
86080	91740	Pero primero hay que encontrar la sintonía espiritual en la que estamos hoy, ¿sí?
92000	97180	Un maga de feriado, maga, ustedes saben, qué sé yo, el resto de la programación se adaptó,
97280	100880	pero es una realidad, para hacer a la Argentina grande otra vez no hay feriados.
101080	105620	Son causas que no admiten la menor demora, entonces uno viene, uno siempre va a venir.
106620	112060	Y ustedes también, pero noten esto, ¿viste? Noten, somos un número, pensemos un poco.
112200	115320	Acá Juan Pito Rico dice que damos los fieles.
115320	120200	Maga dormido, no hay menos mística, hay místicas distintas.
121900	129040	Lo interesante, lo interesante de ser menos, es que hay una oportunidad para intimidades novedosas.
129520	132360	Hay otra proximidad, hay otra cercanía.
132820	137740	Hay magas en donde uno está corrido por la urgencia de la coyuntura,
137740	143540	donde uno tiene que salir a atajar la cantidad de acontecimientos que están sucediendo,
143820	149620	y después están estos encuentros, donde baja un poco la espuma, no se está corriendo detrás de nada,
149880	153560	y uno puede volver a parar la pelota y ver qué hace con eso.
153880	158660	Porque sea el día con un clima más álgido, más tranquilo, más feriado, menos feriado,
159080	165460	la realidad es que siempre hay acontecimientos de índole metafísica para medir qué le está pasando a la Argentina.
166100	169380	No sé cómo están ustedes, yo estoy pasando unos días medio de mierda,
170280	174040	y yo me parece importante también hablar, ustedes saben que yo siempre voy a hablar,
174260	179540	siempre voy a exponer mi corazón frente a ustedes, más así, más si somos pocos.
180520	186100	La babase nos está llevando compañeros, no sé, no sé, es el eclipse, me dice Velu2895.
186900	192240	Es el eclipse, ¿cómo alguien me explica cómo siempre hay un eclipse histórico pasando?
192240	196700	O sea, hay un evento único e irrepetible por semana, ¿alguien mide eso?
196720	200340	No puede ser que siempre la noticia sea evento único e histórico,
200920	205320	todas las semanas hay un eclipse que pasó una sola vez en los últimos 100 años.
205980	211140	O sea, siento que tienen pequeñas sutiles variaciones entre eclipse y eclipse,
211280	216940	pero bueno, ponéle Velu2895, si es que era así, ya no me acuerdo bien,
217440	218720	ponéle que sea el eclipse.
219160	224660	La realidad es que estuve teniendo unos días medio chotos, unos días jodidos en términos interpersonales,
225020	231740	con mucha sacudida, malestar, discusiones, molestias, cansancio, un poco de clima de fin de año.
232220	234580	Lo pregunto, lo pregunto, ¿hay algo de eso?
234960	237380	¿O es el eclipse, como dice Velu?
238160	240900	El otro día uno en Twitter me decía, te vi por Parque Centenario,
241000	244120	yo me acuerdo cuando caminé ahí, realmente no quería ir al parque, o sea,
244120	249300	yo no hago eso, yo nunca soy una persona que de golpe tiene ganas de ir a un parque,
250080	254700	no lo hice jamás en mi vida, si pasé por ese lugar era solo porque estaba obligado a hacerlo,
255100	258280	de que era una funcionalidad, y me quería matar de estar ahí,
258540	264400	entonces aparte pasa eso, vos estás así y te ven, yo estaba destruido, estaba muy arruinado,
264420	270440	estaba muy cansado, muy cansado, pero es parte también, y Maga tiene eso,
270440	276840	Maga tiene un no se oculta nada, se expone todo, y eso es lo que uno hace, hoy soy el primero a gobero,
276920	281620	hoy soy el primero que necesita Maga, hoy necesitaría sentarme y que ustedes,
282160	286360	la comunidad a gobera proponga estos temas, vea cómo salimos de estas cosas,
286840	290880	es más, la comunidad a gobera que me proponía el fin de semana, una y otra vez me invitaban
290880	296940	a ser parte de algún conflicto random de Twitter, el fin de semana me abstraje,
296960	299780	hice lo que siempre hago cuando me siento mal o estoy triste,
300460	305340	que es aislarme en el más profundo ostracismo, en la oscuridad espiritual,
305480	310580	donde ahí descifro verdades arcanas del infinito, estaba haciendo eso, entonces ni vi,
310800	316580	ni entré a redes sociales, y de golpe me metí un día así sobre el pucho del domingo, a ver qué onda,
317060	320980	y había como una gran discusión Twittera, en torno a una suerte de figura conjetural,
321020	325400	que todos estaban puteando, y como que yo me metí, dije, ah sí, mal, esto es una pelotudez,
325420	328680	entonces ya tenía mi piedra en la mano, mi piedra Twittera, y de repente,
328680	334140	de ustedes, de los agoberos, me empezaron a decir, te están puteando a vos, y yo digo, ¿cómo?
334660	341400	Yo tenía mi piedra así en la mano, y yo dije, ¿qué? o sea, yo soy el linchado, yo soy el linchado y el
341400	346700	linchador, viste un momento así, medio Christopher Nolan, donde de repente le sacaban la capucha
346700	352360	al ejecutado y era yo, entonces dije, ¿cómo? o sea, yo soy, siento que creo que aparentemente
352360	356260	no la arrastré hasta el final, pero hubo una discusión que dio como tres vueltas, y ahora
356260	362080	se hacía hablando, no sé, la verdad me recontrarre, chupa la pija, le dije a los agoberos, puten en
362080	366360	mi nombre, yo no tengo drama, no hace falta, no me invoquen a mí para, porque me mandan, me mandan,
366500	372400	tipo, mira, mira, mira esto, no me mandan, pasa nada, puten ustedes, otro también en maga, uno que
372400	377880	agradezco, un comentario decía, loco, reborda al final, rebordes de cristal, lo puten y mirá cómo se pone,
378480	385220	y es cierto, loco, no se olviden, yo soy de cáncer, boludo, Luis, ¿cómo estás vos?
385220	390780	Luis, acá haciendo la transmisión de Twitch, Maxi, ¿vos sos de cáncer, Maxi también? Claro, Maxi, vos sos de cáncer,
391020	396340	tenemos un equipo acá reducido bancando los trapos en este día feriado, la radio desierta y acá una
396340	404720	célula resistiendo haciendo maga, yo soy de cáncer, hermano, no sé, cáncer, boludo, yo soy sensible,
404720	411360	boludo, yo tengo máxima sensibilidad, yo, a ver, hablemos un poco de esto, hablemos,
412940	420960	pone uno en Twitch a tipo, uy, uy, ¿a dónde va este maga? Está diciendo, uno, ¿dónde me metí?
421880	428880	Yo soy de cáncer, boludo, yo soy de cáncer, ¿saben qué? Mirá, yo soy de cáncer con ascendente en leo,
429900	435880	vamos a hacer un poco de, vamos a hacer tarot board, vamos a hacer un poco de clima astrológico,
438560	448420	uy, con leo no, uy, uy, maga, máxima depresión, máxima sensibilidad, boludo, máxima sensibilidad,
448780	456380	porque hoy en día hay muchas confusiones, vamos a hacer una, hay un culto a lo basado últimamente,
456380	462440	un culto de la modernidad a lo basado, que ignoran que lo basado por supuesto es un lenguaje del alma,
462520	468520	no es una forma de expresarse, pero los humanos detrás contienen máxima sensibilidad, o al menos yo,
468940	473460	de la máxima sensibilidad es donde se obtienen poderes espirituales, donde se obtienen los
473460	479420	feelings, yo soy de cáncer, yo soy de cáncer como Ricardo Iorio y Malena Pichot, por ejemplo,
479420	485800	grandes cancerianos, porque ahí, a ver, hagamos un análisis, hagamos un análisis espiritual,
486080	492680	Riquelme también es de cáncer, la República Argentina es de cáncer, ojo, Carl Schmitt es de cáncer,
492960	499100	ojo, ojo, ojo con esto que estoy diciendo, porque uno por él lo ve a Iorio, y lo ve furioso,
499180	504400	enojado, despotricando contra el mundo, esto parece que la gente lo ignorase, pero ustedes
504400	510880	no saben que el acceso al enojo, o sea, el acceso a esos momentos, a esos estados anímicos,
511820	519300	devienen de la máxima sensibilidad, Iorio está enojado con la estación de poder, está enojado
519300	525920	con los guachiturros, está enojado con el mundo, porque sufre, porque le duele mucho el mundo,
526100	531040	porque le duele, porque ama, ama profundamente a la Argentina, ama a la República Argentina,
531040	541960	y es esa enorme sensibilidad la que lo hace un poco nazi, se entiende, que nadie se confunda,
542600	550020	que nadie se confunda, no es enojo y qué sé yo qué carajo, y tipo, ah, a este chabón no le cabe
550020	558500	una, se entiende, acá dice uno, acá Franky dice, es nazi porque es sensible, es, a ver,
558500	565100	vamos de vuelta, vamos a repasar, solo el tránsito por esas enormes sensibilidades es lo que te da
565100	572680	la paleta completa de emociones, lo opuesto a nuestra espiritualidad, nuestra, hablo de
572680	577200	nuestro colectivo, el colectivo que me incluye a mí, a Ricardo Iorio y a Malena Pichot,
577560	581860	ustedes saquen las conclusiones de qué poronga significa eso, yo sé que somos un colectivo,
582840	588760	nuestro colectivo, lo opuesto a nuestro colectivo, no es ni la tristeza, ni gente sensible, nosotros
588760	594260	somos lo más sensible de los sensibles, somos hombres sensibles de flores en términos de dolina,
594280	601840	sí, nuestro opuesto espiritual es aquello a lo que nada le pasa, lo inerte, lo que lo no sintiente,
602460	608940	lo que, aquello a lo que todo le es indiferente, en el extremo opuesto de la escala, estamos nosotros,
608940	617980	a lo que todo le es demasiado elemental y hay que saber regularlo y es difícil, por eso por ejemplo,
618380	624140	ahí ponéle, lo digo en este maga íntimo, hoy que somos pocos, hay gente que cree que yo odio a
624140	630720	Malena Pichot, no hay nada más alejado de la realidad, ahí me cae bárbaro Malena Pichot,
631220	636980	no la conozco, no tengo relación personal con ella, solo una vez me puteó en Twitter y como
636980	642120	me puteó yo devolví la puteada, yo hice lo único que yo sé hacer que es profundizar, si alguien me
642120	646360	propone chocar y yo digo máxima aceleración, es lo que voy a hacer siempre, no es personal,
647380	653440	pero incluso en ese momento yo me di cuenta que yo no estaba siendo un destinatario lineal de su
653440	659220	puteada, ella no sabe ni quién soy, yo fui una esquirla, yo fui un accidente en el gran misil,
659460	664760	en la gran batalla espiritual que ella estaba dando, que el blanco quedaba allá y yo fui una
