start	end	text
6160	10600	La pelota no se mancha.
10840	11900	¡Carajo, mierda!
13620	17260	Se van a remontar a la registra.
17520	18460	Repentirse lo que dijo.
18500	19240	No, no me voy a repentirse.
19260	21260	Usted se tiene que arrepentir porque yo no hice nada de eso.
21300	23020	¡Ay, si querés llorar, llora papi, papi!
23180	23860	¡Por favor, no!
25320	26120	¡Ay, amee!
27760	29160	¡Más iniputable, hermano!
29540	29980	Se suena como un truco.
29980	29980	
29980	29980	
29980	29980	
29980	29980	
29980	29980	
29980	29980	
29980	29980	
29980	29980	
29980	29980	
29980	29980	
50500	58820	Bienvenidos, bienvenidas a una nueva edición de MAGA, de este encuentro semanal en donde
58820	65740	tenemos una única prioridad, hacer a la Argentina grande otra vez, junto a ustedes, junto a
65740	69520	básicamente lo que sea que se les cante hablar, tenemos una dinámica como habrán notado
69520	75980	bastante abierta, a veces es más difusa, a veces es más cohesiva y hoy en particular
75980	83420	fue bastante específica y debo decir que yo en general hago un rápido sondeo estadístico
83420	90180	de sus mensajes, advierto los principales nodos de interés en las temáticas que quieren
90180	94720	hablar y hoy había una preminencia de una por sobre todo a la demás que es la fílmica,
95160	100420	ya sea en términos de cine en general, ya sea con algunas piezas en particular, ya sea
100420	106940	con esto del Snyder Cat, que ya vamos a estar hablando de eso en detalle, o ya sea con algo
106940	116660	que un contribuyente aportó con gran claridad metafísica que fue cuáles son las cinco películas
116660	125160	claves a la hora de ligar el cine con la mística, si uno quisiese formarse en místicas, si uno
125160	131520	quisiese explorar los anales telúricos de lo que son nuestras fuerzas filosóficas y espirituales,
131520	137320	¿qué debería haber? Una pregunta de todos los días, uno va por la calle y dice ¿qué cine metafísico,
137380	143900	en dónde puedo formarme? Es mucho menos raro de lo que uno cree, pero vamos a estar debatiendo de
143900	150340	eso y atiéndanme a la palabra debatiendo porque como siempre yo quiero que esto sea un encuentro,
150540	157340	ustedes ya saben, yo considero este el primer cordón del delirio, yo considero este el donde
157340	162380	la gente ya está curada de espanto, el que está escuchando esto, ya lo he dicho de cientos de
162380	168980	maneras, pero el que está escuchando una persona hablando sola por radio durante una hora, a ver,
170020	174180	seamos honestos, o tienen la vara muy baja, que es una de las posibilidades que estén del otro lado,
174320	180060	o verdaderamente están comprometidos, o sea son las dos, ninguna es negativa, entonces yo quiero
180060	185420	escuchar sus aportes, quiero escuchar, es casi, es un especial cinematográfico el de hoy, ¿y por qué
185420	193320	no? ¿Por qué no? Maga puede ser, Maga será lo que deba ser, es la consigna sanmartiniana que tenemos,
193400	200240	eso nos ordena, eso ordena a Flor, a Flor Trevino nuestra productora, ahí en cabina, eso ordena
200240	204480	también a nuestro querido Jorge Escobar, reincidente, ya fijo, ya Jorge no vas a escapar
204480	208460	de este ciclo, el operador que vino la primera vez rajó, dijo yo no quiero tener nada que ver
208460	215040	con esto y después Jorge acá está campando para que llegue el lunes básicamente, sí, acá
216280	221260	ah mira, ya estamos con chivos y todo, ¿viste? Jorge, sí, a ver
224260	230920	por eso, está clarísimo, era la primer semanita nomás de adaptación, de fijarse nomás que estén
230920	236400	los contratos al hilo y después ya se renegoció, el primero como sabemos se fue y otro que
236400	245860	aparentemente se fue, es Maxi, ¿no? o sea, porque el chavo laboró dos días y rajó, o es claro,
245920	250460	está haciendo home office pero es un home office hermético porque tampoco sale, o sea, no es que
250460	256020	haces home office y sale en el programa, o sea, es un home office solístico, él no es parte del
256020	265880	programa, está en la casa trabajando, ¿sí? Pero, pues, debe estar preproduciendo, sí, por su
267220	273060	acerquemos la oferta, whatsapp abierto a Maxi, si en una de esas está escuchando que la estadística
273060	277720	es bajísima, ¿no? la propensión a hacerlo debe ser nulla, tendiente a cero en este momento pero
277720	283220	lo puede hacer y quienes también están y son parte de este programa, ya sea porque lo
283220	290300	garpan con sus impuestos o porque lo escuchan, son ustedes, los contribuyentes y ustedes pueden
290300	294800	mandar sus audios y por favor les pido, o sea, los quiero escuchar en esto porque es una temática
294800	302020	que me apasiona, que en otros espacios quizás no tengo la holgura o la arbitrariedad para
302020	307260	desarrollarla en profundidad pero esto es el cine, es el mundo cinematográfico, a mí me vuelve loco,
308060	312000	me apasiona, me encanta, pero porque en última instancia me encanta toda narrativa, o sea,
312160	318040	soy fanático de todo, todo lo narrado, yo creo que la humanidad es narración, de hecho lo he
318040	325220	explorado en algún que otro storyboard, otro formato, de este variopinto universo cinematográfico
325220	331660	ampliado, rebordista, que es el hecho inobjetable de que aquello que distinguió a nuestra especie,
331700	335940	los homo sapiens del resto de homínidos, fue la capacidad de generar relatos ficcionales,
335980	342040	o sea, lo que nos hizo la especie más dominante sobre el planeta tierra fue la capacidad de
342040	347560	ficción, entonces ¿cómo no nos va a apasionar? ¿cómo no va a ser el principal aglutinador
347560	352980	de los homínidos? el relato, y el relato pues, un relato político puede ser comentar una película,
353640	364200	una serie, lo que recarajo sea, yo hoy les voy a dar mi pentateuco, si, si Jorge, si que me mira
364200	370620	extraviado, mi pentateuco, si, viste, estamos finos hoy, estamos elegantes, mi pentateuco
371760	377140	cinematográfico de cine comística, el ABC, yo lo que considero es que no me quiero quedar ahí
377140	381600	porque estas son películas que vimos todos, quizás no con esta perspectiva, vamos entonces a portar
381600	387220	algo, o intentar aportar algo acá, pero son cosas que es como de, bueno, no es ninguna novedad el
387220	394280	pentateuco, solo es una forma diferente de organizarlo quizás, y aparte te armás un fin de semana de lujo,
394360	400080	porque yo te juro que si te ves estas cinco películas juntos, que das, o sea, se te va el alma del
400080	407120	cuerpo, haces un viaje astral metafísico, salís a conquistar las Malvinas o implosionas,
407120	413280	alguna de las dos seguro, entonces vamos a ver eso, y quiero también sus recomendaciones de cine con
413280	419140	alta volatilidad de mística, y después voy a dar uno un poco más, tampoco es Sander, no nos vamos a
419140	425360	hacer los snob, yo ya el programa pasado medio de costado hablé de esto, a mí no me conmueve el
425360	433280	snobismo en ningún punto, viste, algo que nada me seduce porque sea marginal, para formularlo de
433280	437860	otra forma, o sea, nada por el hecho de que no sea consumido me gusta, me gusta si me gusta, y en
437860	442000	general la cosa es que se consuma mucha gente porque está buenísima, o porque tienen algo, a veces
442000	448580	porque tienen algo, entonces es eso, sí, no, no es, no es, ¿cómo? ¿cómo, cómo, cómo Flor?
450720	455620	O le dan mucha manija, tiene muchos fierros atrás, pero bueno, ahí tenés una, un debate por
455620	460960	acumulación originaria, ¿quién le dio su fierro? ¿cómo lograron que ese producto tenga ese nivel de
460960	465520	es, o sea, a ver, lo que digo es que en algún lado está la jerarquía, hay bostas, hay bostas
465520	470620	multimillonarias, las hay, y lo sabemos, pero entonces ¿dónde está la virtud? ¿dónde, o sea,
470700	475840	en el amplio consumo que arrastran, en la evocación con algunas sensibilidades universales que
475840	480580	evidentemente conectan y van cuatro billones de chinitos a verla, por ejemplo, entendés,
480580	488200	si te la explica en taquilla, o sea, algo yo, para no descartar, y obviamente por una cuestión de pose,
488200	493560	viste, a mí la, le tengo bronca, al bafís y le tengo bronca, sí, digámoslo en esos términos,
493680	499200	a la pose, viste, no, acabo, no, boludo, es que acabo de ver un sorete dando vueltas en un microondas
499200	505660	que lo filman durante seis minutos y, boludo, es re profundo, entendés, y vos lo miras y sí, boludo,
505660	511400	es un sorete en un microondas, entendés, no, vos no lo entendiste, no, no es que, o sea, no hay nada ahí,
511480	516260	viste, me molesta la pose de profundidad, poco tiene que ver con eso, pero bueno, quizá, quizá,
516260	522380	son un poco mis fetiches y se la tienen que bancar, qué sé yo, si no, no estaría escuchando esto,
523660	532600	11 39 39 88 88, también voy a estar monitoreando twitter, sí, si me quieren decir algo, pero si no
532600	544180	es 11 39 39 88, es imposible pifiarle a este número de teléfono, sí, son dos duplas que
544180	548920	se repiten, de hecho son tres duplas, porque el 88 son todos los últimos cuatro números, de hecho,
548980	552860	esto último que dije es solo más confuso que haber dicho el número una vez, sí, pero ahora van a tener
552860	560120	que descifrarlo matemáticamente en retrospectiva y sacar, sí, voy a decirlo un último de más, 11,
562620	574740	39 39 88 88, está bien, impifiable, nos mandan entonces sus audios, su cine, su cine con alto
574740	581080	contenido de mística, esto nos genera una parada obligada, que es este concepto tan esquivo de la
581080	584800	mística, viste, cuando hay algo que no, esto tiene mística, qué poronga es, es muy difícil
584800	591440	explicarlo, es como explicarle peronismo a un finlandés, es algo que es complejo y en realidad
592020	598020	es complejo por la ausencia de categorías, no por la cantidad enorme de categorías, a mí es un tema
598020	603800	que me apasiona justamente porque siento que es como ese escozor espiritual cuando conectas
603800	611020	con algo que ya estaba dentro tuyo encima, viste, cuando vibras ahí con algo que está presente y
611020	618960	yo creo que, lo he dicho cientos de veces y lo reafirmo, Argentina es si no el mayor exportador
618960	623480	de mística a nivel mundial, basta corroborarlo con el hecho de que vos, así como quien no quiere
623480	628980	la cosa, pusimos al Diego, al número uno en el mundo, tenemos un papa, hay un papa argentino,
629160	634900	entendemos, y eso no se explica por categorías racionales, se durmieron un segundo, colamos una
634940	641180	reina en Holanda y así, así es esa argentinidad, esa cosa, esa cosa que vibra, Argentina está como
642400	648840	como construida sobre un manantial de mística, viste, es como si fuese la isla de Lost de las
648840	655860	excepciones metafísicas y eso, que esto ya es una excepción personal, pero para mí te explica tanto
655860	663900	el peronismo como el antiperonismo, porque cuando uno ve estas manifestaciones, viste, de máximo
664260	670360	desconcierto, estas cosas que no se pueden explicar, estos fenómenos rarísimos, hay algunas personas
670360	676560	que reaccionan permeables a eso, es decir, que se dejan invadir por esa sensación de lo inexplicable
676560	680980	y hay otras que reaccionan enojadas, ofuscadas, como diciendo, no, esto no puede ser, esto no
680980	689060	cierra, esto no es racional, yo defiendo que eso es el germen del gorilismo, cuando vos ves algo que
689060	696220	no te cierra, por qué el papa es peronista, por qué, no, no, no, no cierra, por qué votan de vuelta,
696360	702220	por qué Cristina ahora vicepresidenta, por qué no cierra, este país no tiene arreglo, cuando entras
702220	710080	en esa sintonía, sí, es una invitación, es una invitación, es otro lado y el cine tiene de estas
710080	716160	evocaciones también, tenemos un audio, puede ser, ya empezaron a llegar, a ver, mandame uno,
716160	721840	y bueno, hablando de películas con mística, para mí la película más mística en la historia
721840	727720	de la humanidad es Space Jam, pocas películas tienen tanta mística y representan tanto una
727720	735020	época como los 90 como Space Jam y sobre todo la versión total del latino que es superior a la
735020	741980	versión, me cuesta hablar porque te estoy escuchando al mismo tiempo, creo que estoy empezando a
741980	749120	hacer esto, eso es full maga lo que acabas de hacer, hablaste y eras parte del programa a la vez,
749320	752880	a veces te puedes encontrar hasta con tu propio audio, sería rarísimo, ahí es una suerte de bucle
752880	759180	temporal, pero claro, Space Jam es espectacular, lo que yo vi Space Jam de chico, o sea, lo que
760300	768320	me formó Space Jam Michael Jordan con pequeños y exóticos Looney Tunes voladores, regoleando
769040	774460	Jorge, nuestro operador está indignado, no le gusta, pero no pasa por si te gusta, hay piñas en
774460	779600	cabina, hay quilombo en cabina, no pasa por si te gusta, a ver, esto pasa siempre con la mística,
780260	785420	porque por eso divide tanto la gente, quiero que se entienda, no estamos hablando necesariamente
785420	790060	de cine bueno o cine malo, que ya por si es una categoría compleja, no estamos hablando,
