start	end	text
11920	22600	El problema es que la deuda es como la faropa, al principio rica, pero después te mata.
23500	26260	Vos sabés que sí, vos sabés que sí.
26940	28160	Vos sabés que sí.
28160	34280	Si esta copa es de leche, te la tomaste toda, te la tomaste toda, chingüengüencha.
34360	35960	No sabe ni hablar, brutos.
36240	37380	Vaya a estudiar.
37740	41720	Acaba de cortar la medicina porque metiste un cuchillo y te fue que electrificaba, loca.
41940	44180	Ah, bueno, no me importa. Ayúdame que voy.
66860	72420	Compatriotas, si están escuchando este mensaje significa que lamentablemente ha pasado lo
72420	78000	peor, un supuesto que jamás creí que íbamos a tener que enfrentar juntos, pero como tantos
78000	80360	otros desafíos lo vamos a vencer también.
80740	85080	Están escuchando este mensaje porque estoy atrapado en el tráfico.
85080	91680	Salí más o menos a las siete de la tarde de mi casa para llegar con una media hora módica de anticipación
91680	99880	a nuestro encuentro semanal, pero atravesando la Avenida Corrientes se encuentran unos cinco, seis, quizás
99880	106180	siete manifestantes ejerciendo su derecho constitucional a destruir todo el tráfico de la ciudad
106180	112080	de Buenos Aires y por consiguiente también afectar nuestra jornada de máximas verdades semanales.
112080	118260	Le pido a todo el pueblo a goberno, le pido a los agops en particular que mantengan un importante
118260	125440	espíritu de unión en este momento, unión, enfrentamiento y lucha, alerta y movilización.
125680	129100	Quieren bajarnos y no saben cómo hacer.
129700	133720	No es casualidad que esto empiece a pasar después del éter.
133820	139280	Me parece importante que recuerden que este programa por más insólito que parezca cuando agarran
139280	143380	y dicen no para como puede ser que esto lo estamos pagando con otros impuestos.
143420	146220	No, no, no, no, no son solo sus impuestos.
146540	151240	Ahora también es un programa premiado y lo ganamos y lo ganamos.
151320	157980	Y justamente por eso vamos a seguir siendo el ciclo radial con más logros conjuntos de la historia.
158700	164280	Mientras mando este mensaje, sigo aprisionado arriba del auto rodeado de manifestantes
164980	172360	cuyo único objetivo aparentemente y según lo que he llegado a escuchar acá por la ventana es detener a Maga.
172820	175800	Es más, voy a preguntarle uno a ver qué piensa.
176620	180560	Manifestante, ¿por qué están cortando la calle siendo tres gatos locos?
181660	187480	No, porque no queremos que salga Maga, lo queremos evitar, queremos una Argentina pequeña.
188740	190720	Gracias, gracias manifestante, lo sospechaba.
190720	192860	Bueno, ha quedado claro, ha quedado claro.
193180	196740	Me dirijo a toda velocidad hacia el estudio radial.
197440	200300	Espero poder llegar y si no, sigan sin mí.
250720	252840	Nunca nos conformamos.
256100	256700	Nacional Rock.
258320	260680	Lo que siempre viene, pero nunca llega.
260960	263880	El mañana, porque cuando llega es hoy.
265000	268060	Con vex ultimerea lunes a viernes de ocho a once.
269060	271360	Informa te explica bien.
271540	274360	Noventa y tres siete Nacional Rock y relatores.
274660	276380	Muchísimas regiones del porvenido.
276380	279380	Y también entretener.
285380	289960	Maga, lunes hasta las veintiuna por Nacional Rock.
314640	316040	La.
321840	323240	La.
326380	327320	La.
329480	330880	La.
333180	334580	La.
335540	335560	La.
335600	335620	La.
335640	335660	La.
335660	344040	Por una vez podemos ser héroes
344040	347660	Por una vez
349360	354660	A vos me dio que existir
355980	361800	Y yo tomando su palabra
362800	369500	Porque somos amantes no más
369500	372940	Y eso es todo
373800	378100	Solo por jugar
378100	384020	Aunque nada nos mantendrá juntos
384800	388400	Podemos lucharlos
388400	391480	Hacerlo de siempre
392400	396480	Podemos ser héroes
396480	400380	Por una vez, no lo ves
400380	415720	Oh, oh
416380	422620	Yo, yo recuerdo
424080	429620	Parados contra el paredón
431420	436360	Simbaban balas sobre nosotros
436360	444620	Y nos besamos como si no hubiera más que dos, dos, dos
444620	447040	Y hubo vergüenza
447620	451140	Y fuimos a otro lugar
451140	454180	Pudimos echarlos
455140	457800	Hacerlo de siempre
459140	463000	Pudimos ser héroes
463000	466840	Por una vez, no lo ves
466840	468760	Oh, oh
481140	482080	Oh, oh
496140	498580	Somos nada
499140	503120	Y nada puede lastimarnos
503120	506780	Eras que miento
507780	510340	Como esa vez
510340	514240	Podemos cuidarnos
514780	516780	Alguna vez
536780	538360	¿Es el programa que ganó el éter?
540060	541540	No, yo pensé eso
541540	543320	Pensé que venía el programa que arrancó el éter
543320	545440	Que no era un programa que se asustaba
545440	547440	Con una pequeña manifestación
548000	550160	Que se asustaba con una demora
550160	552900	Que se asustaba con un piquete
553420	555420	Yo, a ver, no, no, me parece
555420	557860	Pensé, pensé
557860	559460	Vamos board, éter board
560060	561660	Yo quiero que recuerden
561660	563380	Quiero que recuerden y les pido esto
563380	565960	Y les pido por supuesto disculpas por la demora
565960	567040	Una demora que no elegí
567040	568720	Una demora que me enojó
568720	570600	Más a mí que a cualquiera de ustedes
571600	574280	Pero quiero que recuerden, efectivamente
574280	575620	Que a partir de ahora
575620	578260	Cada cosa que no entiendan que pasa en este estudio
578260	579960	Cada segmento que digan
580640	582000	¿Qué onda este programa, no?
582600	584120	Cada cosa que de repente digan
584120	587040	Yo estoy financiando esto con mis impuestos
587040	588400	O sea, esto
588960	590680	Yo estoy pagando por un programa
590680	593760	De un tipo que no salió al aire por 14 minutos
594360	597680	Ahora, no sólo la respuesta a todo eso es sí
597680	599760	Sino que encima es un programa premiado
601200	603740	Sino que todo esto que encima está financiando
603740	604900	Y ya no tiene sentido
605740	607760	Esto sabe cuánto pesa el éter, hermano
609120	610340	Yo le quiero pedir algo
610340	612180	Le quiero pedir algo a todos los agoveros
612180	614480	Porque lo ganamos, acá se ganó
614480	616200	Acá se ganó ese premio
616200	617760	Y le quiero pedir algo a los agoveros
618400	621200	A los agos, en particular las centrales
621200	623660	Pero también a todo aquel que se autoperciba agovero
623660	626340	Porque la única condición de serlo es sentirse como tal
627000	629980	Quiero que se sumen a una estrellita, hermano
629980	633160	Quiero que en las fotos de perfil de los agov
633160	634320	Este el campeonato
634320	636020	¿Salimos campeones o no salimos campeones?
636520	637580	Quiero una estrellita
637580	641120	Agov 5 abajo tiene que tener un título, boludo
641120	642500	Tenemos un título
643160	644300	Tenemos un título
644300	645740	Y no sólo los agov, ¿eh?
645860	646820	Cualquier persona acá
646820	648960	Joaquín López B, dale campeón
648960	651200	Nazareno León, vamos por el puto de Maslatón
651200	653540	Bueno, claro
653540	654840	¿Qué le pasa al agovero?
655100	657280	El agovero, el agovero está loco
657280	658260	Entonces, primera cosa
658260	659920	Primera cosa, sumamos un título, ¿eh?
660580	662400	Que nadie le diga a ninguno de ustedes
662400	664400	Ni perdedor, ni fracasador
664400	667020	Ni todas esas cosas que objetivamente eran
667020	669200	Hasta hace 10 minutos
669840	672540	Ahora todos ustedes son campeones
672540	674380	Quiero una estrella
674380	675760	¿Escuchan esa interferencia?
676140	677200	Eso ganó un étero, hermano
677880	678660	¿Escuchan eso?
678660	680660	Es el sonido del éxito
681940	682460	Sí
684300	685340	Disfrutalo, papá
685340	686660	Gozá en su estática
687380	688840	Se llama éter
688840	690380	Sumate una estrella
690380	693300	Sumate una estrella a tu perfil, a la foto
693300	695100	Quiero todos los agov con una estrellita
695100	696060	Porque tenemos un título
696660	698860	Y quiero hablar un poco de lo que decía acá
698860	700660	El compatriota que decía vamos por Maslatón
701620	702140	Porque
703300	704440	Quiero decir dos cosas
704440	706460	Quiero decir muchas cosas
707140	708720	Quiero decir muchas cosas
708720	709960	¿Por dónde empiezo?
710660	711820	Lo primero siempre es la gratitud
711820	714340	Estoy profundamente agradecido al pueblo agovero
714340	716940	Lo segundo es que claro, el agovero ya probó
716940	718500	Una pizca de gloria
718500	720120	Y ahora quiere
720120	721080	La Libertadores
721080	723840	El Martín Fierro es la Libertadores
724460	726060	Yo veo así como, a ver
726060	727900	Yo nunca les mentí, nunca les mentí en nada
728460	728880	Absolutamente nada
728880	731880	En el éter la verdad que vi, ahí dije
731880	734000	Este lo gana, el campeonato es nuestro
734840	736820	El Martín Fierro Digital
736820	738380	¿Puedo cerrar un segundo
738380	739460	Del Martín Fierro Digital?
740500	742300	¿Qué carajo le pasa a esa terna boludo?
742640	743260	¿Quién la hizo?
744000	746760	¿Quién hizo esa terna? ¿Ustedes vieron los nominados del Martín?
746760	747100	O sea
747720	750060	No entiendo si es una joda
750060	751780	Entraron a la página de votación
751780	753000	Del Martín Fierro Digital
753000	756260	Es una web encriptada
756260	758400	Imposible de descifrar
759020	760320	Acá Nifadelic dice
760320	761680	Falopa pura esa terna
761680	762960	No, no, no, acá también
762960	764480	Gastón dice, el avión al sol
764480	767160	Es literalmente el avión al sol de los Simpson
767680	768800	Y que no se me confunda
768800	771320	Esto es máximo honor para mí
771320	773520	Porque si estamos en el avión al sol
773520	774880	Con los agoveros
774880	777420	Que se cuide ese sol, hermano, porque lo vamos a hacer pija
777420	779460	Vamos a acelerar al máximo nuestra lava del sol
779460	781220	Y vamos a destruir al sol
781220	782620	Ese es nuestro enfoque
782620	784620	Pero no dejamos ver que es un poco raro
784620	786420	Es un poco raro lo que está pasando
786420	788740	No sé en cuál anda el Martín Fierro
788740	791160	Anda en una muy fulera el Martín Fierro
791160	792800	Armó una terna con
792800	794160	Ácido y Paco
794160	796240	Y dijo, vamos a definir entre estas personas
796240	797720	Los juegos del hambre
797720	800540	Es postapocalíptica la terna del Martín Fierro
800540	802160	Cuando a mí me llegó el mensaje
802160	804420	Porque me contactaron desde la supuesta producción de Martín Fierro
804420	806880	Pensé que era una joda, porque lo vi, vi la página
806880	808660	Vi la web y dije, qué poronga es esto
808660	810980	Esta página camboyana
810980	812880	Hecha con niños tailandeses sufriendo
813660	815280	¿Se dieron cuenta de que no se puede ni votar?
815680	817220	Entrás a votar a la página y te expulsa
817220	818760	Es como...
818760	820360	Incluso si la página quisiera mis datos
820360	822180	Es ineficaz para obtenerlos
822180	824540	No persigue nada
826460	826900	Entonces
827620	828500	Es raro
828500	830720	Sabemos que es raro lo que está pasando con el Martín Fierro
830720	833540	Y no les voy a mentir, la veo más difícil esa cancha
833540	834840	Porque sospecho
834840	836820	Que en esa terna pasada
838280	838720	Pospaquera
838720	840900	Siento que somos un poco el cupo
840900	842620	Que legitima las atrocidades del resto
842620	844960	No sé si ubican la sensación
844960	846740	¿Se acuerdan la frase de Néstor Kirchner?
846760	847820	A mi izquierda la pared
847820	849660	En esa terna el Martín Fierro
851820	852960	Yo voy desde la derecha
853780	854960	Pasando por todo el centro
855520	857440	Pasando por la izquierda, la extrema izquierda
857440	858240	Ahí estamos todos
859480	862940	Ahí soy como el progresista permitido
864100	865500	Están todos muy en una
865500	866680	Y estoy yo
866680	868960	Yo sospecho oboda roja
868960	870560	Una trampa, un asesinato
871940	872920	Una joda
872920	874240	Sospecho que todo es una joda gigante
874240	875880	Porque la verdad es que es como que
875880	877340	Hermano ¿Qué le pasó a Martín Fierro?
877620	879980	Como que te encontraste al Martín Fierro y está todo
879980	882240	Todo escabio, le falta un ojo
882240	884440	Tiene mechones de pelo salidos, se rasca
886180	888360	Hola, ¿Querés ver mi premiación?
888980	890840	Martín Fierro, boludo
890840	891920	Hermano, ¿Qué te pasó?
894820	895220	Tincho
895220	896440	Tincho, ¿Qué te pasó?
896640	898300	Hace una bocha que no veo ni tus premios
898300	900080	Ni me importa nada lo que haces
900080	902560	Estás muy en una, Tincho
903360	904280	Martín Fierro
904280	906840	Estoy nominado a eso
906840	909380	La respuesta todavía no, pero ojalá que sí
909380	911260	Porque hermano quiero pelear ahí
911260	913460	Quiero pelear, la veo difícil
914440	916740	En esa somos Costa Rica en el mundial
916740	918060	No les voy a mentir
918060	920260	Agoveros, esa no es nuestra cancha
920260	922500	Vamos contra todo ahí
922500	923760	Esa aptra
923760	926820	La terna es la cosa más lisérgica del planeta
926820	928220	Vamos contra todo
928220	929120	Y todos
929620	931780	Así que les pido, si queremos una gesta épica
931780	933700	Al menos vamos a morir con gloria y honor
934220	935280	Eso sin duda
935760	938120	Yo no les puedo y nunca pude garantizarles
938120	939320	La victoria, Agoveros
940220	942220	Pero sí les puedo garantizar un combate
942220	943860	A muerte, sí les puedo garantizar
943860	946260	Nuestras tripas desparramadas por el pillo
946260	948240	En la máxima gloria y honor
948240	950040	Eso está garantizado
950040	951040	Vamos a darlo
951040	953640	Acá Frankelot dice, es inaccesible el sistema de votación
953640	955000	Viste lo que es, boludo
955000	956520	Viste lo que es
956520	957860	Así que vamos a hacer eso
958480	960780	Yo les quiero decir también
960780	962920	Habrán notado que hoy no solo quedé atrapado
962920	964120	En un embotellamiento
964120	965400	¿Qué hacemos con la tanda? ¿Ya la pasamos?
967060	967500	Gracias
968460	971200	Habrán notado que no solo quedé atrapado
971200	973040	Atrapado en un complot trosquista
973040	974620	Ni siquiera sé si antes no sé qué pasó
975220	977040	Pero para fines prácticos asumamos
977040	978480	Que son trosquistas
979000	980480	Quedé atrapado en un complot trosquista
980480	981760	Para empequeñecer al argentino
981760	983140	Fue un primer desafío, después de Leter
983140	984860	Lógicamente, empezamos a molestar en serio
984860	987540	Empezamos a molestar a los poderes fácticos, a la CIA
987540	989280	El trosquismo
989280	991180	Entonces, no solo pasó eso
991180	993260	Sino que habrán notado que tampoco compartí demasiado
993260	994920	Este programa de hoy no puse el enlace
994920	996900	Y me dirán ¿Por qué? ¿Por qué Rebord? ¿Por qué?
997960	999760	Me estoy un poco hinchado a las pelotas
1000740	1002040	De todas las cosas
1002040	1003800	En general y al mismo tiempo
1004440	1005740	No sé si les pasa
1005740	1008680	No sé si es fin de año
1008680	1010000	No sé si es la salida
1010000	1011760	Acumulada de esta pandemia larga
1011760	1013260	De la que ya veníamos hablando
1013260	1016480	No sé si es el corto 2021 de Hossbaum
1016480	1018280	El intenso y corto 2021
1018280	1018880	Que pasó
1018880	1021520	No sé si es eso
1021520	1023120	Pero quiero hablar con ustedes agoveros
1023120	1024780	Porque ese es el clima espiritual que registro
1024780	1026880	Porque obviamente, a ver, unos dirán
1026880	1029340	Pedazo de megalómano, tenés un programa hablando solo
1029340	1030280	Donde hablas de vos mismo
1031680	1033920	No, hablo de la humanidad
1033920	1035660	Yo lo que mido
1035660	1037260	Son climas de épocas
1037260	1039420	Oteo el clima espiritual de la época
1039420	1041420	Y les digo, verdades que interpreto
1041420	1042260	Como hacen ustedes
1042260	1044380	Y yo lo que noto es que hay un clima de
1044380	1047420	Que se vayan todos a la reconcha de su madre
1047420	1048560	Muy fulero
1048560	1051660	Y yo no aguanto más, estoy hinchado a las pelotas
1051660	1053020	Entonces agarré y dije, a ver qué hago
1053020	1055100	Voy a compartir, acá me dicen, es el día del politólogo
1055860	1057260	Un saludo grande, hijos de Remilputa
1059840	1060740	Ese es para ustedes
1060740	1062800	Con mucho amor, para el día del politólogo
1062800	1064580	Ven, así sucede, así sucede
1064580	1065400	No se aguanta más
1066560	1068080	El día del politólogo
1068080	1070820	Te das cuenta, por eso energéticamente está pasando esto
1070820	1072720	Pues están corzurán ellos cortando ahí
1073580	1073980	Corrientes
1073980	1075360	¿Qué es lo que trato de decirles?
1075500	1077700	Iba a compartir el enlace, vengan a Maga
1077700	1079540	Y de repente dije, ¿sabe qué hermano?
1080540	1081980	La gente que quiere máxima verdad
1081980	1084460	Máxima ciencia, máxima fineza, ya está acá el lunes
1084460	1086240	Se encuentra acá, nos encontramos acá
1086240	1088800	Entonces el que quiere venir que venga y el que no que se vaya a la concha de su madre
1088800	1090660	Y así como veo este clima
1090660	1093080	Este clima denso, esta cosa de
1093080	1095080	Daño insoportable, esta cosa de cansancio
1096080	1097260	De hecho si de paso
1098060	1099400	Yo hice la peor combinación
1099400	1100740	Posible en términos de descanso para hoy
1100740	1103260	No dormí, a la noche no dormí, no podía dormir
1103260	1105160	No sé, estaba nervioso, no sé qué me pasaba
1105160	1107480	Estoy nervioso, estoy alterado
1107480	1108740	Y de repente me empezaron
1108740	1110160	Esto es de verdad, eh
1110160	1112600	Me agarró como una inspiración loca y empecé a escribir
1112600	1114920	Y escribí diez páginas al hilo, yo todo lo que hago
1114920	1117180	Siempre es como un vómito, nunca me salió
1117580	1118980	Trabajar sin celar una obra
1118980	1120380	Pacientemente, siempre es como
1121120	1121520	Entonces
1121960	1124100	Entonces me fui a las cuatro de la mañana a la computadora
1124100	1126860	Empecé a escribir, y escribí muchísimo
1126860	1128760	De algo que no sé qué es
1128760	1130500	Pero hay algo ahí, eh
1130500	1132540	Así como les dije el programa pasado que no podía encontrar
1132540	1134060	La vuelta nada, acá les digo
1134500	1136600	Hay algo, hermano, y quizás es la falta
1136600	1138700	De sueño, puede ser, pero en general
1138700	1139740	Cuando digo que hay algo
1140720	1141900	Rascá porque hay algo
1141900	1144280	Hice lo peor posible, que ya estaba pasado de vuelta
1144280	1146840	Y me dormí una hora antes de venir
1146840	1148540	Ubican esa sensación, o sea siento
1148540	1150640	Mi cerebro en este momento está en una licuadora
1150640	1152540	Lo cual me acerca mucho, la verdad
1154540	1157100	Estoy muy cerca del infinito en este momento
1157100	1158400	Y quiero que lo sepan
1158400	1160640	Así que aprovechenme en este estado
1160640	1162540	De gracia, en este estado de decepción
1163420	1164660	Yo lo que veo
1164660	1166980	Y permítanme dejarles esto
1166980	1168500	Porque lo vi, lo vi, vi
1168500	1170540	Tuve una visión en las llamas
1172900	1173780	Está empezando
1173780	1176100	Ya esto flota en el aire
1176100	1178240	No está la tesis de la servilleta con el bull market
1178240	1179440	Argentino de más latón
1179440	1183400	Pero quiero sumar una dimensión a algo que estoy empezando a intuir
1183400	1184400	Porque estoy viendo algo
1184400	1186280	Y estoy viendo algo para mi generación también
1186280	1187660	Nuestra generación
1187660	1189940	¿Cómo definimos generación? Todos los que se sientan como yo
1189940	1191840	Los que nos sintamos igual en este momento
1191840	1193920	Eso es generación, basta, basta de boludeces
1193920	1196080	Basta de boludeces etarias, generación es los que
1196080	1198060	Más o menos sentimos el mismo clima de época
1198060	1199940	Y atravesamos las mismas emociones
1199940	1201800	Por eso son rangos las generaciones
1201800	1204340	La generación de hoy, ¿cómo está? ¿Está hinchada la pelota?
1204880	1207240	Le duelen las lumbares
1207240	1208640	Tiene una hernia de disco
1208640	1210120	La zona lumbar
1210120	1212160	Mi generación
1212160	1214340	Mi generación empieza a notar el deterioro
1214340	1215300	En el cuerpo
1215300	1218160	Notaron eso, ustedes sabrán que yo llegué a mi estadio
1218160	1221860	De máxima belleza este 24 de noviembre
1221860	1223060	Debo confesar
1223060	1224780	Se dieron cuenta que pronostique ese mismo día
1224780	1226260	Después del éter, ¿no? Porque esa loco
1226260	1228080	No me la reconoció nadie, hermano
1228080	1229920	Cuánto más hace falta para
1229920	1231840	¿Se entiende lo que digo? Bueno, no importa
1231840	1233320	Esa se la dejo a ustedes
1233900	1235400	Pero después de un gran esfuerzo
1235400	1237560	Te quiero que sepan por primera vez
1237560	1240280	Como la respuesta física es mucho más lenta
1240280	1241100	En todo
1241100	1243100	Y eso me está pasando ahora, ¿y por qué lo abro?
1243120	1244680	Porque quiero socializarlo como generación
1244680	1245960	No sé si les pasa a ustedes
1245960	1248460	Yo siempre tuve una gran respuesta física al estímulo
1248460	1250820	Al entrenamiento, a comer menos, comer más
1250820	1253240	El cuerpo automáticamente me asimila cambios
1253240	1254980	Y esta es la primera vez en mi vida
1254980	1257420	Que agarré y dije, ah, voy a bajar de peso
1258320	1260400	No está tan fácil esto
1260400	1262000	Y cada paso
1262560	1264500	En pos de mi objetivo, por supuesto
1264500	1266100	Y cada paso
1266100	1268000	Cada paso para atrás
1268000	1270260	Es casi irreversible
1270260	1272420	O sea, mi ciclo de belleza estética
1272420	1274240	Está siendo como los ciclos de la Argentina
1274240	1276440	Cuyo punto más alto de un momento
1277760	1279220	Es mucho más inferior
1279220	1280220	Que el punto más alto anterior
1280220	1282200	¿Se entiende lo que digo? Y de repente
1282200	1284580	Me empezó a dar una certeza
1285620	1286140	Aterradora
1286140	1288120	Que no sé si la comparten
1288120	1289440	Pero si no se las dejo a ustedes
1289440	1291760	Que esto estadísticamente
1291760	1293200	Es lo mejor que me voy a ver
1293200	1294900	Por el resto de mi vida
1295420	1297800	O sea, lo que le pasa a mi generación ahora
1297800	1299660	Independientemente de la edad que tengas
1299660	1301760	¿Qué generación somos? Somos la generación que se dio cuenta
1301760	1304140	Ahora que quizás
1304700	1305980	Literalmente nunca te veas mejor
1305980	1306760	Que en este momento
1306760	1310100	Lo cual es aterrador porque subierte todos los órdenes de valores
1310100	1311420	No agarrás y decís
1312000	1314200	Uy, como, me voy a ir al gimnasio
1314200	1316400	Me voy a tunear para tal mes
1316400	1317520	No, no, no, ya no podés
1317520	1319780	Sólo es como una dimensión
1319780	1321200	De resistencia
1321200	1323240	Quebo Matancero, te hiciste esta mateas, pelotudo
1323240	1325340	Andate a la concha de tu madre, Quebo
1325340	1327300	Este es un programa, ¿Ven? Quebo
1327300	1328320	Por nombre propio
1328320	1329880	Chupame la pija
1329880	1331920	Eso le pasa a mi generación
1331920	1334020	Que mejor que esta demostración
1334020	1335780	Esta demostración de laboratorio
1335780	1338180	Eso es nuestra generación
1338180	1340960	Entonces, lo que siento es eso
1340960	1342680	Una suerte de deterioro constante
1342680	1344900	Y al mismo tiempo
1344900	1346160	Y a esto quería ir
1346160	1348420	Tengo una certeza
1348420	1351140	Empecé a olfatear algo que se viene
1351140	1353060	Y se viene para nuestra generación
1353880	1354680	Se vienen
1355240	1357180	Los gloriosos
1357180	1358560	Años 20
1358560	1360520	¿Me escucharon esto?
1362380	1363100	Atención a esto
1363100	1364980	Porque lo vi, tuve una visión
1364980	1366560	En las llamas
1366560	1368140	Hay condiciones
1369900	1370680	Culturales, espirituales
1370980	1372380	Y en tercer orden
1372980	1373140	Económicas
1373140	1377280	No hace falta, con las dos primeras
1377280	1378840	Lo puedo afirmar
1378840	1381420	Se vienen los gloriosos años 20
1381420	1383140	Mira, Loon, Reborn
1383140	1384500	Como me entendió al toque
1384500	1387460	Todos somos Gatsby, eso sentí boludo
1387460	1388600	¿Y sabes por qué?
1389280	1390840	Porque los 20
1390840	1392480	Son el primer año
1392480	1394520	Que se puede empezar a decir en plural
1394520	1396980	Desde que nosotros tenemos conciencia
1397640	1399600	Antes eran los 90
1399600	1401500	Los 90 fueron los últimos los
1401500	1403360	Con un artículo plural adelante
1403360	1407040	Después no podías decir los uno
1407600	1409600	Como me la puse en los
1411400	1412080	06
