start	end	text
620	3300	Hay pan, pan, hay vino, vino
4180	6200	Sobre las cartas a la mesa
6200	8460	¿Para qué cazó esos pájaros?
8640	8940	¿Para qué?
9000	13020	Ahí tenían una jaura, una ablido y ese
16140	19340	El problema es que la deuda es como la faropa
19340	22520	Al principio es rica, pero después te mata
22520	26000	Vos sabés que sí, vos sabés que sí
26920	28060	Vos sabés que sí
28060	31320	Si esta copa es de leche, te la tomaste toda
31320	34260	Te la tomaste toda, chingüengüencha
34260	36000	No sabe ni hablar, brutos
36000	37500	Vaya a estudiar
37500	40340	Acaba de cortar la medicina por debedir que era un cuchillo
40340	41780	Al que después quedó entre mis cabas, loca
41780	43200	Ah, bueno, no me importa
43200	44400	Ay, no, no es que puede
56120	59420	¿Cómo andan, queridísimos compatriotas?
59640	60240	¿Cómo están?
60240	61840	¿Cómo están del otro lado?
62380	63160	¿Me escuchan bien?
63220	64140	¿Se escucha bien allá?
64820	65640	¿Me están escuchando?
65940	66180	¿Sí?
66300	67300	Estamos todo ok, ¿no?
67880	68740	¿Estamos todo ok?
69180	70000	Perfecto, espectacular
70680	71240	¿Cómo?
71240	72440	A ver, para el ojete
72440	74180	Bueno, pero como siempre, hermano
74180	76620	¿Qué quiquilloso se han puesto?
76940	80420	Lo estoy preguntando en términos de calidad sonora
80420	84160	De Dr. Dre de Beat Studios
84160	86320	Estoy preguntando si se escucha
86320	89480	Estoy preguntando si la frecuencia de onda corta que captan
89480	93160	Alcanza para la transmisión de Máximas Verdades como siempre, hermano
94080	95740	¿Cómo están, gente?
96100	96560	¿Cómo están?
96820	98920	¿Cómo anda este hermoso chat?
99260	100100	¿Estamos parados?
100620	101920	Yo no lo quiero pasar por alto
101920	107400	Estamos en el anteúltimo MAGA del 2021
107400	115680	Estamos en el anteúltimo MAGA del primer año de magas de la historia
115680	119820	MAGA año cero está llegando a su final
119820	123400	Y hay mucha gente que está en parte emocionada
123940	125400	En parte preocupada
126000	129480	En parte tiene miedo
129480	130960	Tiene miedo porque dice
130960	132640	¿Y yo qué voy a hacer después?
132640	137880	Estaré huérfano o huérfana de destino
137880	138640	¿A dónde iré?
139300	141640	¿Dónde iré cuando no quede en templos?
142720	144640	Cuando no tenga lugar para guarecerme
145180	148080	Soy Napoleón habiendo invadido Rusia
148080	151040	Los rusos me quemaron todas las casas, todo el refugio
151040	151820	¿Qué hago?
152220	153360	¿Qué puedo hacer?
153800	155920	Y vamos a hablar un poco de eso también
155920	159420	Porque hay que ir preparando también los motores para lo que va a hacer
159420	162120	En algún punto un detox, ¿no?
162120	165360	Un detox del verano
165360	167860	Porque recordemos
168560	170480	A ver, no nos vamos a mentir acá
170480	170980	¿Cuántos somos?
171000	171580	Somos pocos
172120	173940	Hoy una comunidad reducida, íntima
173940	177120	Hay 500 agoveros acá
177120	178840	500 agoveros
178840	181220	Y nos conocemos bien los agoveros
181220	183280	Nos conocemos bien ya los que estamos acá
183280	185120	Ya tenemos nuestro carnet de afilación
185700	188040	Estamos en la plataforma, el sistema AGO
188040	190100	Para hacer a la Argentina grande otra vez
190100	193140	Con 200 pesos, con 500, con 3000 como algunos locos
193140	194620	Pero nos conocemos bien
194620	197280	Y hay gente acá, vamos a decirlo
197280	198540	Hay gente acá
199100	201380	Dice que el volumen, se cayó el volumen allá
201380	204120	Guarda ahí en cabina, me dicen que se cayó el volumen
204120	206180	No importa, igual ahora lo corrige, no pasa nada
206180	209520	Hay gente acá que está consumiendo
209520	210160	¿Cuánto?
210380	213000	Como 8 horas semanales de reboard
213000	215160	Hay gente que a mí me escriben, me escriben y me dicen
215160	218320	Loco, te veo más que a mi propia familia, ¿entendés?
218320	221060	Así que te siento parte
221060	223740	Parte mi familia, yo también, la verdad que yo también
224320	225640	¿Qué haremos después?
226100	229200	Me leía acá, a un pequeño, a Little Cravers, decía
229200	232580	Se llamaba Cravers, se ve que era un Cravers, como yo
232580	235540	Sensible, y decía estoy harto de rendir, por ejemplo
235540	236760	¿Están rindiendo ustedes?
237240	239140	¿Son esas cosas que...
239140	241180	¿Son esas cosas que siguen pasando?
241280	243620	Yo abandoné hace tanto esa etapa que no me acuerdo tanto
243620	246080	Pero supongo que deben estar viviendo, ¿no?
246080	248240	De finales, esa cosa
248240	250080	Sí, hasta el 23, la puta madre
250840	252920	Mañana, final de antropología
254000	255040	¿Quieren que...
255040	257700	¿Qué te pasó? Un radical me puso 9, flashé fuerte
257700	259940	Y está, sí, está perfecto, hoy estoy rindiendo
259940	261220	Debo tres finales
261220	262920	Para, para, para, para, para
262920	266940	¿Quieren un poco de máxima verdad estudiantil?
267480	270280	¿Quieren máxima verdad para atravesar procesos de estudio
270280	271560	En soledad?
271840	273480	Porque yo tengo procesos de estudio encima
274020	276060	Igualmente, yo estudié derecho, ¿sí?
276060	278120	Lo cual es una trampa, no
278120	279700	No es estudiar de verdad, ¿sí?
280800	281200	Derecho...
281200	282880	Nosotros fingimos que sabemos cosas, por favor
282880	284980	La comunidad abogaderil, la corpo
284980	285960	No se me enoje, ¿viste?
285980	288400	Hay abogados que creen que saben cosas, ¿viste?
288780	289980	Y dicen, no
289980	292140	¿Cómo vas a decir eso? Nosotros estudiamos un montón
