start	end	text
2000	7000	Tu lugar, tu música, una raro, Nacional Rock.
13060	16220	19 de diciembre, 2001.
17840	19240	33 grados de temperatura.
20160	21700	El asfalto se quema.
22860	26220	La tierra tiembla, tensione.
31780	33860	En el ambiente.
37060	38560	Políticas de ajuste.
39080	40220	El FMI.
44040	44220	Cartoneros.
45200	48460	Familias buscando en la basura.
48700	49140	Piquete.
50300	51300	Caos.
51880	52920	Estado de sitio.
54260	55980	Está lleno.
63380	65060	La crisis es política.
65740	66340	Hay hambre.
66900	68540	No hay perspectiva de futuro.
68880	69980	No hay plan.
70280	71660	No hay política.
72060	73600	No hay política.
75960	79720	Hemos tenido que adoptar una medida transitoria.
79720	83720	De limitación a la extracción de dinero en efectivo.
84840	86100	¡Avalos, los padres!
86480	88020	¡La corta de tu madre!
88560	89720	¿Para esto se llama democracia?
90560	91720	¿Esto es político siniestro?
92480	93720	No podemos permitir este atropecho.
94460	96320	Para todas las naciones del mundo y para el argentino.
99120	103680	Bueno, otra vez se produce el desborde con los habitantes del barrio Piedrahüena.
103800	105720	Y otra vez vuelven a entrar a este supermercado.
106420	109560	Que ya ha sido saqueado, que ha sido totalmente destrozado.
110160	112760	La situación acá se ha devorado totalmente.
113200	114340	Estamos cagados de hambre, hermano.
114500	115240	Yo tengo buen legado.
115600	116400	Tengo oficio.
116500	117080	Tengo trabajo.
117340	119160	Hace dos años cuatro hijos, hermano.
121080	125540	Ya cuando se meten con la propiedad privada ya la cosa es muy, muy, muy grave.
125940	127140	Hay saqueos.
127280	127760	Vecinos.
128020	128500	Vecinas.
128600	130060	Se empiezan a juntar en las esquinas.
130220	131400	En las plazas.
131880	135780	Una micropolítica sectiva entre la resistencia de los noventa y un...
135780	136900	¡Que se vayan todos!
140720	142460	Cada vez más gente en las calles.
142500	144320	Se empieza a configurar un pueblo.
144760	146080	En las calles otra vez.
146520	147440	Otra vez.
147800	150860	Muchas tropas riendo en las calles.
150980	153900	Por la noche la Plaza de Mayo está llena.
154180	155460	Otra vez a la plaza.
155640	158000	Otra vez en la plaza.
158300	159960	Llegan por todos lados.
162540	163980	Aparece un...
163980	164520	¡Crito!
166720	167440	¡Que se va!
167440	167580	¡Que se va!
168620	170940	¡Que se va!
171840	171840	
172400	173180	¡Que se va!
173180	174680	El grito es cada vez más fuerte.
