start	end	text
0	4640	no sé si seguimos en instagram nacional rock noventa y tres siete
10460	13160	la pelota la pelota
17540	21500	se van a remontar a la estratófera
21500	23200	usted tiene que arrepentirse de lo que dijo
23200	23880	no me voy a arrepentirse
23880	25960	usted tiene que arrepentirse porque yo no hice nada de eso
25960	28120	ay si querés llorar llora papi papi por favor
30000	30680	miami
31980	34460	sin diputable hermano
34460	36160	solamente que tenga temor a dios
36160	38140	y a mi en todo caso
38140	39800	para para para
40700	43400	con 15 pesos me hago alto guiso
57040	67180	buenas buenas buenas buenas noches buen arranque de semana bienvenidos bienvenidas una vez más a maga
67180	69240	el espacio el encuentro
69240	71180	el lugar donde pretendemos
71720	72740	al menos
72740	74940	intentamos hacer
74940	77060	a nuestra argentina
77060	78900	grande una vez más
78900	79620	estaba acá
81180	83660	estaba rizando twitter que
83660	85680	que alberto lo comparte a
85680	87300	a soria vieron el nuevo ministro de justicia
87300	89440	y el arroba de soria es
89440	91000	soria en acción
91000	93180	no sé si lo tienen siento que son como esos
94480	95700	esos mails
95700	97200	que te hiciste de pibe
97200	99920	los primeros mails el arroba hotmail
99920	102100	el mas capito 63
102100	103700	arroba hotmail.com
104540	105740	y te
105740	107620	y te quedo claro yajú
108380	108980	yajú
109700	111400	empecé a reír no sabía
111400	113620	arroba soria en acción
113620	115940	y no y sos ministro viste y no
115940	117920	no te lo cambia no te importa nada
118900	120100	empecé a reír con eso
120100	121280	recién escuchaban
121280	123740	no sé si lo escucharon lo escucharon recién salió al público
123740	125320	pero ese jorge fue solo para mi
125320	127440	fue para todos para todos los contribuyentes
127440	129100	espectacular como corresponde
129100	131440	lo tenia nuestro operador a nuestro jorge
131440	133880	escobar de siempre y tenemos esta vez
133880	135300	esta vez se rotaron
135300	137740	osea no vino flor y vino maxi
138360	139960	osea yo volví a ver a maxi
139960	141540	despues de de cuanto
141540	143600	desde que lo conocí basicamente
143600	146040	yo conocí a maxi y no aparecio nunca mas
146040	147120	asi que quizas
147120	149140	hoy nos honre
149140	151740	con el timbre baritono de su voz
151740	153800	tenemos muchos temas hoy para hablar
154520	155980	pero la realidad es que
155980	157820	en varios me quiero
157820	159660	cagar porque
159660	161740	no se si quiero hablar de esos temas viste tengo como
161740	163600	esa dualidad y tengo algunas cosas como
163600	165700	más urgentes que me gustaría como exponer
165700	167740	con ustedes un poco
168520	169740	estoy un poco de mal humor
171640	173560	cambiame la cortina jorge vamos a
173560	176400	cerrar esta intro y vamos ahi va
176400	177620	ahi volvemos a entrar
177620	179740	un poco en este primer
179860	180860	ámbito
180860	182580	del intercambio que tenemos
183380	185860	yo me gustaría que tuviéramos alguna forma mas
187780	189440	inmediata de comunicarnos
189440	191900	porque a mi me gusta mucho hablar con ustedes
191900	194340	me gusta mucho yo aca estoy leyendo
194340	196320	leo a diego a cosme fulanita
196320	198100	a donny no que me escriben en twitter
198100	198860	por ejemplo
199560	201580	en parte me hace sentir menos solo
201580	204200	es raro este programa es un programa
204200	206240	donde estoy hablando solo
206240	207600	al aire un micrófono es
207600	209600	no va a tirar paredes y ver la cara
209600	211580	de decepción de maxi que te mira con ojos
211580	213220	muertos y no esta pero
213220	215380	no va ni a estirar la pierna viste no va ni a
215380	217160	amagar que va a agarrar la pelota entonces
218240	219040	es particular
219040	221300	es particular me gusta
221300	223580	disfruto a ser maga porque es un encuentro
224120	225540	metafisico pero quiero que sepan
225540	227380	que para mi ustedes son fundamentales
227380	229320	por eso es que les paso una y otra vez este
229320	231360	celular y por eso es que hoy les quería
231360	233240	proponer hablar un poco
233240	235460	del gobierno nacional de algo
235460	237100	a algo que a nosotros
237100	239960	ya nos incluye en esta categoría porque
239960	241480	este espacio lo he dicho cientos
241480	243420	de veces es el nucleo duro del
243420	245200	nucleo duro de quien me escucha
245200	247360	la persona que escucha maga es porque ya paso
247360	249460	por todos los filtros sociales posibles ya
250840	251820	ya evito
