start	end	text
6120	10000	La pelota lo... la pelota lo se marcha.
10880	11860	¡Carajo de mierda!
12400	13360	¡Carajo de mierda!
13800	17780	Se van a remontar a la distraertófera.
18040	19520	Usted tiene que arrepentirse de lo que dijo.
19540	20300	No, no me voy a arrepentirse.
20300	22320	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22340	24840	¡Ay, si querés llorar, llora, papi, papi! ¡Por favor, no!
26420	27220	¡Ay, papi!
28660	30220	Sin disputar, hermano.
30920	32520	Solamente que tenga temor a Dios.
33580	35140	Y a mí, en todo caso, también un poquito.
35380	36940	¡Pará, pará, pará, pará, pará!
37520	39500	Con 15 pesos me hago alto guiso.
50580	54440	Bienvenidos, bienvenidas a otra edición de MAGA.
54440	61900	El lugar donde hacemos, o al menos intentamos hacer, a la Argentina Grande otra vez.
62240	65440	Tenemos hoy acompañándonos, por supuesto, a Flor Trevino, nuestra productora.
66780	71060	A Jorge, Jorge en llamas en los teclados, como siempre.
71780	75460	Y bueno, Maxi desde su casa, son cosas que pasan.
76000	79060	Y hoy el tema es tan trascendental, es tan importante.
79060	81960	De hecho, perdón, ¿sabes qué, Jorge?
82660	84060	Te voy a pedir un...
84060	90140	En esta cortina no estoy sintiendo la tono con el nivel de epicidad que necesito
90140	92860	para hablar del tema de hoy, de lo que nos compete.
93940	96380	Quiero un cambio, quiero un cambio de cortina.
96740	100840	Dame algo a la altura de MAGA.
105040	105640	Dame...
105640	106560	Ahí está.
106560	108620	Ahí está.
111140	112400	Sienten esto.
113680	114860	Sienten eso.
115920	117980	Este es el clima de hoy.
119660	121360	Esto es el clima de hoy.
123200	124760	También, también.
126740	130440	Este es el clima de lo que está pasando en la República Argentina.
132200	135660	Lo que le está pasando a MAGA está en guerra.
137220	139460	¿Sí? Y voy a decir más.
140000	143340	MAGA está en una guerra multifrente.
143820	147860	Infieles de un lado, del otro, ataques, ataques internos.
148040	149420	Nos quieren silenciar.
149940	151360	Nos quieren silenciar.
152520	157420	¿O acaso a nadie le extraña que MAGA no esté en Spotify, por ejemplo?
158460	159440	¿A nadie le extraña?
159480	162560	O sea, ¿no ven ahí, no se ven los hilos del poder?
163620	168660	Yo hablo, por ejemplo, con la directora de este medio nacional, Micaela Luzardi.
169000	173200	Pueden hablarlo ustedes también, arroba miciluzardi, con KK, Mickey.
174580	176180	Y yo le digo, Mickey, escuchame.
176460	179180	Quizás la gente lo puede querer escuchar en diferido.
179760	183220	Y Mickey me dice, ¿pero vos te parece?
184420	186860	Un programa de una hora, un tipo que habla solo.
186920	189840	Yo le digo, Mickey, believe in me, Mickey.
190060	191040	Tenemos algo.
191040	192480	Hay algo acá.
192920	194580	Hay algo ahí, como dice Ed.
195140	196160	Y no sale, no sale.
196360	197240	¿Saben qué tenemos que hacer?
197480	202280	Tenemos que hacer como la campaña de Zack Snyder para el SnyderCat de Justice League,
202440	206260	que inundaron las redes con release de SnyderCat.
206480	211900	Hay que poner release de MAGA.
212900	215380	Release de Spotify MAGA.
216500	217940	A ustedes se les va a ocurrir.
217940	222780	Pero es una campaña, un hashtag que mueva algo lo que está sucediendo.
223340	226580	Porque si no vistes inocultables, ¿cómo quieren que compitamos en Spotify?
226660	231320	¿Cómo quieren que compitamos con el top 5 de tendencias nacionales?
231600	233320	Y MAGA puede serlo.
233520	237700	Sobre todo porque hablamos de eso que el resto de la gente no quiere hablar.
238620	245380	Y hoy el tema urgente que nos atañe es, ni siquiera te voy a decir, la crisis en boca.
245380	251580	Esto que es este Gregorians, que es canto Gregoriano.
251800	254540	Este programa es perfecto, de principio a fin.
255180	256460	¿Cómo es perfecta?
257040	258920	Ahora vienen, Jorge.
260440	262480	Porque esto es lo que estamos formando en este lugar.
262600	264600	El primer cordón, el núcleo duro.
