start	end	text
6280	10440	La pelota no... la pelota no se mancha.
11140	13420	¡Carajo, mierda! ¡Carajo, mierda!
13780	17800	Se van a remontar a la estratógrafa.
18040	19500	Usted tiene que arrepentirse de lo que dijo.
19600	20280	No, no me voy a arrepentirse.
20300	22340	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22340	25200	¡Ay, si querés llorar, llora! ¡Papi, mami, por favor! ¡No, no, no!
26160	26880	¡Ay, mami!
28820	29880	Sin disputar, hermano.
30920	32520	Solamente que tenga temor a Dios.
33580	35140	Y a mí, en todo caso, también un poquito.
35340	36860	¡Pará, pará, pará, pará!
37420	38880	Con 15 pesos me hago alto guiso.
53020	60520	¿Cómo andan, queridísimos, queridísimas, contribuyentes, cómo andan compatriotas?
61420	66080	La verdad es que creo que es una pregunta un tanto autoconclusiva,
66080	69460	porque imagino que la respuesta es como el orto.
70240	75480	Hay una idea, hay una premisa de que uno, en el arte del entretenimiento,
75660	81780	en la vocación esta de dar un segmento de sí para el resto, para la humanidad,
82180	84760	siempre tiene que estar arriba, siempre tiene que entretener,
85060	86800	siempre hay que encontrarle la vuelta.
88740	89720	Y a mí me parece que no.
90600	95060	A mí me parece que no.
96080	99280	Me parece que MAGA tiene otras pretensiones.
99420	102380	Me parece que este lugar, que este encuentro, que esto que supimos construir,
103000	103880	puede darse otros lujos.
103960	107260	Por ejemplo, yo ahora, acá en este estudio, en el cual estoy solo,
107920	112420	estoy viendo una imagen, está hace 5N acá en la tele,
114080	117180	y lo estoy hablando literalmente de lo que me está pasando en vivo.
118200	122060	Estoy viendo al gato silvestre con un barbijo apto para hipoacúsicos.
123080	125180	Y la imagen es desoladora.
125540	126540	La imagen es desoladora.
126840	130340	El gato silvestre es una suerte de escorpión.
130520	133060	Es un Mortal Kombat gato silvestre.
135120	138080	Y yo con esto no quiero decir que esté mal, ¿se entiende?
138180	141980	Con esto no quiero decir que esto no es lo que haya que hacer.
142240	143880	Solo estoy diciendo el efecto que me genera.
143960	146340	El efecto es desolación.
147000	149480	El efecto es no hay futuro.
149480	154200	Si a alguien le pasan el rostro en este momento del gato silvestre
154200	159240	y lo pasan a un focus group, así, para ver qué estímulo que les resulta,
159580	160940	el resultado es desolación.
161480	162300	Es malestar.
163320	167440	Y yo creo que hay un clima que nos recorre que es un estado de angustia,
167600	172800	un estado de malestar, una cosa de eso, ¿viste?
174160	175740	Desolación es la palabra.
175740	178260	Y decir, gracias a Dios que tenemos terapia,
178320	180700	y por terapia por supuesto me refiero a este encuentro,
180960	184640	este lugar donde hablamos de algunas cosas que en el resto de lugares no se pueden hablar,
185840	188820	quizás, quizás, hasta en el mejor de los casos nos distraemos.
189420	195740	Porque, como les decía, no tengo ninguna pretensión de hacer un programa falso.
196700	204220	Yo estoy de mal humor, yo estoy triste, estoy angustiado, me siento mal.
206900	212360	Tengo un estado de ansiedad permanente.
213000	215180	Yo creo que hasta cierto punto, hasta las redes sociales me están haciendo mal.
215260	219900	Vieron que hay un punto de Twitter que cuando te pasas das la vuelta completa
219900	222800	y simplemente te querés corchear, básicamente.
222980	226900	Twitter, sobre todo, de otras redes un poco más pelotudizantes y distractivas.
227020	231220	Todas tienen su punto de no salud, pero Twitter es una cosa medio enfermiza.
232060	239120	Yo creo que lo que pasó es que en algún punto la caída de la ficha de lo inevitable,
239520	245540	esta idea de la segunda ola en todo su esplendor.
245920	248360	El otro día veía en la tele también, en el fin de semana,
248820	252000	noticias de Europa en tercera ola.
252100	256960	Y yo dije, no, o sea, ¿es esto la humanidad ahora?
258180	261060	Y prefiero establarlo en estos términos porque no me sale otra cosa.
261160	263200	Si hablo otra cosa me siento enajenado, ¿entendés?
263200	266040	Es una cosa como, es el elefante en la habitación, ¿viste?
266680	270900	Y justamente desde ahí, desde el fondo de la mierda es desde donde me gustaría partir,
270980	272860	porque me interesa escucharlos a ustedes.
273320	275960	Ya les he dicho que este es un momento de profunda soledad metafísica
275960	279640	al mismo tiempo que estoy acompañado de las voces y corazones de todos ustedes.
280480	284820	Pero me gustaría escucharlos, me gustaría escuchar no solo qué les pasa,
285620	289280	porque ahí es medio como regodearse en la mierda, no, estoy como el orto,
289500	291640	sino que me gustaría encontrarle una vuelta de tuerca,
291840	296820	que es qué sigue, qué quieren, qué es en qué creen,
298660	306820	qué es qué cosa les genera un hilo de voluntad, un hilo de voluntad.
307960	311760	A mí, por ejemplo, venir acá, yo esto lo digo mucho en joda, pero ahora lo digo en serio,
311760	314640	pero venir acá a hablar un rato con algunos de ustedes,
314740	317800	escuchar sus audios me pone de buen humor, me hace feliz.
318180	323660	Me siento construyendo algo raro y probablemente sin sentido,
323940	327780	pero que me hermana a una porción significativa de mis compatriotas
327780	333540	y charlamos de cosas sin mediaciones, por fuera de tiempo y espacio muchas veces.
333980	337120	Y en el mejor de los casos, lo dije antes, me distrae, ¿sí?
337500	339740	Entonces, eso, por ejemplo, a mí es qué me va sosteniendo
339740	342600	porque mi vida hoy es una sucesión de programas.
342960	346300	Tal día viene otro, tal día viene otro y más o menos sobrevivo.
346680	349640	Pero puede haber otras cosas y no hablo de cosas grandilocuentes.
349780	351760	No quiero que me digan, no, quiero cambiar el mundo.
352000	355000	Quiero, capaz es una serie en Netflix, ¿entendés?
355000	356440	O sea, hay que bajar las pretensiones.
356480	359540	Si algo nos enseñaron estos años de mierda para la humanidad,
359760	361860	o sea, años de ocaso civilizatorio,
362440	366140	es que una gran fórmula de la felicidad puede ser bajar las expectativas.
366140	370940	¿Se acuerdan lo que eran sus listados de fin de año hacia, por ejemplo, 2017, 2018?
371980	376580	Quizás en sus resoluciones de año nuevo, perdón por el término un poco gringo,
377160	379320	pretendían, no sé, al año que viene recibirse,
379380	381340	conquistar el mundo y fundar una multinacional.
381880	388140	Ahora, díganme si me equivoco, pero los objetivos del año se parecen más a aguantar,
390080	392560	sobrevivir, comprar el pack football.
393540	395440	Eso es un poco lo que nos está pasando.
395440	397520	¿Es un garrón? Sí, es un garrón.
397960	401680	Pero, pero, así como les digo que, indudablemente,
402220	407020	estamos en un proceso de oscurantismo medieval,
408300	410060	entre aislamientos y cuarentenas,
410600	413660	yo creo que siempre, después de tocar el fondo,
413760	416040	no se puede ir sino para arriba.
417180	419780	Va a venir. Algo va a venir.
419780	423780	Nos va a llegar, nos va a llegar una bele epoch,
424780	429160	un algo, unos años de confusión y joda y frenesí,
429680	432020	y eso lo vamos a construir, y eso también,
432240	435780	eso también, ese punto de esperanza, ese punto de cohesión,
436820	440580	puede ser hacer a la Argentina Grande otra vez.
441680	444900	Como les digo, quiero escuchar sus audios, quiero escuchar, quiero escucharlos,
445240	447360	quiero ver qué les pasa, ¿sí?
447360	450160	Me dicen que ya llegó un audio, pero quiero escuchar,
450160	452160	quiero juntar un par de audios, ¿sí?
452560	459360	Esto es 1139398888.
460160	461880	Tengo un par de temas para hablar hoy,
462420	464760	por supuesto vamos a charlar de lo que, o sea,
465340	468480	yo creo que la muerte de Mauro Viale generó como este estado,
468520	472460	o sea, fue lo inocultable de este proceso de malestar.
473100	475380	Que este proceso de malestar, no sé si lo pensaron ustedes,
475380	481160	pero vieron que la segunda ola o este nuevo proceso tiene,
481200	485020	es como si tuviera, tiene todo lo malo del primer proceso
485020	487020	y ninguna de sus virtudes.
487600	490360	Porque en la primera cuarentena, en el primer, viste,
490640	493460	en la primera ola de la pandemia, había algo hasta de,
493460	494560	en el mejor de los casos, ¿no?
494560	496180	Cuando no lo estabas pasando como el orto en serio
496180	498560	en términos de necesidades básicas e insatisfechas,
498860	503180	había hasta algo de curiosidad folclórica, de emoción,
503180	507200	de basta recordar lo bien que estaba la imagen, por ejemplo,
507320	509420	Alberto Fernández, eso porque era por las virtudes de Alberto,
509580	511480	no, era una cuestión de clima de época, era,
512020	514420	era la humanidad se enfrenta a una amenaza desconocida.
514500	518100	Ahora no tenemos ni eso, o sea, ahora hay una cosa de,
518100	524180	es solo la resaca del otro proceso y rebajada con alquitrán.
524240	528080	Hay una cosa muy jodida, muy jodida.
528340	530980	Desde lo político es jodidísima, porque ustedes vieron que cuando
530980	533780	el peronismo no está asociado a una memoria,
533880	536300	a un recuerdo de felicidad, difícilmente prospere.
536700	538620	El peronismo tiene siempre esa marca de época.
538980	542060	Y le ha tocado una, le ha tocado una negrísima,
542140	545180	le ha tocado hacerse cargo del peor proceso
545180	547160	que podemos estar atravesando generacionalmente,
547200	550440	sin duda, hablo por mí, pero no sé si humanitariamente
550440	551840	hubo muchos más a este nivel.
551980	554440	Y aparte, me cago en las generaciones anteriores,
554460	555980	no hubo, no hubo a este nivel.
556980	559660	Es único, yo vengo, hace muchos programas,
559660	561720	rompiendo las pelotas con Santo Tomás de Aquino,
561900	563800	pero cada vez, cada vez lo veo más actual.
564400	568320	Si no le encontramos una cohesión narrativa a este presente,
568480	570440	si no le encontramos alguna vuelta,
571040	573980	alguna vuelta de horizonte, vamos a estar muy complicados.
574900	578740	Y el fenómeno que se abrió con la muerte de Mauro Viale,
578780	580520	yo lo quiero poner en estos términos porque mucha gente,
580920	582500	muchos contribuyentes que querían hablar de este tema,
582520	583520	me decían, eh, ¿qué pasa?
584200	586500	Ahora se muere alguien y de golpe todo nos caía bien.
586500	591800	Déjenme decirles, déjenme decirles que no pasa por ahí.
593320	596800	Con la muerte de Mauro Viale muere una porción de argentinidad
596800	599280	y eso es lo que le duele a todos los compatriotas de bien,
599360	600520	y eso es lo que le duele a uno.
600980	602820	Las cosas que hacen a su terruño.
603520	606960	El terruño no está compuesto por aquellos signos inequívocos
606960	608800	de lo que te reafirmaba ideológicamente.
608860	612440	No es que vos te rodeás de tus estímulos culturales que elegís
612440	615880	y nada más, y vivís en un frasco de mayonesa.
615880	618240	Vos vivís en un proceso social amplio.
618520	620260	Y ver todos los días a Mauro en la tele era eso,
620320	623640	la pelea con Samid era, es parte de nuestro folclore.
624080	627040	Y por supuesto que cuando fallece una persona de ese calibre,
627200	628880	esa envergadura simbólica,
629400	631420	esto ni siquiera, es como cuando hablo de la mística,
631540	632720	esto ni siquiera es un juicio de valor.
632860	635640	No me puede chupar más un huevo que pensás de Mauro Viale
635640	637860	como persona, como lo que recarajo sea, ¿sí?
638280	641960	Sino que estoy diciendo, a nivel impacto cultural y simbólico,
642160	644140	perder una de esas personas no es más que la corroboración
644140	649220	de fatalidad, es una pequeña orfandad del alma.
650040	651580	Entonces, déjame decirte que si vos no sentís nada,
651740	653980	lo que te pasa es que sos un poquito sipayo, digamos, ¿no?
653980	655740	O sea, no pasa por si te cae bien o mal.
656080	658900	Eso es algo que a mí me enerva, me enerva la gente
658900	661500	que solo puede leer los fenómenos en las categorías
661500	664540	de lo que confirma lo que pensaba o no,
664800	665920	de lo que les gusta o no.
666200	668980	¿Qué importa qué pensabas de Mauro Viale?
669320	672360	Se murió un pedazo de nuestra cultura y de nuestra historia,
672360	676880	y eso es lo que nos tiene bajón, eso es lo que nos tiene cabiz bajos.
678200	681280	Es nuestro Godzilla King Kong,
681500	683060	hablando de esta película que querían hablar.
683180	684960	Es nuestro Godzilla King Kong.
685320	687120	Así que bueno, ya saben, ya saben.
687720	688860	Me dicen que tenemos audios.
689140	692760	Yo antes de ir a la primera tanda con esta apertura pumpar arriba,
693020	693860	¿cómo están, eh?
694120	696600	¿Cómo arrancó el programa, cómo anda la cabina, eh?
696940	698560	Estamos de festejo, ¿no?
699360	701240	Las ganas de hacer maga.
701240	703020	Bueno, a veces están bien, ¿viste?
703020	705420	Las casas son con barro y mierda,
705620	710500	y a veces algunos magas hay que conectar con nuestras fibras,
710500	711760	fibras de tristeza,
712180	713860	porque si no, sos un enajenado acá.
714260	717420	Es como la filosofía, es como el budismo.
717860	719640	¿Viste? Que el budismo se centra
719640	722140	no en transformar el estado que atravesás,
722200	723980	sino de aceptarlo, internalizarlo a pleno.
724060	725480	Si estamos tristes, estemos tristes.
725740	727020	Si estamos angusteados, estemos angusteados,
727080	727980	estamos ansiosos, estamos ansiosos,
727980	731280	porque eso es el reflejo de nuestro estado patrio.
732900	736240	Orfandad, confusión, malestar y miedo.
