start	end	text
800	9000	había una vez un porteño, que se creyó un poquito más de lo que era, se llamaba Carlos Tejedor,
10320	15180	tuvo la idea de cuestionar una disposición del Congreso Nacional,
15420	19840	convocaban a no armarse en nombre de autonomías provinciales.
20000	24320	Entonces, ¿qué era lo que pasaba? Estaba de presidente a Bellaneda, Nicolás a Bellaneda,
24680	28760	le habían tomado un poquito el pulso, le veían medio cara de pelotudo, entonces dijeron
28760	33760	pues tentémosle un poco a Bellaneda a ver qué pasa, entonces organizaron primero un desfile militar,
34640	39820	después resulta que unos seudomilicos los disfrazaron de bomberos y lo pusieron a hacer ejercicios,
40620	46960	después chiflaban a los diputados provinciales, lo iban probando, era como una, dos, tres,
47040	51120	a ver si Bellaneda hace algo, a ver si hace otra cosa, qué sé yo.
51320	55900	Cuestiona un día, piden un cargamento de armas, no lo van a recibir ahí nomás,
55900	62780	se entera el gobierno nacional, se entera el gobierno nacional y se pudre.
63360	69660	Estamos hablando de 1880, eso es más o menos la última vez que hubo un desafío a la autoridad central
69660	73960	de parte de los porteños, de parte de nosotros, de parte de nosotros,
75100	77380	de la fabulosa ciudad autónoma de Buenos Aires.
79860	87380	Ese fue 1880, ustedes saben no había un pequeño temita con el puerto,
88540	91820	no lo quería entregar nadie, nadie quería la federalización de la ciudad de Buenos Aires,
91940	96640	entonces pasaron unos y otros, no lo hizo Rosas, no lo hizo Urquiza,
96700	99460	por supuesto no lo iba a hacer Mitre, no lo hicieron los que llegaron,
99460	108460	¿saben quién resolvió este problemita? Un tal Julio Argentino Roca,
111160	114680	resulta que tejedor, insisto, probó una, probó dos, probó tres y qué pasó,
115680	122520	a Bellaneda se fue, le quedó grande, vino Julio Argentino Roca con el Ejército Nacional
122520	127340	y los recagaron atrompadas a los porteños, a nosotros en esa oportunidad,
128880	132340	los cagaron a piñas, hay 5000 muertos en la ciudad de Buenos Aires,
133260	138920	pelean en barracas, en puente alcina, en todas partes y lo revientan a tejedor,
139060	145340	sí corre como una rata, tejedor, como una rata, como una rata, como una rata,
147980	150340	¿cuál es esa prueba? ¿por qué me miran así en cabina? como una rata,
150460	159780	una ágil rata, una rat, corre, escapa. Un desafío a la Autoridad Central
159780	165780	del Estado Nacional Argentino. Quería arrancar el programa de hoy así tranqui
165780	171440	con una idea, ideas, ideas para divertirse, pop, pop para divertirse.
172760	176460	Espero que la estén pasando bien, los espero del otro lado, espero sus mensajes,
176580	185140	porque acá, una vez más, vamos a intentar hacer a la Argentina Grande otra vez.
207040	210380	Ay, si querés llorar, llora, papi, papi, por favor.
233800	239260	¿Cómo andan compatriotas en todos los rincones del país?
240000	244840	¿Cómo están? ¿Cómo están en este Estado secesionista? ¿Cómo están en los albores
244840	248260	de una nueva guerra civil? Arrancábamos este programa, este encuentro,
249020	252180	ustedes saben, este es un espacio donde nos encontramos, donde dialogamos,
252280	256740	donde intercambiamos, nos decimos cosas, y arrancábamos rememorando un poco
256740	262980	la gesta de Carlos Tejedor, el último The Last of Deporteños, el último que se atrevió,
263400	268620	el último que se paró frente a una autoridad emanada de la soberanía conjunta
268620	271160	del pueblo argentino y le fue como el orto, ¿sí?
271220	276820	Esa es la parte final que vamos a tratar de repetir varias veces, le fue como el orto,
277060	282380	porque cuando hacen eso y te dejan pocas opciones, te dejan pocas opciones.
282540	288800	Hoy contamos en este fabuloso programa con Maxi, a quien no vemos hace como 10 semanas,
289280	291920	a quien no vemos desde que arrancó el programa.
292420	298400	Tenemos en la operación en llamas en el teclado a Diana Cardilli, sí, sí,
298400	304620	nos abandonó Jorge Escobar, aguantó mucho, aguantó y de repente dijo basta, basta.
305060	309040	Habló con nuestra directora Miki Luzardo y dijo sáquenme por favor de acá.
