start	end	text
0	8000	lo tuve en una transmisión que no se veía para reflexionar no? hashtag maga resiste
9880	17580	con eso lo que quiero decirles además de darles la bienvenida a este canal de resistencia a este
17580	23040	canal clandestino igual que cosito, también paralelismo espiritual con cosito espectacular
24680	32000	es que este programa es un maga es un programa particular maga es un programa liminar maga es
32000	37340	un programa de frontera maga es un programa que sucede no sé si lo habrán notado quizás ustedes
37340	43560	nos hicieron cuenta o quizás si maga es un programa que acontece al borde de la insanía no? maga es
43560	50120	un programa que en primer término es una necesidad que yo tengo eso es algo que también quiero
50120	55080	confesarme con ustedes y por eso yo estoy agradecido acá a streaming studios que puso su locación
55080	60340	secreta su bunker incluso sabiéndose al ataque que se exponía porque ellos sabían a lo que se
60340	66500	arriesgaban cuando yo dije che miren hay unos sidas y vueltas ahí con nacional rock gran emisora
66500	71680	gran emisora vamos a tener que arrancar viste yo se los dije en el anuncio del multiboard capaz
71680	76860	será la próxima semana vamos a intentar que sea tal me llegó un mensaje un mensaje como en last hope
76860	83080	me llegó un arturito con la cara de nico espaca expandida que me proyectó un mensaje en el piso y
83080	92060	me dijo se proyectó se me proyectó un nico es un un escape un espaca una espaca con rulos y un
92060	99020	vestido de princesa leia holográmico que me dijo reward podés hacerlo acá reward streaming
99020	105620	studios te va a recibir reward esta es tu casa yo le dije nico nico le dije tranquilo le dijo nico
105620	114820	mira que te exponesa mucho si hacemos maga y te exponesa mucho y él me dijo sin exposición no
114820	125000	hay heroísmo pero me tiré esa frase ahí wow o sea como si la tuvieras preparada buenísimo
125000	130520	y así decidimos hacer esta transmisión esta transmisión clandestina bajo ataque contra viento
130520	135600	y marea con desertores con nuevos suscriptores francheco no paran igual los suscriptores quiero
136320	139720	agradecerles porque hay una cantidad de gente que que está queriendo participar probablemente
139720	144720	la primera vez que bien maga hashtag maga resiste twitter instagram hashtag maga resiste tenemos
144720	149300	que bancar los trapos porque esto va para largo y nos van a querer bajar así arrancó la transmisión
150020	154680	imagínate arrancó la transmisión estábamos yendo a dos lucas nos cortaron las piernas se piensa
154680	161300	que es casualidad se piensa que es casualidad yo me estoy disponiendo mucho haciendo esto lo
161300	173620	pensaron un poco yo o sea es como el es como la cita del del michael scott no salvo una
173620	182660	vida la mía soy un héroe no lo sé pero sí la respuesta es sí yo me estoy disponiendo mucho
182660	188660	haciendo esto por ustedes porque lo necesita la república argentina gracias jero mar que
191780	199500	pero también por mí lo quiero decir también por mí y saben por qué vuelvo al principio yo
199500	204680	necesito maga les decía que maga es un programa que es un programa de frontera sucede al borde
204680	210640	de la insanía y a mí me pasa yo fui la primera gran víctima del gran silencio de verano no solo
210640	215620	ustedes a mí me hizo mucho daño esto hay tantas cosas las que quiero hablar tengo tanto para decir
215620	219700	tiempo de tantos temas que no sé si conocen esta sensación de ustedes pero
221260	226020	viste cuando estás como sobrepasado de verdades para decir y lo único que te sale es algún tipo
226020	230700	de guturalidad es algo no matopeya cuando tenés tanta verdad por decir cuando has descubierto
230700	234960	cuando ves del otro lado de la frontera de la verdad es muy difícil de transmitir a lo único
234960	241900	que lo más parecido que te sale es una suerte de ruido gutural es como así por eso el diego hablaba
241900	246580	sí porque estaba en estado de máxima verdad permanente cuando cuando vos haces ascendés
247280	253420	hacia la total incomprensión es como vieron que la suma de todos los colores da marrón caca
256100	264820	es él es el mismo principio científico uno cree que todos todos los colores juntos dan algo hermoso
264820	270660	todos los colores juntos dan marrón caca en el mismo sentido toda la verdad y toda la ciencia
270660	278880	junta da una especie de así y si vos si vos pudieras de codificar ese sonido eso que acabo
278880	286700	de hacer tenés todo el programa de cinco horas que tenemos por delante tenés o sea si lo pudieras
286700	292980	si puedes dividir la multitonalidad del mensaje que les acabo de dar algún técnico en sonido
292980	300060	algún ingeniero en sonido quizás lo puede hacer tendría todo todo lo que tengo para decirles y
300740	307940	yo podría morir por hacer esto quizás este sea mi último stream acá dice náhuas y cuevas dice son
307940	313780	arcadas de verdades sí este programa es un vómito metafísico este programa es un vómito ancestral
313780	328740	este programa es este programa es bosta hacer un boliche así y viene alguien corriendo y te
328740	340980	vomitaron así y aparte así vino alguien corriendo separando la gente y lo vomitó solo a él solo a
340980	346860	él ale flow dice tomás soy técnico en sonido lo podría de codificar recién en un mes perfecto ale
346860	353740	tenés un mes para este trabajo gracias compatriota sé que es difícil tenés que empezar a son capas
353740	358740	es multitonal viste como cuando te ves el cómo hicieron una película y ves que el rugido de
358740	365120	godzilla lo hicieron con un rugido de chancho un león y un pedo es lo mismo si vos decriptas
365120	370800	ese sonido que yo hice ese sonido aparentemente inocente tenés todo el contenido de este 2022 en
370800	377020	este vómito ancestral en este vómito gutural y con esto compatriotas quiero darles la definitiva
377020	382160	bienvenida ahora sí normalizada la cuestión técnica resistido el primer ataque hashtag
383000	388780	vamos a plantar bandera acá y vamos a empezar con algo que creo que necesitamos todos y todas acá
388780	395060	que es un análisis una ponderación del impacto metafísico de los principales hechos de la república
395060	400720	argentina porque que pasaron cosas pasaron cientas y la gente me decía necesito maga necesito esto
400720	406960	hashtag maga resiste por favor ahora que cerramos ahora que arrancamos esta introducción twitter
406960	415600	instagram hashtag maga resiste necesitamos expandirnos sí y mil sete o sea hay ochenta
416860	425040	desertores ahora que son pocos propongo cazarlos sí antes no estaba tan seguro porque era una
425040	428840	cantidad considerable entonces tenías que tener una línea más como consensuadora como onda
430020	437360	nosotros no alcanza sin ellos no se puede esa mierda ahora que sólo son 80 propongo
437360	446060	hacerlo mierda la verdad pero poco hashtag maga resiste y vamos a hacer los pija son 80
446060	452600	personas que tan difícil puede ser ubicar esas 80 personas persíganlos están ahí están en
452600	457300	otras redes están en otras transmisiones de twitch vayan a buscarnos y no los traigan
458980	465500	o sea si los si los traen traigan sus cabezas en picas traigan las compatriotas
470940	473720	tenemos mucho no fueron 80
477700	479500	crítica no fueron 80
483840	487700	vamos a buscarlos los que se fueron los vamos a buscar y lo vamos a hacer pija
489180	496920	habiendo dicho eso tenemos muchos temas para hoy tenemos el santi maratea gate algo que yo estuve
496920	502340	viendo estuve analizando estuve observando hay mucha discusión con este tema mucha discusión
502340	511500	con este tema y como siempre sucede en este programa estuve viendo sus opiniones muchas de
511500	516620	ustedes porque algunos los conozco vi cómo se posicionaron algunos hago los quiero felicitar
516620	521980	por posicionarse porque no me gusta la lógica especulativa de no posicionarte hasta que viste
523140	529380	este programa tiene máxima verticalidad y máxima anarquía al mismo tiempo porque esto no se trata
529380	534320	de sus opiniones ni siquiera se trata de la mía se trata de la verdad de la verdad y la ciencia
534320	539360	sí entonces quiero felicitarlos por posicionarse por producir ciencia por analizar los impactos
539360	545160	metafísicos de lo que ustedes observaron pero la gran mayoría de ustedes está diciendo boludeces
546100	551720	eso también se los quiero decir son como muy boludos yo estuve
554780	558280	leyendo a alguna de sus opiniones y me parecieron
561000	566040	me parecieron muy gilio boludo así que vamos a hablar de eso va a hablar de santi maratea
566040	573940	vamos a hablar vamos a hablar de que hablar de la nota de la caja negra de dárgelos quiero hablar
574640	580020	quiero hablar de eso quiero hablar del cine termo quiero hablar de bernie quiero hablar de que
580020	584300	seguir jugando en charter tengo cosas para decir y efectivamente quiero ponderar con ustedes
584300	588420	incluso las diferencias ustedes ustedes se creen que la gente los agoberos que escuchan maga lo
588420	594940	escuchan porque están de acuerdo ustedes creen que fede quintana nuestro trosquista fanático
594940	602620	agobero de la primera hora poncha maga no está de acuerdo con nada fede quintana con nada de lo
602620	610460	que decimos acá y por qué viene porque necesita ciencia y verdad ustedes creen que grobocopatel
