start	end	text
59380	59700	Más información www.alimmenta.com
89380	89700	Más información www.alimmenta.com
118180	119720	Más información www.alimmenta.com
148580	149980	Más información www.alimmenta.com
178580	179980	Más información www.alimmenta.com
208580	209980	Más información www.alimmenta.com
237180	239980	Más información www.alimmenta.com
256580	269700	Más información www.alimmenta.com
299360	299700	Más información www.alimmenta.com
328580	329980	Más información www.alimmenta.com
330000	359760	Más información www.alimmenta.com
388020	389640	Más información www.alimmenta.com
418580	419980	Más información www.alimmenta.com
445120	449980	Más información www.alimmenta.com
450000	479980	Más información www.alimmenta.com
480000	509660	Más información www.alimmenta.com
538020	539460	Más información www.alimmenta.com
552980	569800	Más información www.alimmenta.com
598580	599980	Más información www.alimmenta.com
628580	629980	Más información www.alimmenta.com
658300	659700	Más información www.alimmenta.com
688580	689980	Más información www.alimmenta.com
718580	719980	Más información www.alimmenta.com
731760	749780	Más información www.alimmenta.com
754840	779800	Más información www.alimmenta.com
808160	809680	Más información www.alimmenta.com
810000	838480	Más información www.alimmenta.com
842160	869320	Más información www.alimmenta.com
870000	899980	Más información www.alimmenta.com
907140	929780	Más información www.alimmenta.com
939380	959300	Más información www.alimmenta.com
960000	989820	Más información www.alimmenta.com
990000	1019980	Más información www.alimmenta.com
1026840	1049720	Más información www.alimmenta.com
1050000	1077660	Más información www.alimmenta.com
1087780	1105780	Más información www.alimmenta.com
1114480	1139300	Más información www.alimmenta.com
1166400	1169640	Más información www.alimmenta.com
1170000	1198880	Más información www.alimmenta.com
1200000	1229980	Más información www.alimmenta.com
1232380	1259980	Más información www.alimmenta.com
1260000	1285880	Más información www.alimmenta.com
1312200	1319980	Más información www.alimmenta.com
1320000	1349980	Más información www.alimmenta.com
1350000	1379980	Más información www.alimmenta.com
1380000	1383940	Más información www.alimmenta.com
1414800	1439780	Más información www.alimmenta.com
1446180	1469640	Más información www.alimmenta.com
1477940	1498520	Más información www.alimmenta.com
1525580	1529740	Más información www.alimmenta.com
1530000	1559980	Más información www.alimmenta.com
1566700	1573160	Doctor Strange in the Multiverse of Madness
1590320	1600000	Doctor Strange in the Multiverse of Madness
