start	end	text
4420	8280	¡La pelota lo... la pelota lo se marcha!
9240	10040	¡Carajo, mierda!
10820	11620	¡Carajo, mierda!
12020	15940	¡Se van a rem... remontar a la registratófera!
16180	17720	¡Usted tiene que arrepentirse de lo que dijo!
17740	18500	¡No, no me voy a arrepentir!
18500	20540	¡Usted sí tiene que arrepentir, porque yo no hice nada de eso!
20540	23340	¡Ay, si querés llorar, llora, papi, papi, por favor! ¡No, no, no!
23800	25160	¡A la vez!
27100	28540	¡Casi diputable, hermano!
28540	30700	Es solamente que tenga temor a Dios.
31800	33340	Y a mí, en todo caso, también un poquito.
33540	35160	¡Pará, pará, pará, pará, pará!
35720	37660	Con 15 pesos me hago alto guiso.
47020	49540	¿Cómo están, queridísimos compatriotas?
51200	55400	¿Cómo están? ¿Cómo están tanto tiempo, hermano?
55400	59420	Tanto tiempo sin estar en este fabuloso estudio.
60120	61360	En esta meca.
61480	64100	Meca de la transmisionabilidad.
64580	65880	En esta meca técnica.
66780	67720	¿Sienten eso?
68480	69680	¿Sienten eso?
70160	72460	Compatriotas, son los impuestos.
72860	74540	¿Sienten? ¡Mirá!
74540	75720	¡Mirá este IVA!
79140	80060	¡Ganancias!
81140	82060	¡Ganancias!
82520	84100	¿Te fue bien este año?
84100	85900	¿Te fue bien? ¿Te está yendo bien?
86360	86940	¡Dámelo!
87620	88700	Es mío.
88860	91300	Lo voy a usar para este programa.
91720	95000	Lo voy a usar para hacer grande a la Argentina otra vez acá.
95240	96580	Desde el Estado Nacional.
97600	99120	Fueled by taxes.
100000	101240	Esto es el Estado.
101580	102720	Esto es maga.
102880	105540	A esto va la plata de los contribuyentes.
105980	107300	Veo en esa entrada técnica.
107600	109400	Veo en esa entrada con despliegues.
109600	112380	Es la magia del queridísimo Tano Escarpatti.
112380	114140	Que se ha incorporado oficialmente.
114160	116700	Ya lo conocen de transmisiones anteriores.
117080	119540	Tenemos por supuesto a nuestro productor Maxi.
119760	122960	También tolerando estas cosas horribles desde el día 1.
123020	124700	Como el mismo día 1 del año pasado.
125180	126740	Y tenemos toda la calidad técnica.
126960	128460	Incluso en este feriado.
128800	130300	Incluso en este feriado.
130560	131480	La radio decía.
132440	133680	¿Pero les parece?
134080	136460	¿Es feriado? ¿Por qué no arrancan el otro lunes? ¡No!
137540	139500	Maga debe arrancar ahora.
140360	142240	La gente está en peligro.
142240	144240	El planeta está en peligro.
145240	147060	Momento de reflexión seria, ¿no?
147680	149340	Una bajada de linea.
149560	150100	La guerra.
151560	152700	Las cosas están mal.
153620	155600	Y programas como maga.
156040	156240	Son elementales.
157460	158240	Para salvar a la humanidad.
159340	160420	Para salvar a la gente.
161200	162280	Yo tengo tanto para...
162280	164620	Tengo una abstinencia de diálogo que hasta me traje mi cuadernito.
164680	166000	Esto me lo regaló mi novia.
166300	168220	La Suus me regaló un cuadernito.
168380	169760	De Business Woman.
169760	172080	Que dice Nati Peluso acá abajo.
172160	173260	Ustedes no lo llegan a ver.
173520	175020	Pero cuando lo abrís.
175300	176840	Está firmado por Nati Peluso.
177480	178740	Tiene una dedicatoria.
180600	181160	Esto...
181160	184460	No está para nada firmado por un gordo en Munro.
184780	187340	Que mandó 500 ejemplares seguidos.
187400	188800	Por siempre Nati.
188920	189140	¿No?
189700	190640	Esto yo sé.
190980	192880	Que lo firmó Nati Peluso para mí.
193460	195900	Y en este cuaderno estuve anotando ciencias,
196160	196920	análisis, cuestiones.
196920	198940	Fíjense lo profesional que vengo este año.
199260	200500	O sea, es tanta
200500	203120	la exacerbación de verdades que estoy atravesando
203120	205380	que tuve que bajarlo a papel.
205740	207100	Tuve que ordenar
207100	209300	estas cosas en mi cuaderno de Business Woman.
209600	211200	Como gran Business Woman que soy.
212240	213160	Quiero agradecer
213160	214980	y felicitar a las nuevas incorporaciones
214980	216880	de Agob. Que no han estado con nosotros
216880	218900	el año pasado. Estoy hablando
218900	220340	por supuesto de Gay Board.
221240	223080	Y de Femi Board.
226160	226720	El...
226720	229100	Y el rebordismo gay.
229520	230180	Gay Board.
231000	232020	Y Femi Board respectivamente.
232300	235040	Grandes cuentas. Les auguro mucha utilidad.
235200	236840	Y para nada controversia.
237040	238900	Ni escándalo. Ni mucho menos.
239240	240780	Quiero felicitar a Santiago Berta
240780	242880	que se recibió de arquitecto
242880	244600	agovero. Yo leo todos sus mensajes
244600	246900	cuando hoy puse el sticker ese. Leí todo
246900	248640	lo que me mandaron. Leí toda la mierda que
248640	251000	pusieron. Y es por eso que puedo felicitar
251000	252500	puntualmente a Santiago Berta. Me dijo
252500	254300	Felicitame. Bueno, ahí está. Te felicito.
254300	256580	Las cosas han cambiado. No solo hay perfiles
256580	258660	nuevos de Agob. Con toda potencialidad,
258880	260420	con toda magia, con toda mística,
260460	262580	ciencia y fineza. Sino que también hay
262580	264400	cosas que han subido un escalón. Tengo
264400	266620	algunos anuncios para hacer. El compatriota
266620	268680	Barrani. Maga 100%
268680	270900	Barrani. Agarramos y le dijimos
270900	272200	las cosas van a cambiar,
272340	274320	Barrani. Vas a optimizarte.
274540	276300	Ya no sos más, Barrani. Ahora
276300	278180	queremos que seamos Agob
278180	280420	oficial. Así que ese mismo YouTube
280420	283740	ahora va a reperfilarse. Va a ser...
283740	285440	que Barrani va a tener la imposible tarea
285440	287520	de compilar lo que hagamos en la semana.
287660	288780	No sé cómo lo va a hacer.
