start	end	text
0	3900	NADA MÁS QUEDA
32320	36400	NADA MÁS QUEDA
36400	42280	De aquel amor, de música ligera
43720	50260	nada nos libra, nada más queda
51000	52660	nada más
58280	61640	NADA MÁS QUEDA
61640	65520	NADA MÁS Queda
65520	69560	NADA MÁS QUEDA
69560	71440	NADA MÁS QUEDA
71440	72660	NADA MÁS QUEDA
101240	112540	stata aquí noches, cincuenta Nou
112540	112620	veintiuno.
112660	118920	El problema es que la deuda es como la de la farroca, al principio es rica, pero después te mata.
119820	124340	Vos sabés que sí, vos sabés que sí, vos sabés que sí.
124380	130600	Si esta copa es de leche, te la tomaste toda, te la tomaste toda, chingüengüencha.
130680	133700	No sabes ni hablar, brutos. Váyale a estudiar.
134100	138040	Acaba de cortar la medicina porque metiste un cuchillo y después quedas entre mis calas, loca.
138320	139580	Ah, bueno, no me importa.
139860	140580	Ay, nada más que joder.
151120	160160	¿Cómo andan, Papa Eldos? Es Mircolapio. ¿Cómo están? ¿Cómo están? ¿Que cómo estoy yo? Preguntan.
160700	168960	¿Acaso preguntan cómo me encuentro? ¿Feliz? ¿Cómo voy a estar? ¿Cómo no voy a ser feliz?
168960	177200	Si todo vuelve a su sitio, hay renuncias en el gobierno, boca sale campeón.
179080	191060	¿Me pagan por hablar? ¿Cómo no voy a ser feliz si me pagan por hablar, por decir cosas a un micrófono?
191780	195720	Hoy me hacían una nota en radio con voz.
196500	199060	Me preguntaban, ¿pero los preparas, los MAGA, antes?
199440	206140	Y yo les decía, ¿cómo los voy a preparar? ¿Cómo los voy a preparar si de eso se trata MAGA?
206580	208060	Es un producto vivo.
208820	210360	MAGA es peligro.
210580	216780	El espectador que pone MAGA, que poncha MAGA, millonarios o pobres,
216780	221260	cuando ven MAGA, lo que quieren ver es el espectáculo de la vida.
222320	226780	Yo termino MAGA y termino empapado en sudor. Termino completamente chivado.
226820	231140	Eso nunca lo mostré, lo han visto a veces acá cuando levanto mis brazos y muestro mis axilas.
231260	234600	Pero yo dejo todo en MAGA. ¿Cómo voy a preparar MAGA?
235000	240840	MAGA es ver un alma bailando. MAGA puede salir mal. MAGA es ver un programa con peligro.
240980	243620	Es tipo, ustedes siempre tienen que ver MAGA y decir,
243620	246740	boludo, ¿el pelado tendrá algo para decir hoy?
247120	250560	No tiene tema. ¿Qué le pasa? ¿Por qué fue por acá?
251080	255520	MAGA es MAGA porque no se sabe de qué va a acontecer.
256060	258120	¿Está mal enunciado eso, por ejemplo?
259160	261500	Acabo de decir una frase con mala sintaxis. ¿Por qué?
261680	265420	Es posible, porque sucede, because it happens.
266060	270420	MAGA se produce a medida que se realiza y eso es lo que lo hace mágico.
270420	273520	Este encuentro, porque también MAGA siempre fue eso.
273520	278120	MAGA fue fundar un lugar donde los lunes a las 20 horas nos encontramos.
278640	285580	Y no es menor encontrarse con gente que detecta con su propia sensibilidad
285580	288020	aquellas cosas donde hay algo ahí.
289280	291420	Y eso es el espíritu del agovero.
291620	295140	¿Vieron la frase del Che Guevara que dice nosotros no sé si somos parientes,
295240	298200	no sé qué poronga, pero si somos capaces? Así decía Maxi, sí.
298720	302320	Che Guevara, abro comilla, no sé si somos parientes o qué poronga,
302740	305280	pero si somos capaces de temblar frente a injusticias,
305880	308880	frente a la misma injusticia, ustedes saben cómo mierda dice la frase esa.
309500	313020	Somos compañeros, que es más importante incluso que ser parientes, hermanos,
313120	313600	cualquier cosa.
314300	317800	Bueno, permítanme reversionar eso acá, live, on set.
318500	324940	Si somos capaces de sensibilizarnos por las mismas finesas de igual manera,
324940	329040	nosotros somos agoveros, que es algo más importante que cualquier relación
329040	333040	filial que podamos tener, porque sentimos parecido, hermano,
333340	337400	sentimos parecido, nos conmueve aquello donde hay algo ahí.
