start	end	text
0	6980	vigilar y controlar los vuelos que no sean declarados, los vuelos que no sean
6980	12780	cooperativos, los vuelos que no cumplan con todos los mecanismos de información
12780	20340	porque vamos a ejercitar en plenitud los derechos y los deberes que nos impone la
20340	26820	soberanía sobre nuestro territorio, sobre nuestro mar y sobre nuestro espacio
26820	33120	aéreo y para eso vamos a fortalecer nuestra presencia en todo el territorio
33120	36400	nacional pero en particular en el sur.
36640	38860	Daniel Garay, Radio Nacional Rio Grande.
40800	46740	La ciudad de Buenos Aires reportó 14.670 nuevos casos de COVID-19.
46860	50820	Se trata de un 0,58% más de contagios que la semana anterior.
51340	57620	De esta manera, la cantidad de casos se elevó a 1.074.894 mientras que la cifra
57620	63020	de muertos escaló a 13. La semana pasada se habían reportado 11 fallecidos según
63020	66700	el parte semanal de la situación sanitaria informado hoy por el gobierno
66700	71380	porteño. Por otra parte, se indicó que en los barrios populares se notificaron
71380	76280	25 nuevos casos de coronavirus, mientras que 15 fueron dados de alta y no se
76280	77480	reportaron fallecidos.
78520	82620	La región central del país es atravesada por la primera ola polar del año.
83120	87280	Por Radio Nacional, el meteorólogo Lucas Berenguá señaló esta tarde que no
87280	91180	obstante las bajas temperaturas no se extenderán durante demasiado tiempo.
91520	95720	Es muy irregular, la zona más afectada es el centro y sur argentino, principalmente
95720	98780	el centro y norte de la Patagonia, en donde las temperaturas hoy en algunas
98780	102240	zonas de la meseta llegaron a los 14 grados bajo cero, después tuvimos
102240	106600	lugares como Skelly, Bariloche con 8 o 9 grados bajo cero, el centro de la
106600	110400	provincia de Buenos Aires con valores de hasta 4 o 5 grados bajo cero y la
110400	114740	región de San Luis, de Cuyo, Mendoza, donde también los valores fueron bajo
114740	119720	cero. Nevadas en general no se produjeron, algunas en las partes más altas de las
119720	123440	sierras de Córdoba, pero unos días antes en Sierra de la Ventana con una
123440	126780	pequeña irrupción de aire frío que también había ocurrido, pero esta es la
126780	130860	primera ola polar del año que afecta la zona central y que también va a tener
130860	135000	una duración no demasiado extendida, al menos en cuanto al frío de la mañana.
137040	140660	En Puerto Argentino, Islas Malvinas, la temperatura es de dos grados, la
140660	145940	sensación térmica de tres grados coma ocho bajo cero, la humedad 91% y el
145940	149680	cielo está parcialmente nublado. En la ciudad de Buenos Aires, la temperatura es
149680	153560	de ocho grados seis décimas, la sensación térmica de ocho grados, la
153560	156660	humedad 50% y el cielo ligeramente nublado.
158640	169200	Buscar, conectar, encontrar, nacional rock, siente, mixtape, todas las semanas un nuevo mixtape de
