start	end	text
1480	3000	Sobre las cartas de la mesa
3920	6180	¿Para qué cazó esos pájaros? ¿Para qué?
6320	10000	Ay, tenían una jaula, un ablido y ese...
13440	16600	El problema es que la deuda es como la faropa.
16940	19700	Al principio es rica, pero después te mata.
20720	22880	Vos sabés que sí. Vos sabés que sí.
24440	28500	Vos sabés que sí. Si esta copa es de leche, te la tomate toda.
28500	31540	Te la tomate toda, chingüengüencha.
31580	34680	No sabés ni hablar, brutos. Váyame a estudiar.
35040	38980	Acaba de cortar la leche, se la pote metida en un cuchillo y después quedó entre su cara, loca.
39220	41500	Ah, bueno, no lento. Ay, no, no, no se puede ir.
52580	56540	Estamos viviendo momentos dramáticos en la derecha liberada argentina.
56540	62760	La gran esperanza nacional que fuera la organización La Libertad Avanza,
63040	67540	conducida por el líder nacional Javier Millay,
68740	71540	ha entrado en una interna descomunal.
73520	78480	Hay dos sectores. Uno se llaman Avanza en los aliados.
79100	80540	Otro sector se llama ELEJE.
82120	84780	Ocurre que durante todo el 2021,
85740	89820	militantes de todo el país contribuyeron al engrandecimiento
90940	94040	de esta organización, de este partido, de este frente,
94120	97140	La Libertad Avanza, y llevaron a Javier Millay
97140	100560	a obtener el 17% de los votos en la capital federal
100560	103140	en las elecciones de noviembre del año pasado
103700	106780	y a tener una proyección electoral en todo el país
106780	108780	de 20 a 22%.
109420	111740	Lugar donde Millay desembarcaba,
112100	114780	lugar donde juntaba 15.000, 20.000 asistentes,
115480	117440	militantes mayoritariamente jóvenes,
118220	120820	dispuestos a cambiar el país, a abrir el mercado
120820	124760	y a pasar de un sistema socialista a un sistema liberal
124760	128100	bajo la futura presidencia de Javier Millay.
128540	132160	Lamentablemente, en este sector político, que a veces es tan delirante,
132540	133620	pasan cosas increíbles.
133620	135520	Todo estaba avanzando a la perfección
135520	138900	y de repente se toma la resolución
138900	142680	de remover al equipo político que estaba operando
142680	144620	para armar las estructuras territoriales
145320	147800	con miras a las elecciones del año 2023
147800	151940	y es reemplazado por dos aficionados de la política
151940	154600	que parecen estar operando directamente en contra
154600	157720	y para sabotear la campaña de Javier Millay.
158200	161100	Desde enero de este año, la campaña
161100	163680	y el armado político que es peor todavía
163680	168240	está en manos de Karina Millay, la hermana de Javier Millay
168240	172800	y está en manos de un periodista llamado Carlos Kikuchi
172800	176780	que siempre hizo prensa y que lo metieron acá inexplicablemente
176780	179900	para hacer operación política y armado político.
180800	184660	Todos los militantes históricos de la libertad avanza
184660	187360	y por supuesto también los que somos históricos
187360	189340	de la derecha liberal argentina
189340	192620	quedamos espantados frente a esta resolución
192620	194340	porque ¿sabes lo que hicieron?
194680	197560	Estos dos sujetos, Karina y Kikuchi
197560	200820	directamente dejaron abandonados en el campo
200820	203420	como si fueran unidades de combate suelta
203420	206560	después de una derrota a todos los militantes en el país.
207660	208940	Catastrófico, inexplicable.
210300	212780	El Intendente Sombrilla de la Reta durante dos años
212780	214620	trató de sabotear a Javier Millay.
214880	218520	Probó de todo, hasta valijas en efectivo
218520	220520	entregadas a Javier Millay que por supuesto
221040	223840	como es su nombre honesto, la rechazó.
224000	226780	Operaciones de todo tipo, todo lo que ustedes puedan imaginar.
227260	229560	Tengo la impresión de que ha infiltrado el movimiento.
230200	233140	Tengo la impresión de que Kikuchi puede ser un infiltrado
233140	236400	o bien que Kikuchi aprovechando la situación
236400	240060	y aprovechando las posibilidades que da este sector
240060	242860	para ser infiltrado, está trabajando exactamente
242860	245980	para sabotearlo, para que todos los días caiga
245980	248820	en armado político y en tendencia electoral.
249800	252720	A esto se suma que no sé qué diablos
252720	254980	le estalló en el cerebro al propio Javier Millay.
256100	259260	Primero se enojó con los periodistas, con los periodistas.
260100	263360	El periodismo, uno, lo tiene que respetar.
263460	265760	Aunque a veces sea injurioso y calumnioso.
266760	268000	Te la tenés que bancar.
268100	270000	Para eso vos podés contestar de otro lado
270000	273240	y no está dicho que porque un periodista te diga algo malo
273240	274300	va a ganar la pulsiara.
274300	276020	A mí me han pegado un montón de veces.
276580	278280	Me la banco, señores.
278660	280580	Me la banco y digo...
280580	281920	Bueno, yo te contesto.
282280	285340	Pero se enojó Javier Millay que no está muy feliz
285340	286900	con las discusiones públicas
286900	289140	y le ha hecho juicio a cinco periodistas.
289320	291320	Juicios patrimoniales que lo va a perder.
291400	293000	Van a ser desestimados.
293020	294380	No tiene ninguna posibilidad.
295080	296560	Después salió a hablar de las armas.
296760	300040	Uno puede considerar que puede haber armas en un país.
300700	303260	Evidentemente se requiere una licencia.
303520	306380	Se requiere una idoneidad, un equilibrio psicológico.
306720	308440	No puede ser el arma del supermercado
308440	310060	porque sabemos que esto termina mal.
310680	311880	Pero lo peor de todo,
312460	313980	estimados oyentes,
314400	315940	estimados liberales que están escuchando
315940	317620	estas transmisión por Radio Nacional,
318400	320040	lo peor de todo que se le ocurrió decir,
321080	322300	pensando en voz alta,
322860	325140	que puede haber un mercado de compra y venta
325140	326880	de órganos de las personas.
327740	330180	¿Cómo es posible que haya dicho una cosa así
330180	331760	sin ningún sentimiento?
331900	333420	Es totalmente inhumano esto.
334140	335880	Y yo les quiero decir algo en nombre del liberalismo.
336900	339160	Argentino e internacional estamos totalmente
339160	341760	en contra de la compra y venta de órganos.
341800	343340	No se puede manejar de esa manera.
343760	346920	Hay límites en la libertad individual.
347420	349240	Así como está prohibida la esclavitud,
349380	350540	la trata de personas,
350920	352740	no va a la compra y venta de órganos.
353020	354620	Pero ¿cómo puede ser que un hombre político
354620	357080	que tenía el 22% de intención electoral
357080	359620	haya decidido ir por este camino ridículo?
360580	361560	¿Algo está pasando?
362020	363620	¿O tiene el cerebro de golpe atravesado
364200	366620	o se desequilibró por algún problema interno
367620	369620	o directamente lo están mal recomendando
370640	372540	su hermana y Kikuchi?
373200	374360	Yo nunca vi una cosa igual.
374580	378860	Nunca vi un auto-boycott de estas características.
379500	381620	En los últimos días el señor Kikuchi
383080	384920	mandó un tuit diciendo
384920	387920	no hay mileísmo sin mi ley.
388760	391880	Además, me lo dirigió a mí, a Carlos Malatón.
392160	394300	¿Qué quiere decir esto? No hay mileísmo sin mi ley.
394660	395780	¿A qué me recuerda?
396040	397380	No hay peronismo sin Perón.
397500	398840	¿A quién se lo decían?
399140	400580	A Augusto Timoteo Vandor,
400860	402600	secretario general de la CGT,
402820	405900	luego asesinado en 1969.
406700	410120	O sea que Kikuchi me acusó a mí de vandorista.
410120	413120	Más de 50 años después yo soy vandorista.
414020	417560	Y esto me llevó sumado a otras informaciones que tuve
417560	419120	de que por ejemplo querían borrar
419660	421160	para una película que se está haciendo
421160	423920	todas las intervenciones mías de la campaña
424480	426700	en actos públicos el año pasado
426700	429080	y que iban a sacar un comunicado
429080	430760	expulsándome de la organización
430760	433200	porque no le gustaba no sé qué cosa de las que digo.
434420	438220	Bueno, me llevó a tener que exponer esto públicamente
438220	442400	y a decir que Kikuchi es un infiltrado de origen
442400	445720	o con posterioridad a su ingreso laboral
445720	447640	acá en esta organización
447640	451440	y que Karina Milei es una dictadora.
451500	453220	Una dictadora barata y un ignorante.
454200	454980	¿Saben lo que hace?
455300	457840	Insulta a los militantes, echa gente.
458340	459140	¿Saben lo que hace?
459520	461500	Para mí es como si estuviera comandando
461500	463040	el paredón de fusilamiento.
464000	465780	El paredón, el pelotón de fusilamiento.
465940	467540	Y manda gente al paredón.
467540	470540	Esto es en lo que ha degradado
470540	472780	la organización liberal y democrática.
473380	474440	La libertad avanza.
475300	476740	Pero no quiero tirar mala onda.
477340	478320	Estas cosas suelen ocurrir.
478340	479820	Las internas suelen ocurrir.
480200	482280	Lo que se necesita es una depuración.
482640	483800	Yo hago un llamamiento acá
483800	487160	al propio Javier Milei, líder del espacio.
487540	489880	Hago un llamamiento a todo nuestro sector político,
489980	491080	a la ciudadanía en general,
491500	494280	a quienes confiaron en esta organización
494280	496340	como salida política para el 2023
496340	499660	para ganarle a los socialistas de Juntos por el Cambio
499660	501200	y por supuesto a cualquier opción
501200	503280	que el kirchnerismo quisiera colocar
503280	504560	para el año 2003
504560	507040	que no tenemos ni idea de quién puede llegar a ser.
507640	508500	Hago un llamamiento
508500	511060	para que todas las partes enfrentadas,
511400	514140	los aliados y el eje, nosotros somos los aliados,
514540	516940	el eje es Karina y Kikuchi,
517380	520180	nos sentemos en la mesa de las negociaciones,
520480	521460	depongamos las armas,
521660	523340	declaremos el cese de fuego transitorio,
524240	524960	hagamos un acuerdo,
524960	526460	relancemos la campaña
526460	528320	y llevemos a Milei nuevamente
528320	529960	en lo más alto de la política argentina.
531040	533180	Quiero aclarar acá desde Radio Nacional
533180	533960	que de ninguna manera
534480	536300	nosotros pensamos partir del movimiento
536300	536960	ni secesionar.
537580	538880	Lo vamos a seguir adelante
538880	539960	con Javier Milei
540640	542900	y nuevamente vuelvo a transmitir
542900	545060	que estamos en horas dramáticas en este sector,
545700	546900	a veces suele ocurrir,
547060	549000	estas horas son realmente muy dramáticas
549000	550240	y muy desesperantes.
550520	551880	Queremos salvar al movimiento
551880	553840	y declaro todos mis esfuerzos
553840	555980	y anuncio todos mis esfuerzos posibles
555980	559240	para que en mal momento
559240	560880	tenga una buena salida
560880	563360	y no se frustre la campaña electoral.
563980	565900	Milei debe actuar, debe intervenir,
567180	568840	debe ejercer efectivamente
568840	570180	su capacidad de conducción
570180	571940	que todavía no la ha mostrado
571940	573820	porque se dedica solamente al discurso,
574020	576300	pero lo queremos ver decidiendo a Milei.
576500	578240	Esto te lo digo a vos, Milei,
578480	579860	dejá de viajar por el exterior
579860	582180	y ponete a resolver conflictos internos
582180	584300	porque la presidencia de la nación
