start	end	text
0	2040	a Nacional Rock Nueve Tres Siete.
9260	11240	Todos los lunes una nueva selección.
11840	12440	BigStay.
12860	14880	Arroba Nacional Rock Nueve Tres Siete.
16720	19440	Instagram Arroba Nacional Rock Nueve Tres Siete.
22800	23680	Nacional.
25360	27700	Nacional Rock Radio.
28500	29500	La radio pública.
30000	32460	A mi quiero llevar paspostes.
32560	34960	A mi quiero llevar paspostes.
36460	37540	Descargá nuestra app.
38780	39580	Y escuchálos.
39960	45620	Tengo una fiestería que me percibe, que me protege, que me transporta.
47480	47840	Rock.
48340	49280	Nacional Rock.
49780	53900	Si no te gusta lo que digo, ándate, ándate.
54300	55600	Nueve Tres Siete.
55880	57760	Contos, contos.
57960	58540	Siete.
61740	62540	Nacional Rock.
68560	70240	La pelota lo...
70240	72340	La pelota lo se me ha hecho.
73220	74400	Carajo de mierda.
74860	75780	Carajo de mierda.
76260	80100	Se van a remontar a la espectratófera.
80380	81880	Usted tiene que arrepentirse de lo que dijo.
82440	84660	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
84700	87400	Ay, si querés llorar, llorá papi, papi, por favor, no, no.
89040	89520	¡Mallorca!
91080	92400	Es inimputable, hermano.
93260	94840	Solamente que tenga temor a Dios.
95680	97480	Y a mí, en todo caso, también un poquito.
97680	99540	Pará, pará, pará, pará.
99900	101820	Con 15 pesos me hago alto guiso.
113600	115820	Buenísimos días, queridos compatriotas.
116720	120820	Gran jornada, hermoso lunes, salvo que seas Emilio Pérsico.
122820	124820	Salvo algunas personas muy específicas.
126140	130340	¿Sabes cómo van a estar en este momento los comunicados de Levita?
131080	135340	Si hacen silencio, los escuchan, los escuchan tipear.
136700	137080	Están así.
137560	140020	Están tipeándose a lo loco.
140320	142040	Se tipean, se tipean.
142180	143760	Taca, taca, taca, taca, taca, taca, taca, taca, taca, taca.
143920	145780	Sucede, sucede, se tipean.
145960	148620	Ya puedo escuchar sus argumentaciones.
149260	156700	Ya puedo ver el rechazo a la idea estigmatizante promovida por Cristina Fernández de Kirchner.
156820	159280	Ya se cocina solo, sale solo.
160040	161560	Se armó solo ese método.
162100	162780	Quiero que lo sepan.
162880	163840	Se arma solo, se siente.
164140	166040	Está ahí, está como al caer.
166460	167960	Está a la vuelta de la esquina.
168260	171120	Como andan, estimados compatriotas, me dicen acá.
171540	173820	Hoy es un día, hoy, ¿saben qué? ¿saben qué?
174300	175600	Hoy estoy tranquilo.
176300	177000	No, vamos a calmar.
177120	179760	Pará, pará, pará.
179920	182480	Para un poco, agobero, agobera.
183220	185000	Hoy venimos de un super shop.
185380	186280	Es un lunes feriado.
187460	189360	Los compatriotas están en sus casas.
189400	192080	Salvo los que somos compatriotas de verdad y salimos a laburar.
192960	195720	Pero el resto de ustedes medio apátrias están en sus casas.
195960	196960	Están relajándose.
197140	197760	¿Saben qué es hoy?
197980	199720	Hoy es un...
199720	200400	Hoy es...
200400	201660	¿Vieron los videos esos de YouTube?
202660	208240	Los Low, Phi, Chill, Beat, Beat Flow 2, 2 Study 2.
209200	217540	Hoy es un Low, Phi, Chill, Phi, Flow, Magga, Beats 2, Verdades 2.
218100	220800	Hoy es un Low, Phi, Chill, Beat, Magga.
221480	222460	Y quiero que sepan...
222460	224860	Igual no hay Flow que detenga el tren del Hype, obviamente.
225000	227040	Que está en nivel 2 y se está acercando a toda velocidad.
228360	229520	Quiero hablar con ustedes, agoberos.
229580	233480	Ya que en los días feriados tenemos menos concurrencia agobera.
233820	235000	Están medio en una, los agoberos.
235140	237540	Pero están los que siempre nunca faltan a sus funciones y vienen.
237540	239300	A nuestra gran reunión de los lunes.
239620	240760	Nuestro encuentro semanal.
240940	241540	Nuestra terapia grupal.
242340	243540	Nuestro gran grupo de autoayuda.
244580	245540	Y quiero hablar con ustedes.
246260	246880	Hagamos una cosa.
247020	250440	11, 39, 39, 88, 88.
250620	252760	Escúchame, yo sé que estás borracho y sé que estás drogado en este momento.
252900	253700	Hagamos un esfuerzo juntos.
253900	254300	Abrí WhatsApp.
254820	254900	¿Sí?
255320	256060	Ya sé que estás drogado.
256320	256980	Ya sé que te cuenta.
257140	257620	Abrí WhatsApp.
257920	258960	Añadir contacto.
259120	259320	¿Sí?
259400	260600	Añadir contacto.
261040	262060	El nombre de contacto.
262320	264480	Magga o Rebord.
265420	266040	Ponle Rebord.
266040	268100	Esto va a ser muy útil para el teléfono o la radio.
268420	270400	Para cuando le mandes mensajes escabios a las 4 a.m.
270680	271340	Ponle Rebord.
271660	272820	Es como en la serie Watchmen.
272840	274220	¿Vieron la serie Watchmen?
274560	278880	Cuando podés hablar con el doctor Manhattan en las cabinas de teléfono.
278900	280260	Yo no te voy a responder jamás.
281100	282040	Pero te aseguro que te voy a escuchar.
283200	283680	Vamos de vuelta.
283820	284400	Estás en WhatsApp.
284520	285500	Añadir contacto.
286320	286720	Número.
287020	292560	11, 39, 39, 88, 88.
293860	296960	Es el Magga más en blanco de mi vida.
297400	299440	No tengo un puto tópico en la cabeza.
299900	300780	No tengo nada.
301140	302060	Vine desnudo.
302540	306060	Pero con la confianza ciega de que del otro lado está el más maravilloso movimiento.
306360	307700	El más creativo de todos.
308020	311020	El que me mandó cartas de AGOB The Gathering.
