start	end	text
11760	29980	Este es el canal de subtítulos en español de la Iglesia de Jesucristo de los Santos de los Últimos días.
30000	35820	Este es el canal de subtítulos en español
35820	56540	de la Iglesia de Jesucristo de los Santos de los Últimos días.
56560	56560	
56560	59980	de la Iglesia de Jesucristo de los Santos de los Últimos días.
60000	89940	El canal de subtítulos en español de la Iglesia de Jesucristo de los Santos de los Últimos días.
90000	119980	El canal de subtítulos en español de la Iglesia de Jesucristo de los Santos de los Últimos días.
120000	149920	La Paz Mono
150000	151940	Ape Together Strong
193500	207220	La Paz Mono
238540	239940	César
240000	244000	El Mono
270760	272160	Argentino
327180	329980	El Poder
336640	339440	No ejercerlo
384880	389860	La Paz Mono
390000	394000	El Poder
445180	448300	La Paz Mono
471700	477120	La Paz Mono
505780	509980	La Paz Mono
510000	539660	La Paz Mono
540000	544000	El Poder
597120	599920	El Poder
627180	629980	El Poder
630000	634000	El Poder
682040	689980	La Paz Mono
690000	696060	La Paz Mono
696060	696740	La Paz Mono
698000	698860	La Paz Mono
698860	700140	La Paz Mono
700140	703880	La Paz Mono
716980	719980	La Paz Mono
719980	727680	metafísico ScalaDev con uno. La persona que ama la política el sábado tuvo un
727680	733060	festival, tuvo frenesía, tuvo miedo, tuvo confusión,
733340	739480	tu euforia. Eso le pasó a todos. Todos los que aman la política cuando ven
739480	745620	jugar un despliegue de esa categoría se emocionan porque no están muertos, porque
745620	752940	la sangre no es agua. Y Cristina es una topadora de política y yo creo que fue,
753440	758100	debe ser el discurso más hardcore que yo recuerdo de Cristina. Vamos a repasarlo
758100	762620	por donde, por favor, no se vayan quedando atrás. 2.600 personas, muy poco,
763300	766040	muy poco. Debería vergonzarlos.
768660	774060	Arranca el acto. Lo vi desde el principio. Si vos eras sensible a la fuerza desde el
774310	778530	anterior ya sabías que se iba a pudrir todo. Todo se iba a pudrir.
779230	784670	De vuelta, sensible a la fuerza, ¿no? Yo necesité la encuesta de Brasil, no porque
784670	788690	me importen las encuestas. Sabe, perdón, pequeña digresión, ahora vuelvo al acto.
788810	792910	¿Saben quiénes hacen las encuestas? Gordos sintiéndola.
794850	798450	¿Saben quién arma el índice riesgo país? ¿Alguna vez se preguntaron eso? ¿De dónde
798450	801790	sale el índice riesgo país? ¿Una corporación de gordos internacionales?
803210	809590	Todo el sistema de medición humano se basa en gente sintiéndola y una cadena
809590	814010	de personas que aceptan ese sentir porque es la unidad de medida más eficaz que
814010	820210	tenemos lejos. Gordos sabios sintiéndola. Gente haciendo...
820210	826750	El riesgo país está... No, está a mil puntos. No, subió, subió, subió.
827050	830190	¿Saben cómo funcionan las consultoras? Perdón si alguien acá tiene una
