start	end	text
0	7820	Más profundas para que la distribución de la riqueza derrame hacia abajo esta vez.
9000	10280	Tenemos mucha preocupación.
10500	15100	Entendemos que es hora de reflexionar entre todos, de sumar entre todos.
15280	20020	Obviamente hay muchos argentinos y argentinas que no tienen mucho tiempo para esperar
20020	23420	y tampoco podemos andar sumando más caos al caos.
24760	27840	El Estado Nacional asistió a los municipios de la Comarca Andina
27840	30180	afectados por el temporal de lluvia y nieve.
30760	34560	El Ministerio de Ambiente colaboró en la apertura y limpieza de los camiones afectados
34560	39500	con dos cuadrillas del Servicio Nacional del Manejo del Fuego en Lago Puelo y el Bolzón.
39720	43980	Durante el trabajo se quitaron los árboles caídos que se encontraban sobre el cableado eléctrico,
44180	49380	mientras el ejército cedió sus instalaciones para alojar a las personas que se encontraban en tránsito
49380	52300	y cuyos colectivos no pudieron continuar viajando.
53580	59720	En Islas Malvinas la temperatura es de 3 grados, la humedad es del 84% y el cielo está algo nublado.
60060	67340	En la ciudad de Buenos Aires la temperatura es de 16 grados, la humedad es del 93% y el cielo está cubierto con neblina.
114320	141760	En la ciudad de Buenos Aires la temperatura es del 84% y el cielo está cubierto con neblina.
147920	156360	Y es que un día vienes, das lo que no tienes Y te falta el gigante que has hecho con pisarte
156360	164300	Tu castigo divino, al que estás sometido Porque tu misión habla, clausurando palabras
164300	172380	Y es que entre los dos la guerra es conceptual Hay guardianas que te avisan si las cosas andan mal
172380	180220	La receta para una meta mortal Es un concepto que no sabe a donde va
180220	188720	Para mí no es nada fácil ser normal Es como a vos pedirte naturalidad
188720	196680	La receta para una meta mortal Que te agobias tener todo lo que hay
196680	205100	Es un concepto que no sabe a donde va Es un concepto que no tiene identidad
235980	242120	La pelota no se marcha
242120	243540	¡Carajo de mierda!
245220	248700	Se van a remontar a la distra
248700	248700	
248700	248700	
248700	248700	
248700	248700	
248700	248700	
248700	248700	
248700	248700	
248700	248700	
248700	248700	
248700	248700	
248700	248700	
248700	248700	
249240	251000	Usted tiene que arrepentirse de lo que dijo
251540	253820	Usted tiene que arrepentirse, porque yo no hice nada de eso
253820	256920	Ay, si queréis llorar, llorad papi, papi, por favor, no, no
256920	258260	¡Vaya vez!
260240	262220	Es iniputable, hermano
262220	264000	Es solamente que tenga temor a Dios
264000	266660	Y a mí en todo caso también un poquito
266660	268660	Para, para, para, para
268660	270980	Con 15 pesos me hago alto guiso
292520	294560	El otro día...
294560	297100	El otro día estaba viendo porno
299220	300240	¿Se me escucha?
300340	301980	¿Estamos bien? ¿Sonido? ¿Estamos ok?
302080	304400	Yo no tengo tanto retorno
305200	307900	El otro día...
307900	308380	El otro día...
308380	308680	El otro día...
308680	308680	
308680	308680	
308680	308680	
308680	308680	
308680	308680	
310740	312060	¿Cómo andan, gente?
312100	312680	¿Cómo andan, compatriotas?
313440	314680	Yo también los extrañé
315940	318260	El otro día estaba viendo porno
322960	325620	Y me pasó algo horrible
326520	329720	Que dudé mucho si traer esta verdad acá o no
331480	332000	Porque...
332000	334900	Ubican en How I Met Your Mother
334900	337200	Vieron ese capítulo del que hacen este recurso
337200	339620	De que cuando alguien te dice algo de otra persona
339620	341080	Que vos antes no veías
341080	342460	De repente te lo dicen
342460	345200	Y se escucha un ruido como de martillazo
346320	347280	De vidrio
347280	348220	Y es tipo ¡No!
348360	351400	Y a partir de ahí no podés no verlo
351400	352900	Claro que sí, lo ubican, ¿no?
353060	354500	Sí, sí, sí, la shutter, ¿viste?
354800	355880	El tipo ¡No!
356900	358960	Gran capítulo, gran concepto
358960	361040	Gran concepto
362100	362580	Bueno...
362580	364880	Yo siento que se me arruinó un poco
365720	366480	Lo voy a decir
366480	368860	Porque Maga es un espacio de verdades
368860	371240	Y la verdad no es siempre algo que uno quiere escuchar
371240	371400	¿No?
371800	373800	La verdad es algo que uno necesita escuchar
373800	375760	¿Usted por qué viene a Maga por placer?
376240	377760	Para pasar un buen rato
377760	380380	Cualquier persona que ve a Maga hasta de costado se da cuenta
380380	381760	Que nadie la está pasando bien
381760	384960	Ni yo la estoy pasando bien, ni los operadores la están pasando bien
384960	387140	Ni Flor que vino hoy a reemplazar a Maxi la está pasando bien
387140	388320	Ni el Thanos Carpati
388960	390580	De todos, definitivamente
