start	end	text
0	28760	Fui al chino, le dije me podés dar esta hierba, tengo unos dolares para descartar, no no dolar no me dijo, dolar no, peso o caramelo pa, peso o caramelo, nadie tiene unos roca, nadie tiene unos holly martins, nadie tiene unos, uy como sale el yaguareté, limite de Dijon eh, me llamó,
28760	48940	me llamó Grobocopatel antes de venir acá, me queman las divisas Rebord me dijo, necesito, necesito liquidar ya, déjenme liquidar, no, no dice Masa, aún no, aún no está lo suficientemente bajo, no por favor,
48940	77340	por favor, tengo 16 silo bolsa, dejame, quiero hacer una difference, no, no aún, not yet, hábil productor agropecuario, not yet, en eso está el país ahora, en eso está el país ahora, not low enough, dice acá Gay Turtle, not yet, aún no ha tocado el piso, desciende, baja,
77340	96340	baja esa divisa, qué momento excepcional para la política argentina, acá ha sido la película argentina y ambas estarían bien, ese fue el furcio, pero no hay furcios, solo hay verdades, qué momento excepcional para la política argentina que estamos viviendo, no, yo no, no recuerdo un consenso,
96340	119340	o sea, el consenso intergaláctico de Masa hoy, de Jazz, Sergio Tomás Masa, va desde Moria Kazan a literalmente la TPR, o sea, una excisión del Partido Verero, Juan Marino, Juan Marino va a ser diputado porque se va Masa de la cámara, ustedes entienden o que Argentina es una joda,
121100	139300	quién es, quiero, yo oscilo permanentemente entre dos posturas, las cosas importan y todo es una joda, viste, y siempre voy y vengo, porque es la única forma de vivir en la República Argentina, porque si vos todo el tiempo estás conectado a la realidad, explotás, porque no hay forma de vivir la realidad política argentina con racionalidad, así la gente enloquece,
140080	163660	más de uno hemos visto una persona enloquecer de realidad, no, se pasó de realidad, no aguanta más, esto no tiene sentido, no, son el loco que se enoja con Homero Simpson en la planta nuclear porque nada tiene sentido, viste, y empieza a meter las manos en los calles, ¡ay sí, Homero Simpson, todo anda bien! y muere, se inmola por la racionalidad, esa es una vida que te propone la Argentina,
163660	180720	la otra es aceptar que todo es una gran joda y vivir en una suerte de frenesilisérgico que también es una invitación a locura total porque si todo es una joda nada importa, y en el medio hay un gran equilibrio y en ese medio están los compatriotas y en ese medio están los agoveros que es, las cosas por supuesto que importan,
182400	197720	pero tiene que existir una célula cerebral que nunca olvide muy en el fondo de nosotros que todo es un poco una joda, o sea que nada están de verdad en serio, porque si no es lo que es ese, ni siquiera lo digo como un mandato moral, lo digo como una fórmula de supervivencia,
199600	220840	un diputado de la tendencia piquetera revolucionaria va a asumir por el espacio que deja Massa, o sea, es Maggie diciendo que el universo es muy confuso realmente, no puede ser verdad, y lo naturalizamos porque decimos, ah claro, asume Juan Marino,
220840	235280	y hoy a Massa Lobanca desde Juan Marino a Moria Kazan pasando por la Embajada Yankee, escuchan eso, o sea, entiéndanme un segundo, porque estamos tan desacostumbrados que nos hemos olvidado cómo se ve la política,
236980	251020	escuchan el estruendoso silencio de todos los sectores, de todos los arcos políticos con respecto a Massa, no va a durar mucho tiempo, en dos semanas ya le van a empezar a pegar, en dos semanas ya todos volvemos a matarnos,
251020	268120	pero este es el momento de la película donde a pesar de todas nuestras diferencias, a pesar de cuántos se odian los personajes, todos miran al cielo viendo a Will Smith alejándose en la nave y diciendo ojalá que rompa la barrera de los alienígenos,
268120	284220	ese momento donde todos se toman las manos y dicen ojalá, ojalá, eso es lo que hoy sostiene unida la República Argentina, un gigantesco ojalá, Guillote Moreno, que debe tener un millón de cosas para decir de Massa, en este momento, en este momento está diciendo,
284220	299940	y bueno, ojalá, ojalá pueda ordenar algo, ya no es racional, salvo los que no tienen una verga de política, los que no tienen una verga por supuesto siguen indignados en Indignadolandia, pero saben cómo se llama este increíble silencio del arco político?
300960	326700	Esto, esto, o sea eso es hacer política, saben cómo se ve cuando la política está siendo política? Les voy a enseñar a detectarlo, cuando la tendencia en Twitter es si bancan la poligamia o no, vamos de vuelta, cuando la política funciona, la discusión en Twitter es parejas abiertas sí o no,
327320	348160	eso es que la gente que tiene que estar haciendo cosas las está haciendo, cuando todo lo demás falla, cuando todo lo demás falla y lo tenemos a, y está Gaspi haciendo un hilo al respecto de la distribución de tarifas, ahí es porque todo se fue a la verga, porque nadie está ocupando su rol natural,
348160	365020	en cambio el rol, el orden natural de las cosas es que Gaspi está diciendo buuuuuenas y todo el reino funciona en un equilibrio natural, y yo creo que esto, banco mucho esta política macista, aparte no sé si lo notaron de prolongarlo lo más posible,
365020	384720	porque Maza, vieron que es como un show road de Maza, o sea Maza hoy anuncia cuatro funcionarios por Twitter, mañana anuncia otros cuatro, mañana renuncia en el Congreso, el jueves va del Congreso al Ministerio de Economía, el viernes mueve los muebles,
384720	402740	o sea es como un reality en vivo tratando de demorar lo más posible este momento mágico de consenso social donde todos están esperando, o sea lo que hoy une a la República Argentina es un ojalá, ojalá pueda, ojalá se pueda, y eso es la política real,
402740	420080	y por supuesto yo pienso, ojalá se pueda, es difícil, y por supuesto que difícil, es muy difícil, pero ojalá, y si vos haces silencio más allá de algunas imposturas, todas las personas del arco político que sean la República Argentina están íntimamente pensando,
422260	439080	desde Cristina, hasta Alberto, hasta Juan Marino, hasta Moria Casar, hasta la Embajada Yankee, hasta el progresismo unicornio, o sea a Maza literalmente es banderitas estadounidenses para unos, abortos para otros, Maza es literalmente eso,
439190	454490	hoy a Maza le tiran pañuelos verdes al escenario y le tiran banderas yankees, sí, eso está pasando hoy, y yo lo que les digo es, estas alineaciones planetarias de expectativa política se dan muy pocas veces en la República Argentina,
454490	472490	o sea no recuerdo una sensación de euforia así desde Menem recibiendo a los Rolling Stones, o sea como un momento donde todos deponen sus diferencias y dicen, y bueno ya fue, y la verdad que ojalá, ojalá le pegue hermano, ojalá le pegue hermano,
472570	489430	yo decía el otro día que no importa qué tan preanunciado sea, siempre alguien que se la juega por algo ordena y es respetable, Maza está haciendo un pleno, uno después podría analizar si le quedaba otra,
489430	508190	porque no es un pleno necesariamente altruista, o Maza se sacrificó por nosotros en la Cruz, Maza está haciendo una jugada supervivencial, que debería ser lógica en la política, pero ojo, el hecho de que sea lógica no hace que sea linealmente deducible, porque hasta ahora la política no viene haciendo eso,
