start	end	text
0	9880	Cagera, levantarse, 93.7, Nacional, Nacional Rock, Rock.
13500	21680	Nacional, Nacional Rock, Radio, La Radio Pública.
21680	26680	A mi quiero llevar pasponte, a mi quiero llevar pasponte.
28280	30680	Descarga nuestra app y escuchanos.
31800	36680	Tengo una fiestería que me percibe, que me protege, que me transporta.
39340	41080	Rock, Nacional Rock.
41620	45700	Si no te gusta lo que digo, ándate, ándate.
46140	49680	93.7.
54840	55960	Nacional Rock.
57620	61540	Lunes hasta las 21 por Nacional Rock.
68060	73260	Soy, soy lo que dejaron, soy toda la sobra de lo que se robaron.
73340	78360	Un pueblo escondido en la cima, mi piel es de cuero, por eso aguanta cualquier clima.
78360	83380	Soy una fábrica de humo, mano de obra campesina para tu consumo.
83720	88700	Frente de frío en el medio del verano, el amor en los tiempos del cólera, mi hermano.
88800	93640	Soy el que nace y el día que muere con los mejores atardeceres.
93800	98240	Soy el desarrollo en carne viva, un discurso político sin saliva.
98560	103520	La cara más bonita que he conocido, soy la fotografía de un desaparecido.
103520	108540	Soy la sangre dentro de tus venas, soy un pedazo de tierra que vale la pena.
108600	113800	Una canasta con frijoles, soy Maradona contra Inglaterra, anotándote dos goles.
114000	118820	Soy lo que sostiene mi bandera, la espina dorsal del planeta en mis cordilleras.
118940	123780	Soy lo que me enseñó mi padre, el que no quiere a su patria, no quiere a su madre.
123980	128380	Soy América Latina, un pueblo sin pierna pero que camina.
128380	133860	Oye, tú no puedes comprar el viento, tú no puedes comprar el sol.
134300	139100	Tú no puedes comprar la lluvia, tú no puedes comprar el calor.
139400	144240	Tú no puedes comprar las nubes, tú no puedes comprar los colores.
144440	149200	Tú no puedes comprar mi alegría, tú no puedes comprar mis dolores.
149480	154080	Tú no puedes comprar el viento, tú no puedes comprar el sol.
154080	159360	Tú no puedes comprar la lluvia, tú no puedes comprar el calor
159360	163780	Tú no puedes comprar las noves, tú no puedes comprar los...
163780	167360	Lo que son los temas que te hacen pensar, ¿no?
169860	173080	Viste cuando escuchás a Residente tirar una y decís...
174160	174660	¡Wow!
175780	177220	¡Es 2016!
179360	182080	Acabo de empezar a militar en el Partido Obrero.
183620	186320	Tengo una fotocopiadora.
187740	190540	Escuchate este apunte, mirá lo que es.
191720	195080	Cae Residente, se pone una gorra y vos decís...
195080	197520	No, te abre la cabeza, boludo.
198400	199920	Porque eso es, ¿viste?
201360	204580	Eso es estar politizado de verdad, ¿no?
205760	209960	Yo quiero darle la bienvenida hoy a nuestros compatriotas,
209960	211540	a nuestros agoberos de siempre.
215820	217180	A ver, ¿cuánta gente hay?
219200	220760	2.500, poco.
222380	223200	Poco, poco, poco.
223260	225960	La verdad que todavía los grandes medios de comunicación...
226480	228000	Viste cómo son, son muy grandes.
228700	230120	Se llevan toda la pauta.
231020	233020	Por algún motivo siguen hablando de estas cosas, ¿no?
233640	236960	O sea, es como que vos tenés todos los medios, todas las cámaras apuntándote,
