start	end	text
11840	11920	Gracias por ver el vídeo.
29500	29540	Suscríbete al canal.
58140	59560	Suscríbete al canal.
88140	89560	Suscríbete al canal.
119480	119960	Suscríbete al canal.
148580	149980	Suscríbete al canal.
178600	178920	Suscríbete al canal.
208580	209980	Suscríbete al canal.
209980	209980	
238340	239740	Suscríbete al canal.
269900	269980	Suscríbete al canal.
298580	299980	Suscríbete al canal.
328580	329980	Suscríbete al canal.
348060	353320	Suscríbete al canal.
389500	389980	Suscríbete al canal.
418580	419980	Suscríbete al canal.
448580	449980	Suscríbete al canal.
478240	479640	Suscríbete al canal.
508580	509980	Suscríbete al canal.
539480	539980	Suscríbete al canal.
568580	569980	Suscríbete al canal.
599420	599940	Suscríbete al canal.
628580	629980	Suscríbete al canal.
659840	659940	Suscríbete al canal.
688400	689820	Suscríbete al canal.
718540	719940	Suscríbete al canal.
748820	749600	Suscríbete al canal.
801940	809460	Suscríbete al canal.
839180	839960	Suscríbete al canal.
868580	869980	Suscríbete al canal.
898560	899980	Suscríbete al canal.
928580	929980	Suscríbete al canal.
958580	959980	Suscríbete al canal.
988560	989980	Suscríbete al canal.
1013060	1018460	Suscríbete al canal.
1045540	1048800	Suscríbete al canal.
1078580	1079980	Suscríbete al canal.
1108580	1109980	Suscríbete al canal.
1139600	1139940	Suscríbete al canal.
1168540	1169940	Suscríbete al canal.
1199600	1199820	Suscríbete al canal.
1229240	1229660	Suscríbete al canal.
1258480	1259880	Suscríbete al canal.
1259880	1259880	
1288480	1289760	Suscríbete al canal.
1318440	1319980	Suscríbete al canal.
1348580	1349980	Suscríbete al canal.
1379600	1379960	Suscríbete al canal.
1408160	1409560	Suscríbete al canal.
1439680	1439760	Suscríbete al canal.
1466800	1469860	Suscríbete al canal.
1498220	1499620	Suscríbete al canal.
1528580	1529980	Suscríbete al canal.
1557260	1559460	Suscríbete al canal.
1588560	1589980	Suscríbete al canal.
1617880	1619960	Suscríbete al canal.
1638160	1649300	Suscríbete al canal.
1675600	1678520	Suscríbete al canal.
1708580	1709980	Suscríbete al canal.
1738580	1739980	Suscríbete al canal.
1769760	1769880	Suscríbete al canal.
1798300	1799760	Suscríbete al canal.
1828580	1829980	Suscríbete al canal.
1855680	1859600	Suscríbete al canal.
1889040	1889120	Suscríbete al canal.
1918580	1919980	Suscríbete al canal.
1922080	1940360	Suscríbete al canal.
1978580	1979980	Suscríbete al canal.
2009740	2009800	Suscríbete al canal.
2038080	2039960	Suscríbete al canal.
2068580	2069980	Suscríbete al canal.
2098580	2099980	Suscríbete al canal.
2128580	2129980	Suscríbete al canal.
2156740	2159500	Suscríbete al canal.
2188580	2189980	Suscríbete al canal.
2208300	2210320	Suscríbete al canal.
2245500	2247140	Suscríbete al canal.
2278100	2279500	Suscríbete al canal.
2308580	2309980	Suscríbete al canal.
2338580	2339980	Suscríbete al canal.
2368780	2369940	Suscríbete al canal.
2398160	2399420	Suscríbete al canal.
2428680	2429960	Suscríbete al canal.
2458580	2459980	Suscríbete al canal.
2488580	2489980	Suscríbete al canal.
2518580	2519980	Suscríbete al canal.
2547940	2549980	Suscríbete al canal.
2577840	2578320	Suscríbete al canal.
2609600	2609880	Suscríbete al canal.
2638580	2639980	Suscríbete al canal.
2662660	2669480	Suscríbete al canal.
2698580	2699980	Suscríbete al canal.
2728580	2729980	Suscríbete al canal.
2759880	2759960	Suscríbete al canal.
2788580	2789980	Suscríbete al canal.
2818220	2819620	Suscríbete al canal.
2848580	2849980	Suscríbete al canal.
2878580	2879980	Suscríbete al canal.
2908580	2909980	Suscríbete al canal.
2922340	2933260	Suscríbete al canal.
2968360	2969760	Suscríbete al canal.
2999740	2999800	Suscríbete al canal.
3028060	3029460	Suscríbete al canal.
3058540	3059940	Suscríbete al canal.
3088580	3089980	Suscríbete al canal.
3119060	3119140	Suscríbete al canal.
3149560	3149820	Suscríbete al canal.
3178580	3179980	Suscríbete al canal.
3194540	3197340	Suscríbete al canal.
3197340	3198300	Suscríbete al canal.
3207440	3209940	Suscríbete al canal.
3238520	3239920	Suscríbete al canal.
3268440	3269980	Suscríbete al canal.
3298580	3299980	Suscríbete al canal.
3328280	3329680	Suscríbete al canal.
3358400	3359800	Suscríbete al canal.
3388040	3389720	Suscríbete al canal.
3418580	3419980	Suscríbete al canal.
3448240	3449580	Suscríbete al canal.
3478580	3479980	Suscríbete al canal.
3509000	3509960	Suscríbete al canal.
3538300	3539700	Suscríbete al canal.
3568580	3569980	Suscríbete al canal.
3598580	3599980	Suscríbete al canal.
3627420	3628500	Suscríbete al canal.
3658580	3659980	Suscríbete al canal.
3680440	3683260	Suscríbete al canal.
