start	end	text
0	1500	Nacional Roma.
3280	6720	Radio Júbrica, YouTube, Twitter, Instagram, Facebook.
7260	9260	Arroba Nacional Rock 937.
11480	13000	¡Hay tampan, hay vino, vino!
14740	16440	Sobre las cartas a la mesa.
17480	19560	¿Para qué caso estos pájaros? ¿Para qué?
19620	23860	Ahí tenían una jaula, una ablido y ese...
23860	24040	¡Fui!
25180	25820	¡Fui!
26780	29880	El problema es que la deuda es como la faropa.
30380	33100	Al principio es rica, pero después te mata.
34040	36160	Vos sabés que sí. Vos sabés que sí.
37760	38560	Vos sabés que sí.
38640	41880	Si esta copa es de leche, te la tomaste toda.
42380	44820	Te la tomaste toda, chingüengüencha.
44900	46540	No sabes ni hablar, brutos.
46800	47980	Váyan a estudiar.
48300	50980	Acaba de cortar la medicina porque me dijeron un cuchillo
50980	52280	y que fue que electrificaba, loca.
52540	52980	Ah, bueno.
53980	54840	Al final me quemé.
69980	73280	¿Cómo andan, mis queridísimos compatriotas?
73720	78820	¿Cómo están en este lunes, que arrancó tranquilo?
80360	83760	¿Arrancó con transparencia institucional en la Argentina?
85600	88900	¿Arrancó respetando las instancias del debido proceso?
90260	93360	¿Arrancó con independencia de poderes,
93440	95280	como suele suceder en nuestro país?
96200	101120	¿Cómo andan, estimadísimos agoveros y agoveras?
101760	103460	¿Está habiendo en este momento
103460	106920	dos movilizaciones en simultáneo en la casa de Cristina?
107760	110820	Una a favor y una en contra.
112900	114980	Sería profundamente irresponsable de mi parte,
115000	116540	desde un medio público, decir
117220	120840	que ojalá una triunfe físicamente por sobre otra.
122400	122660	¿No?
123780	126220	Lo que quiero decir es que
126220	130120	sería institucionalmente irresponsable de mi parte.
130780	132180	Por ende, no estoy diciendo nada,
132240	134580	estoy diciendo que sería irresponsable de mi parte
135400	138520	desear que una de las movilizaciones
140680	145460	triunfe físicamente por sobre la otra movilización.
146340	146340	
146400	148420	Eso es como una primera reflexión que tengo para este maga.
148720	151940	Sería algo que no estaría bueno que pase en un medio público,
152100	153060	sería al menos raro.
153300	153560	¿No?
153960	155320	Primera reflexión.
156160	157100	Segunda reflexión.
157800	158540	¿Qué pasa?
159300	160040	¿Qué pasa?
160420	161960	Que cada verga que pase
161960	165320	tenga gente yendo a tu casa a expresarse.
165780	167980	Yo creo que me volvería loco.
168440	170960	Creo que saldría con una escopeta al balcón.
171980	173460	Capaz si es apoyo también.
173660	176060	Eso no lo termino de tener claro.
177300	178240	Lo quiero tampoco de vuelta.
178460	181000	No son mensajes institucionales, son reflexiones.
181880	183420	Soy opiniones que estoy teniendo,
183580	185960	pero ¿se imaginan estar en sus casas?
187060	189480	¿Estar en sus casas que pase algo
189480	191680	y tener que mirar por tu balcón?
191680	192660	Como estás en tu casa.
193200	194040	Estás en tu casa.
194360	197000	Querías ver el primer episodio de House of the Dragon.
199140	199780	Agarraste y dijiste,
199860	202620	uh, ayer no lo pude ver, hoy lunes me pongo al día.
203360	204560	Y decís, no.
205600	207220	¿Qué hicieron ahora los hijos de puta?
207300	208780	Estos no van a venir a mi casa.
209440	210940	Y capaz un amigo o alguien te dice,
211140	213160	nah, no van a ir a tu casa.
213740	215180	Van a ir a mi casa, le decís.
215200	215780	Voy a esa altura.
216180	216900	¿Por qué van a tu casa?
217020	218120	Por cualquier cosa, básicamente.
218620	220340	Por cualquier cosa van a tu casa.
221660	222180	Insoportable.
222500	224640	Yo creo que en serio me volvería loco.
225500	228680	Si quieren que dedique unas palabras a esto,
228820	232160	o sea, esto igual, yo creo que no tiene,
232160	234000	no tiene mucho peso específico, ¿viste?
234340	235640	No es como el recorte,
235660	238480	hay un buen recorte de Pichetto dando vueltas,
238740	242600	diciendo que no hay elementos del orden típico
242600	245340	que reúnan la característica de asociación ilícita
245920	247260	cuando viene jefe de estado.
247360	249940	A Pichetto le parece una estupidez la causa, ¿no?
249940	252180	Creo que, como la mayoría de las cosas,
252260	255240	eso tiene algo de riesgo por la perspectiva ideológica
255240	256180	desde la cual está hablando.
256640	257940	Me parece que a nadie le parecería...
259780	263000	No imagino un titular si yo digo
263000	266140	que la causa me parece un papelón, ¿no?
266540	268100	No sé si hay alguien en su casa,
268100	272380	si hay un agovero en su casa que dice...
272380	274420	Reborn se posicionó.
275100	277020	Elcobrero86 dice, vamos a tu casa, Reborn.
277020	278600	No, por favor,
279400	283300	no quiero que nunca pase nada parecido.
283940	285540	O sea, no lo imagino,
285700	288600	no imagino que alguien se sorprenda lo que vaya a decir.
289560	291660	Acá me dice Martín Binagui, ¿cómo estás, amigo?
292840	294360	Informate sobre la causa.
294820	296120	Mira, te voy a decir lo siguiente,
296160	299060	y esto lo digo como argentino y como abogado, ¿sí?
299220	301960	Si quieren una opinión mía profesional,
302640	305900	una voz autorizada para hablar de estas cosas, ¿eh?
305900	307840	No, esta es gratis, Maxi, tranquilo.
308100	310380	Esta es gratis, esta es gratis.
311780	315900	Los gorilas en general son más estúpidos.
318660	319740	¿Por qué?
320680	322020	Alguien puede agarrar y decir,
322660	324280	Reborn, estás discriminando.
324620	325820	No estoy discriminando.
326460	327860	El pensamiento gorila,
327900	330780	que es un pensamiento que no comprende la República Argentina
330780	333880	y me animaría a decir no comprende la dinámica del poder,
333880	336960	yo no estoy condenando todo el arco opositor,
337100	340660	ni mucho menos hay liberales que no son gorilas,
340780	342460	hay gente de derecha que no es gorila.
