start	end	text
0	1160	¿Por qué yo no hice nada de eso?
1180	4460	Ay, si querés llorar, llora, papi, papi, por favor, no, no, no
4460	5680	¡Ay, a mi!
7640	9600	Sin diputable, hermano
9600	11320	Solamente que tenga temor a Dios
11320	14000	Y a mí, en todo caso, también un poquito
14000	16060	Para, para, para, para, para
16060	18600	Con 15 pesos me hago alto guiso
18600	30760	¿Cómo andan, estimadísimos compatriotas?
31200	34380	¿Cómo les va, papaeldos, esmircolapios?
34460	35340	¿Cómo están?
35740	38440	¿Cómo está este Crazy Monday?
38880	41940	¿Cómo está, cómo está la realidad?
42900	45480	¿Cómo está la República Argentina?
45840	48520	¿Cómo andan esas luchas?
48580	48580	
48580	48580	
48580	51940	¿Cómo andan? Mirá cómo vienen, vienen corriendo
51940	56580	La gente viene a congregarse al espacio sagrado de Maga
57120	66180	Se acercan peronistas, liberales, troscos, gorilas, libertarios
66180	70740	Todos, todos se vienen a acercar a la fogata de lo maga
70740	73520	Acercándose, frotando sus manitas
73520	76500	Acercándose al calor sagrado de las verdades
76500	79080	El intercambio y la violencia
79080	81340	¿No? ¿Cómo están, estimados compatriotas?
81360	82440	¿Cómo arrancaron esta semana?
82560	84860	¿Jornadas intensas en la República Argentina?
85580	88360	Aguro que tendremos un gran par en la mano el miércoles también
88360	91880	Me está gustando mucho esta institución
91880	96240	En la cual Par en la Mano es un programa hermoso y pacífico
96240	98940	Donde el chat es una panacea de disfrute
98940	103700	Y de repente por media hora todos se cagan atrompadas
103700	108380	O sea, durante política y el jogging todos se cagan a piñas
108380	111000	Es imposible seguir la conversación
111000	114420	Todo es ira, todo es metal, todo es trash
114420	116420	Y media hora después todo está bien de vuelta
116420	117700	Me parece una gran institución
118320	123940	Siento que, siento que es algo que nos hace bien como argentinos
123940	128940	Tener espacios donde podamos putearnos con todo nuestro corazón
128940	131720	En una zona segura, en un espacio seguro
131720	136800	Y después, ya estábamos compatriotas, hablemos de las melbas
136800	139780	Es eso, es como algo que tenés que purgar
139780	142540	Tenés que sacar de tu sistema
142540	144240	Es un pogo, es un pogo
144240	147560	Me interesa la idea de que política en jogging
147560	150020	Sea básicamente un pogo sagrado
150020	152500	Donde es el momento pogo de Par en la Mano
152500	156200	Exactamente, purga board, purga me esta
156200	159100	Política con copete, mosh pit
159100	161240	El peladito con copete fue espectacular
162100	165420	Bueno compatriotas, ustedes saben que cualquier persona a la cual
166720	168880	La pasión en las verdades
168880	170240	La pasión en la política
170240	172100	La pasión en la realidad
172100	176680	Vivimos jornadas intensísimas, intensísimas
176680	180500	Quienes fueron a presenciar la historia
181100	182780	Habrán estado enormemente felices
182780	185540	Habrán vivido de primera mano la historia
185540	188160	Algo que no te pueden contar, que tenés que experimentar
188160	189940	Quienes lo vivieron en sus casas
189940	191720	Y les importa la política también
193440	198140	Se habrán conectado intensamente a un proceso televisivo
198140	200520	Y cuando terminó me imagino que no daban más
200520	203280	Viste este tipo, ubican esa sensación
203280	206200	Quien no lo ha vivido alguna vez después de una jornada intensa
206200	207500	Apagás la tele y decís
207500	211040	Oh, oh, estoy harto de luchar
211040	213140	Por favor hoy dejé todo
213140	217100	La manera en la que me compenetré con los acontecimientos
217100	219100	Me ha pasado por encima verdaderamente
219900	224120	Voy a ponerme una Insane Ass Peliculator
224120	226460	Para distender un poquito
226460	227340	¿Viste?
227940	230740	Triple Z dice yo me enfermé después de ver tanta tele
230740	231840	Quedás agitado
231840	232980	¿Entienden lo que digo, no?
233080	234100	O sea...
234940	236060	¿Cuántos hay acá en el chat?
236340	237680	Ver, agarrar, ¿viste?
237860	238660	Estar ahí y decir
238660	239200	¡Uf!
239400	240580	¡Uy! ¿Cómo viene esto?
240960	241380	¿Cómo viene?
241420	244220	Voy a tomar un té en el balcón para cambiar el aire
244220	245940	Dice Loonforeborn acá
246600	247160	¡Uy!
247160	247720	¡Uy!
247940	249880	¡Jornada intensa si las hay!
250420	253040	Fue una jornada intensa y me parece que
253040	255520	Lo primero que deberíamos decir
256260	261360	¿Por qué viste que hay un saldo histórico al respecto de un debate histórico
261360	261940	Múltiples chicanas
262560	265940	El peronismo es un espacio que crece mediante chicanearse, ¿no?
266420	267320	Es algo así
267320	270640	Vos tenés que más o menos te peleas, te peleas, te peleas
270640	272140	Y de repente el día que te apuran
272140	273500	Estamos todos del mismo lado
273500	274280	Que es...
274280	276240	Uno de los componentes que más envidia, ¿no?
276240	278780	El componente más gorila de la racionalidad civil
278780	281480	Que es que no se puede entender el dejar de lado
281480	283840	Todas esas contradicciones y ese odio y ese bronque
283840	285860	Y de repente aparecer todos en el mismo lugar
285860	287580	O todos en la misma dirección
287580	289400	A los gorilas les cuesta más eso, ¿eh?
289420	292600	Les cuesta más esa unidad frente a la adversidad
292600	296000	Porque no tienen las concesiones de orden de liderazgo
296000	297500	Que a los otros les resultan tan como...
298380	299840	Que presumen estúpidas, ¿viste?
300160	301500	Que presumen que...
301500	303460	Presumen que uno hace eso porque es idiota
303460	305640	Siempre, siempre creen que uno es idiota
305640	308200	Y no entienden la enorme libertad que hay
308200	309480	En agarrar
309480	311820	Y hacer algo puro y creativo
311820	313500	Que no tenga sentido
313500	315440	Por eso somos heleros
315440	317180	De sutanatos
317180	317960	¿Sí?
318480	321540	Fíjense esa cantidad de concepts que ya les estoy tirando
321540	323300	Como audiencia letrada
323300	324580	Que sé que son
324580	326320	¿Qué es lo que sucede?
327140	329360	Históricamente el peronismo tiene un debate interno
329360	331660	Al respecto de su maldita clase media, ¿no?
332780	333220	Esa...
333220	335080	Esa idea que es
335080	337380	Los que existen con gobiernos populares
337380	339780	Después quieren cagar más alto lo que les da el culo
339780	342040	Y después de repente no se acuerdan, no son leales
343480	343920	Bueno...
343920	344380	Eh...
344900	345340	Tengo...
345340	347400	Hay elementos para decir
347400	351680	Ustedes saben, yo acá no voy a hacer un análisis político minucioso
351680	353360	Eso lo hacemos el miércoles en par en la mano
353360	354600	Con más personas que se enojen
354600	356060	Acá queremos hablar de la verdad
356060	358620	De la ciencia oculta detrás de las cosas
358620	362240	De los espíritus liberados que estuvieron en juego en estas jornadas
