start	end	text
17700	23060	El gobernador de Chaco planteó que ante el ataque a Cristina Fernández no hay lugar
23060	28820	para especulaciones de ninguna naturaleza. Jorge Capitanich convocó a entender la gravedad
28820	33740	de los hechos para no ser responsables de la proliferación de la violencia y remarcó
33740	39420	que el episodio en contra de la vicepresidenta debe ser esclarecido. Capitanich formó parte
39420	44000	esta tarde de una reunión de gobernadores peronistas en la que se abordó la necesidad
44000	48480	de eliminar los discursos de odio que proceden de algunos medios de comunicación.
50580	54980	Más de 50.000 personas visitaron durante el fin de semana la muestra turística Vivi
55050	60710	Santa Fe. Organizada por la Federación de Cámaras Empresarias del Comercio,
60870	65830	Feseco, se desarrolló en la capital provincial la primera edición de la muestra Vivi Santa Fe.
66050	70610	Más de 50.000 personas la visitaron durante el fin de semana y permitió promocionar los
70610	75370	destinos turísticos de ciudades y localidades santafesinas. El secretario de Turismo de la
75370	85030	provincia, Alejandro Grandinetti, confirmó que debido al éxito de la muestra se repetirá el
85030	88970	La propia alegría que tenían los escritores es que por primera vez en su historia alguien
88970	93650	logrado encontrarse en un ámbito y empezar a mostrar tanto el sector público como privado.
93790	98590	Con las bondades que tiene la provincia de Santa Fe para ser recorrida, para ser visitada,
98850	104130	logró ese efecto en los miles y miles de santafesinos que se acercaron a esta feria
104130	109430	cuando es a ese descubrimiento. Y este tipo de hechos ayudan y mucho. Estamos pensando
109430	114110	de hacerlo para el año que viene, probablemente incluso antes de la temporada invernal.
114110	120650	Mariana Vázquez, Radio Nacional Santa Fe. Israel reconoce ahora que existe una fuerte
120650	125470	posibilidad de que haya asesinado a una periodista de Al Jazeera. Se trata de la
125470	130690	periodista palestino-estadounidense de Al Jazeera, Jiren Abu Aklé, quien fue alcanzada por un disparo
130690	136170	en la cabeza en mayo pasado mientras cubría una redada militar israelí en Cijordania. Israel
136170	141350	rechazó en numerosas oportunidades las acusaciones de la Autoridad Nacional Palestina acerca de su
141350	146770	responsabilidad en el crimen, hasta ahora que se admitió que la periodista pudo haber sido asesinada
146770	152010	por uno de sus soldados. En Puerto Argentino, Islas Malvinas, la temperatura es de 8 grados
152010	157710	cuatrodécimas, la humedad es del 71% y el cielo está mayormente nublado. Mientras tanto, en la
157710	164630	ciudad de Buenos Aires, la temperatura es de 18 grados dos décimas, la humedad del 42% y el cielo está despejado.
171350	172830	Esta es la Nacional Rock.
178930	180890	93.7
189770	191730	nacionalrock.com
195030	197570	La Radio Pública de Rock
226110	228910	nacionalrock.com
258030	261330	La Radio Pública de Rock
265310	266230	nacionalrock.com
272830	274310	nacionalrock.com
274310	276310	La pelota de los...
276310	278950	La pelota de los malos
278950	281010	carajo de mierda
281010	282550	carajo de mierda
282550	285870	se van a remontar a la
285870	286670	estratófera
286670	288350	Usted tiene que arrepentirse de lo que dijo
288350	289110	No, no me voy a arrepentir.
289190	291150	Ustedes tienen que arrepentir porque yo no hice nada de eso.
291230	293310	Ay, si queréis llorar, llorad papi, papi, por favor.
