start	end	text
0	6760	Ser dueño de un jet, una mansión y un autovelo.
7260	7400	YouTube.
7660	9720	Arroba Nacional Rock 937.
10160	10500	Twitter.
10800	13000	Arroba Nacional Rock 937.
14180	15000	Nacional Rock.
16680	17300	Maga.
17560	21440	Lunes hasta las 21 por Nacional Rock.
22120	23940	Hay pan, pan, hay vino, vino.
25700	27020	Sobre las cartas de la mesa.
27860	29700	¿Para qué cazó estos pájaros?
29880	30180	¿Para qué?
30220	34140	Hay que tener una jaula con abrido y ese.
37400	40560	El problema es que la deuda es como la faropa.
40880	43680	Al principio es rica, pero después te mata.
44640	45340	Vos sabés que sí.
45960	46780	Vos sabés que sí.
48220	49280	Vos sabés que sí.
49280	52580	Si esta copa es de leche, te la tomaste toda.
52800	55440	Te la tomaste toda, chingüengüencha.
55440	57260	No sabes ni hablar, brutos.
57460	58640	Váyale a estudiar.
58980	62920	Acaba de cortar la medicina porque metiste un cuchillo y te fue que electrificaba, loca.
63180	63860	Ah, bueno, no lento.
64860	81240	Muy buenas noches, agoveras, agoveros, ¿cómo les va?
82600	92720	Estamos viviendo momentos, ¿cómo decirlo?, históricos, difíciles.
92940	99140	Momentos donde se agotan las palabras, donde no sabes qué decir, para dónde mirar, a quién recurrir.
100020	105980	Y donde a veces lo único que te queda es el pasado, mirar para atrás, pensar en la historia.
106980	108220	¿Para qué sirve la historia?
108780	111480	¿Cuánto tiene que ver lo que nos pasó con lo que nos pasa?
112040	114080	¿Cuánto podemos aprender de ese pasado?
114580	119320	Todas esas cuestiones que nos planteamos día a día.
119580	121420	Y vos decís, bueno, ¿qué hacemos frente a esto?
121460	125520	Bueno, una posibilidad es justamente hablar de historia.
126780	134240	Y los quería invitar a ustedes a un evento muy particular que se va a producir el día miércoles,
134320	137620	19 de octubre a las 20 horas en el Teatro Coliseo.
138220	142700	Donde estaremos con el querido amigo Tomás Rebor, hablando de historia.
142900	145380	Hablando de construir el nuevo panteón.
145520	148700	Quiénes son las verdaderas mujeres, los verdaderos hombres que hicieron esto.
148780	152340	La gente que a nosotros nos importa y nos sentimos identificados.
152360	155540	Para eso ustedes van a poder dejar sus opiniones.
155560	157360	¿Quién les parece que no puede faltar?
157380	160000	¿A quién hay que sacar también del panteón?
160720	166120	Está el panteón que vamos a armar y que vamos a presentar conjuntamente con Tomás
166120	168960	El 19 de octubre en la fecha histórica realmente va a ser.
169560	174400	Seguramente, no tengo ninguna duda, el 19 de octubre en el Teatro Coliseo.
174640	177180	Así que eso les quería anunciar.
177740	184100	Sé que algunos esperaban un anuncio un poco más importante, más determinante en estas horas clave de la historia argentina.
184180	185900	Pero esto es lo que tenemos por el momento.
187040	195660	Esta primer paso, podemos decir, hacia hacer a la Argentina nuevamente grande como nunca debió de dejar de ser.
195660	200880	Que por supuesto, siempre estamos en la posibilidad de volver a ser a la Argentina grande.
201320	207540	Y para eso por supuesto es imprescindible la presencia del querido amigo Tomás Rebor que me dijo que está llegando.
207640	209440	Yo puedo seguir estirando, no tengo problema.
209740	214880	Pero me dicen, como dicen en la tele, acá me dicen que está llegando Tomás.
214940	217040	Así que no tengo por qué no creerle a la producción.
217580	222160	Así que en un ratito, mientras ustedes van a comprar las entradas por Ticketek,
222160	226340	para el evento del día 19, ya lo tenemos acá con nosotros.
226740	231000	A la persona que ustedes estaban esperando en definitiva que era y es Tomás Rebor.
231520	234060	En un ratito aquí lo tenemos y seguimos charlando.
252260	256640	El 10 de la noche hasta que las carrozas se convierten en calabaza.
257000	259120	Estamos en Nacional Rock haciendo un gran plan.
259460	262080	Un programa fuera del horario de protección al menos.
262220	263240	Un gran plan.
263780	264180	Plan, plan.
264320	265600	Ustedes déjense llevar.
266060	268480	Nosotros tenemos todo planeado.
285620	290640	Nosotros no había prestado atención con una oreja muy fina a los bajos de Serú,
290780	293500	por ejemplo, que es un grupo que me marcó en toda la adolescencia.
293800	297460	No, yo escuchaba las letras, el mensaje, la música, por supuesto,
297520	302320	pero no tenía como la oreja tan fina de qué hace el bajo que sí más en la guitarra.
302560	305060	Y bueno, cuando empecé a tocar el bajo descubrí a Nar, Arnedo,
305260	307160	que fueron, se convirtieron como...
307160	310040	Empecé a escuchar los discos de Fito de vuelta descubriendo lo que hacían
310040	311940	y bueno, por supuesto aprendí un montón.
311940	313200	Ni el día de hoy, ¿no?
352400	353440	¿Cómo andan?
353880	357840	Agoveros, agoveras, estamos acá con el Philip que les dio la bienvenida
357840	361460	e hizo el anuncio, yo no sé si lo notaron, si se tomaron este tiempo
361460	364580	en la tanda correspondiente para comprar sus entradas
364580	367240	porque me están informando que están volando.
367400	371160	Así que existe una probabilidad cierta de que se queden sin entradas.
371160	373300	Eso es como la última información que tengo,
373560	376100	me avisaron recién del teatro que dicen, mira, existe la posibilidad
376100	379920	de que en 10 segundos ya no haya más entradas.
380120	382040	Quería ser justo con ustedes y decírselos,
382080	385100	la publicación del mismo ya se encuentra también en Instagram, Twitter,
385540	386760	todo lo que es redes sociales.
388000	390380	Y contando con la presencia del Philip acá, un amigo de la casa,
390440	392320	un amigo de Maga, alguien que decidamente quiera ser
392320	393580	a la Argentina Grande otra vez,
393780	395800	¿podemos charlar un poco de qué vamos a estar haciendo?
396080	396780	¿Qué vamos a estar haciendo?
396960	397840	Es una buena pregunta.
397840	401220	Primero a buenas noches, un gusto estar acá.
401680	405840	Vamos a estar hablando un poco de la historia argentina, fundamentalmente,
406760	408540	de aquellas personas que hicieron a la Argentina Grande
