start	end	text
30000	31620	son de cosas para participar.
31980	33520	Muchísimas de nueve a doce.
33660	34620	Mezulte Iberia.
34780	36160	El mañana por...
36680	37600	Por Nacional Rock.
60760	62080	La pelota de los Invalches.
63880	64600	¡Carajo, mierda!
66400	70520	Se van a remontar a la infraertófera.
70800	72260	Usted tiene que arrepentirse de lo que dijo.
72420	73020	No, no me voy a arrepentir.
73040	75060	Usted sí tiene que arrepentir, porque yo no hice nada de eso.
75100	76820	¡Ay, si querés llorar, llora, papi, papi!
76900	77660	¡Por favor, no!
78400	79160	¡Ay, madre!
81700	82960	¡Casi diputable, hermano!
83640	85240	Solamente que tenga temor a Dios.
85280	85740	A Dios.
85960	87860	Y a mí, en todo caso, también un poquito.
88040	89400	¡Para, para, para, para, para!
90000	92380	Con 15 pesos me hago alto guiso.
104300	107140	¿Cómo andan, queridísimos compatriotas?
107180	109860	¿Cómo andan, Papaeldos Esmircolapios?
109960	112340	¿Cómo andan, Papacius Cleis?
112600	115900	¿Cómo están en este Maga tan especial estos encuentros de lunes?
116220	119400	Esta vez con el partido Boca-Uracán en simultáneo.
119400	120860	Segundo tiempo recién arrancado.
121280	125480	Le recomiendo a todo agobero y bostero de ley ponerse lo que corresponde, ¿no?
125480	128700	El partido de fondo y el relato de Maga, ¿no?
128980	130120	¡Mira cómo está Boca!
130400	131340	¡Mira cómo está Boca!
131600	132500	Está bien, Boca.
132940	134720	¡Uy, uy, uy!
134720	136200	¡Uy, uy, uy, ahí está el arquero!
136300	136660	¡Uy, pase!
137080	137500	¿Ven?
138460	139160	¿Sentieron eso?
139520	144360	Van a por disfrutar de eso y mucho más si ponen el partido en simultáneo
144360	146440	y Maga en sus altoparlantes.
146440	149800	La forma en la que la mayoría de los jóvenes y argentinos hoy consumen fútbol.
150180	151940	Relatado por Tomás Rebord, ¿sí?
152080	156220	Acá, medio campo, ad víncula, ad víncula y...
156220	157300	¡Uy, uy, uy, ahí sacó!
157660	159060	Bien sacado, bien sacado.
159260	159520	¿Ven?
159700	161700	Comentarios como ese no tendrían...
161700	163280	No lo tendrían nunca como posibilidad
163280	165380	si no pusieran este estímulo en simultáneo.
166140	168020	Les quiero agradecer por estar acá.
168900	170120	Les quiero agradecer también
170120	173680	por la cantidad de cosas que me están mandando últimamente.
173680	176540	Comic Board me trajo estos increíbles regalos,
177300	182000	estas placas de tapas agoveras de calidad absoluta que hace.
182600	185440	Me puso de parte de Comic Board con una etiqueta muy linda,
185580	187640	con un homenaje a Watchmen, dicho sea de paso.
188560	189440	Y también me llegó este libro.
189620	192740	Está empezando una práctica agovera acá en Nacional Rock,
193060	196320	que es que me mandan regalos sin decirme quiénes son,
196580	197700	lo cual es súper interesante.
197900	200700	Es como que no pretenden una gratitud de mi parte.
200740	202220	No es que me ponen, te lo manda tal.
202220	205500	El otro día me llegó el volumen 1 de Doom Patrol.
205680	208240	Hoy me llegó esta suerte de libro de fantasía medieval
208780	210220	de hombres fornidos.
212040	213880	Reyes, reyes de la tierra salvaje.
213940	215720	No tengo la más reputa idea que es.
215820	217640	Acabo de ver que hay un canadiense que lo escribió.
217680	219640	No creo que el canadiense me ha hecho llegar este libro.
220000	221580	Pero por algún motivo alguno de ustedes consideró
221580	222820	que yo tenía que leer esto.
223360	225800	Fantasía medieval de hombres fornidos, ¿sí?
226480	227260	Está bien.
227520	231160	Pueden mandarme lo que se les cante, lo que se les cante.
232100	235540	Tenemos boca en simultáneo, tenemos opiniones, tenemos fútbol.
235780	239000	Quiero también aprovechar estos primeros minutos de anuncios.
239020	239440	¿Por qué no?
239560	242280	Porque ha habido una multiplicación de formatos
242280	246680	en el universo podcastero, podcasts y contenidos amigos
246680	248680	que, como bien saben, el agoverismo,
248700	251260	que es una ideología que profesa la expansión cultural,
251340	254360	el amor y la paz, no se disputa jamás entre sí nada,
254420	256140	sino que todo lo que crece florece
256140	260120	y no por haber más flores en un jardín entran menos, ¿entiende?
260120	262940	Siempre puede entrar un bellísimo fruto más.
264000	264960	No sé si lo vieron.
265160	269140	Tommy Cislian, con sus artes de producción audiovisual,
269280	271580	ha montado ahora el estudio de photo experience.
271940	275220	En sus palabras, un método de expertos en fotografía.
275680	277480	Lo están sacando ahora por el canal de YouTube.
277640	279680	Se ve bárbaro, es una cosa impresionante.
279900	281920	Hay gente que nos ha prestado técnica muchas veces
281920	283740	y han hecho el método posible, por ejemplo.
284140	287500	La gente de Cenital también sacó un gran podcast, La revancha.
287500	290560	Creo que son cinco episodios sobre las elecciones en Brasil.
291260	292280	Lo deben haber visto también.
292400	297140	La SUGO sacó junto a Andy el primer episodio de Argentina Issues,
297320	299760	donde tratan temáticas de la realidad.
300580	302460	Y la verdad es que tiene una calidad soberbia, es una cosa...
303300	305720	Es casi como si estudiar y saber de lo que uno está hablando
305720	308360	impacta directamente en la calidad de un contenido.
308740	312480	Así que son todas cosas para nutrir de ciencia al agoverismo
312480	314360	sin partido, sin partido y sale boca, ¿ven?
314360	317760	¿Ven cómo hago esto en simultáneo a este contenido?
318240	320460	Así lo hace un profesional, compatriotas.
320680	322960	Les doy la bienvenida a agoveros, agoveras.
323120	328580	Les recuerdo el número 1139398888.
330520	332600	¿Saben por qué? ¿Hay audio? ¿Saben? Mándame a ver qué dice alguien.
334160	339780	Hola, Rebord. Ya puse los relatos del partido y a voz de fondo
339780	340960	y no entiendo nada.
341520	343600	Creo que estoy descentralizado y autónomo.
343600	345100	Saludo desedado.
345340	349560	Bien. Escucha, subí el volumen de las dos cosas al palo.
349740	352140	O sea, si vos no estás entendiendo lo que está pasando, acelera.
352660	355880	Subí más los relatos y subí más maga al palo
355880	357400	hasta que tus vecinos te echen.
357900	359980	Que haya una cosa de que el aumento de decibel
359980	362540	da una síntesis consumible, básicamente.
362820	364680	Me dijiste que había otro audio. A ver, pasemos a una agovero más.
366200	369920	Hola, Rebord. Acá hago el grano escuchando maga
371080	373980	completamente dopada, enferma con anginas.
374000	374880	¿Qué le pasa a la gente?
374940	378500	Y mañana riendo un parcial, así que deseame suerte, por favor.
378900	381660	No, no, no. Hagos Belgrano, gran compañera.
383000	385960	Hagos Belgrano me preguntó si podía ingresar con el trapo
385960	389080	de Hagos Belgrano al evento con Piña, para que sea una idea
389080	391420	el tipo de compatriota que es Hagos Belgrano.
391460	393980	Le mandamos un gran abrazo de parte a todos los agoveros
393980	395480	y éxitos en el parcial de mañana.
395560	398360	Acordate que no necesitás suerte. El parcial de mañana ya está rendido.
398360	401120	La sumatoria del conocimiento para dar ese parcial
401120	403200	ya está dentro tuyo, aunque hoy no parezca.
403600	405120	Y anda con esa confianza, esa certeza.
405220	407800	Y el parcial ya está probado, ya está hecho.
408200	410500	Dicho sea de paso, ya que hablamos de lo de Piña.
411200	413180	¿Se acuerdan que yo la semana pasada les avisé, no?
413220	415100	Quedan pocas entradas, quedan pocas entradas.
415380	416960	Muchos de ustedes creyeron que era un chiste.
417200	419320	Decían, jaja, qué gracioso que es Rebord.
419580	422720	Cómo le gusta hacer sus humoradas de siempre, no?
422880	424800	Eso decían ustedes en sus casas.
424980	427640	Me he comunicado hoy con nuestra finísima producción
427640	430420	y me han informado cuántas entradas quedan disponibles
430420	433840	de todo el Teatro Coliseo, un lugar inmenso. Va a ser una locura.
434000	435540	¿Saben cuántas quedan disponibles?
436860	438020	16 entradas.
438480	442700	Físicamente hay solo 16 butacas no ocupadas.
443100	445580	Se los digo nada más para que sepan con qué cuentan.
445980	448680	Si alguien no compra ahora, se queda afuera.
448860	451460	Estamos hablando de espectáculo agotado.
452020	454200	Sí, salvo por 16 lugares agotado.
454660	455840	Me está insistiendo mucho
455840	460480	el Filipe que está sediento de sangre y gloria para hacer más fechas.
460760	463520	Filipe me llama a distintas horas de la madrugada
463520	465600	y me dice más Rebord, dame más.
465860	468660	Y yo le digo, pará, Filipe, tranquilo, estoy nervioso.
468880	470320	No sé si quiero hacer más fechas.
470600	474200	Me dice, dale, dale, dale, cagón, dale, me dice.
474440	477940	Más teatro, más, más historia, más poder.
478220	481300	Y yo digo, Filipe, la gente no conoce este perfil tuyo,
481340	484280	no conocen esta expresión de vos y nunca nadie te va a creer.
484280	486360	Me dice pa y me corta el teléfono.
486500	490240	Así son últimamente todas mis comunicaciones con Filipe Piña.
490440	493200	Estoy viviendo en un tremendo revio lento.
493300	495660	El Filipe me dice un poco más, dice, quiero más.
497040	500020	Si Colpe hizo 10 recitales, Filipe tiene que hacer 50.
500320	501560	Sí, sí, sí, sí.
502220	504460	Estamos en eso. Hay gente que pide más fechas, más fechas.
505340	506960	Yo yo soy más conservador, viste?
507040	511580	A mí me pasa. Tengo una cosa de de ir asimilando los impactos
511580	512960	con un poquito más de tiempo.
512960	514680	Creo que necesito un poquito más de tiempo.
514920	517840	Saben por qué? Ya que me preguntan cómo estoy,
518240	519840	nadie me pregunta cómo estoy.
522220	523440	Nadie me pregunta cómo estoy.
523800	526120	Hijo de puta, acaba de decir gol y me hizo fijarme.
527440	529360	Me acabo de dar cuenta que eso va a ser un problema ahora.
530320	532880	He abierto una compuerta y en el hecho de solo haberlo mencionado,
533020	535720	me van a hacer el maga más psicopateado de la historia.
535820	540780	Así que voy a no voy a ser caso omiso a sus avisos futbolísticos
541320	544920	y voy a todo, todo ahora.
546220	549380	Insoportable, gente de mierda que son.
550760	553240	Cómo estoy? Mal estoy.
553860	555640	Estoy mal. Estoy con un día de mierda.
555780	558840	Hoy es un mal lunes. Hoy es un mal lunes.
559060	561580	Hoy es un mal lunes. Mal estoy.
561920	563080	Me duele el estómago.
563260	565140	Me duele la panza de una manera particular.
565560	568100	Ustedes me dirán te estás cagando bord.
568560	570040	No, no tiene que ver con eso.
570040	573720	Siento como como una pelota en la boca del estómago.
573920	575160	Siento como una sensación,
575540	580400	como si mi ansiedad estuviese generando un cuerpo físico distinto al mío,
580520	586140	como si yo estuviera pudiendo invocar a alguien a fuerza de ansiedad permanente.
586380	587620	Yo no sé si ustedes viven así.
588380	589120	A ustedes les pasa esto?
589340	591520	Yo estoy ansioso todo el tiempo.
592460	595440	No sé si esto es normal, porque lo tengo que lograr con alguien
595440	598420	que para mí es como la forma de vivir.
599380	603400	Para mí, para mí siempre es como es la única forma de existir que conozco.
603520	605520	Es como Bruce Banner.
605580	608060	Cuando dice Ese es mi secreto, capitán, siempre estoy enojado.
608280	609160	Yo siempre estoy ansioso.
609680	613680	La ansiedad es mi estado natural, pero creo que me está matando.
613960	618840	Después, algún día te hacen una biopsia y tenés el hígado de un piloto de avión
618840	620180	de la Segunda Guerra Mundial.
620260	621400	Viste esas cosas que hay que tener?
622100	623760	Tenés 17 úlceras.
623800	626380	Por qué estuviste haciendo cosas de mucha presión?
626380	629480	No, solo estoy ansioso, básicamente.
629960	633780	Acá me dicen porro board, hacelos concha, rebordo, un chabón loco.
633840	636300	Viste un tipo en la casa gritando reventarlos.
636840	638820	Me gustaría reventarlos, pero hoy es un mal.
639000	640780	Y saben qué? Saben qué?
641160	642200	Tengo una misión a gobernos.
642460	646120	Si hoy es un mal lunes, tenemos exactamente 45 minutos para levantarlos.
647220	648840	Por mí? No, no es por mí.
649140	652680	Hay mucha gente cuya integridad psicoespiritual depende de maga.
652860	655260	Dependen de que este programa, o sea, se la juegan todo acá.
655900	658500	Se juegan todo el lunes en esta hora.
658720	661960	Si esto sale mal, le sale todo mal.
663180	664440	La vida está mal.
664940	668020	Así que yo quiero que entiendan el nivel de responsabilidad que están teniendo.
668880	670460	Necesito que levantemos esto.
670880	672420	Necesito que me alegren.
672720	677740	La consigna del día de hoy es dame tópicos, dame energía, dame insumo.
677880	680700	11 39 39 88 88.
680980	682120	Porque hoy saben qué?
682120	685640	Simplemente no tengo ganas, me siento mal,
686080	690440	estoy triste, estoy ansioso y enojado
690440	692760	y perezoso a la vez.
693200	695860	Soy como una suerte de pozo de impotencias
695860	699480	que quiere cambiar algo al respecto de cómo está en su día a día
699480	702040	y no tiene la energía como para hacerlo.
702400	706100	Y por algún motivo vengo acá para hablar con ustedes.
706640	708800	Sí, esa es el sí.
709120	710720	Ese es el marco de hoy.
710720	714080	Sí, guaves, dice da puto, por ejemplo, no?
714520	717180	Así, primeros insumos, primeros estímulos.
717600	719260	Y quiero que se lo tomen en serio, loco.
720060	723020	Miren que si pierde maga, pierde su familia, loco.
724600	727220	Me hacen reír mucho. Son memes de.
727840	731980	Vieron esos memes de pierde, pierde boquita, pierde mi familia.
732140	733340	Y tipo no, papá, no.
733560	735340	Como cuando salían los de piñón fijo.
735640	737040	Bueno, es lo mismo, loco.
737320	738200	Es lo mismo.
739020	742340	Mal maga, mal maga para tus hijos, entendés?
743200	748200	Y los pibes, vos que ya tenés hijos y escuchas maga los lunes a la noche
748200	751420	para arrancar bien la semana, sabe de lo que te estoy hablando.
751940	756940	Y si no vas a tener que ir y ejercer un poco de violencia intrafamiliar
756940	762060	indeterminada, porque maga salió mal y todos lo queremos evitar.
762680	763840	Escuchemos sus voces.
764900	766620	Hola, Rebor, sé que estás bajón,
766620	769180	pero pensás que el gobierno sale un nuevo episodio de Ring of Power
769180	771920	y ese es el único motivo para seguir vivo, porque el resto de la vida es una
771920	775340	reverenda polonga, pero está saliendo conto el Señor de los Anillos.
776140	777900	Qué hace, hermano? Gracias.
778380	781540	Me da risa, hermano, me mandó 16 mensajes yendo a hablar de Rigs of Power.
782180	784540	Es el play y hay a ding dong de maga.
784640	785720	Rigs of Power.
786720	787500	Qué serión, hermano.
787560	790320	Me hace muy feliz que cada uno sea. Duran 70 minutos.
790600	793020	Es una película por semana. Se dieron cuenta de eso.
793020	795040	Estamos teniendo una película del Señor
795040	798280	de los Anillos a escala Señor de los Anillos por semana.
799780	802540	Probablemente sea de los únicos motivos, Rigs of Power, carajo.
803140	805040	Probablemente sea de los únicos motivos para seguir.
805140	807600	Mándame otro. Hola, Rebor, cómo va?
808040	810380	Vas a ver Andor, que sale el miércoles en Disney.
811340	812420	El miércoles sale Andor?
813020	814540	Ya este miércoles sale Andor?
815880	817840	Boludo, me acabas de dar una notición.
817900	818980	Ya está funcionando esto.
819680	823780	Ya está funcionando el sistema AGOV
823780	827220	de nuestro tejido comunitario de bienestar.
827760	829660	Ya sale Andor? Espectacular.
829760	832880	Se cancela la suicidación, dice acá. Sí, hermoso.
833080	834720	Tiene una sobredosis de contenido.
836020	838860	Eso también a veces me deprime.
839460	840420	Porque estamos todos...
840420	842880	Yo ahora estaba solo bajón. Yo ahora estaba solo mal.
843780	847180	El otro día, Gigi aquí no me dijo una de esas reflexiones apocalípticas que tiene.
847180	847500	¿Viste?
848480	852780	Estamos todos encerrados todo el tiempo mirando cosas en una pantalla, ¿viste?
854860	855300	Y...
855820	861000	Y cuando vos te ves con otra persona, solo hablás de lo que estuviste mirando.
861720	864640	Y entonces es como que la vida es mirar cosas ahora.
865820	867820	Yo tengo alguna duda, que es, la vida en
867820	872580	algún otro momento se trató de algo más que primordialmente consumos culturales.
872660	875120	Porque capaz la gente antes no tenía series, pero leía libros.
875120	877540	Y se juntaba y decía, ¿qué anduviste leyendo?
877980	880000	O la vida pasaba más en otro lado.
881140	882980	Y Gigi aquí no me inoculó esta pequeña
882980	885560	depresión, me dejó una pequeña depresión adentro mío.
885720	887320	Yo estaba feliz, era un tipo feliz.
887580	889840	Me junté con él y salí todo roto.
890060	895200	Me dijo, ¿pensaste que la realidad ahora es un montón de humanos encerrados viendo
895200	899660	pantallas? Yo no tenía problema con eso, hasta que él me lo dijo así.
899960	902500	Hasta que él me lo dijo así, ese era mi viernes a la noche ideal.
902500	905480	Oh, voy a encerrarme a ver pantallas.
905740	908180	Y ahora que me dijo eso, me siento un poco mal cuando lo hago.
908520	913040	Por ejemplo, ustedes viendo esto en sus casas, en un ambiente oscuro, medio lúgubre.
913220	914600	Peor, se lo están viendo en diferido.
916100	920900	3aM, 3aM, ropa interior recién masturbados, lo cual es súper deprimente.
920920	926140	No es prepaja, contenido pospaja, el más bajonero que hay.
927900	933540	Jajaja, contenido pospaja, una revera medio manchada,
933760	935960	pero que la siguen eligiendo porque es suave.
936260	938540	Ubican la ropa que se ponen porque es suave.
939200	942860	Hace años que no se visten como quieren, se visten como lo que es cómodo.
942940	946440	Están en sus casas, se acomodan sus pelos, tan calvos como yo.
946580	948580	Se acomodan así, los tres chusas.
948860	952340	Y dicen, después de masturbarse, a ver qué dijo Reborde este lunes.
952900	955560	Pone Play y ven todo este bloque.
955980	960720	Y de repente se mira a las manos y dicen, la concha de su madre.
962940	965520	La puta que lo parió.
965860	968960	Tratan de tomar alcohol, se fuman un porrango Adams.
974040	974800	Y eso.
974800	975040	Y eso.
977060	979560	Y eso no lo hace mejor, viste?
979560	987500	Porque el alcohol y el porrango Adams te regalan pequeños momentos de salto de
987500	992540	pensamiento, es decir, sos más fácil de distraer, sos más fácil de distraer.
992660	998440	Pero en esos inserticios, entre distracción y distracción, solo estás vos.
1000000	1001760	Y es un garrón ese momento.
1001960	1006840	Imagínate que vos te pones este contenido para estar un rato tranquilo,
1006840	1008380	pensando en otras cosas.
1009780	1013880	Y solo decís, esto es un pijazo.
1015580	1018240	Uy, la estoy pasando muy mal.
1018760	1022340	Uy, tengo treinta y cinco años.
1026860	1028920	Tengo treinta y cinco años.
1029140	1030080	No te rías.
1030080	1030840	Y eso.
1035360	1041000	Estás así y decís, no sé si tiene tanto sentido todo, ¿no?
1041920	1043280	¿No les pasó eso alguna vez?
1043360	1044320	Últimamente estoy.
1046200	1051160	Miren, miren, vamos a seguir tirando este hilo hacia un pozo cada vez más oscuro.
1052260	1053360	Vamos así tirando este hilo.
1053840	1057880	Yo últimamente he detectado algo, esto es relativamente reciente en términos de
1058110	1060590	conciencia. Atento a lo que les digo.
