start	end	text
0	880	¡Baila!
30000	30520	No te voy a arrepentir.
30540	32560	No te voy a arrepentir porque yo no hice nada de eso.
32640	34320	¡Ay, si querés llorar, llora, papi, papi!
34480	35120	¡Por favor, no!
36700	37100	¡Allaver!
39540	40440	Sinirputable, hermano.
41120	42760	Es solamente que tenga temor a Dios.
43200	45360	Y a mí en todo caso, también un poquito.
45520	47180	Pará, pará, pará, pará.
47860	49600	Conquiste peso y me hago alto guiso.
57420	65280	¿Cómo andan, queridísimos hijos de puta? Bienvenidos, bienvenidas a Maga, a goberos,
65340	71520	a goberas, ¿cómo están la concha de su madre? Estaba recién acá, revisando mi twitter,
71840	79580	empecé a ver nuevos políticos que me siguen de primera línea, ¿qué querrán? ¿Acaso
80340	86660	papaeldos? Yo estoy feliz, estoy espectacular, ¿cómo están ustedes? Ronda de aplausos,
87760	94680	ronda de aplausos por haber venido a Maga, ronda de aplausos por asistencia, ronda muy bien en
94680	101420	cabina aplaudiendo, gracias, gracias por venir, clap, clap, clap, muy bien, muy bien, pequeños
101420	111900	logros gente, pequeños logros, ¿quién está deprimido? Ustedes, no, otros estarán deprimidos
111900	117820	porque no están en Maga, ronda de aplausos otra vez, la estás rompiendo loco, está muy bien lo
117820	123280	que estás haciendo, lo estás intentando, es difícil amigo, todos sabemos que es difícil,
123400	128580	todos sabemos que es difícil, felicitaciones por estar acá en Maga, este espacio semanal,
128580	134780	vos sabés que la gente, la gente viene a Maga, cual terapia, cual terapia de grupo, hermano,
135700	141980	cual terapia de grupo, necesitan Maga y está muy bien, es normal, el agovero, la agovera te dice no
141980	148740	monstruo, disculpa, el lunes no puedo, tengo Maga, y la persona que querés te dice ah, ¿qué es eso?
148760	156420	¿Qué estás haciendo en un taller? ¿Estás eh? Algo así le podrías decir, no es un lugar al que
156420	166000	voy y hablamos con, sí, sí, sí, es un lugar al que voy y hablamos con otros agoveros, vemos cómo
166000	173160	estamos, vemos en qué andamos y es un compromiso, todos los lunes de 8 a 9 estamos acá, pequeños
173160	183260	logros, pequeños logros, ¿qué hiciste esta semana Carlitos? Fui a Maga, dejé terapia pero fui a Maga,
184580	190260	hay muchos agoveros, no es que esto sea recomendable, pero hay muchos agoveros que
190260	194300	están dejando terapia para ir a Maga, ustedes saben de este fenómeno que está pasando,
195500	200900	personas que capaz tienen sesión de terapia, por ejemplo, Cuafrot dice, mejor que mi terapeuta,
201460	207480	bienvenido, los agoveros están en sesión de terapia, tu psicólogo o psicóloga te dice algo,
207480	215520	y ya empieza a pasar que algunos dicen, no sé si es por ahí, déjame que lo charle en Maga y vemos,
216540	221780	ya está pasando, es una respuesta muy agovera, le dicen a sus terapeutas, no sé si están así,
222160	228160	lo voy a ver en Maga y te digo cómo lo ven mis compatriotas, y por eso nos encontramos en este
228160	234420	espacio, yo como verán, estoy mucho mejor, mucho mejor, ¿acaso creen que esos son ambivalencias
234420	243320	emocionales preocupantes? ¡No! Son los ciclos de la vida, y es sano, y es saludable, hay lunes que
243320	248460	te encontrás y decís, uy, qué bajón este lunes, y hay lunes que decís, loco, la vida es hermosa,
248580	254340	soy un agovero y estoy en Maga, que es mi hábitat natural, el momento más feliz de la semana, loco,
254520	259620	he cancelado cosas para estar acá, quiero estar acá, más de uno pensaba, che, loco, qué temprano
259620	266180	arrancó Maga, ¿qué te pensas que ibas a arrancar en 20.05? ¡No! Arrancó a las 20 Maga, ya te perdiste
