start	end	text
0	840	en Facebook.
1340	3160	Arroba Nacional Rock 937.
6940	8540	¡Hay pan, pan! ¡Hay vino, vino!
10260	12100	Sobre las cartas de la mesa.
13020	15020	¿Para qué caso esos pájaros? ¿Para qué?
15020	18820	Ahí tenían una jaula con ablido y ese.
22180	25400	El problema es que la deuda es como la faropa.
25780	26940	Al principio es rica,
27760	28580	pero, después, te mata.
29180	30480	Vos sabés que sí.
30900	31740	Vos sabés que sí.
33340	34140	Vos sabés que sí.
34180	37500	Si esta copa es de leche, te la tomaste toda.
37880	40380	Te la tomaste toda, chingüengüencha.
40520	42100	No sabe ni hablar, brutos.
42340	43500	Váyale a estudiar.
43860	45040	Acaba de cortar la medicina
45040	47820	porque metiste un cuchillo al que fue que electrificaba, loca.
48120	50340	Ah, bueno. Ayúdame, ¿qué fue?
61520	63820	¿Cómo andas, cagoveros?
64180	66660	¿Cómo andas, compatriotas?
66900	69780	¡Miren lo que es esta Gamer Chair!
70420	71320	¡Miren lo que es!
71500	72040	¡Oh, miren!
73380	75320	Estoy con un poco más bajo, eso sí.
76180	80100	Es como un Maga Low Hi-Fi Chill Pit Maga.
80400	80800	Es acá.
81080	82780	Me siento más cercano a la mesa.
83300	84580	Es como un Maga Relax.
84980	87400	Es como un Maga Los Humanos del Futuro de WALL-E
87400	88560	que lo ven mediohorizontal.
88560	90520	Todos los contenidos y todas las cosas.
91120	92100	¿Cómo andan?
92600	94340	Ronda de aplausos.
94740	99000	Ronda de aplausos, cagoveros, cagoveras.
99200	100120	Muy bien.
100340	103040	Muy bien por haber venido, por estar acá.
103120	105820	Lunes, 20 horas, felicitaciones.
106900	108380	Pequeños logros.
109860	112980	Hashtag pequeños logros, cagoveros.
113340	114980	Pequeños logros.
115180	116080	¿Qué hicieron hoy?
116080	118160	Hoy estuve a las 8 en Maga.
120060	122100	¿Qué hicieron? Aplauden el estudio.
122860	124660	Aplauden Maxi, aplauden Taro Escarpati,
124740	125520	aplauden en cabina.
126120	127040	Pequeños logros.
127080	128560	¿Qué hiciste hoy, agovero?
129120	131920	Hoy intenté ir al gimnasio.
133420	136520	Muy bien, lo intentaste, lo intentaste, loco.
136980	139340	Hashtag pequeños logros.
139620	141860	Estuviste muy cerca de ir al gimnasio.
142120	145540	Te llegaste a poner una zapatilla y después dijiste no.
145540	147000	Sabes qué, no estoy.
147120	148460	La verdad es que no estoy para esta.
148800	149860	Pero lo intenté.
150140	152700	Por un instante lo había mentalmente,
152940	154640	lo desarrollaste completamente esa acción.
155120	156580	La llevé al final.
157640	158680	Pequeños logros.
159260	162380	Felicitaciones a la gobera Vod de Racing.
162600	165680	¿Ustedes vieron la gobera que gritó en la transmisión,
165700	167080	creo que fue de paso a paso,
167400	170960	que agarró y gritó por Racing, mística pura, mística,
171020	173020	y gritó y se arrodilló y dijo,
174060	176720	mística, agovera, hermano, me extraña.
176880	180480	Cómo no va a ser agovera y le mandamos de acá una felicitación.
180760	181500	¿Saben por qué?
181700	186940	Porque el agoverismo lentamente se va colando en la sociedad civil.
187140	192260	Y por eso el agoverismo es inevitable y está condenado al éxito.
192560	195040	El agoverismo es un movimiento que ya se ha infiltrado
195040	197020	en lo más íntimo de la sociedad.
197360	202340	Los expertos agoveros dicen que en 10, 12 años
202340	207340	vamos a tener nuestra primera generación de astronautas agoveros.
209780	213960	Ministros agoveros, jugadores de primera agoveros,
214140	217800	que van a ir a declarar y van a decir, yo soy agovero, yo soy agovera.
217960	221860	¿Y qué es eso? preguntará del otro lado un desconcertado periodista.
221920	224100	No importa, porque no damos explicaciones.
224460	230360	Que las vengan a buscar, pero felicitaciones, felicitaciones.
230360	232240	Yo me enteré un poco tarde de todo esto,
232520	238020	porque durante prácticamente todo el fin de semana estuve sin celular.
238700	241320	Elegí no usar el celular, me gusta hacer eso a veces.
241420	246340	Quizás algún día llegue a no usar celular del todo.
247640	250220	Como hacen los lincheras o los muy ricos.
251100	253360	Vieron que son esas experiencias
