start	end	text
0	10340	El que nada importa ya, y todo cuenta igual
14360	18980	Sentir que esto ya pasó
19980	27440	No poder olvidar el alma herida
27440	37220	No es la ciudad, no es la desilusión
37220	45440	Ese es el precio del leado en el decir que sí
45440	51200	Cuando se siente amor
51200	56460	Y así olvidarnos que la muerte espera el fin
56460	64520	El tiempo es lo único que corre en contra de mí
76820	77820	Romper
79020	79440	Destruir
80920	81920	Construir
83640	85640	93.7
85640	86440	Nacional Rock
91820	92820	Mixtape
92820	96320	Todas las semanas, un nuevo mixtape de Nacional Rock en Spotify
96320	97840	Nuevos lanzamientos
97840	98860	Nuevos sonidos
111980	114040	Nuevos sonidos
134020	135420	Nuevos sonidos
135420	138880	Los destacados de Nacional Rock en Spotify
138880	140420	Arroba Nacional Rock 937
141740	143100	93.7
143100	145420	Nacional Rock
147460	152840	De 7 a 9, hay Rock and Roll, ahora en vivo por YouTube
156680	161420	Nacional Rock, la radio pública de Rock
163730	166530	Hay cuerpos
166530	167770	Cuerpos vivientes
169450	171030	Y hay cuerpos
172990	174770	Cuerpo viviente
179970	182770	Y bailan
184370	185770	Distalla
185770	187050	Se conecta
191770	194770	Para cantar y ser feliz
195330	196770	Que bailen
201510	203050	Nacional Rock
203770	204770	93.7
207970	208770	Baila
209370	210750	Resistir
210750	212230	Resistir
212230	213090	Transformar
213090	214170	Transformar
214170	215050	Transformar y transformarse
215050	216250	Transformarse
216770	217610	Nunca parar
218730	219370	97
220990	222270	Nacional Rock
222270	224610	Lunes de 20 a 21
225810	226450	Maga
226450	228190	Hay pampan, hay vino, vino
229770	231990	Sobre las cartas de la mesa
232610	234670	¿Para qué caso estos pájaros? ¿Para qué?
234770	238690	Hay que tener una jaula, una ablido y ese
241710	245110	El problema es que la deuda es como la faropa
245110	246410	Al principio es rica
247130	248410	Pero después te mata
248410	250190	Vos sabés que sí
250190	251350	Vos sabés que sí
252650	253730	Vos sabés que sí
253730	257130	Si esta copa es de leche, te la tomaste toda
257130	259410	Te la tomaste toda, chingüengüencha
260010	261810	No sabes ni hablar, brutos
261810	262410	Váyale a estudiar
263270	267530	Acaba de cortar la medicina porque metiste un cuchillo y te fue que electrificaba, loca
267530	268410	Ah, bueno, no le importaba
269090	269930	Ay, nada de lo que fue
281450	285670	¿Cómo andan, queridísimos compatriotas?
285770	289570	Uno acá puso She-Hulk reference
291050	293210	¿Cómo andan, compatriotas?
293370	295090	¿Qué está pasando, hermano?
295150	296610	¿Qué pasa? ¿Qué pasa?
297990	301430	¿Cuántos programas se bancan un detrás de escenas así?
301970	302650	Un...
302650	304090	Behind the Maga
304090	305610	Welcome to the Magic
305610	306390	Acá es donde estamos
306390	308590	En esta pared imaginaria que es un portal
308590	311030	Hay ahora un croma que no está tomando tan bien, ¿no?
311290	316250	Me imagino que el oyente de Spotify siempre viaja con su mente cada Maga
316250	320250	Veía el otro día subiendo un par de historias de personas subiendo una historia escuchando Maga en el auto
320250	321470	Imagínate lo que es eso
322450	322890	Acojonante
325090	325530	Acojonante...
325530	326590	¿Cómo se llama esta mierda?
327070	328110	¿Cómo se llama esto, Juanpi?
328810	329250	Croma
330150	332010	Acojonante, flipante, croma
332010	333130	Sí, sí, sí
