start	end	text
0	2460	Es la ciencia, es la verdad.
4180	10860	Hermano, cuando River nos ganó, acá analizamos la ponderación metafísica
10860	15040	plano por plano de cada uno de sus afrentas espirituales
15040	18980	y tenemos clarísimo que fue el hito histórico de la corbata de la bruna
18980	21720	y no fue en un programa gallina, fue acá.
22320	25400	Entonces lo que les pido al menos es tengan la deferencia, ¿no?
26120	27880	Porque ¿qué es lo que pasa?
28560	32400	El agovero lo entiende, hermano, el agovero lo entiende.
33740	38480	Acá, independientemente de la afiliación ideológica, de cuadro, futbolística
38480	41600	que cada uno tenga, somos cultores de la ciencia y de la verdad.
42640	44780	Por eso están...
44780	48420	Yo no puedo creer que todavía al día de hoy haya gente que discuta esto,
48780	53080	que todavía al día de hoy haya gente que discuta la ciencia,
53080	56240	que discuta la verdad, que discuta la mística.
56480	60900	Hermano, este programa arrancó con una de sus verdades axiomáticas
60900	62400	que sostenemos hasta el día de hoy.
63080	67360	Las mal llamadas diferencias ideológicas son todas espirituales
67360	70280	y hay algo en el área del deporte, en el arte del balón pie
70280	73100	que ya hemos dicho pero vamos a repetir.
73800	78520	No hay un solo partido ganado en la historia del futbol
78520	82960	que se haya debido a eso que llaman mérito, técnica.
85280	87860	¿Quién crea que acá hablamos de futbol como personas
87860	89840	pateando una pelota está muy equivocado?
90180	92920	Vayan a ver otros programas, ya sobran de eso.
93940	100200	Acá y sobre todo, sobre todo, si hay un partido que se ganó
100200	103880	por motivos metafutbolísticos, es decir, ni siquiera meta,
104160	106340	porque para meta tiene que haber razones futbolísticas,
106340	110520	no hubo un solo mérito futbolístico en el partido del otro día,
111120	116720	ni uno se ganó solo, solo, solo por mística.
117280	121960	Y por favor, perdón esto, perdón esto, pero necesito hacer algo que,
121960	124500	porque pasó en este programa, pasó en este programa,
124760	128340	pero en serio, ¿alguien todavía puede creer que acá hay coincidencias?
130020	132780	Que existen las, o sea, otra declaración,
132780	136780	jamás en la historia de la humanidad existía una sola coincidencia.
137160	138420	No hay coincidencias.
139060	144040	Sino que alguien me explique racionalmente como el mago anterior
144040	149960	donde se pudrió todo, donde no podría haber salido peor ese programa.
150640	156120	Pero del caos, de la locura, del quinto círculo del infierno
156120	158740	sale el concepto bien focus.
160040	162640	No solo sale el concepto bien focus,
163040	166740	sino que yo me olvido de entregar la casaca bostera
167620	170060	con el concepto bien focus.
170700	174620	Y queda todo para este programa pos superclásico.
175020	177920	Y hermano, ¿quién mete el gol?
179480	181180	Sebastián Bienfocus Villa.
182260	187520	Me están jodiendo, en serio, todavía quedan refutadores de leyendas.
187520	190980	Todavía queda gente que no cree, hermano.
191300	193300	Y yo lo quiero decir, lo quiero decir,
194100	196800	porque yo fui el primer testigo de ese fenómeno.
197660	200040	Maga es mucho más poderoso que yo.
200260	201780	Yo soy un mero mensajero.
202060	205580	Yo soy un mensajero de fuerzas que no entiendo ni interpreto.
205920	207800	La otra vez yo fui un mero vehículo.
208680	212500	Mi sudor, mi sudoración, mi maltrato en la mala onda
212500	214520	que generé en todos los espacios,
214700	215800	ir a otros lugares y que me dijeran
215800	217020	ché, boludo, para rescatarte.
217140	218160	¿Qué pasó el otro día?
219540	222220	Fue todo un sacrificio en el pedestal de la verdad,
222460	225660	una verdad superior que ni yo entendía.
226100	227620	Ni yo entendía.
229360	232560	Y ha quedado hoy, Pablo Barca me recibe y me dice, estamos bien focus.
233160	237060	Ha quedado, hay legado de ese pozo del infierno,
237560	240220	extrajimos verdad, es como sacar petróleo.
240500	244820	Las verdades hay que sacarlas, eh, dinamitando el suelo.
244820	247820	Es extractivismo con metales pesados.
249180	251240	Es high risk, high reward.
252620	255640	Y yo necesito, necesito hablar, necesito hablar
255640	257680	mientras se va acercando el tren del hype,
258500	261880	necesito hablar del análisis metafísico de lo que fue el Boca River.
262580	264820	Y necesito hablarlo en detalle,
265800	268020	así como hicimos en su momento cuando ganaron los gallinas.
268400	271580	Porque es un partido, no voy a dar ni un solo motivo futbolístico
271580	272520	porque no lo subieron,
272520	276800	es un partido que se ganó 100% por mística.
277300	279980	Y yo creo que ya a esta altura, con el recorrido que tenemos,
280520	282820	el agovero, el agovero lo sabe ver.
283160	285740	El agovero lo sabe ver, la agovera lo sabe ver.
286020	288120	¿A qué me refiero? Y quiero ser claro,
288820	290720	¿ustedes se piensan que es un accidente
290720	293520	que quien les habla haya ido a Boca Predio antes?
295060	296800	Perdón que lo diga así, eh.
297220	301660	Perdón si capaz alguien se siente ofendido por esto, eh.
301660	303940	¿Ustedes creen que es un accidente?
304720	308800	Yo tenía un solo reclamo en Boca Predio, un solo reclamo.
309100	310800	Y es, no nos puede pasar
310800	313320	que no hagamos ninguna contraofensiva espiritual.
313680	315060	¿Se acuerdan del último clásico?
315360	318440	Corbata de la Bruna, cancha estallada,
319900	323680	romance entre Don Ofrio y su Lemita,
324360	326360	juntada de históricos gallinacios
