start	end	text
9780	13000	la pelota no se mancha
17160	21460	se van a remontar a la estratófera
21460	23080	usted tiene que arrepentirse de lo que dijo
23080	23820	no me voy a arrepentir
23820	25920	usted si tiene que arrepentir porque yo no hice nada de eso
25920	28060	ay si queréis llorar llora papi papi por favor
28060	29300	no no no
31100	31620	mayores
31620	34460	sin imputable hermano
34460	36140	solamente que temble el temor a dios
36140	38780	y a mi en todo caso también un poquito
38780	40060	para para para para para
40900	43420	con 15 pesos me hago alto guiso
54640	56420	como están compatriotas
57040	58420	como andan agoveros agoveras
58960	60420	como están hijos de puta
61180	64320	si fuera un meta humano podría hacer esto
64320	65720	eh
65720	68420	si fuera un meta humano podría hacer esto
69100	71140	podría hacer esto si fuera un meta humano
71140	72300	no
72300	73600	no
74600	75360	no
76300	78540	porque no hay ciencia
78540	79860	ni técnica
79860	82300	que reemplace la pasión
82300	84000	que reemplace la sangre
84000	86500	que reemplace al espíritu
86500	89120	la guerra sagrada contra las máquinas
89120	90760	está más viva que nunca
90760	93360	está viva como un digital
93360	94640	tren del hype
94640	96020	que se acerca
96020	98600	que a pesar de ser de las máquinas y digital
98600	99160	tire un mate
99160	101680	a pesar de ser de las máquinas y digital
101680	103160	es algo que nos puede confundir
103880	105160	pero que en algún punto revalida
105880	107340	nuestra propia humanidad
107340	109620	por eso es absolutamente coherente
109620	111400	absolutamente coherente
111400	112920	no les puedo explicar
112920	114580	lo feliz que estoy
115160	116740	no les puedo explicar lo feliz que estoy
116740	118880	volvió el método
118880	120600	volvió el método
120600	122360	volvió la ciencia
122360	123600	volvió la verdad
123600	125600	volvió la fineza
125600	127800	volvió la dinámica
127800	129120	de un encuentro espiritual
129120	131820	y como siempre que vuelve hay
131820	133820	personas que no
133820	135460	comprenden, personas que no entienden
135460	137560	porque el método es, el método es una cosa
137560	138320	particular
138320	141540	el método está diseñado con un propósito
141540	143600	sagrado que es justamente
144980	145700	exponer
145700	146840	el náucrato
147600	150100	de quien viene, de quien es invitado
150100	151620	y que es eso sino
151620	153600	su propósito, su misión
154940	157420	su verdadero espíritu
157420	158740	el objetivo sagrado
158740	160120	del método es que cada persona
160120	162600	que entre se muestre tal cual es
162600	164680	que cada persona con la que se interactúa
164680	166360	desnude su esencia
166360	167440	más primigenia
167440	170020	y después las conclusiones son del resto
170020	171820	frente a la verdad cada uno
171820	174080	responde como se le canta, hay gente que se enoja
174080	176380	frente a la verdad, hay gente que la celebra
176380	178040	hay gente quienes la verdad la asusta
178040	179980	pero lo que se va, lo que se usa
179980	180920	tras bastidores
180920	183360	es una mera técnica
183360	185140	de exposición espiritual
185140	186640	y yo estoy feliz
186640	188920	estoy feliz, no sé cómo están ustedes
189800	190880	acá gayturtle
190880	193060	como estas querido gayturtle tanto tiempo
193060	195120	dice, Mario niega su esencia
195120	196160	a cravers
196920	198660	hoy me enteré también que Elon Musk
198660	200880	es cravers, es un cravers
200880	202340	es gente sensible
202340	205020	están todos, están todos entrando
205020	206940	están todos en el tren del hype
206940	208540	ya no puedo ni leerlos boludo
208540	210880	hay un nivel de locura
210880	212540	que no puedo ni leerlo, espero que hayan disfrutado
213060	214540	espero que hayan disfrutado del método
215340	216700	o quienes no lo disfrutaron
216700	218900	también, bienvenido sea, porque la mística
218900	220800	es algo frente a lo cual uno no puede permanecer
220800	222680	indiferente, entonces cualquier persona
222680	224860	que sea sacudida, aturdida por verdades
224860	226240	bueno, ha sido
226240	227940	ha sido estimulada
