start	end	text
1980	4200	...remontar a la estratófera...
4200	5560	Usted tiene que arrepentirse de lo que dijo.
5680	6320	No, no me voy a arrepentirse.
6340	8340	Usted tiene que arrepentirse, porque yo no hice nada de eso.
8440	11020	Ay, si querés llorar, llora, papi, papi, por favor, ¡no!
12420	13220	¡Vaya, papi!
14960	16400	Sin diputable, hermano.
16960	18520	Solamente que tenga temor a Dios.
18920	21180	Y a mí, en todo caso, también un poquito.
21380	22860	¡Pará, pará, pará, pará, pará!
23480	25400	Con 15 pesos me hago alto guiso.
34420	35620	¿Cómo andan?
35700	38200	¿Cómo andan, papaeldos?
38560	40680	¿Cómo andan, papacius clays?
41060	43120	¿Cómo andan, esmircolapios?
43820	45440	¿Cómo? ¿Cómo andan?
45580	46960	¡Cuántos concepts!
47360	48640	¡Cuántos concepts!
48880	50080	¡Que vuelan por el aire!
50480	51740	¿Estás en tu casa y así subes?
51960	53880	¡Oh! ¡Oh! ¡Oh!
54460	55840	¿De qué va este programa?
56440	57000	¿De qué va?
57740	59040	¿De qué va este programa?
59540	59980	¡No lo sé!
59980	61800	¡Y ese es el vértigo!
61940	64100	¡Y eso que sentís! ¡Y esa adrenalina que sentís!
64100	65500	¡Es la misma que siente!
65880	67500	Robocopatel en su casa
68320	69980	degustando un whiskardium leviosa
70600	71720	tan caro
71720	73840	que jamás vas a poder percibirlo.
74060	75640	Es la misma adrenalina que siente
75640	78040	Fede Quintana preso como trosquista
78040	79640	después de elecciones uva
79640	81980	levantándose bien temprano para ir a un piquete intrascendente
82500	83480	en el que no le importan
83480	85880	para después enterarse que los mismos obreros
85880	88440	que cortan la calle votan al peronismo.
89980	91640	¡Ninguno sabe de qué se trata este programa!
92880	93700	¡Pero están acá!
94360	96300	¡Unidos! ¡Unidos frente al ritual
96300	97420	de lo maga!
97660	99700	El ritual de lo maga que comienza
99700	102240	con un único objetivo, hacer a la Argentina
102240	103840	grande otra vez. Yo no tengo
103840	105620	la menor idea de qué hablar hoy.
105760	107900	Y me parece que eso es lo lindo que tiene este programa.
108160	109700	Que ustedes saben, porque pueden ver
109700	111640	en el brillo de mis ojos, que no miento.
111780	113800	No miento jamás. No tengo idea qué decir.
114380	115920	Estaba hablando con escarpa, nos quedamos
115920	117780	hablando un rato de lesiones universitarias.
117780	119340	Faltaban tres minutos para el programa y dije
119340	121120	¡Uh! ¿De qué mierda hablo?
121240	123780	Y no importa, porque maga sucede así.
124160	125700	Maga acontece como
125700	127800	tiene que acontecer. Sobre todo
128880	129900	sobre todo en estas
129900	131780	fechas. Son fechas
132820	133900	poderosas para Jesus
133900	135820	Christ. ¿Hablamos
135820	136520	de Jesús?
138020	139300	¿Quieren hablar de Jesús?
140100	141720	¿Quieren hablar un poco de Jesús?
143460	144060	Maga
144060	145480	Tiro topics.
145480	147940	¿Quieren hablar de Jesus fucking
147940	148620	Christ?
149940	150740	Jesucristo Superstar.
151340	152680	¿Quieren hablar de Jesus?
153160	154780	Quieren sí. La gente dice sí.
155160	156760	Le hablé a mi vieja del storyboard de Moisés
156760	159240	mientras pasa el tren del hype.
159740	160820	Mirá lo que es esto.
161200	163180	Mirá lo que es esto. Ya hay audios. ¿Audios de qué?
163900	164700	¿Me puedes explicar?
