start	end	text
15900	17300	x2
76980	78380	Música
78380	78900	Música
88580	89980	Música
103460	104860	Música
104860	104860	
104860	104900	Música
106560	107960	Música
121940	123340	Música
123340	123340	
123340	123340	
123340	123860	Música
123860	126260	Música
161560	162960	Música
166320	167720	Música
167720	167940	Música
167940	167940	
182800	184200	Música
184200	184200	
184200	185280	Música
196520	197920	Música
208760	210160	Música
210160	210280	Música
212240	213640	Música
226500	227900	Música
239240	240640	Música
240640	240680	Música
244620	244900	Música
256480	257880	Música
263980	265380	Música
267760	269160	Música
271740	273140	Música
286460	287860	Música
292000	292860	Música
293400	293700	Música
293700	295720	Música
295720	297620	Música
304120	305520	Música
305520	305540	Música
305540	306380	Música
306380	307340	Música
313440	314840	Música
314840	315260	Música
317240	318640	Música
318640	319180	Música
322020	323420	Música
326060	327460	Música
327460	328100	Música
328100	330500	Música
339180	340580	Música
340580	341500	Música
342580	342620	Música
342620	342780	Música
342780	344320	Música
344320	346300	Música
348200	349600	Música
349600	350260	Música
353860	355260	Música
355260	355900	Música
358600	360000	Música
360000	361940	Música
361940	363460	Música
363460	364280	Música
368020	369420	Música
369420	371560	Música
374080	375480	Música
375480	377180	Música
381760	383160	Música
383160	384500	Música
387600	389000	Música
389000	390040	Música
393520	394920	Música
394920	395940	Música
400260	400940	Música
401660	402120	Música
402120	404680	Música
404680	406660	Música
435460	436020	Música
436020	436400	Música
436400	436460	Música
436460	436640	Música
464640	466040	Música
466040	466040	
466040	466620	Música
466620	466620	
495400	495980	Música
495980	496440	Música
496440	496480	Música
496480	496600	Música
525900	526220	Música
526220	526500	Música
526500	526540	Música
526540	526580	Música
555040	556440	Música
556440	556560	Música
556560	556560	
556560	556560	
560260	561660	Música
582240	583640	Música
585140	586540	Música
586540	586540	
601980	602060	Música
602060	602080	Música
602080	602120	Música
602120	602160	Música
616420	616500	Música
626840	627500	Música
627500	627520	Música
627520	627540	Música
627540	628180	Música
634960	636280	Música
636280	637120	Música
637120	637480	Música
637480	637960	Música
666240	667640	Música
667640	667940	Música
667940	667940	
667940	667940	
679200	680600	Música
680600	680840	Música
680840	680880	Música
696520	697920	Música
701620	703020	Música
703020	703020	
709500	710900	Música
726500	727900	Música
734500	735900	Música
741220	742620	Música
742620	742960	Música
755920	757320	Música
761780	762320	Música
763180	763180	
