start	end	text
28140	29540	¡SUSCRÍBETE!
58140	59540	¡SUSCRÍBETE!
73020	78500	¿Cómo andan queridísimos compatriotas? ¿Cómo están? ¿Cómo estamos? ¿Me escuchan bien?
78620	83440	Estamos bien acá en el seteo. Yo tengo un poquito de delay para ver qué está pasando,
83480	86960	pero voy a estar viendo más o menos lo mismo que ven ustedes. ¿Por qué? Porque estamos
87600	91940	estrenando una nueva modalidad. Ya vamos a empezar a hablar. Ya la gente que sabe cómo vienen los
91940	97860	anuncios del multiboard conocen esta tradición. Hay gente notando mi impresionante casaca,
97960	103820	mi look de cazaqueros. Hay otras personas agarrando y diciendo ¿qué pasó con Medical Hair? También.
104160	109700	Eso es interesante, ¿no? Como para sembrar algunas dudas o expectativas. ¿Hice algo con Medical Hair?
110120	116200	¿No hice nada con Medical Hair? ¿Me hice un implante capilar pero tarda eso en crecer? Y lo que
116200	120580	están viendo ahora es algo que todavía está en proceso. Son preguntas. Preguntas que quizás no
120580	126540	tienen respuesta. O quizás vamos a ir encontrando las respuestas a medida que avanza este anuncio
126540	133840	del multiboard fase 3. Bienvenidos y bienvenidas compatriotas. ¿Cómo están? ¿Qué lindo? Mucho
133840	140380	pelo por euro. ¿Sí? ¿Sí? Se nota. Se ve, ¿no? Se ve cómo estamos trabajando. Ya se ven los
140380	149080	resultados. Falta eco, se escucha bien. Estás gordo reward. Es ahora Tomás. Estás más gordito
149080	153400	de vuelta. Dos comentarios seguidos al respecto de mi peso. ¿Es interesante que en este chat nadie
153400	160000	haya incorporado que no se opina sobre el físico de otras personas? No estoy más gordito. Lo primero
160000	170060	que me gustaría decir. Es una casaca amplia. Estoy usando ropa no slim fit. ¿Sí? Es una camiseta
170760	177580	multada. Si la notaron es una camiseta que aparte dice footboard. ¿Por qué no valoran un poquito
177580	183460	más? ¿Y saben quién me la regaló? Me la regaló gente de casakeros. Arroba casakeros. Tremendas
183460	192220	casacas. Todas retro. Cosas raras. Pero la respuesta es obeso, gordo. La respuesta es no. La respuesta
192220	198740	es no. No estoy más gordito. Estoy igual que siempre o un poco mejor que siempre. Así que
199440	204640	está bueno. Está lleno de místicas. No pensé que la rack iba a ser así. No pensé que la rack iba a focalizarse
204640	210680	el 90% en mi peso corporal. Pero puede pasar. Puede suceder. Ahora tengo ganas de... La verdad es que me
210680	215420	va a hacer más gordo esta camiseta. Lo estoy viendo ahora. Pero miren, si hago esto... Mirá, me voy a poner unos
215420	221360	brochos atrás. Es el doblez este de negro. Ahí lo estoy viendo. Ahí lo estoy viendo. Tengo acá una
221360	229980	pantalla donde lo puedo ver. Es un doblez, pero es un efecto. Es un efecto. ¿Ven? Si hago así... Se
229980	238900	confió a Big Ari. Si hago así, si hago así, van a ver que se ve... Mirá, mirá lo que es ese tuneo.
239080	244160	Mirá lo que es esa parte. Creo que se ve peor. Ah, Dios. Ojalá lo hubiera visto antes. Me llevo con delay
244160	250500	y estuve demasiado tiempo así. Estuve tanto tiempo así que ahora ya no puedo salir básicamente. Pero
250500	257220	se ve peor. Se ve peor si hago esto. Estimados compatriotas, qué lindo verlos después de tanto tiempo
257220	263600	o verme. Porque yo no los veo ustedes. Es una entidad impersonal para mí, desde donde yo los miro.
263820	271720	Pero qué lindo que vuelven a verme. Se hizo largo el GSB, ¿no? Se hizo largo el gran silencio de verano.
273140	278440	Refutadores dirán que me tomé muchas vacaciones, ¿no? Como los vagos de los docentes que frenan
278440	282440	tres meses. Eso no tiene nada que ver con lo que hago yo. Ustedes saben bien que lo que hacemos acá
282440	288880	es en pos de la máxima ciencia. Para alcanzar las más altas cumbres de la verdad es necesario reposar
288880	293980	en largos letargos, ¿no? Para entrar en contacto con las verdades que por supuesto estoy rebosando de
294620	300380	verdades. No estoy gordito, estoy lleno de verdad. Sí. Eso es lo primero que podemos hablar con ustedes.
300740	306380	Pero qué lindo verlos después de tanto tiempo. Necesito que pare... Cada vez que leo el chat, leo un
306380	317240	maca board, boludo. Necesito regularlos un poco. Muy corto. Mucho Brasil. ¿Por qué estoy parado?
