start	end	text
0	6960	Estás confuso, incierto, ansioso y al límite.
9140	14000	Cuando ya no sabes qué hacer, mejor, mejor bailar.
14000	17000	Te quilombo.
44000	44540	Escucha.
45980	49820	Tapa Martín, Mariana de Hiraola y el Doku.
50180	51620	In Nacional Rock.
54700	57440	Nacional Rock noventa y tres siete.
61440	63520	Y lunes a viernes, de seis a siete.
64040	65040	Escucha.
66520	67880	Primera versión.
68740	70940	Pablo Vázquez, In Nacional Rock.
74000	77480	Nacional Rock.com.
79460	82280	De lunes a viernes, de trece a dieciséis.
82800	83640	Escucha.
85980	86760	El Uno.
87220	90000	Diego Ripol, José Amore y Diego Rivas.
90200	91480	In Nacional Rock.
92460	93820	El Uno.
95240	96100	Radio Pública.
96380	96800	Tres.
98380	99060	Radio Pública.
99440	100380	Noventa y tres.
100920	101760	Siete.
101760	103380	In Nacional Rock.
105420	108220	Martes, miércoles y jueves, de doce a trece.
108740	109480	Escucha.
111160	112640	Las Mafiosas.
112840	115920	Luciana Teca, Vero Lorca y María Stanryder.
116180	117440	In Nacional Rock.
118020	119060	Las Mafiosas.
163560	165600	¿Qué pasó, loco?
165980	167500	¿Qué pasó, compatriotas?
167700	169820	¿Estaban esperando la cortina de siempre?
170720	172980	¿Estaban esperando esa entrada medio intrusos?
173180	174340	No, no.
174660	180620	Lo que están escuchando es el disfrutable sonido del nuevo Maga.
180720	182980	¿Disfrutan esa música sin copyright?
183860	184280	¡Oh!
184940	185540	¡Oh!
186020	188440	¿Vieron qué suave que se siente el no copyright?
189360	191740	Mirá cómo suena en esa falta de derechos.
193120	194720	Ahí está.
196180	197440	Mirá cómo...
200200	201200	Mirá cómo suena.
201500	202000	No copyright.
202880	203680	No copyright.
204060	205020	Es como una...
205020	207040	Es una música de una fiesta Sims.
208860	211400	Es como una juntada Sims en el patio.
212540	214020	Backyard Sims.
215520	216280	No...
216280	217620	No copyright.
217620	219460	¡Miren lo que es esto!
220380	221300	¡Miren lo que es esto!
222460	222960	¡Atención!
223180	225060	Este es el sonido de la monetización.
225320	227640	¡Cómo están, queridos compatriotas!
228760	232720	El fabuloso Maxi, nuestro productor que ha vuelto en esta tercera temporada.
232980	233980	Tercer año de Maga.
233980	236620	Armado una lista de Timminsons.
236840	238520	Cada uno más suave que el anterior.
238860	239920	Música de ascensor.
240180	241560	Música de Living Sims.
242020	243700	Música de fondo neutro.
243800	245920	Chill beats to relax to.
246300	246540	¿Sí?
246540	250000	Y tenemos también a Berenice en los teclados.
250200	250720	Operadora.
251020	253040	Tirando llamas de efectos especiales.
253080	254180	Tengo a Juan Biselva.
254260	255560	The Jungle Man.
255640	256700	The Jungle Man.
256740	257740	Operando la transmisión.
258020	259540	Y los tengo ustedes, compatriotas.
260580	261540	Agoveros y agoveras.
262380	264280	Bienvenidos de vuelta a este ciclo.
264360	267520	A este nuevo Maga tercer año consecutivo.
267700	268220	Ahora.
268480	269040	Por YouTube.
269160	270980	En esta transmisión donde está sumando alguna persona.
271040	272160	Los agoveros más rezagados.
272200	273360	Algunos todavía están perdidos.
273460	274280	Buscando en Twitch.
274280	275480	Donde está esta transmisión.
275480	276720	Ya van a llegar para acá.
276960	277640	No pasa nada.
277920	279140	Quiero agarrar y decir.
279660	281420	¿Cómo estás David Maury?
282100	284440	Smooth Chill Sims to relax to.
284660	285620	¿Cómo están compatriotas?
285660	287220	Y permítanme decirles.
287380	290880	¿Cómo están campeones del mundo, hermano?
291380	293020	¿Cómo están campeones del mundo?
293540	295940	¿Cómo están campeones de todo?
296840	298160	¿Campeones de todo?
299260	300360	Perdón que lo diga así.
300580	301940	Pero alguien se dio cuenta.
301940	303520	Que antes de Maga.
303580	306920	La Argentina básicamente no ganaba nada.
308060	310580	Las victores de Argentina tendían a cero.
311340	312940	Y ahora desde que está Maga.
314520	316120	Argentina gana todo.
317580	317580	
318300	319380	Aproximadamente todo.
319620	320760	Estamos ganando últimamente.
321960	324160	Es un poco descansador ser argentino.
324560	326040	No los agota ganar.
326260	326800	No están como.
328080	329320	Tengo que ganar otra vez.
330800	333320	¿Cuántos discursos de agradecimiento y aceptación.
334260	335320	Se puede dar a una persona?
335420	337380	¿Cuántas personas más puedes tener para agradecer?
337700	340600	Ya a la quinta persona que ganamos.
341240	341820	Cuatro, cuatro.
342020	342320	The best.
343460	345400	The best, papá.
