start	end	text
2820	5960	¡Dale, dale papá! ¡Mira lo que es esa música genérica!
6580	8660	¡Mirá lo que es! ¡Oooooh!
8960	11580	¡Uy, Jungleman! ¡Uy, Jungleman!
11940	14260	¡Jungleman, no! ¡Me pierdo las transiciones!
15040	16360	¡Jungleman! ¡Me caigo!
18280	18280	
18280	20920	¡Me caigo! ¡Por favor! ¡Qué locura!
21360	24220	¡Mirá lo que es este MAGA! ¡Mirá lo que es este lugar!
24600	28760	¡Mirá lo que es este Primero de Mayo, este día del trabajador!
28760	34780	¡Soy un héroe! La respuesta es sí. Venimos acá, estamos bancando de traps.
35420	39520	¡Holding the trapos! ¿Vieron lo que son los trapos? Los estamos bancando.
39680	42860	Así se ve bancar los trapos y lo están haciendo ustedes también.
43100	46600	Así que voy a arrancar en este Primero de Mayo, este día del trabajador,
46840	50380	con una ronda de aplausos, loco. La ronda de aplausos que nos merecemos
50380	55960	por estar acá, por estar acá disfrutando esta suave música sin copyright y todos nosotros.
55960	62240	Quiero saludar a Maxi, detrás de cabina también ahí, bancando de traps.
62500	68520	Quiero saludar a Berenice en los teclados, nuestra operator, también bancando de traps.
68800	76440	Y por supuesto a TheJungleman también. Quiero saludar a TheJungleman también.
76600	81400	Quiero saludar, ya ven lo que son esos movimientos. Yo hablé... ¡Oh Dios!
81400	88100	¡Jungleman, me estás matando! ¡Jungleman! Yo hablé hace unos días con Juanbi Selva,
88100	95960	y le dije... Juanbi, mira que el lunes es feriado, así que quería saber cómo nos íbamos a manejar.
96840	101400	Y Jungleman me dice... Disculpa, ¿acaso vos no recordás cuál es mi apellido?
101880	106540	No, bueno, sí, es Selva. Me dice... ¿En la selva hay feriados?
107380	112740	Y yo... No, bueno, tranquilo, tranquilo, Jungleman, pero yo lo que no quiero es...
112740	115600	Escúchame bien, hijo de puta, me dice. ¡Paz! Mete transición.
115900	122140	¿En la selva hay feriados o no hay feriados? No, bueno, Jungleman, no, entiendo que no hay feriados.
122260	127200	Y me dijo... Entonces preparate porque te vas a magear encima, hijo de re-mil-puta, y me empuja.
127380	132560	Y yo... ¡Pará, Jungleman! ¡Pará y mete una transición! ¡Y mete una transición!
132560	135380	Porque ese es The Jungleman.
135600	140680	¿Cómo andan, queridísimos agoveros y agoveras compatriotas?
140920	145720	Quiero agradecerles, tengo algunos anuncios. Primero, el primero, estoy extremadamente refriado.
146400	152360	No porque tenga nada. Yo creo que vivo refriado y con el tiempo me olvido de que eso no es normal.
152920	159800	Así que en este programa, en Extremada Feriado, habrá record de tocadas a mi nariz,
159800	164080	que es en general lo que ustedes los hace flashear que estoy súper drogado.
164180	167040	¿No? Saben que a ustedes les gusta hacer como...
167040	171920	Che, míralo a Rebord. Está súper drogado. Y la verdad es que no, no estoy súper drogado.
172180	179840	Yo no me drogo. Porque winners don't use drugs. ¿Sí? ¿Eh? Como el chivo de Michael Jordan, bien noventoso.
180120	183740	Hey, stop it. Exactamente. Lo mismo, yo no estoy drogado.
184120	188680	Lo que sí, y es la verdad, tengo mucho miedo de que se me caiga un mocardium leviosa.
188680	196800	Que es algo que a mí me pasa mucho, porque tengo alta actividad conectada, rino, oto, larinjo, coso.
196860	201400	¿Sí? Por lo cual me traje unos buenos papelardiums para sonarme la nariz en vivo,
201440	205580	que es algo que también va a ser particularmente lindo y particularmente radial de ver.
205820	209780	Pero prefiero eso a que me salga volando un mocardium leviosa, que es algo que...
209780	213960	Me ha pasado ya al aire, me ha pasado en cámaras, hay registro de eso, ya no tengo pudor.
214100	216180	Sé que es algo que me puede pasar todo el tiempo.
216180	218520	Así que mientras The Jungleman está...
218520	221740	Ah, te estoy viendo tu plano lateral. ¿Qué estás preparando, The Jungleman?
221820	223940	¿Qué tenés? ¡Oh, The Jungleman!
224460	225700	¡Mirá lo que es!
228380	229460	El tipo...
229460	231040	¡The Jungleman!
231520	233380	El tipo...
235080	238180	El oyente que se había escuchado en la radio por FM, ¿viste?
239580	242700	Deben estar buenos los planos de The Jungleman, evidentemente.
243200	245100	Es algo muy gracioso, ¿no?
245460	247520	Que disfrutan mucho, la verdad, ¿no?
249440	251240	Otro plano de The Jungleman, ¿eh?
252820	253700	¡Qué programón!
254860	256320	Mi ideal favorito.
257240	260780	Estimadísimos compatriotas, le doy las gracias nuevamente por estar acá, en este lunes.
261180	264400	No termino de decir si lo mío es heroico o un poco carnero, también.
264760	266600	Porque la realidad es que nunca lo decidí del todo.
266740	271540	Me pasa que en el fondo, fondo, fondo, además de ser un héroe y hacerlo por ustedes,
271540	273380	yo la paso bien haciendo esto.
